method,n_samples,imp_V0,tr_V0,imp_V1,tr_V1,imp_V2,tr_V2,imp_V3,tr_V3,imp_V4,tr_V4,imp_V5,tr_V5,imp_V6,tr_V6,imp_V7,tr_V7,imp_V8,tr_V8,imp_V9,tr_V9,imp_V10,tr_V10,imp_V11,tr_V11,imp_V12,tr_V12,imp_V13,tr_V13,imp_V14,tr_V14,imp_V15,tr_V15,imp_V16,tr_V16,imp_V17,tr_V17,imp_V18,tr_V18,imp_V19,tr_V19,imp_V20,tr_V20,imp_V21,tr_V21,imp_V22,tr_V22,imp_V23,tr_V23,imp_V24,tr_V24,imp_V25,tr_V25,imp_V26,tr_V26,imp_V27,tr_V27,imp_V28,tr_V28,imp_V29,tr_V29,imp_V30,tr_V30,imp_V31,tr_V31,imp_V32,tr_V32,imp_V33,tr_V33,imp_V34,tr_V34,imp_V35,tr_V35,imp_V36,tr_V36,imp_V37,tr_V37,imp_V38,tr_V38,imp_V39,tr_V39,imp_V40,tr_V40,imp_V41,tr_V41,imp_V42,tr_V42,imp_V43,tr_V43,imp_V44,tr_V44,imp_V45,tr_V45,imp_V46,tr_V46,imp_V47,tr_V47,imp_V48,tr_V48,imp_V49,tr_V49
0.5*CPI,100,0.04555734982896298,1.0,0.01239433869074924,1.0,-0.0012753385057724387,1.0,0.030373756178076805,1.0,0.2569554052366865,1.0,-0.030063995057064474,0.0,0.06886466889436416,0.0,-0.01106580414012881,0.0,0.03297592445288866,0.0,0.002606923404582906,0.0,-0.00046672023601046497,0.0,-0.006724676635771587,0.0,0.013667028578981277,0.0,0.001939087832824482,0.0,0.015527019201586167,0.0,-0.0013513338556210286,0.0,0.059400966591651505,0.0,0.008165969850823185,0.0,-0.0027672064707102706,0.0,0.006121180226245748,0.0,-0.034866300101176195,0.0,0.004079407377911126,0.0,0.015128320974951093,0.0,-0.06232662125639421,0.0,-0.013141575648161874,0.0,0.01439460356217137,0.0,-2.6479880874230588e-05,0.0,-0.006420939472426834,0.0,0.015357184007335434,0.0,-0.041952155761836085,0.0,-0.05822420883718138,0.0,0.02817105278010712,0.0,-0.02919902859478296,0.0,-0.005364519599980078,0.0,0.002380267708885997,0.0,-0.024307257604323063,0.0,-0.020750057829564073,0.0,-0.023091359015579238,0.0,0.0213628826647696,0.0,0.0029006562699975813,0.0,-0.1780205339928258,0.0,-0.07437154996563478,0.0,-0.0037617251794546114,0.0,0.011314119672418688,0.0,0.04032157177232132,0.0,0.011122159571962609,0.0,0.0014414854932134347,0.0,0.0002998718367415165,0.0,0.01354811705557557,0.0,-0.009623523547978463,0.0
0.5*CPI,250,0.36590230504827126,1.0,0.09146177520649146,1.0,-0.004016268300496284,1.0,0.7469075165748718,1.0,0.23455781245033624,1.0,-0.0096821172763768,0.0,-0.0022502196743685587,0.0,-0.0869078225136497,0.0,-0.00950870282339733,0.0,-0.0002568695887763539,0.0,0.0047106402993453145,0.0,0.015220048348002058,0.0,-0.007763854296185313,0.0,-0.003511212860854984,0.0,-0.00246548691510462,0.0,0.002145737720778751,0.0,0.00041689884440487823,0.0,-0.0010406060918783933,0.0,-0.021167036330634437,0.0,0.012050215899284566,0.0,-0.008434959937620334,0.0,0.005255200887604783,0.0,0.0035910863912764768,0.0,-0.005047603002116485,0.0,-0.0006124578385189317,0.0,0.0036097329756965557,0.0,0.015270808988606444,0.0,-0.0030884779924831296,0.0,0.001389866203957535,0.0,-0.006539028715758954,0.0,-0.004520704337588333,0.0,-0.0003521936404371484,0.0,-0.0019231591254271763,0.0,0.0013496931304004534,0.0,-0.033199134686224374,0.0,0.0017896207919194662,0.0,-0.0007614605810621899,0.0,0.003919782302605368,0.0,-0.002596719955268112,0.0,-0.013214269734535655,0.0,-0.0028080313236786836,0.0,0.00034401353474122764,0.0,-0.005176510283765978,0.0,-0.006216342795002605,0.0,-0.00660963436077977,0.0,0.006465678182876244,0.0,0.006846934689293871,0.0,0.0001040976688893025,0.0,-0.005012606630232064,0.0,-0.00017145511849192552,0.0
0.5*CPI,500,0.12567912514750224,1.0,0.06966070430679228,1.0,0.00690927777415018,1.0,0.9196949934898253,1.0,0.43279143004979936,1.0,0.0005051469573889023,0.0,-0.003123872460517818,0.0,0.0012879927932664126,0.0,-0.002983781808759578,0.0,0.0020474045579821354,0.0,-0.004894211313709151,0.0,0.003585536596729333,0.0,0.003029698798986402,0.0,0.003945512468104484,0.0,0.010787333311743863,0.0,0.0032391867055471257,0.0,-0.0006649624238651564,0.0,-0.005089567332662304,0.0,-0.0001873176267086496,0.0,0.006729287920748117,0.0,-0.002177598143260573,0.0,-0.0031777881346682912,0.0,0.0006775590950002242,0.0,-0.008925980694084457,0.0,-0.002804193488307405,0.0,0.006699606542023284,0.0,-0.0054920533632801805,0.0,0.0008945222731786551,0.0,0.0031442023775261063,0.0,-0.00099015100907196,0.0,-0.0006828745745682818,0.0,-0.002686577782421651,0.0,0.0006959218408831847,0.0,-5.8515547381121635e-05,0.0,0.004769314941408975,0.0,-0.005138645762288285,0.0,-0.00033970180024589514,0.0,0.00219244566233201,0.0,-0.0018571015331275698,0.0,0.005650754643357181,0.0,-0.006523776036199025,0.0,-0.0034142079794756697,0.0,-0.001409525610522433,0.0,-0.004202109426468814,0.0,0.000979696040079192,0.0,-0.005618376458586427,0.0,0.004061755412009593,0.0,-0.0015031977223867177,0.0,0.0008146167753733113,0.0,0.002087903899163135,0.0
0.5*CPI,1000,0.2606089780298274,1.0,0.08047839394298584,1.0,0.09418477606128317,1.0,0.6077648341972406,1.0,0.4510160333974058,1.0,-0.006745578061754576,0.0,0.009291478882085369,0.0,-0.000659166114950982,0.0,0.00044802443970337613,0.0,0.00014866890535414345,0.0,0.0011365877525991719,0.0,0.002450011028444221,0.0,-0.0018465683516675213,0.0,0.005499935473213369,0.0,0.0056909796374420285,0.0,-0.00012417073805759404,0.0,0.0027636861764764875,0.0,-0.0007550656672968836,0.0,-0.0026490017400055965,0.0,-0.0024610177913968467,0.0,0.0028979463703064923,0.0,-0.01059781276317906,0.0,0.00745683600949909,0.0,-0.0006247624695524534,0.0,0.0003588744925797638,0.0,0.001969952994543722,0.0,0.00526914890008956,0.0,-0.004202703007135766,0.0,0.003620609738215208,0.0,-0.00043257674425822845,0.0,-0.0009986590782748994,0.0,-0.0010027309494485825,0.0,-0.0009365598987837176,0.0,0.0018781322520360355,0.0,0.004831678385749272,0.0,-0.0017181825881823487,0.0,0.0020046099179780175,0.0,-0.004331247417998174,0.0,-0.004822526327690646,0.0,-0.0024087562008524577,0.0,0.007375756168501835,0.0,0.0030277103430282892,0.0,0.004564696510155786,0.0,0.004135185763801119,0.0,-0.0040166047565001195,0.0,0.0032242065664328523,0.0,-0.007715681193567914,0.0,0.0056935530218590324,0.0,-0.0020983302354641298,0.0,0.00044873743964646273,0.0
0.5*CPI,2000,0.2775336350695848,1.0,0.1192763898317798,1.0,0.17709569962695904,1.0,0.6161315558545251,1.0,0.7970649677662753,1.0,0.0039017875207652264,0.0,0.0015433154842784957,0.0,0.006860622770698377,0.0,-7.421572024909895e-05,0.0,-5.20988391564392e-05,0.0,0.0005476426559804792,0.0,-0.0009390756328002958,0.0,-0.0020785427524542266,0.0,-0.000627215865539904,0.0,-0.0001257043332789365,0.0,-0.000649100737513425,0.0,-0.0007085676755248793,0.0,-0.0002601298089169035,0.0,-0.000601622177136607,0.0,0.0029012735632176767,0.0,-0.00020049265308277886,0.0,-0.0009815701600455196,0.0,-0.0004446696810228856,0.0,-0.0005968918615321117,0.0,-9.768998360115688e-05,0.0,1.9020396706259657e-06,0.0,-0.0008900374938946576,0.0,0.0010803977936345854,0.0,-0.00047422712948108625,0.0,-0.0007427102807353314,0.0,-0.0006081446766046661,0.0,5.838419807377426e-05,0.0,0.00028290166795175153,0.0,0.0009404767515493184,0.0,0.002429749701187117,0.0,0.00016113861820676867,0.0,-0.0005337858051331079,0.0,-0.003142203191083992,0.0,0.0008797690525822743,0.0,0.0003261324517154218,0.0,-0.0008456662311133178,0.0,0.0006340019089467464,0.0,-0.0004480997399268216,0.0,0.00020314958951669904,0.0,0.0016993934399209543,0.0,-8.365914410662922e-05,0.0,-0.0003450792749690179,0.0,-0.00030941970974379673,0.0,0.00028339509881894487,0.0,-0.0004454149752583514,0.0
0.5*CPI,5000,0.27396144199058065,1.0,0.20539013527203692,1.0,0.35414003410949035,1.0,0.881750026107659,1.0,0.9605128153516982,1.0,-0.000332433832418641,0.0,0.0009296058323382539,0.0,0.00032879665263016444,0.0,0.00019323587208157356,0.0,-0.00019924991126227254,0.0,-0.00017661927338351313,0.0,-7.32688080765792e-05,0.0,0.00018280785436931846,0.0,1.1664995237303799e-05,0.0,7.844084127096862e-05,0.0,0.0004325412194114836,0.0,-7.939079856449094e-05,0.0,0.00020062579181766294,0.0,-0.0007904797349594372,0.0,-0.00057813572246454,0.0,0.0010305313860412696,0.0,-1.1751527347170221e-05,0.0,-0.00016839925837931757,0.0,-0.00025182248369458315,0.0,0.0004981121231558971,0.0,-0.002623706485448324,0.0,-2.127767589420182e-05,0.0,0.00011353822047192874,0.0,0.000873303361953251,0.0,-0.0011766443693647516,0.0,-0.0005984853945306401,0.0,0.0005111805654432755,0.0,0.0001603676770549345,0.0,-0.0003468459801984902,0.0,0.0002605517747008984,0.0,0.0003677049426237672,0.0,0.00012681756344057327,0.0,0.0006522255253074011,0.0,0.0002171896735195522,0.0,3.6635901730641685e-06,0.0,-0.0003610631363507033,0.0,-0.00022744126270034248,0.0,2.0450545609604354e-05,0.0,0.0002766366230931988,0.0,0.0005690233320867349,0.0,0.0012199017134258139,0.0,0.0004883128967022865,0.0,-7.041131807779266e-05,0.0,0.0006077147644903413,0.0,8.922725128208964e-05,0.0
PFI,100,0.03165363624058459,1.0,0.029612137166942887,1.0,-0.0013219425779664729,1.0,0.14341276224001676,1.0,0.15060299049098314,1.0,-0.00019040020809146796,0.0,0.03877321410838652,0.0,-0.011804663293857987,0.0,0.026410876500601255,0.0,-0.002391219984985815,0.0,0.00558959954935645,0.0,-0.00625238028652686,0.0,0.016821906618725624,0.0,0.011231467184757316,0.0,0.025707080026970752,0.0,-0.0008816610022823745,0.0,-0.007148044150187882,0.0,-0.0010195112840449827,0.0,-0.008056644215929332,0.0,0.001704586493780802,0.0,-0.029844390398839016,0.0,-0.00026084361718980986,0.0,0.01816683294426147,0.0,-0.03774013628491413,0.0,-0.012330287463809375,0.0,0.009551684897936674,0.0,-0.0065760759451582995,0.0,-0.0010645824089525746,0.0,0.011394225152513426,0.0,-0.0026183127245102966,0.0,-0.0005342288721015276,0.0,0.01432964654534885,0.0,-0.009846456429992712,0.0,5.922465999841364e-05,0.0,0.0024266590726398363,0.0,-0.010230033323893162,0.0,-0.003136351739751353,0.0,-0.012435745925309272,0.0,0.03720161554109924,0.0,0.016411469775890364,0.0,-0.114259728163284,0.0,0.015225931155604888,0.0,-0.004256219457834387,0.0,0.006394611855233823,0.0,0.012976378061811067,0.0,0.01461351560538593,0.0,0.0069938135064555595,0.0,0.0037704120793100593,0.0,-0.0029517413156991967,0.0,-0.009089193964746833,0.0
PFI,250,0.2228943088616504,1.0,0.09278044632261784,1.0,0.022066420891905025,1.0,0.5723125068965746,1.0,0.23440326292007474,1.0,-0.002139475764298737,0.0,-0.0019202882140267885,0.0,-0.04643881170021924,0.0,0.0014955987052094333,0.0,0.0044124510214629264,0.0,-0.01401326394473279,0.0,0.004812711814445647,0.0,-0.00255624307816249,0.0,0.006915177099244607,0.0,-0.0004737790562396871,0.0,0.0016605802127238611,0.0,-0.0011039997540045476,0.0,3.242395296410017e-05,0.0,-0.01587952515638813,0.0,0.011635120352038841,0.0,-0.006019582045466487,0.0,0.002289173088699581,0.0,0.0004749916411812549,0.0,-0.0013590646683718788,0.0,-0.0009487486154977631,0.0,0.005901634422221802,0.0,0.0023583049833160175,0.0,0.006316226005052217,0.0,0.006765825756470445,0.0,-0.009169548549191608,0.0,-0.009165648907221158,0.0,0.0055750937270639955,0.0,-0.0006163690448475201,0.0,3.2724733952438356e-05,0.0,-0.01849316759931363,0.0,-0.0007930785741827595,0.0,0.004978423879729688,0.0,0.007459131017322429,0.0,-0.003410293270321274,0.0,-0.013130996808645712,0.0,-0.0032039347150176756,0.0,-0.0005982610300327984,0.0,-0.005030356966967631,0.0,0.004528930752417226,0.0,-0.0046894154119763165,0.0,0.0052277929118969,0.0,0.0057834971369512544,0.0,0.0012260027126280715,0.0,-0.00691008715590713,0.0,-0.00384448799740178,0.0
PFI,500,0.19445767094440725,1.0,0.08929501312628174,1.0,0.03912927440996339,1.0,1.0001765076027722,1.0,0.47416637428036323,1.0,0.00857677128466583,0.0,0.006675736324388781,0.0,0.012143852318808213,0.0,-0.0035224220431606668,0.0,0.001000838903550294,0.0,-0.0013005526243781151,0.0,0.0001757055724938006,0.0,0.0009069272343715795,0.0,0.011168187883296987,0.0,0.012617305516589905,0.0,0.005637515528460035,0.0,-0.004384995391992552,0.0,-0.0084884780973844,0.0,-0.0059999012689571085,0.0,0.004948926386268093,0.0,-0.001420276479545457,0.0,-0.014872147978870709,0.0,-0.0012086073209154335,0.0,-0.007778451007856901,0.0,0.0018366814599295456,0.0,0.006177253493889978,0.0,0.00031226747929280485,0.0,0.0012268538613475766,0.0,0.0008273982280120329,0.0,-0.0022731497773189613,0.0,-0.004525124391774105,0.0,-0.005960736508867859,0.0,0.004834894409107893,0.0,-0.0017326007655220632,0.0,0.01089436326222848,0.0,-0.0061720597489172135,0.0,-0.0016623540621074628,0.0,0.008074189739953885,0.0,0.004075157128831108,0.0,0.010754488018239527,0.0,-0.00044103806542894475,0.0,-0.00028876090872187454,0.0,-0.005289123373027005,0.0,-0.009632456370913145,0.0,-0.00021001880761284397,0.0,-0.0007841050457058074,0.0,0.004180861270323577,0.0,-0.0013506371019347263,0.0,0.0024134147968601916,0.0,0.005218643101410292,0.0
PFI,1000,0.269820878930656,1.0,0.13428815624574608,1.0,0.14690334098303826,1.0,0.967383461159006,1.0,0.5529598910835449,1.0,-0.005396474147848052,0.0,0.021948629433384603,0.0,-0.002786483431814979,0.0,-0.006218853141401581,0.0,0.0016313317016767304,0.0,-0.002203443213593337,0.0,-0.0036364115252296436,0.0,-0.0010425855818105845,0.0,-0.0010008034353512496,0.0,0.004203574343911054,0.0,-0.0007738797083767235,0.0,0.008416087048310317,0.0,-0.001263148969544936,0.0,-0.0010884961784043412,0.0,-0.0004706213903202805,0.0,0.0017973310242833662,0.0,-0.010280770851793797,0.0,0.0015530159679890687,0.0,0.0037417839774880335,0.0,0.0034724478922782964,0.0,0.0057344997926438435,0.0,0.003104683602754399,0.0,-0.003619253566784497,0.0,0.0019820077404435477,0.0,0.0015972415297427212,0.0,0.00035991328755069496,0.0,-0.0018325461591337522,0.0,-0.0031001047936010107,0.0,-0.00194759128674038,0.0,8.89571057038907e-05,0.0,0.00037776343378848054,0.0,0.0037221783351948368,0.0,-0.0029705280893563835,0.0,-0.003921802123653562,0.0,-0.002089780158371024,0.0,0.0033272161520494503,0.0,0.003890744934886392,0.0,0.0018568017851898766,0.0,0.004898852507710716,0.0,-0.0027244027691757378,0.0,-0.00022028081689318135,0.0,-0.0021384684741247995,0.0,0.002250980691177684,0.0,-0.0004961138944328258,0.0,0.0021538819287192368,0.0
