method,n,imp_V0,tr_V0,pval0,imp_V1,tr_V1,pval1,imp_V2,tr_V2,pval2,imp_V3,tr_V3,pval3,imp_V4,tr_V4,pval4,imp_V5,tr_V5,pval5,imp_V6,tr_V6,pval6,imp_V7,tr_V7,pval7,imp_V8,tr_V8,pval8,imp_V9,tr_V9,pval9,imp_V10,tr_V10,pval10,imp_V11,tr_V11,pval11,imp_V12,tr_V12,pval12,imp_V13,tr_V13,pval13,imp_V14,tr_V14,pval14,imp_V15,tr_V15,pval15,imp_V16,tr_V16,pval16,imp_V17,tr_V17,pval17,imp_V18,tr_V18,pval18,imp_V19,tr_V19,pval19,imp_V20,tr_V20,pval20,imp_V21,tr_V21,pval21,imp_V22,tr_V22,pval22,imp_V23,tr_V23,pval23,imp_V24,tr_V24,pval24,imp_V25,tr_V25,pval25,imp_V26,tr_V26,pval26,imp_V27,tr_V27,pval27,imp_V28,tr_V28,pval28,imp_V29,tr_V29,pval29,imp_V30,tr_V30,pval30,imp_V31,tr_V31,pval31,imp_V32,tr_V32,pval32,imp_V33,tr_V33,pval33,imp_V34,tr_V34,pval34,imp_V35,tr_V35,pval35,imp_V36,tr_V36,pval36,imp_V37,tr_V37,pval37,imp_V38,tr_V38,pval38,imp_V39,tr_V39,pval39,imp_V40,tr_V40,pval40,imp_V41,tr_V41,pval41,imp_V42,tr_V42,pval42,imp_V43,tr_V43,pval43,imp_V44,tr_V44,pval44,imp_V45,tr_V45,pval45,imp_V46,tr_V46,pval46,imp_V47,tr_V47,pval47,imp_V48,tr_V48,pval48,imp_V49,tr_V49,pval49,tr_time
LOCO-W,200,111.50460408074659,0.0,1.2419287820364389e-11,-10.619691350480919,1.0,0.7151394613615776,145.18609688620816,1.0,0.0,54.52233716299492,1.0,0.0057331869701318094,44.86927878073305,0.0,0.02077316777875815,14.816243307058963,0.0,0.2451516466503677,6.354247852485415,0.0,0.39167182258816224,-174.21378937244884,0.0,1.0,16.283522677306223,0.0,0.2167835395460902,-7.738588803880802,0.0,0.616935576867707,6.60139423102695,0.0,0.3900192381159744,33.15397904385369,0.0,0.06899897791910459,-6.441820165951029,0.0,0.6138082630846553,-7.588494370946157,0.0,0.6114976722924519,-4.580010863553268,0.0,0.5770780185995317,-36.66050773803163,1.0,0.9442271476615289,39.01916015297681,1.0,0.022161065268795133,-10.273931507514503,0.0,0.6607651629449333,5.609943602795359,0.0,0.4109450540772115,12.608093333337997,1.0,0.2924974230248958,12.618159874180005,0.0,0.3405185638347863,-13.627892634832676,0.0,0.6832320128084969,-73.56012771369461,1.0,0.9999457813279276,28.794568929238974,1.0,0.12253182115482186,-34.525549055005534,0.0,0.942567158825017,13.114955891928348,0.0,0.2784838229532005,54.59398820483872,0.0,0.00013140843044268102,3.446938796016952,0.0,0.4462484761939798,8.184056177932181,1.0,0.3690696219039289,-9.204942367650322,1.0,0.646423866182878,-33.948060197245084,0.0,0.9295184762613231,23.188836888447415,0.0,0.17873049949162811,11.944502494865459,0.0,0.3304311317385634,166.87533254023091,0.0,0.0,18.98891145360417,1.0,0.23170736767910494,-13.685389451377057,0.0,0.6936844837300652,9.605330562645875,0.0,0.3470299227965232,0.5951402583848417,0.0,0.49064441376437895,-15.15699383962766,0.0,0.7258748967531361,25.164538394045774,0.0,0.1636003029216766,11.632846541650812,0.0,0.3130492973274118,3.853589366893055,0.0,0.4405491102433796,1.5040289703610985,0.0,0.475716386351685,-9.603166272687668,0.0,0.6414605077785671,-9.971063802274067,0.0,0.6643637966398546,6.318882926288534,0.0,0.39498906799000644,58.13452126607522,0.0,0.015249413075778318,81.97998674226712,1.0,8.176932363901379e-05,11.824777873763555,0.0,0.3070505669317235,11.559757527445376,0.0,0.30645669528603536,149.048889875412
LOCO-W,500,104.51155608879883,0.0,0.0016698041406648656,-31.604972422066993,1.0,0.8037094392817283,19.377806114646628,1.0,0.319265088115643,-70.8638279308318,1.0,0.962540259893533,88.69138738917593,0.0,0.0062958762781821775,-13.537595999648014,0.0,0.632691031091949,-32.5642397124289,0.0,0.8463162781951981,-12.595738915503128,0.0,0.6296080424715194,37.34349888244874,0.0,0.17443326023646843,9.762380009016805,0.0,0.4060117893406163,167.6188537071878,0.0,1.5253409868520862e-08,-38.276081546798466,0.0,0.8342747734137201,-18.19969317507056,0.0,0.6809020211395249,-44.139271469743,0.0,0.8948462810851079,-32.68218501814555,0.0,0.8226514660240531,-32.35714523154023,1.0,0.8088827642841818,62.366554910568496,1.0,0.04575506965324283,-105.51609650324149,0.0,0.9990071367387175,13.178422886849036,0.0,0.3317804134808404,34.72521111656307,1.0,0.13508871138248557,-4.4284029635810205,0.0,0.541656125782884,-7.229569351547462,0.0,0.5743647372374865,-22.437048961997835,1.0,0.7200523164711004,84.9811456350495,1.0,0.013561946379661793,29.259340956969915,0.0,0.18536256440392873,-35.203190472367965,0.0,0.8690263647877817,9.883620757140225,0.0,0.4032352831613206,90.0387997459012,0.0,0.018984797880128412,-9.270668768860883,1.0,0.5895045159367955,-105.12677561347203,1.0,0.9977702088422137,214.43268925317935,0.0,0.0,-17.325060413402905,0.0,0.6876650387981642,-6.804593083827526,0.0,0.5628700567536148,32.238485352238136,0.0,0.16667474521769887,14.541111319636222,1.0,0.3620395445165685,34.08966357928087,0.0,0.1902065816177434,-3.2159395075855692,0.0,0.5327558874577735,47.27934589619472,0.0,0.11565940177143297,-6.213992739924367,0.0,0.5776608042061142,-51.84434597024766,0.0,0.9340091122296211,1.6863013227928836,0.0,0.48298637794271526,-22.11431049417176,0.0,0.7034961421444428,-123.06245630504743,0.0,0.99991530961972,19.80642799400169,0.0,0.3219493096725703,6.878146430423027,0.0,0.43350640809893737,18.94182687610072,0.0,0.29978125103321684,-7.547717457152559,0.0,0.5695262829925504,29.41272953010481,1.0,0.22011674813980397,4.251469939824262,0.0,0.4534303679068161,-27.152638291955544,0.0,0.7477034576108299,302.1202857494354
LOCO-W,1000,47.16812207044904,0.0,0.03136670607333658,5.38218753000976,1.0,0.39531859352019094,20.172489196128893,1.0,0.2079356705434503,53.34966487468847,1.0,0.009663105254714921,9.568360627822356,0.0,0.362738355908925,-41.73360305471161,0.0,0.9522880078554533,-6.163926334534626,0.0,0.6224531636449661,14.609985228627167,0.0,0.3005301057399913,6.25530200611275,0.0,0.4074098636520409,0.077088720225523,0.0,0.4986633521779702,-2.549805612647615,0.0,0.5422071349742738,-6.6528962964400735,0.0,0.5993344152475168,-2.408559976865304,0.0,0.5353152965638617,-70.57477177906667,0.0,0.999942369176267,-59.42356618898558,0.0,0.9912143094966155,-0.5096551487094869,1.0,0.5078816740165117,-25.817869807387847,1.0,0.8260912249556924,38.62451159138605,0.0,0.06037247096671072,137.2657540471511,0.0,8.828282549444566e-09,0.8297437229786754,1.0,0.48802904237767986,69.43800029663821,0.0,0.00018793620007229173,-5.215950272982365,0.0,0.5763462512359945,-14.009478468510846,1.0,0.7285900301422717,-9.26723355935737,1.0,0.6502232167034523,-18.348984644284076,0.0,0.7559646708162296,-4.393743670776256,0.0,0.5678741482076199,18.949449185165836,0.0,0.2676316656877751,41.613272789794436,0.0,0.03526853033564947,-148.2510515218871,1.0,1.0,-4.354226718207064,1.0,0.5668726006115917,-41.17541880471125,0.0,0.938046130362047,45.50178447402957,0.0,0.02452147726042264,11.211035167538006,0.0,0.3390752544905382,-0.6496139063987588,0.0,0.5101942345798673,7.160674081657837,1.0,0.37875390320999325,-46.930213182211716,0.0,0.962391736693814,-0.8065847885740006,0.0,0.5130222711517142,-45.54871023532163,0.0,0.9613415944093237,-6.7083391893848345,0.0,0.5992184097090725,56.171674803383425,0.0,0.007785719239204236,-11.108146204766127,0.0,0.6708714685138816,-0.5272031358405683,0.0,0.5085492053148293,-1.3350154743902964,0.0,0.5196021250161849,-118.02061405285907,0.0,0.9999988233759024,-115.1116608921151,0.0,0.9999999999973959,20.091189971074982,0.0,0.22809006363563067,-3.8906814165511983,0.0,0.5585368869758187,-8.672817533921732,1.0,0.6271677848978331,-21.74635262070416,0.0,0.8297286208618804,35.216310755107074,0.0,0.09145900750761105,566.879825592041
LOCO-W,5000,10.172897558314025,0.0,0.26642794613294596,62.27993525577873,1.0,0.00011275106970853876,-55.30003032089836,1.0,0.9988039434035136,7.505602255956443,1.0,0.328228378000734,-63.50532996210198,0.0,0.9999957268458868,72.340242943482,0.0,5.117894168782389e-05,-11.18139738744842,0.0,0.7481943063495737,-28.565524533149905,0.0,0.9665708276720288,-53.64289509882437,0.0,0.9981293470574368,56.59175180700297,0.0,0.00012220851431554713,-17.344730286351226,0.0,0.8831672288016605,-1.4183184445161356,0.0,0.5359280630931775,83.62317754736503,0.0,5.495558896839725e-08,80.83453089495494,0.0,4.1108574366788275e-07,96.47939928007492,0.0,1.0231460123577563e-10,-63.245387448546495,1.0,0.999747602823294,163.21669582997635,1.0,0.0,-42.74047727371123,0.0,0.9948200756841459,-9.454590000303373,0.0,0.6981028603999747,-42.65260272887319,1.0,0.9994382654488515,16.56193289513523,0.0,0.13675650107798654,-10.58842020659252,0.0,0.7430808841608842,56.5841361128397,1.0,0.0007650378384979062,12.787318863054715,1.0,0.2100060170839202,62.68235407900248,0.0,1.5680508675286475e-05,-42.49529081894107,0.0,0.9955884590310413,-2.3751613278287445,0.0,0.5618111779737702,136.3433781428455,0.0,0.0,97.83393054653142,1.0,6.275699959701342e-10,48.89085598712028,1.0,0.007144688990129433,-66.97042477650604,0.0,0.9999498411841773,-125.5701215091821,0.0,1.0,-13.722367662882894,0.0,0.7977815604818979,0.392030127387382,0.0,0.4882731596397366,-9.57319605963475,1.0,0.7191003519954159,-79.85148861385716,0.0,0.9999998760859518,16.918063534160037,0.0,0.17720910468504492,60.70881189875804,0.0,0.000252177270500864,-14.90179992007541,0.0,0.8090866269998404,-8.764255857900213,0.0,0.7123461918544064,75.3290480268126,0.0,2.2184595561691722e-06,-37.028057520799315,0.0,0.9845033294245039,68.08894850523276,0.0,3.8845936993769925e-06,-32.07802189149707,0.0,0.9607755966561711,59.11356238046803,0.0,0.0009363856056021636,-42.33184367024722,0.0,0.9944153357383115,-72.8715076911564,0.0,0.9999921893190111,21.206457396802953,1.0,0.12030501803733773,-63.87527998821988,0.0,0.9999955142932224,-140.59968589812945,0.0,1.0,3105.031008005142
LOCO-W,10000,37.03677557519072,0.0,1.0230716274151064e-09,1.2793884610328707,1.0,0.4171031996232053,-1.4168052389242918,1.0,0.5886492754099426,-44.09626973557006,1.0,1.0,-29.17575409655624,0.0,0.9999979195273916,-76.15508349484045,0.0,1.0,-39.57913493840101,0.0,0.9999999999627758,0.7725290826041074,0.0,0.451764188455854,37.00399202760243,0.0,1.7804768770446344e-10,-26.296412744534553,0.0,0.9999892153915767,32.27814082368637,0.0,3.393910341653594e-08,-34.699957726038,0.0,0.9999999958713006,-1.9908011986469396,0.0,0.6299049370391341,-36.001614109722645,0.0,0.9999999991169489,-4.509684689994606,0.0,0.7675319450077345,-11.394951717741792,1.0,0.978673516367331,40.94678918223306,1.0,5.1501802822429e-11,74.8424472913349,0.0,0.0,30.95650109464023,0.0,2.2869778637524263e-07,50.161826395344285,1.0,1.1102230246251565e-16,-0.5680534185975284,0.0,0.5358911777370203,-23.926775726441317,0.0,0.9999791466321523,-0.5364513172062378,1.0,0.5375170752251169,-0.07804577206745462,1.0,0.5055108734264673,7.175914629954935,0.0,0.11279187711548233,33.529569272708805,0.0,9.003814249730624e-09,-64.53836457816324,0.0,1.0,7.384849897891549,0.0,0.12357661055983371,3.9318628745119257,1.0,0.2614694429744451,1.4688140843271194,1.0,0.41034137960725947,-38.76175826818643,0.0,0.9999999999401302,-29.460120761389238,0.0,0.9999990131592242,6.867760853108165,0.0,0.11462660278361558,-71.51649553125958,0.0,1.0,-9.830172544783162,1.0,0.9407760109142853,5.914615677770731,0.0,0.16993703353961975,-1.7721710462941387,0.0,0.6301669490074755,-6.239637921406885,0.0,0.8676541001617222,30.02351312593847,0.0,1.7135301768611555e-06,19.7588239658869,0.0,0.0007987958325095246,-24.96684190189086,0.0,0.9999650040890354,-7.039128805041044,0.0,0.8649232190574334,43.09510714099177,0.0,4.119260488266718e-12,9.018247110842044,0.0,0.06463891680219058,-67.57664664144018,0.0,1.0,-6.670130824860013,0.0,0.8880165753868297,30.223756313389185,0.0,3.3278930511304594e-07,-30.654686502062756,1.0,0.9999995584279135,9.324434155790872,0.0,0.04397854333735152,3.547137703346313,0.0,0.2894930577283086,6196.4140474796295
LOCO-W,20000,0.2992923147803137,0.0,0.48856041891429147,13.679194252287335,1.0,0.09301352804275764,-2.850104681209132,1.0,0.6039545666630959,10.449890673500034,1.0,0.16332709070184748,2.505139135471151,0.0,0.40325583629202744,5.028941962162726,0.0,0.31060748293148643,-10.819116700113852,0.0,0.8583345779272272,-10.673217001800616,0.0,0.8582526119354641,-21.39290153557905,0.0,0.9851171449523748,6.904561389263272,0.0,0.2527480259055658,-4.240030389137213,0.0,0.6536540679683565,1.004100727478045,0.0,0.461368285188848,-17.39792667246926,0.0,0.9545305796337783,-0.9167723865879125,0.0,0.5354004231591903,8.261975129108665,0.0,0.2188013145815737,-9.425881984699071,1.0,0.810133989681132,-43.18613627849811,1.0,0.9999757529987324,-5.573069083632636,0.0,0.7016480916319141,3.414172357346308,0.0,0.37123429476028447,0.014642104994745631,1.0,0.49944705401337164,-17.53658647128103,0.0,0.9523059387813464,-2.3079048752368414,0.0,0.5868961188635069,-1.3880511141120035,1.0,0.5528091206685263,-0.3515150919450348,1.0,0.5138009628317607,-10.787000629281122,0.0,0.8472020364078967,1.7543779757425086,0.0,0.4307618231875632,-9.92093918912355,0.0,0.8311685405252562,29.536119071618742,0.0,0.0025959703420076474,10.538516832585888,1.0,0.16206769138803,32.1877520003062,1.0,0.0005536793761696801,2.3103325162767883,0.0,0.41255090735597144,13.700136260612116,0.0,0.08925563810677639,-0.7883248989135421,0.0,0.5312735744482666,-3.0067058822572865,0.0,0.6150270073749988,-3.575152940160438,1.0,0.6303448614704849,10.749449170791845,0.0,0.14978573320421162,26.077185870946714,0.0,0.006415056564117783,-7.35366491412955,0.0,0.7603566543029106,5.20086780695589,0.0,0.30764071370647617,7.36640215165038,0.0,0.2448756365388971,-9.159605946690414,0.0,0.8035639232447734,46.46448453454186,0.0,1.7012395148174875e-06,-12.835382857442204,0.0,0.8933606682070683,-11.03445279658323,0.0,0.8585503691179996,38.22962550006676,0.0,0.00012139273937183948,-14.195474849576796,0.0,0.9158679915374124,-4.06757160897193,0.0,0.6547047115489945,1.9621047165860344,1.0,0.4259727769929701,-33.74617233606121,0.0,0.9992312551982836,23.540777938782977,0.0,0.00893852830169417,14165.121763706207
LOCO-W,30000,-6.400115124439081,0.0,0.9384803181631118,4.389794833896181,1.0,0.14886960817532302,9.137897943495478,1.0,0.014294025967084845,14.710238666846987,1.0,0.00031038695400842364,9.37744457781436,0.0,0.013526561823529404,-9.127285364311359,0.0,0.9831128038765726,-1.8123010704094848,0.0,0.6688449267733458,-1.340434666855576,0.0,0.6236194689842423,4.230357877832806,0.0,0.15983030399609577,2.5701646165364345,0.0,0.27091220623369716,-2.5012795572090805,0.0,0.7249960444408684,1.9635826354697157,0.0,0.32391745926507187,-2.687894920562531,0.0,0.739250428799416,3.4861446842447235,0.0,0.20086455619209542,-0.1566989872521322,0.0,0.5147625506883811,11.771936612032112,1.0,0.00273553011253147,4.958455656923353,1.0,0.12282694193461918,-6.4912559789663895,0.0,0.9393244794093413,2.612477033396654,0.0,0.26911185785241565,8.991806297064636,1.0,0.01578624433290099,4.853643783414529,0.0,0.12514288902783144,3.355097862844968,0.0,0.2152273582346782,2.399252586426182,1.0,0.28421683675037535,9.750329668656542,1.0,0.010023339834667189,2.6080294702936717,0.0,0.2618751411043362,-4.913339546713164,0.0,0.8790469790205027,4.149751834315701,0.0,0.16377570586122725,-1.4075935456994058,0.0,0.6300037430113039,4.491712981798991,1.0,0.14938586566462653,0.6240014584603502,1.0,0.4403084926427271,-5.081340421357485,0.0,0.879942828712483,-1.4596776194214665,0.0,0.6359465923659147,7.085325032041306,0.0,0.04402730710220781,-5.878253519956609,0.0,0.9135551367942434,6.309552465466189,1.0,0.06771857358500577,-6.571002867857246,0.0,0.938466095023283,-0.7986109128942043,0.0,0.5766389840693259,-5.275765924134208,0.0,0.8890767948713303,1.1004869302869964,0.0,0.39734176058323245,5.06867835741132,0.0,0.11016593907670669,-6.784782314891885,0.0,0.9536330036392309,7.75141231072673,0.0,0.03312766367725206,3.2660877667710704,0.0,0.22211547092824357,2.4421946667635757,0.0,0.27986392264838533,0.6854113525893818,0.0,0.4363723017740565,2.3475441123186513,0.0,0.2908451829083821,-5.300347513943085,0.0,0.8959296231031908,0.9534403956961583,1.0,0.4125357779562864,-4.917088856445345,0.0,0.8815287596874117,-1.1250801404944435,0.0,0.6076254439706936,22035.373517513275
CPI,200,0.09546465429237116,0.0,0.15662188670065508,3.6149383298113094,1.0,0.05712336845651156,0.6379616590890862,1.0,0.34574687684888405,0.1925835056104006,1.0,0.1972165647869321,-3.491674513354056,0.0,0.9087676574315242,-0.20785610635284968,0.0,0.9244976731202643,0.023853937947222903,0.0,0.15662188670074995,0.13419154276658674,0.0,0.4197609187355209,-0.24020044094386606,0.0,0.8568233637085275,0.0,0.0,1.0,0.0,0.0,1.0,2.1413918687851776,0.0,0.17886658272781075,-3.66232081599307,0.0,0.8767078392088274,0.0,0.0,1.0,0.0,0.0,1.0,-1.389421309009407,1.0,0.9830789723409391,6.096399267486618,1.0,0.1572353043308764,1.3519379569389542,0.0,0.10203903938023867,1.1978723161367526,0.0,0.1316307710018541,-1.5615248280684995,1.0,0.7595995476434423,0.6294801629758098,0.0,0.17880475365992482,-0.47623162906593564,0.0,0.7738077883511087,0.026920238571904065,1.0,0.1566218867007284,-2.5675438477620247,1.0,0.9068906939086447,0.044298370986297186,0.0,0.15662188670063826,0.1197906684348311,0.0,0.32378374758641554,0.28885364311335593,0.0,0.272861116265705,0.0,0.0,1.0,0.21524077913322515,1.0,0.2010567838540973,0.0830299635370153,1.0,0.2499377449590809,7.629648199199124,0.0,0.15366654693593207,0.0,0.0,1.0,0.0,0.0,1.0,0.10681836444027226,0.0,0.1783763164697117,0.0,1.0,1.0,-0.032852649069440076,0.0,0.8433781132994405,-0.0701696005771737,0.0,0.8433781132993543,0.9449845323668455,0.0,0.07521384730421353,-0.6895775793233554,0.0,0.8527784532258036,-0.011311938654230858,0.0,0.6049216016316079,-3.2027715716380243,0.0,0.9021125555055369,-0.055157323599829056,0.0,0.8307215950908075,-0.769870910249395,0.0,0.6638512915401931,-0.024012530286555034,0.0,0.8433781132994106,-0.07552367696463591,0.0,0.6335255862642304,-0.04826568957130917,0.0,0.7346425129308607,-0.8367862626945595,0.0,0.8379158184211342,-0.5321392037117363,1.0,0.8022184728018215,-0.18046390442334825,0.0,0.8849497869035423,-0.23906013992962016,0.0,0.8433781132993596,15.757079601287842
CPI,500,0.0024475781401633867,0.0,0.15784598729993787,3.1026678830004073,1.0,0.13645282125528946,0.030602806521869752,1.0,0.15784598729939342,0.7464094172124476,1.0,0.45465995970381173,0.06906509712760567,0.0,0.09905583979657967,-0.0063785063757393345,0.0,0.8421540127003333,0.47878996306818067,0.0,0.1578459872993277,0.0,0.0,1.0,0.2975342961178171,0.0,0.22083708716272216,0.09663142691292137,0.0,0.15784598729934335,-0.12065198736127059,0.0,0.9154118725173424,0.0410042141452891,0.0,0.19517166180028744,0.0,0.0,1.0,0.0,0.0,1.0,0.1663580638308133,0.0,0.20704659484605664,0.0,1.0,1.0,-0.0775937815479324,1.0,0.6222319273821143,-0.02227156781134454,0.0,0.8421540127006923,-0.2298380834986915,0.0,0.6968261220416834,-0.013324186667773574,1.0,0.5021167360090549,0.009550160340950242,0.0,0.4590247000556045,-0.18395313477191166,0.0,0.9054415042770685,-0.5298240912735537,1.0,0.8890029619572738,0.10956230232335429,1.0,0.15784598729936855,-0.2257962259156443,0.0,0.7473455249626754,0.19699695047401633,0.0,0.0677650808153443,-0.7504523748607994,0.0,0.8800193677712549,-0.02086555330723172,0.0,0.8421540127006271,0.1262127076190609,1.0,0.4898744228674404,0.15329705613376632,1.0,0.1564114901969232,-0.005247059202474702,0.0,0.8421540127014739,-0.045429154308749276,0.0,0.7065275519408514,0.0,0.0,1.0,0.023916032025795175,0.0,0.43876733699074066,-2.193022738952976,1.0,0.9344052903269591,0.0629046261067856,0.0,0.31790848971411795,-0.0870343183795228,0.0,0.7225229910422515,0.0,0.0,1.0,-0.007740041135065212,0.0,0.8421540127009289,0.0,0.0,1.0,0.0,0.0,1.0,0.025819983265279234,0.0,0.2492781639252693,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.2157843691834671,0.0,0.7902800190668338,0.19055935463677542,1.0,0.1052238108747865,0.0,0.0,1.0,-0.6960991695109442,0.0,0.7905094417494885,9.791486501693726
CPI,1000,-0.11308439191830644,0.0,0.6563073830019599,-0.8313181968110683,1.0,0.6813377268584024,-0.6191975907025551,1.0,0.7562337159308787,0.0,1.0,1.0,-0.4900862256080245,0.0,0.9209469115354609,0.02801008864774701,0.0,0.27779783199101954,0.0,0.0,1.0,0.02717826096423437,0.0,0.1582512961279799,0.0,0.0,1.0,0.026095422995325634,0.0,0.15825129612789368,0.041766407924171745,0.0,0.1582512961279,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.08764363895643612,1.0,0.6343760488160747,-0.06710602596123749,1.0,0.8808169171147046,0.029704630138084553,0.0,0.23109735167509377,-0.1077092547941021,0.0,0.9679854815899737,0.0,1.0,1.0,0.029623374576161154,0.0,0.2915732774074907,0.0,0.0,1.0,-0.06557454270433993,1.0,0.6163240931703091,1.8016818409567605,1.0,0.09868491682973346,-2.512266031127723,0.0,0.9057085954014699,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.00920135950701706,1.0,0.15825129612802852,0.04937405934586536,1.0,0.014597524964171497,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1945177990546938,1.0,0.0573826793428969,-1.275503737128048,0.0,0.9539953198312425,0.0635538620467031,0.0,0.1582512961279371,-0.010190436414674764,0.0,0.8417487038720202,-0.03940048798368423,0.0,0.9249109450738259,0.0,0.0,1.0,0.01645518819000813,0.0,0.15825129612803818,0.0,0.0,1.0,0.0,0.0,1.0,0.007544067761557471,0.0,0.3748999382553548,0.0,0.0,1.0,0.007954298273915583,0.0,0.15825129612747463,0.0,0.0,1.0,0.0,1.0,1.0,-0.008968558529474535,0.0,0.8417487038718723,0.0,0.0,1.0,17.2898952960968
