method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,tr_time
LOCO-W,0.0,0.02638427458899464,8.793113930127827e-05,0.015824228870300043,0.013464648098286958,-0.004394650057814776,0.7273169334250851,-0.013377141489315098,0.9711719130599707,0.0010526773379405953,0.442231476223651,0.020122542296015348,0.0029100700622737286,0.08280965257845824,0.0,0.10183286336536741,0.0,-0.001185240644414543,0.565488145668996,115.39403080940247
LOCO-W,0.3,0.01875076273802312,0.004352478734225063,0.019022419621308774,0.004269496892170044,0.010512530143636133,0.0679820116632216,-0.0036230021120489562,0.6955283416683138,-0.007181034106008492,0.840597159513619,0.03628225577091648,3.8428211379670785e-07,0.07221385115078684,0.0,0.09388522209875427,0.0,-0.00628012119835078,0.8135332696403001,114.77457094192505
LOCO-W,0.6,0.02708354878226648,7.829924982249992e-05,0.005788069406582052,0.2132533759144799,0.0015682954671011459,0.4132634125614668,0.003416775910365944,0.3131247749187389,0.005906886438892187,0.200758872320709,0.0248550817531984,0.0003478058747306001,0.0960704656829826,0.0,0.08884262603612944,0.0,0.0009326431367562102,0.4478160345456039,114.94390940666199
LOCO-W,0.9,0.035453002560954336,2.6621776727520086e-07,0.014199362589147871,0.023505424011220577,0.006797234477021053,0.17231362384996496,-0.005711276700200191,0.7902448431084843,-0.007261338680298447,0.8488988495747878,0.02671619871261409,0.00012113453362005977,0.08857675737225591,0.0,0.08899518696262018,0.0,0.006152007962794812,0.18886426896879538,115.12726330757141
CPI,0.0,0.14327933608472768,2.4053907680982963e-133,0.014397830519324223,4.442107072586464e-21,0.007114618333198125,6.362235834910358e-17,0.009835877590986114,1.7466611576415752e-19,0.005069353119268982,1.8361184521266036e-09,0.1292705037578614,8.215665797437377e-139,0.16823452665641528,3.163388977033493e-221,0.16910448988495272,4.359580569021544e-229,-2.632964423605888e-05,0.5607429834838958,45.29638481140137
CPI,0.3,0.1427984238546819,9.861249569079806e-131,0.01227383309231131,6.1820803250117374e-21,0.005980832650598594,3.41778004570236e-13,0.006126390516734942,4.581700212999971e-11,-0.00034417628946697976,0.7197532492480455,0.2413906758502477,3.179189093410547e-242,0.1769999397992575,7.143370311391152e-222,0.1786881587755635,7.845953800524257e-225,-3.531241832557819e-05,0.5269049968806382,36.44267535209656
CPI,0.6,0.13620398970466902,9.579587016907535e-126,0.010787112814540617,4.551421956456215e-18,0.006608128593499685,6.048510443602826e-15,0.006711671233744665,2.6757152280497987e-12,-0.0004086480531743375,0.7931232970974627,0.24640994826979684,6.001979622538364e-226,0.17620867236259247,3.158299938806596e-223,0.1771955032831788,2.6146399902837744e-224,1.6603181765204034e-05,0.4775978903848578,36.34685254096985
CPI,0.9,0.13380125832991746,1.051945149643355e-122,0.010235218107141314,5.214048986506491e-16,0.006676191359748257,1.0847002380025203e-16,0.007430697282247628,9.649212820343366e-15,-0.00044418710114883797,0.9143891750597617,0.17392102840094348,1.2933576060677488e-165,0.17762246131644865,6.7456248775769244e-220,0.1760396717514895,6.350675791826757e-215,-0.00011813176697342276,0.7079058374225913,36.57520794868469
CPI_sqrt,0.0,0.14327933608472768,9.229035698963896e-13,0.014397830519324223,0.18467424202434435,0.007114618333198125,0.32159440206125245,0.009835877590986114,0.2641465661393225,0.005069353119268982,0.37067032695720437,0.1292705037578614,2.4198635351144663e-11,0.16823452665641528,9.786432830815984e-18,0.16910448988495272,5.232289975299323e-18,-2.632964423605888e-05,0.500715979234406,42.79133868217468
CPI_sqrt,0.3,0.1427984238546819,1.2046425805840434e-12,0.01227383309231131,0.2188689743045461,0.005980832650598594,0.3482285015390939,0.006126390516734942,0.3457999479737508,-0.00034417628946697976,0.5090984873406953,0.2413906758502477,6.989831404968512e-29,0.1769999397992575,5.744131819892924e-19,0.1786881587755635,2.8741379003873374e-19,-3.531241832557819e-05,0.500937812218195,38.37099480628967
CPI_sqrt,0.6,0.13620398970466902,8.057129489204761e-12,0.010787112814540617,0.24677483517854543,0.006608128593499685,0.333469021278773,0.006711671233744665,0.3322172080695375,-0.0004086480531743375,0.5108681648519067,0.24640994826979684,5.710825970529409e-29,0.17620867236259247,6.9300737236604645e-19,0.1771955032831788,4.779773180222465e-19,1.6603181765204034e-05,0.49955227306783984,38.41922879219055
CPI_sqrt,0.9,0.13380125832991746,1.6943825735879996e-11,0.010235218107141314,0.25821909276047594,0.006676191359748257,0.33140956149222633,0.007430697282247628,0.31548813474779186,-0.00044418710114883797,0.5119527870515528,0.17392102840094348,3.6118233829405573e-17,0.17762246131644865,5.194553189418186e-19,0.1760396717514895,1.1076600916982108e-18,-0.00011813176697342276,0.5032027937160494,38.495338678359985
