method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,tr_time
LOCO-W,0.0,0.013163681445601793,0.22398964555984213,0.22012608170406972,0.0,0.23548786699025254,0.0,0.002948083383976986,0.4423608258806102,0.007091832941392229,0.4866186887264644,0.5056859672761295,0.0,0.912432858566741,0.0,-0.7488485982701891,1.0,-32.12099085670225,1.0,37.966771602630615
LOCO-W,0.3,0.21213754971712448,0.0,-8.113843565201703,1.0,-2.3231116675843198,1.0,-0.2851161882161683,1.0,-1.394040747520825,1.0,106.61586754650159,0.0,-55.797782348677586,1.0,-0.0009762028962015919,0.5216324561353749,0.05928938220437518,0.021684485514415375,45.189173460006714
LOCO-W,0.6,0.3440934381013348,0.0,0.043019532993040545,0.0024640335228710564,2.0058922729846365,0.0,0.37810080207035757,0.0,-0.27611276183496786,1.0,0.7561332277365528,1.0427469998575134e-10,0.1145366008263917,3.1490645224785396e-06,0.34315306790314576,0.0,1.667154204179212,0.0,44.024375438690186
LOCO-W,0.9,-30.192207499651833,1.0,0.6023680967251338,0.0,-0.6141657840397104,1.0,-35.246009955884986,1.0,0.0563121945757675,4.8318436820182775e-05,10.302695849520836,0.0,-1.5713601767115817,1.0,-159.8065540293023,1.0,0.40621655550116387,0.0,44.1047158241272
CPI,0.0,0.28969801704644765,5.334214575407845e-168,0.028256499874290575,2.254488400299278e-21,-4.5202634849972334e-05,0.5566080179770772,0.00104163451677175,5.933745954972318e-19,5.91861093896257,1.2373693091689182e-12,0.031326553502146415,0.11803105309811807,0.016704546613892368,5.43632118000889e-52,0.005011120141167058,3.131933596123337e-40,-0.0001952697482868193,0.8008587046877599,42.48181986808777
CPI,0.3,0.2906311184967112,1.8333275662026838e-63,0.03442074587513311,4.505066364942381e-06,0.0005734737625302522,0.021727196487989073,0.0006763181843545407,3.0732771645651414e-07,-0.00015854832206763092,0.532365407884761,0.05376768748334371,0.002353216037705141,0.014797724860535766,1.8849102492632623e-15,0.0033017166279873944,6.356374646278778e-15,0.00013281708818824178,0.47430992955098383,31.112531185150146
CPI,0.6,0.2936687427427833,1.2253564182801948e-97,0.0319468056676141,2.2427796117972332e-08,0.003698441359854754,6.324179809871734e-05,0.0005432029290348694,2.6668845304087847e-06,0.00031495405475934213,0.3491843736495499,0.03688251501339512,0.04757985490177557,0.01722496108505811,2.2844079766094148e-35,0.0036918783486481477,1.714022279914607e-23,0.0004642588654901747,0.25930109925827705,31.69847822189331
CPI,0.9,0.334452439545192,2.4256060311546207e-07,0.029904765385659005,0.13745671621482125,0.0007363191523630519,0.11537205936822564,0.0012694742211216692,0.12895803099942732,0.0005592235927132094,0.24873389985152922,0.01301542497525432,0.3538998521937541,0.011270739738034052,0.005343090081022007,0.005271993992224111,0.011519140574231156,0.0004935465508850712,0.12903812873125275,32.27172493934631
CPI_sqrt,0.0,0.28969801704644765,2.7533230534057614e-31,0.028256499874290575,0.053506949508419326,-4.5202634849972334e-05,0.5012144136037353,0.00104163451677175,0.4716585181998312,5.91861093896257,2.8633191378664982e-12,0.031326553502146415,0.2222498385708892,0.016704546613892368,0.14268645982580042,0.005011120141167058,0.36840724648429973,-0.0001952697482868193,0.5052766432052321,41.424232006073
CPI_sqrt,0.3,0.2906311184967112,3.646414882137266e-20,0.03442074587513311,0.06122381755823163,0.0005734737625302522,0.4845620571558215,0.0006763181843545407,0.4816112397691949,-0.00015854832206763092,0.5038370986726153,0.05376768748334371,0.054535037730037796,0.014797724860535766,0.18365204017769615,0.0033017166279873944,0.4126626567733697,0.00013281708818824178,0.4968067240165783,30.502126455307007
CPI_sqrt,0.6,0.2936687427427833,4.192218594422521e-25,0.0319468056676141,0.05841661935012629,0.003698441359854754,0.40568446980177275,0.0005432029290348694,0.4852123204396191,0.00031495405475934213,0.4918121055677878,0.03688251501339512,0.15701425308228734,0.01722496108505811,0.1397232310831502,0.0036918783486481477,0.4021792769583434,0.0004642588654901747,0.48785763013222805,31.90215802192688
CPI_sqrt,0.9,0.334452439545192,1.8195859195133058e-05,0.029904765385659005,0.23781533487674716,0.0007363191523630519,0.48061343999299155,0.0012694742211216692,0.46768273560972706,0.0005592235927132094,0.48547487772485803,0.01301542497525432,0.39579933493228353,0.011270739738034052,0.27596858857711204,0.005271993992224111,0.37719678341174795,0.0004935465508850712,0.486848081679323,31.654693603515625
CPI_n,0.0,0.28969801704644765,2.547470648323167e-162,0.028256499874290575,3.5369091366649795e-19,-4.5202634849972334e-05,0.5358626237178911,0.00104163451677175,0.00029117788466021503,5.91861093896257,1.2509691082777413e-12,0.031326553502146415,0.11966402681938554,0.016704546613892368,1.0427251483634508e-38,0.005011120141167058,3.010430513578473e-19,-0.0001952697482868193,0.6806696019357258,39.31440496444702
CPI_n,0.3,0.2906311184967112,3.5492575646245513e-62,0.03442074587513311,7.242785396888695e-06,0.0005734737625302522,0.11054674244092128,0.0006763181843545407,0.01736459239111332,-0.00015854832206763092,0.5295736218996592,0.05376768748334371,0.0025607285500075763,0.014797724860535766,4.039040470094772e-13,0.0033017166279873944,3.596329649372901e-08,0.00013281708818824178,0.47641989700513854,30.748395681381226
CPI_n,0.6,0.2936687427427833,3.5637485873222495e-95,0.0319468056676141,5.69926227100925e-08,0.003698441359854754,0.0006468145436093484,0.0005432029290348694,0.0369935761729615,0.00031495405475934213,0.3760877159440071,0.03688251501339512,0.048966504434759216,0.01722496108505811,5.163713359468493e-28,0.0036918783486481477,1.6807084747513172e-11,0.0004642588654901747,0.30375881997317,32.40421462059021
CPI_n,0.9,0.334452439545192,2.608400809874033e-07,0.029904765385659005,0.13907045510497285,0.0007363191523630519,0.17840233546479795,0.0012694742211216692,0.16566177558754425,0.0005592235927132094,0.28969088047760794,0.01301542497525432,0.3546374795485737,0.011270739738034052,0.007136759853218247,0.005271993992224111,0.017637142005311204,0.0004935465508850712,0.21340370945456172,31.615414142608643
CPI_bt,0.0,0.28969801704644765,0.0,0.028256499874290575,0.0,-4.5202634849972334e-05,0.5966321060609958,0.00104163451677175,8.503352877141201e-09,5.91861093896257,3.992717143730011e-17,0.031326553502146415,1.860407217824513e-268,0.016704546613892368,0.0,0.005011120141167058,3.363254075129493e-162,-0.0001952697482868193,0.8547594337368091,104.66304588317871
CPI_bt,0.3,0.2906311184967112,0.0,0.03442074587513311,0.0,0.0005734737625302522,0.0009547414570443504,0.0006763181843545407,0.0001251914768091363,-0.00015854832206763092,0.7999718734364679,0.05376768748334371,0.0,0.014797724860535766,0.0,0.0033017166279873944,1.1925210815427948e-71,0.00013281708818824178,0.24115037175408088,90.83040595054626
CPI_bt,0.6,0.2936687427427833,0.0,0.0319468056676141,0.0,0.003698441359854754,1.2103468531606144e-88,0.0005432029290348694,0.0016347452427025136,0.00031495405475934213,0.04463255348570883,0.03688251501339512,0.0,0.01722496108505811,0.0,0.0036918783486481477,4.398957705184768e-89,0.0004642588654901747,0.0060864862983748035,92.52835607528687
CPI_bt,0.9,0.334452439545192,0.0,0.029904765385659005,1.5598263964117878e-233,0.0007363191523630519,3.4590202542090995e-05,0.0012694742211216692,4.373445918066541e-12,0.0005592235927132094,0.0012756490459003935,0.01301542497525432,5.035501007214212e-22,0.011270739738034052,0.0,0.005271993992224111,1.0005872610690979e-169,0.0004935465508850712,0.0037944418337433165,91.8948585987091
CPI_sqd,0.0,0.28969801704644765,0.0,0.028256499874290575,0.0,-4.5202634849972334e-05,1.0,0.00104163451677175,0.0,5.91861093896257,1.1136993585607518e-17,0.031326553502146415,0.0,0.016704546613892368,0.0,0.005011120141167058,0.0,-0.0001952697482868193,1.0,105.0319390296936
CPI_sqd,0.3,0.2906311184967112,0.0,0.03442074587513311,0.0,0.0005734737625302522,0.0,0.0006763181843545407,0.0,-0.00015854832206763092,1.0,0.05376768748334371,0.0,0.014797724860535766,0.0,0.0033017166279873944,0.0,0.00013281708818824178,1.2592778021440054e-208,93.59921646118164
CPI_sqd,0.6,0.2936687427427833,0.0,0.0319468056676141,0.0,0.003698441359854754,0.0,0.0005432029290348694,0.0,0.00031495405475934213,0.0,0.03688251501339512,0.0,0.01722496108505811,0.0,0.0036918783486481477,0.0,0.0004642588654901747,0.0,94.3205394744873
CPI_sqd,0.9,0.334452439545192,0.0,0.029904765385659005,0.0,0.0007363191523630519,0.0,0.0012694742211216692,0.0,0.0005592235927132094,0.0,0.01301542497525432,7.676056127948242e-26,0.011270739738034052,0.0,0.005271993992224111,0.0,0.0004935465508850712,0.0,93.94889712333679
S-CPI,0.0,0.31266194688611654,1.201553803149645e-161,0.019318520596440892,2.0431233277259013e-06,-0.00023076608666567304,0.6691473200648534,0.001982214474109451,2.9526531753532713e-25,1.5995455760312163,3.4223636130909183e-56,-0.010166173525360383,0.696018798155513,0.028971943870185705,3.6744934845532164e-90,0.009426732699704702,2.0499338683829026e-70,1.0861294901546001e-05,0.4824467343812258,37.54328012466431
