method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,tr_time
LOCO-W,0.0,-0.002914220620053371,0.9805870170520274,-0.0019365017280814386,0.9105609198755835,0.0003562485456434659,0.4027357648887311,0.0016133363933230169,0.12870509942252184,-0.00037045877768157034,0.6008953516270321,0.0031976921546790485,0.013555960660391886,0.008775201252754243,9.572443726568736e-09,0.01172007618003033,4.063416270128073e-14,0.0004118616051682773,0.3862705990745653,451.0746901035309
LOCO-W,0.3,-0.0022598855630407487,0.9529566120820324,-0.0009234612495759762,0.7405020294376421,-0.0029906524630196026,0.9820137399631901,-0.0005168329389868448,0.6387267703597949,0.002009579380961859,0.08169655574174772,0.0005486328788522434,0.3518517172455541,0.01024106956687503,2.5194180075516215e-11,0.011590180295658154,2.1649348980190553e-14,-0.0006540731736015525,0.6776285366573911,444.70100021362305
LOCO-W,0.6,-0.00295596497631259,0.9807454413558626,-0.001958811538503461,0.9181370509229443,-0.004710226428889522,0.9993688950126861,0.002913096750141123,0.021557748846411484,-0.0019242878324785783,0.9191253096713068,0.0016702208847358543,0.1210254946070719,0.013647276462740516,0.0,0.0115733352301898,2.4991120284312274e-13,-0.0025357776728007204,0.9664621233854687,447.2470233440399
LOCO-W,0.9,-0.001430283452172188,0.847192402763417,0.0012648192107389514,0.18908830651196173,-0.0008559325271951666,0.7271036547828212,0.002007113104326969,0.07648364501310079,0.0019260611174296666,0.08201148044408757,0.0037913417122538975,0.00441341744789836,0.012999619496057414,4.440892098500626e-16,0.012120618365089025,1.1601830607332886e-13,-0.000340773663427517,0.5944113526054388,441.2713189125061
CPI,0.0,0.17441781200654669,2.703567761748165e-117,0.038963322537824585,5.68187004500645e-26,0.01020604552222773,1.5026397093148683e-11,0.00934143528051129,1.7512122435178705e-13,0.00907839043348932,2.837080973463096e-11,0.19824763362872497,4.570043229447907e-151,0.10130743216686186,3.6224875173392574e-136,0.10605029209064196,5.103723489114611e-164,-0.0005333304122199511,0.8894368855791174,84.72480463981628
CPI,0.3,0.17229291307483094,7.264876112372843e-115,0.037598761066984676,4.278613152717537e-25,0.010883671098808473,2.510381468263088e-12,0.009211996634349906,3.7035274239292064e-12,5.702039222946209e-05,0.21105394373397002,0.23681425314290364,2.5290444533523507e-177,0.10314706430980272,2.341227055632623e-136,0.10827769785709593,1.0720449494108156e-167,-5.111208328797967e-05,0.7168888052762317,86.12361860275269
CPI,0.6,0.17198099967880995,1.8099200668487625e-115,0.0371517180523768,5.991893878036797e-25,0.011068361777858388,7.455795130674335e-13,0.009244304506357798,2.029154137626867e-12,5.317562363302275e-05,0.1787306384579223,0.20381520323815913,1.3856764972027462e-151,0.10349639365978405,3.9108803622562597e-137,0.10835132271672046,2.5249787677935026e-167,-6.127208810721707e-05,0.9489370943655246,85.09848856925964
CPI,0.9,0.17187595409779338,4.731766515950734e-115,0.037281999708803304,5.4952343620178095e-25,0.011249505590873093,2.616816017546394e-13,0.009223721248163924,2.0181290388449034e-12,3.120369662856781e-05,0.15379668043497258,0.19251116690227033,7.79601134895088e-144,0.10364422282864733,1.3669985444392027e-137,0.10848267441695253,2.000444687443646e-167,-2.80308234525406e-05,0.8024864457215438,85.1866979598999
CPI_sqrt,0.0,0.17441781200654669,1.5036202839285858e-15,0.038963322537824585,0.016328744248114917,0.01020604552222773,0.2624829358703787,0.00934143528051129,0.27722436883833634,0.00907839043348932,0.2840661306886936,0.19824763362872497,1.4724163433130837e-19,0.10130743216686186,2.577347534000179e-08,0.10605029209064196,4.179881108871286e-09,-0.0005333304122199511,0.5142243227799773,81.27968001365662
CPI_sqrt,0.3,0.17229291307483094,3.1270764747315646e-15,0.037598761066984676,0.019292055433559305,0.010883671098808473,0.24945474982141608,0.009211996634349906,0.2807247397913585,5.702039222946209e-05,0.498440865770955,0.23681425314290364,1.9620159829744223e-25,0.10314706430980272,1.6602702560078554e-08,0.10827769785709593,2.176970817413725e-09,-5.111208328797967e-05,0.5013958521907296,82.07326912879944
CPI_sqrt,0.6,0.17198099967880995,3.180996611985227e-15,0.0371517180523768,0.020299263482345238,0.011068361777858388,0.24566729036165524,0.009244304506357798,0.27989106089112303,5.317562363302275e-05,0.49854467352777637,0.20381520323815913,3.1156136974456285e-20,0.10349639365978405,1.4974171211652663e-08,0.10835132271672046,2.1543432086790396e-09,-6.127208810721707e-05,0.5016792505753104,81.32638931274414
CPI_sqrt,0.9,0.17187595409779338,3.390438386108042e-15,0.037281999708803304,0.020003133875187505,0.011249505590873093,0.24205284506407643,0.009223721248163924,0.2802897129330313,3.120369662856781e-05,0.499144409914608,0.19251116690227033,1.337458237357967e-18,0.10364422282864733,1.4285236996792989e-08,0.10848267441695253,2.077916658817346e-09,-2.80308234525406e-05,0.5007684662172717,81.56156396865845
CPI_n,0.0,0.17441781200654669,6.762256044336726e-112,0.038963322537824585,9.406694031348553e-24,0.01020604552222773,1.4837781884957208e-09,0.00934143528051129,1.0098729939372164e-10,0.00907839043348932,3.688617451525128e-09,0.19824763362872497,4.415172729313042e-144,0.10130743216686186,7.647899877566894e-125,0.10605029209064196,1.053001381537881e-149,-0.0005333304122199511,0.805009806116151,80.75659775733948
CPI_n,0.3,0.17229291307483094,1.4245496499240786e-109,0.037598761066984676,6.371865938250238e-23,0.010883671098808473,3.1768898967533095e-10,0.009211996634349906,8.548453939741273e-10,5.702039222946209e-05,0.41171447073784506,0.23681425314290364,7.7302430562347e-170,0.10314706430980272,3.372163576892994e-125,0.10827769785709593,3.4690849588181054e-153,-5.111208328797967e-05,0.5740926447336223,81.38995933532715
CPI_n,0.6,0.17198099967880995,3.9947344802592996e-110,0.0371517180523768,9.008407020536688e-23,0.011068361777858388,1.2349940203187852e-10,0.009244304506357798,5.579223430221017e-10,5.317562363302275e-05,0.4131438956515716,0.20381520323815913,9.497261127154776e-145,0.10349639365978405,6.459009442021847e-126,0.10835132271672046,7.165935692143899e-153,-6.127208810721707e-05,0.6087289761402774,80.62632918357849
CPI_n,0.9,0.17187595409779338,9.836623022943988e-110,0.037281999708803304,8.22545794743381e-23,0.011249505590873093,5.417755768770878e-11,0.009223721248163924,5.616245067502296e-10,3.120369662856781e-05,0.44232769255186705,0.19251116690227033,3.6840567308802773e-137,0.10364422282864733,2.4794119205619394e-126,0.10848267441695253,5.633477721305519e-153,-2.80308234525406e-05,0.5512803887426668,80.88518738746643
CPI_bt,0.0,0.17441781200654669,0.0,0.038963322537824585,0.0,0.01020604552222773,0.0,0.00934143528051129,0.0,0.00907839043348932,0.0,0.19824763362872497,0.0,0.10130743216686186,0.0,0.10605029209064196,0.0,-0.0005333304122199511,0.998058288885051,137.46586108207703
CPI_bt,0.3,0.17229291307483094,0.0,0.037598761066984676,0.0,0.010883671098808473,0.0,0.009211996634349906,0.0,5.702039222946209e-05,0.3786501785981302,0.23681425314290364,0.0,0.10314706430980272,0.0,0.10827769785709593,0.0,-5.111208328797967e-05,0.6091112154191355,141.52448344230652
CPI_bt,0.6,0.17198099967880995,0.0,0.0371517180523768,0.0,0.011068361777858388,0.0,0.009244304506357798,0.0,5.317562363302275e-05,0.3865993798936525,0.20381520323815913,0.0,0.10349639365978405,0.0,0.10835132271672046,0.0,-6.127208810721707e-05,0.6300844170495095,139.88155364990234
CPI_bt,0.9,0.17187595409779338,0.0,0.037281999708803304,0.0,0.011249505590873093,0.0,0.009223721248163924,0.0,3.120369662856781e-05,0.43285293319963036,0.19251116690227033,0.0,0.10364422282864733,0.0,0.10848267441695253,0.0,-2.80308234525406e-05,0.5603746494947985,140.5098316669464
