method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,tr_time
LOCO-W,0.0,0.011422443162910117,0.012881069023817249,0.05617954862920809,0.0,0.06928983825971706,0.0,-0.012340790871902341,0.9920888979517151,-0.009249136810930715,0.9758218517411447,0.01292702830772919,0.016001114571669306,0.03164910545069101,1.1276535261117715e-11,0.040033896644406465,0.0,-0.0009747481422854893,0.5730898260758951,690.0253803730011
LOCO-W,0.3,-0.008485133484188917,0.9680896573643457,-0.035038077362416334,0.9999999998699945,-0.02986852743809778,0.9999999984131834,0.029690195543368946,7.704170634781349e-11,0.016106014266743546,0.0003100950299521621,0.030167727171714353,2.4223674177648036e-09,0.020611350537170194,2.6407091445745934e-06,0.0064191533783540845,0.11167929280616251,-0.03814652118712426,0.9999999999999991,693.2689702510834
LOCO-W,0.6,-0.04415946116668269,1.0,0.052941796159815945,0.0,0.040210471940015625,1.4521717162097048e-13,0.005020497463223532,0.12661229951288533,-0.003038542456567328,0.7351939618861311,0.07542931439194463,0.0,-0.010311484136476364,0.9797760080673846,0.02950609201080356,4.507529793862375e-09,0.03930391741242787,0.0,695.7216320037842
LOCO-W,0.9,0.022725368135530905,2.7125495180024828e-06,0.00816697941379384,0.04118180274158578,-0.0013614414403549874,0.6079262750928748,-0.012848497071299316,0.9968831408759022,0.022100985361148552,2.888049387639313e-06,0.04265364349654913,7.323031070427533e-13,0.04234584538742866,0.0,0.039609859962361896,3.774758283725532e-15,-0.022889129459392987,0.9999807100866394,696.97705078125
CPI,0.0,0.1754307003031722,1.5500500908493544e-127,0.024458175466218562,1.947026149232694e-22,0.008968194969249055,4.0799652177417575e-16,0.007600506175512001,5.9008917387206625e-15,0.007162885477194236,1.49068534726756e-15,0.17665888248268435,2.916088888999736e-161,0.1150461915955788,7.710240645609757e-165,0.10997079862567363,8.642352061894956e-196,-0.00020140713542196598,0.8053379002210692,102.81881403923035
CPI,0.3,0.17794807387955147,6.00424740909724e-129,0.023434496181529735,3.3836649891215635e-22,0.009232125539212627,1.8930955351272654e-16,0.007728312358573686,3.471541190257245e-15,-0.00013725482523918586,0.7447748536656654,0.25724410797907654,1.2074442620093583e-234,0.11119255532878916,4.110262199177921e-162,0.10841419431759214,2.6161431288390184e-193,0.0002573277241719185,0.10885504726390355,95.8971266746521
CPI,0.6,0.17657563457912753,3.8087714436786864e-128,0.020943699686428063,2.0841525723474091e-19,0.009594726558003419,4.9890147942226536e-17,0.007978715990447693,2.4844367844914574e-16,-0.00011958874450279655,0.7964904654799512,0.20944595897954657,1.4960206813375286e-195,0.11342366104362292,1.0476820801802599e-166,0.10990048212954684,1.7000039689122226e-195,0.00023112064838390345,0.012080266963087224,94.04671502113342
CPI,0.9,0.17596101641938577,1.1284976945557765e-126,0.020350412453310263,9.922166736795776e-19,0.009522091290590423,1.325972556005594e-16,0.007879413885750697,3.517518416462076e-16,3.239789224673828e-06,0.4868893326584018,0.10564577316395418,6.103903393940584e-108,0.11191124356151544,1.4311313736268495e-163,0.10829488750070981,3.549646943014445e-192,0.00012271133390479028,0.03927988841696601,93.96913743019104
CPI_sqrt,0.0,0.1754307003031722,8.687643672549002e-16,0.024458175466218562,0.07823162666551992,0.008968194969249055,0.2857015869078823,0.007600506175512001,0.31433140014442007,0.007162885477194236,0.323472021327418,0.17665888248268435,4.903967936441455e-17,0.1150461915955788,6.227183542430203e-10,0.10997079862567358,1.1810583406701903e-09,-0.00020140713542196598,0.5053688759626266,100.14770174026489
CPI_sqrt,0.3,0.17794807387955147,4.1463430808198367e-16,0.023434496181529735,0.08612711616912905,0.009232125539212627,0.280309562197178,0.007728312358573686,0.3115381971742196,-0.00013725482523918586,0.5036650616529976,0.25724410797907654,2.577464125674054e-30,0.11119255532878916,1.7741338613163576e-09,0.10841419431759214,1.8691711475078165e-09,0.00025732772417189076,0.49312901894940153,97.82282328605652
