method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,tr_time
LOCO-W,0.0,-0.003311806807630959,0.7535267987281027,0.06385562262237057,0.0,0.029909316782136916,1.9382273563905983e-10,0.005086435446919871,0.15768281567254672,-0.018893900665514534,0.9995770319288295,0.023787544478148064,1.619862562751706e-06,-0.003568064185634554,0.7520154336479478,0.0795730248292788,0.0,-0.04961717362626083,1.0,751.0699374675751
LOCO-W,0.3,-0.04290416638703589,1.0,0.0455253476502153,0.0,0.01923369256905749,0.0005125229380349428,0.045825995788279145,0.0,-0.04421115073688553,1.0,0.034775797750704725,2.1329826793703432e-11,0.007055873749169879,0.08463473392369614,0.07060133442512308,0.0,-0.00737313706729134,0.9315157806354242,752.3886535167694
LOCO-W,0.6,0.015181553508698084,0.0010155753816051272,0.024006413348444847,7.59178930254123e-06,-0.0029519156171351917,0.7161344298976907,0.02211947403221252,2.828830888312872e-06,-0.022691117367422964,0.9999982161944317,0.05895851286453499,0.0,-0.004143603155472487,0.7974332296716301,0.03396831464233729,9.574263604150701e-11,-0.0304924576199026,0.9999999999326239,753.8217740058899
LOCO-W,0.9,0.033579287334379516,8.229272818738309e-11,0.021488131929086034,0.0002668528460572084,0.09328117457257255,0.0,0.03903937439189301,0.0,-0.029187927425498958,0.9999999992413969,0.05832108423213573,0.0,-0.024689025504687816,0.9999996418870157,0.06400381363426168,0.0,-0.02155882925190999,0.9999998112690485,756.0429377555847
CPI,0.0,0.19403253752201666,5.345178053635622e-139,0.029524555618481718,1.4685089596371942e-31,0.006161498339514571,9.121208284863665e-12,0.005861845213856576,9.097381875213307e-11,0.006862709512238219,2.5240723960150705e-09,0.12380648545912196,3.04674066033427e-118,0.10940170308891445,1.7606081955962062e-166,0.11135004369563645,1.6107227148995895e-174,0.0003326419378018586,0.11639301850296763,112.0986647605896
CPI,0.3,0.1919993304326657,1.4901183431144012e-137,0.02998078750755377,1.1930907571186393e-31,0.00606710437522838,1.959503916654377e-11,0.00559928836167041,3.262702740070321e-10,7.332394084243188e-05,0.37702721956275476,0.11829937208616988,1.802509044633745e-113,0.10776782390561078,7.101663368206133e-164,0.10988398284958627,3.0414763971154683e-173,5.1860661174851774e-05,0.1190433129696628,101.05418109893799
CPI,0.6,0.1918574669983107,1.673100016906151e-138,0.0301785469395965,1.189930254075657e-31,0.006036373791169211,3.1685613987749394e-11,0.005681893269770019,5.073533801154342e-10,0.00016758541993749931,0.08755507921234579,0.11712557050867937,2.9577079996900738e-111,0.10940351324893201,2.065240988382252e-166,0.11051539911395632,2.543779882639782e-174,-0.00012021698483125065,0.8193820355910728,101.11286616325378
CPI,0.9,0.19203435732417745,6.918723196299316e-138,0.030469735804388207,7.584125162216513e-32,0.006104615402586347,2.2660884012777164e-11,0.005966864168762728,3.9644415961459267e-10,9.321566791632707e-05,0.12152018510647261,0.11760573292747427,1.9229064475095873e-111,0.10834076133713884,1.151858427500963e-165,0.10996882196328274,6.845125175926089e-174,-3.1221666556280336e-06,0.5753388828741696,101.672443151474
CPI_sqrt,0.0,0.1940325375220166,3.0968943771473144e-18,0.02952455561848169,0.0438126550532415,0.006161498339514571,0.3470245288240201,0.005861845213856576,0.35413601724225063,0.006862709512238219,0.33321246692066864,0.12380648545912196,3.7114398634147953e-10,0.10940170308891445,2.5871287350529422e-09,0.11135004369563645,1.3131930850929125e-09,0.0003326419378018586,0.4911686410629266,108.9609923362732
CPI_sqrt,0.3,0.19199933043266565,5.954047920632529e-18,0.02998078750755377,0.04173323289764503,0.006067104375228408,0.3492642575756689,0.00559928836167041,0.36027888392136775,7.332394084244576e-05,0.49804734664043077,0.11829937208616988,1.5985924256857856e-09,0.10776782390561078,4.135730111160475e-09,0.10988398284958627,1.968396782820055e-09,5.1860661174851774e-05,0.4986011728432987,100.79719066619873
