method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,tr_time
LOCO-W,0.0,0.8174157898225038,0.0,0.22460530712721097,0.0,-0.18034305416618,1.0,0.021682316564435363,0.054740243472768735,-0.016141225941396654,0.8679592305214454,0.025331184154524396,0.03310059415061173,-0.07460141529482997,0.9999999109608715,-0.11684139972041015,0.9999999999999997,0.19792540870799896,0.0,1.0152456760406494
LOCO-W,0.3,0.805315806490337,0.0,-0.1790767256674357,1.0,-0.19292341124487258,1.0,-0.19406826175368364,1.0,-0.20458594462611052,1.0,0.009285213159448122,0.24942564554722924,0.10482442590458624,1.2208334343455363e-10,-0.1271665239736168,1.0,0.026869486554998188,0.02711627511015635,2.1363844871520996
LOCO-W,0.6,0.2342964193022778,0.0,0.04476855757303486,0.0017659828581224613,-0.19340247106955313,1.0,0.016694269719080515,0.11106883642095422,-0.028238200252582498,0.9699860561000246,0.00422063380985205,0.3791514172333015,0.1936399600583055,0.0,-0.13996311787773627,1.0,-0.1950536807835597,1.0,2.716202735900879
LOCO-W,0.9,0.42691555109253015,0.0,0.2554216962555063,0.0,0.02951786363710807,0.04506569267537586,0.010006308573044496,0.22889988594603428,0.11102221211503274,4.773959005888173e-15,-0.21822474600647288,1.0,0.16043781516089728,0.0,0.17691739172474555,0.0,-0.005511782961250375,0.6512708296747614,2.3120760917663574
CPI,0.0,0.25406626828216095,1.513178502870607e-174,0.011399144860189392,1.6256869514259293e-12,0.004725782798729872,4.921364418556413e-07,0.007594511460745579,4.067179381304892e-09,-1.6457821582216425e-05,0.6398199844198654,0.000609668011070208,4.471243627745745e-18,0.087875226194012,3.5829515646969437e-88,0.08421610962182374,9.902810817761074e-84,2.040802893843452e-05,0.3230149425604283,39.66264533996582
CPI,0.3,0.2536224439893527,2.0783444430764054e-174,0.008221518461933697,2.546695541988227e-09,0.004677186133149547,7.821156279592277e-07,0.007584946973848539,4.195496861903249e-09,1.1005974647759764e-06,0.31541782075537017,0.0004735614900141516,7.158308982626164e-08,0.08778800440232182,4.012393720278136e-88,0.08427428032261397,1.0589647493791997e-83,1.2813088009488993e-06,0.3168542098332191,29.7667977809906
CPI,0.6,0.2533893178687951,3.479277216383651e-174,0.008090663072120086,3.337458423134056e-09,0.004682129638702126,7.910832172849539e-07,0.007592459758097692,4.207685379146992e-09,9.463196454229106e-08,0.31675758194517245,0.00042436852200988806,2.146116943570393e-11,0.08777850526077147,4.31873591025024e-88,0.08421472527417034,1.0518052322064061e-83,1.731615537625686e-07,0.3173002595052673,29.9748318195343
CPI,0.9,0.25334193005814437,3.475944938535625e-174,0.008079202637155225,3.3128593547477804e-09,0.004673270149235076,7.928297523125484e-07,0.007584816704149511,4.196605804715125e-09,-2.6147633502837664e-08,0.6822220082006535,0.0004087104932652408,9.209482130189518e-13,0.08782352791913489,4.416591714167607e-88,0.0842290630874048,1.0381105244786654e-83,2.3813414018469814e-09,0.3158237196181154,30.359090089797974
CPI_sqrt,0.0,0.25406626828216095,8.260242468931998e-27,0.011399144860189392,0.24420713181862447,0.004725782798729872,0.3823025433150753,0.007594511460745579,0.3189205784141341,-1.6457821582216425e-05,0.5004417606840897,0.000609668011070208,0.48366736816699357,0.087875226194012,2.4666224513391016e-06,0.08421610962182374,5.578303739903657e-06,2.040802893843452e-05,0.499452151182115,37.26614713668823
CPI_sqrt,0.3,0.2536224439893527,9.516941379510438e-27,0.008221518461933697,0.3061589582080412,0.004677186133149547,0.383537544609021,0.007584946973848539,0.3191274973118271,1.1005974647759764e-06,0.49997037068132816,0.0004735614900141516,0.48732834749661513,0.08778800440232182,2.511623206753935e-06,0.08427428032261397,5.522938820628694e-06,1.2813088009488993e-06,0.4999655066573011,30.26434326171875
CPI_sqrt,0.6,0.2533893178687951,1.0448181714799181e-26,0.008090663072120086,0.30886902099225805,0.004682129638702126,0.383428715433895,0.007592459758097692,0.3189759306155521,9.463196454229106e-08,0.4999974520416675,0.00042436852200988806,0.48862471770832305,0.08777850526077147,2.5185192467533564e-06,0.08421472527417034,5.583850685968164e-06,1.731615537625686e-07,0.4999953376907396,29.799448251724243
CPI_sqrt,0.9,0.25334193005814437,1.0587109266048487e-26,0.008079202637155225,0.3090934259600416,0.004673270149235076,0.3836303546663246,0.007584816704149511,0.31913025229454617,-2.6147633502837664e-08,0.5000007040298208,0.0004087104932652408,0.48903964790936455,0.08782352791913489,2.4976824519623e-06,0.0842290630874048,5.568121885397327e-06,2.3813414018469814e-09,0.49999993588172936,30.416894912719727
CPI_n,0.0,0.25406626828216095,1.392744985479938e-167,0.011399144860189392,2.0854580175030701e-10,0.004725782798729872,2.102266046453683e-05,0.007594511460745579,2.273114456895168e-07,-1.6457821582216425e-05,0.5280035611985102,0.000609668011070208,0.009354861768757694,0.087875226194012,2.711281054851793e-81,0.08421610962182374,4.15929746033423e-77,2.040802893843452e-05,0.4650612633076032,35.19474482536316
CPI_n,0.3,0.2536224439893527,1.9285524961534945e-167,0.008221518461933697,1.273385119949769e-07,0.004677186133149547,2.8527437409946987e-05,0.007584946973848539,2.3309459576666418e-07,1.1005974647759764e-06,0.4976961657762445,0.0004735614900141516,0.04441554918594015,0.08778800440232182,3.0407473992588087e-81,0.08427428032261397,4.369041970543985e-77,1.2813088009488993e-06,0.497323493990313,30.503970623016357
