method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,tr_time
LOCO-W,0.0,16.55225214512225,0.057017657430314395,-1.3076357537571712,0.5502683966545789,19.386621032153233,0.028581403316608855,-2.3946719637805884,0.5908779602120396,-3.0106720971020784,0.6212541924619422,7.216985125751601,0.24301319798910437,-5.378256926377966,0.7038685809013354,42.15135416270808,8.764083926227073e-05,-7.199694470000847,0.758103365075282,0.4388387203216553
LOCO-W,0.3,7.695439784459538,0.22275373803378917,26.14850804204608,0.006098139552811799,3.861878685760392,0.3455883381707684,5.30264040188905,0.3011473018675134,17.66493689296167,0.041296516181352994,22.792448261288605,0.011851637689223926,-18.48982504687618,0.971192670476554,-9.242803452169435,0.8173600308761082,-6.162732705054756,0.7284744672102182,0.6169891357421875
LOCO-W,0.6,-23.127125641093002,0.9883934525475035,19.25447240769123,0.028511599998510606,18.575721913966174,0.03330983211685212,-6.332234575390727,0.7306521599133973,3.029124572243386,0.3885251185133691,-8.00530311376371,0.7836873437049159,-7.801776875587585,0.7738830604956262,11.570878025646092,0.12829668269814887,18.74743857565946,0.031680543177236564,0.610088586807251
LOCO-W,0.9,13.832046389708797,0.08628455826986814,6.853025927980335,0.25479350151768965,-3.109590746880631,0.6235264866787509,6.393116913731983,0.27303495507029996,15.585741021480676,0.06542241927236891,-1.8688948455423837,0.5731255436536431,5.323606530324226,0.28889093266198396,9.485406769117239,0.17119345905767203,-13.085502370999066,0.9117970658363515,0.618067741394043
CPI,0.0,19.821825711573794,5.1978900137056366e-05,9.722450572747974,0.004707362070385944,4.642922751179732,0.031121680625797066,2.488045463911007,0.023146395787628615,0.5477214239981407,0.25733109265300513,-0.06432481443349047,0.527287018025891,-0.16606431289183377,0.568950691484954,54.114563523848005,9.053791099973512e-07,0.0,1.0,12.259584188461304
CPI,0.3,2.4221862750122156,0.006466606699386897,9.212090016743161,0.0025400456970302346,3.50856751148811,0.06897731768576089,2.354136296805237,0.027673041981346888,0.6873327196998815,0.20110143366621813,0.17281342873302918,0.0676828130695455,-0.26948129740855364,0.9395342980983045,-0.6338509280664439,0.8346996334752383,0.0,1.0,1.8665690422058105
CPI,0.6,0.8189562674730411,0.023735235204556063,5.487748200663965,0.01943167713533068,3.0002696334653507,0.08903177769728277,2.3987192299784823,0.02569435796626642,0.6682256415105385,0.20338075779443027,0.07582563332008618,0.061686257732847284,-0.11366822404077226,0.9422844499622521,-0.34812819465284406,0.906710124173241,0.0,1.0,1.7796885967254639
CPI,0.9,0.23263870214504578,0.06242308325699889,3.4349717977539385,0.07565044435200372,2.9970480690359906,0.0834767905876092,2.4360808129443754,0.024281012168411182,0.6022754556841647,0.22566869452441868,0.02632674829091286,0.07130821050979608,-0.04467051444485293,0.9531532048683773,-0.13769350799809388,0.9282433411996296,0.0,1.0,1.788015604019165
CPI_sqrt,0.0,19.821825711573794,0.000509323129379107,9.722450572747974,0.018686928262959195,4.642922751179732,0.08706852256967956,2.488045463911007,0.12630787866233772,0.5477214239981407,0.3782804255026222,-0.06432481443349047,0.5137498743572717,-0.16606431289183377,0.5351511096935047,54.114563523848005,5.099446005032377e-06,0.0,0.5,9.668917894363403
CPI_sqrt,0.3,2.4221862750122156,0.1012721763529108,9.212090016743161,0.014406190064175867,3.50856751148811,0.14321600365384007,2.354136296805237,0.13730872015243756,0.6873327196998815,0.3469790791837407,0.17281342873302918,0.43413743751044415,-0.26948129740855364,0.5967636401331576,-0.6338509280664439,0.6560625831147753,0.0,0.5,1.8444743156433105
