method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,tr_time
LOCO-W,0.0,-111.5445289888822,0.9642318496717767,61.00878308501513,0.16457082865277428,47.85797153799483,0.2014928499594697,18.614019781490875,0.3841156885648025,20.44296428202724,0.36881992015118503,20.818289014044776,0.36018579160445785,-100.38486816473757,0.9457257455422396,-27.515008863899038,0.6737708901551268,56.61720064141053,0.14574598339557143,13.96344286245667,0.4093010700873483,-18.32043374091107,0.6132612073224514,12.581214666366577
LOCO-W,0.3,60.4278215726448,0.16372954893850356,8.2434343137346,0.4447397741882505,66.59942942957555,0.14254743525888047,-102.16861627336063,0.9591736571200131,65.6636361258533,0.1312979826885441,-65.65352753035361,0.8507694250533842,-45.83460314202503,0.7672059385323808,-87.84153541728668,0.9290505558337937,18.124768356805625,0.381872664347348,-131.4207881495883,0.9855729831530132,-32.77977714492042,0.70790474382891,12.640213251113892
LOCO-W,0.6,-66.85046205544522,0.8907151923788434,-20.873425952363817,0.639453987542315,139.67470873717696,0.011452823680281332,-36.12986721092869,0.7066133328851505,7.792541853625993,0.4468803482290622,2.236933995525558,0.48499584472603874,0.8234799074338316,0.4948689779556018,-1.750981208142049,0.511526337939275,14.794576964437846,0.4108427358110378,-18.996864447629388,0.6245186598707377,92.71732949232326,0.0747135835207734,12.653977394104004
LOCO-W,0.9,-48.928008428028804,0.7894483316556054,-98.49731021544946,0.9522163075764625,112.12516354224175,0.03895430723864912,-11.263694170964431,0.5736230908973489,3.3587427350732435,0.477918281656167,-99.44090056103778,0.9377050634002909,1.6904998519239771,0.48880091476172405,-61.01373637001443,0.8472973589170212,31.82989456519251,0.29861750030942913,-131.29017640728281,0.9871559009772034,-51.73562658342432,0.818068372685229,12.727105855941772
CPI,0.0,-63.53081325187918,0.8350215161732091,22.44396353383513,0.10607145234767817,165.84525131578994,0.1808613736458176,-101.01550441729273,0.8014478827945866,-0.030236372180070248,0.5006509798191956,25.600573778195894,0.14978835944634955,-6.666134774435477,0.5829939697666697,-1.0536927631574144,0.5141082554480053,507.6634951127817,0.0023435436388379357,-27.666267105262477,0.8142828688624317,78.7187467105266,0.02030628464776886,13.887551069259644
CPI,0.3,-67.61563656015005,0.8465963667558176,26.182902913534008,0.08912759632958689,166.85857979323328,0.17836825267533085,-98.80946437969874,0.800261899802882,1.3050231203010298,0.47134761093807537,20.786586466165545,0.19874370079462733,-18.71396691729319,0.73699023571355,7.212652067669069,0.40912574669854945,492.8164921052635,0.0027234773281772594,-30.416774530075145,0.8362001404711462,82.92016860902277,0.015241055922327322,2.8734004497528076
CPI,0.6,-59.30081062030058,0.814334744202381,24.036414003759546,0.10543650800573606,189.15318054511295,0.14369369376682,-91.61971466165392,0.7866385884681136,6.549134868420879,0.3596388237010474,26.395915601504157,0.1540313499614035,-24.808619360901957,0.7777486940463985,12.457729793233284,0.3457194616769581,511.59165056390975,0.0021567158816053304,-32.79674530075181,0.848280124497633,78.27715272556406,0.02120243210773058,2.833211660385132
CPI,0.9,-59.93434727443605,0.8165454515434989,24.34607349624048,0.11415209279117,163.58365836466191,0.1795361784962461,-96.19795629699252,0.7852531892774617,-2.5427750000001197,0.5530332504878159,30.68479934210518,0.109726313784757,-7.897270582706824,0.595330682897038,7.572667481203098,0.4030573928908394,498.456165507519,0.002975634071142883,-33.90786616541391,0.8639565850473245,64.25852039473693,0.045875597099709474,2.9576656818389893
CPI_sqrt,0.0,-63.53081325187918,0.8133245238938609,22.44396353383513,0.17626078792165495,165.84525131578994,0.18882469752618336,-101.01550441729273,0.7896685515521122,-0.030236372180070248,0.5004887122088454,25.600573778195894,0.20317388178455342,-6.666134774435477,0.5696944750641143,-1.0536927631574144,0.5116939766330884,507.6634951127817,0.003127658276198159,-27.666267105262477,0.7720434844318015,78.7187467105266,0.03878051728032693,9.592007637023926
CPI_sqrt,0.3,-67.61563656015005,0.8251057735412898,26.182902913534008,0.1532343684362772,166.85857979323328,0.18638061848114368,-98.80946437969874,0.7883060861962541,1.3050231203010298,0.4785917311600355,20.786586466165545,0.24931173910697285,-18.71396691729319,0.7001072644406844,7.212652067669069,0.42381902579157826,492.8164921052635,0.0036141890769933213,-30.416774530075145,0.79307872191909,82.92016860902277,0.031130046421177986,2.9160728454589844
CPI_sqrt,0.6,-59.30081062030058,0.7933510101170431,24.036414003759546,0.17164843614038322,189.15318054511295,0.15190727910008173,-91.61971466165392,0.774737356389058,6.549134868420879,0.39408137655439024,26.395915601504157,0.20507825367027016,-24.808619360901957,0.7398019913256024,12.457729793233284,0.3699998670946004,511.59165056390975,0.0028939936754751976,-32.79674530075181,0.8058119222460196,78.27715272556406,0.040031791001695675,2.8080222606658936
CPI_sqrt,0.9,-59.93434727443605,0.7955388057604271,24.34607349624048,0.17785741783173747,163.58365836466191,0.1876597139336617,-96.19795629699252,0.7739917406731052,-2.5427750000001197,0.5401485009420165,30.68479934210518,0.16222146519938008,-7.897270582706824,0.5804722641963546,7.572667481203098,0.41892874081794795,498.456165507519,0.003905353302631092,-33.90786616541391,0.8201076783411952,64.25852039473693,0.07327396644594963,2.962963104248047
