method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,tr_time
LOCO-W,0.0,-1094.5052724797565,0.9999813982820335,-1554.883534119904,0.9999999999127901,875.4119452008101,9.091541981920415e-06,198.14035817639797,0.1560876440393788,2035.4561366385212,3.3306690738754696e-16,325.556214138955,0.08528572994702699,1168.7481176967183,1.3506958863596097e-06,-951.9479782568297,0.9999787349225185,-515.5136592250111,0.9815324081940436,380.37780770350327,0.05340005912237511,528.9273670438891,0.02150062675670128,56.732454776763916
LOCO-W,0.3,-1021.6185993921263,0.9999282804361219,-1601.4275767579707,0.9999998714037442,-324.1537187891184,0.8898667850713415,166.33369687849938,0.19982128232604124,363.2098712956246,0.04141741555686129,1030.2996754116245,9.715443714530814e-06,-313.67769458460907,0.8783638990443121,1169.5231397320656,7.534871060421722e-08,-864.5293032049605,0.9999998948985747,1002.3061821116024,5.825671587689207e-06,651.4739305722611,0.003734439742189233,58.3383355140686
LOCO-W,0.6,1454.102451605487,8.795974837383369e-09,235.10145831062002,0.1498120315199083,164.0246680796914,0.2938443894924482,585.2215052998807,0.003232650239944901,1031.406839730934,4.242015695432588e-05,-881.9420395851216,0.9998227433778318,-634.8997917256535,0.9999105745924637,870.0925111674647,1.2352393143344464e-05,-406.693290517042,0.9776458603817552,416.918566597661,0.06466585302701733,-1042.3821633237853,0.9999867602849062,57.92436504364014
LOCO-W,0.9,-480.8234594336448,0.9618249354219578,-929.685274671284,0.9999262329860206,580.470120318712,0.018004403088264676,-1088.4644784582686,0.999997015942916,982.4787841284326,1.3927284945425278e-05,2442.281688944211,4.440892098500626e-16,-617.3873291424673,0.9984905114095801,-1369.9898793377404,0.9999999982381481,-1335.148704002386,0.999999896264997,1000.2744449461482,4.471268896799607e-05,1777.90455435228,8.080103253149673e-11,56.423030376434326
CPI,0.0,-1.1885778074108657,0.5677663403069819,140.38648507043695,0.017370529268800356,762.4802174287015,5.6992747819874255e-05,136.33979436362415,0.08098257075420312,509.133308033096,0.0035033716266827802,129.21777999590495,0.05467010673718913,60.76315497460564,0.12282719012501914,209.47268850892647,0.027397891386266533,919.2234586363147,1.4347049834467417e-06,-35.72632760873603,0.8542624961771104,4.181498495113601,0.34552570792829296,17.071045875549316
CPI,0.3,-5.067573737062048,0.8581688899053863,131.44612866970988,0.020457781388284278,770.0700910152586,5.651423839112299e-05,134.70287475566602,0.08162570789686036,548.0073167994124,0.002144447292490193,142.88071184257637,0.045249553248477146,65.71199526177998,0.11164229762874361,196.42381231093464,0.033516759088240346,923.5772857316688,1.1220533883312878e-06,-33.99658284798443,0.8470969942804091,6.903014275732403,0.19715562476619436,5.28422474861145
CPI,0.6,-4.399158010818155,0.8318821660712793,134.96071777724842,0.020221027681524846,769.2505582809117,6.283065111697416e-05,136.2454383865504,0.08146252961991851,555.375372083372,0.0021936097267899394,144.73618475780677,0.044815430604196835,66.91602622423011,0.11091308671833394,203.17734860149585,0.03144208887344131,920.8377608076971,1.191295676896513e-06,-35.19747333056739,0.8533966541890805,5.442772771119053,0.2556087900489698,5.399420738220215
CPI,0.9,-8.791045241727716,0.8869121411668979,126.74586938401148,0.02317209362174419,773.7877815220338,5.656384663694984e-05,134.50768204728865,0.08216650801216763,583.7470328881388,0.0015555934327597652,160.12277220005717,0.035745772181888916,69.01672000650274,0.11315373851204452,196.99004887358387,0.03356546118203028,935.2217877917776,7.858710814139365e-07,-33.11171565257905,0.8391909103109072,1.981359285223789,0.395850749124939,5.759626865386963
CPI_sqrt,0.0,-1.1885778074108657,0.5341675093721492,140.38648507043695,0.027878969140464987,762.4802174287015,9.628804019097266e-05,136.33979436362415,0.09576171382810811,509.133308033096,0.004641028051740722,129.21777999590495,0.07009407061360544,60.76315497460564,0.15249689733360916,209.47268850892647,0.035438360677909446,919.2234586363147,3.074753642666666e-06,-35.72632760873603,0.8095936325517845,4.181498495113601,0.4051439917169187,14.599037408828735
CPI_sqrt,0.3,-5.067573737062048,0.6685633830865899,131.44612866970988,0.032423204895566514,770.0700910152586,9.508605486268378e-05,134.70287475566602,0.09657523608844648,548.0073167994124,0.0029168665436541657,142.88071184257637,0.05880432681650744,65.71199526177998,0.14011429010332926,196.42381231093464,0.04264527472343097,923.5772857316688,2.453732777450255e-06,-33.99658284798443,0.8017513343418031,6.903014275732403,0.3227010153785194,5.2416276931762695
