method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,tr_time
LOCO-W,0.0,-235.68036675305618,0.9256473998618453,-723.9782293870774,0.998280732728311,-299.4607797407628,0.8626899039262038,2529.0815306492727,0.0,-1082.4680303300715,0.9999993648685007,-2063.174730514556,0.999999998456576,-282.9282165774372,0.8603114743978945,-664.7551098614402,0.9987921075655707,203.55280771237761,0.21219283295619662,-949.553564291797,0.9996671472772334,1105.2891347317582,1.8908552261720502e-06,55.60306668281555
LOCO-W,0.3,-357.9767008465477,0.8517145946321194,-563.8245850029307,0.9911380664731608,-299.28835888280696,0.9614779935359469,983.8531016790147,0.00012900691230888217,1856.5690649731728,0.0,-505.1006511173951,0.9883879940730711,204.46984368539782,0.10793604414954894,1683.4619826745504,4.531575115152009e-10,885.7804702916944,0.00014911288708796544,295.4915517985092,0.15459819174153988,293.9190614978483,0.06676897465246967,52.90244126319885
LOCO-W,0.6,-169.74559366474955,0.7568705585999309,528.3598619231583,0.003730301141535053,1888.0159943213066,7.41682604221694e-10,1307.0654755922958,6.594578216834179e-10,577.8850423566266,0.0012676442846706326,683.073570376653,0.0003036395642905809,-293.4036181024639,0.9252940762406597,-396.52028906155067,0.9676406338618536,-1018.6443394724537,0.999968531471136,63.050995558691405,0.4130008859144313,89.89172758344347,0.3584684244416233,52.93830132484436
LOCO-W,0.9,1418.0162396534563,1.1071898953218806e-10,-703.5905355162951,0.9932439128193312,-37.8545777462108,0.5792753806031232,904.7392734618444,0.0004375409897797722,248.31835403670905,0.06050081805650254,-2020.8749956439053,0.999999999999926,3.916687017376996,0.4935990673466598,-420.90504561425536,0.9879186705665917,570.0910070585619,0.004066396633205183,12.387039583939785,0.4757133896557548,305.82613894006795,0.061501029149969244,53.23853421211243
CPI,0.0,-17.589337805558444,0.8573625334743955,-59.214548776086986,0.8198484287053511,603.9023182202354,1.22798950624425e-05,131.00729535877304,0.1007692227394818,286.34849979507044,0.0013049428877794835,28.9041918980397,0.20028922415538825,1.86969387702311,0.4282296786362465,16.694214888975694,0.28955932546647006,494.3058456203735,0.0062598736336140675,24.375896668391306,0.0579028863564889,10.223085914933563,0.20317210915948236,18.305819034576416
CPI,0.3,-24.874436287183244,0.9340212333470965,-62.843427429252415,0.8344820525307566,599.4181664297785,1.6719022810055575e-05,137.07314148094702,0.08773369021328775,292.3568211903262,0.0011788596272118681,31.416831990796027,0.1770502010130386,-3.404887929956658,0.6098144437422302,15.951805488373793,0.3011508199008772,485.26444317702067,0.007332528511129125,20.11882989629521,0.0991325998074512,-0.9212603675450737,0.5276439584356196,5.779994249343872
CPI,0.6,-10.52503269093063,0.7549201257490101,-64.28397524260868,0.8462703851603659,582.6624696807432,2.482653537722778e-05,137.85803150177617,0.08358173465677848,284.4487022206026,0.0011381826427090318,29.599466082376466,0.18100007117528594,-2.8010332378398743,0.5896047073859693,13.048415387969271,0.3346644471157636,486.599758736902,0.007323805031484904,24.810243412901855,0.061725003486973816,1.7044351103497775,0.4551291523356111,7.071357011795044
CPI,0.9,-7.6746471385718,0.6894426049151932,-61.2449135743841,0.825459645236456,576.0878812587162,2.070086421785013e-05,130.02937469305994,0.1008574831525319,293.76460537029834,0.0009416072133271032,27.137257847158253,0.21020803041165098,6.381138014238559,0.23571619629744373,14.854312349030579,0.31172478294905726,503.79250578751294,0.005967759785463609,28.699463610555085,0.034043718212432794,21.954888491540487,0.04917982948653259,5.106255769729614
CPI_sqrt,0.0,-17.589337805558444,0.7797325275584857,-59.214548776086986,0.7976154853127795,603.9023182202354,2.675196012824728e-05,131.00729535877304,0.11452864558139997,286.34849979507044,0.002385611480439339,28.9041918980397,0.23895795757287475,1.86969387702311,0.45537668076091026,16.694214888975694,0.32343664189035326,494.3058456203735,0.007768796977510961,24.375896668391306,0.13223289586431303,10.223085914933563,0.29185260487861364,15.682565689086914
CPI_sqrt,0.3,-24.874436287183244,0.8617682876038899,-62.843427429252415,0.8119676991164184,599.4181664297785,3.5309416665695385e-05,137.07314148094702,0.10117220731596238,292.3568211903262,0.0021669652403689546,31.416831990796027,0.2175196971889366,-3.404887929956658,0.5727974726762165,15.951805488373793,0.3330013840379082,485.26444317702067,0.009012954859181667,20.11882989629521,0.18003650452021602,-0.9212603675450737,0.5187173880856482,5.239309072494507
CPI_sqrt,0.6,-10.52503269093063,0.6869943228423177,-64.28397524260868,0.8230844634538594,582.6624696807432,5.1037665963063686e-05,137.85803150177617,0.09700435431326238,284.4487022206026,0.002137452293285466,29.599466082376466,0.22285909793443787,-2.8010332378398743,0.559505237167945,13.048415387969271,0.3618043550615244,486.599758736902,0.008998253341264124,24.810243412901855,0.13454954367201954,1.7044351103497775,0.4683565905055689,6.2602858543396
CPI_sqrt,0.9,-7.6746471385718,0.6371686626857854,-61.2449135743841,0.8033314912912837,576.0878812587162,4.382912232485784e-05,130.02937469305994,0.11471642307643565,293.76460537029834,0.0017923739090919028,27.137257847158253,0.2488869884665853,6.381138014238559,0.3373609365182861,14.854312349030579,0.3424213484821702,503.79250578751294,0.007406952776760489,28.699463610555085,0.0967824847910782,21.954888491540487,0.1316545424506786,4.9297943115234375
CPI_n,0.0,-17.589337805558444,0.8494296639693498,-59.214548776086986,0.8178174767471507,603.9023182202354,1.3190016351126466e-05,131.00729535877304,0.10197680534559628,286.34849979507044,0.0013812814544104798,28.9041918980397,0.2040186028909699,1.86969387702311,0.43181977684574435,16.694214888975694,0.29297422151473934,494.3058456203735,0.00638310456707002,24.375896668391306,0.0644158611511598,10.223085914933563,0.21335597408846407,15.679880857467651
CPI_n,0.3,-24.874436287183244,0.9275603002325115,-62.843427429252415,0.8324340593771745,599.4181664297785,1.7906341383717093e-05,137.07314148094702,0.08890691234801895,292.3568211903262,0.0012484115651205784,31.416831990796027,0.18091870706802832,-3.404887929956658,0.6051944385736111,15.951805488373793,0.3043623307090983,485.26444317702067,0.007470354276918876,20.11882989629521,0.1069721019811049,-0.9212603675450737,0.5265464175244741,5.176784038543701
CPI_n,0.6,-10.52503269093063,0.7473051252495628,-64.28397524260868,0.8441669043633347,582.6624696807432,2.6524404608365623e-05,137.85803150177617,0.0847514090592637,284.4487022206026,0.0012079455790627233,29.599466082376466,0.1850263009107544,-2.8010332378398743,0.5858489327812169,13.048415387969271,0.33741951364733114,486.599758736902,0.007461155280681023,24.810243412901855,0.06816789770986098,1.7044351103497775,0.4566978385116918,6.2822864055633545
CPI_n,0.9,-7.6746471385718,0.6834467759414289,-61.2449135743841,0.8234425174006934,576.0878812587162,2.2178402787218604e-05,130.02937469305994,0.1020739587518451,293.76460537029834,0.0010005368251731835,27.137257847158253,0.21396112639999215,6.381138014238559,0.24886831632143286,14.854312349030579,0.3148319536856211,503.79250578751294,0.006085236653083561,28.699463610555085,0.03896851810049555,21.954888491540487,0.05624167672700937,6.191479921340942
