method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,tr_time
LOCO-W,0.0,1178.5473100778977,0.00023273999382245059,-400.4411046826282,0.8910263178141355,697.9408545088376,0.021787385011617588,14.14957471108661,0.4836510972210051,-525.4491168430146,0.937480298623247,-874.8775312376904,0.9946766646445081,-584.1413940660049,0.9639534030526361,-211.84126908108743,0.7255977070944379,1005.9191891863418,0.0016331394586905912,723.5331351872852,0.01385999135250493,-216.6092921935461,0.7409781536669019,0.5226373672485352
LOCO-W,0.3,183.66725463098527,0.2960174028586018,259.6892229980906,0.22422268950740154,1131.1392280618213,0.0001852878875663322,-280.0511134149639,0.8006633736932787,56.398893316240525,0.4359830087932587,85.59366188593803,0.4037706200932001,-349.1551238978108,0.831486483533309,-201.94796107431355,0.7180900884521757,-204.15797604865932,0.7181741020347816,-424.09787505482575,0.8932507208455962,-43.62742003877506,0.554333354695685,0.5424110889434814
LOCO-W,0.6,-292.85349827619274,0.8162192741542033,263.06060091747776,0.2245687345995253,1093.042124347328,0.000918072382101065,226.23467753022183,0.2562116950699985,617.571942544469,0.0377083824405986,446.26807278276004,0.09007922028252469,497.9471173436136,0.07027409576636723,1069.1485923558648,0.0003264457774549978,79.35557950577046,0.4109193429031426,-300.45764244208,0.8048899182857118,-424.03760898500127,0.8871011612256311,0.5308136940002441
LOCO-W,0.9,-331.9452899830042,0.8357907864622571,-167.8453634882486,0.6874401928877052,969.6461449333153,0.001137336658410537,208.8837759290163,0.27613497959633804,78.74934203236674,0.4096724975657484,13.126933711013905,0.4844076802441226,-398.1907190456428,0.876424749989496,28.583368841129438,0.46551390937196,-449.60391815112234,0.9112728055940307,178.50715955677927,0.2928242818533182,-371.8078633687419,0.8585158801910211,0.5227084159851074
CPI,0.0,-33.23169941181527,0.9856319432035487,-59.36682086046517,0.7417750450221411,561.926457532016,0.0023009870498407053,235.9134127949726,0.007824240674293567,123.73085071518176,0.02941307025611032,0.0,1.0,0.0,1.0,100.39361165256787,0.02450586067469977,384.3581491173454,0.014997761409909348,33.27845097388331,0.03364047895233754,4.056937141986509,0.30951979257704154,13.529865503311157
CPI,0.3,-33.335007247431804,0.9855921492074133,-59.33811168838315,0.7416571715403731,561.8907444650215,0.0023012316724154236,235.88795604568577,0.007825580720946386,123.81531827812728,0.029371290097714817,0.0,1.0,0.0,1.0,100.36037576781291,0.024499401208522557,384.36481140685487,0.014996742652953744,33.26727610486978,0.03375085280514464,4.294060659551633,0.2982372032236743,1.003087043762207
CPI,0.6,-33.47740126184476,0.9855385888569788,-59.297105569236464,0.7414929945820871,561.8391937536962,0.0023017160312804735,235.85274932339462,0.007827734098372301,123.94379865541919,0.02930868493187357,0.0,1.0,0.0,1.0,100.31276961907338,0.024490572823747305,384.3578014683553,0.014998457278738832,33.22458913169862,0.03406883960292284,4.609068386346507,0.28293469301652097,0.9793281555175781
CPI,0.9,-33.899718829498624,0.9853861032481972,-59.17405289899284,0.741031217334672,561.7212006012746,0.0023032760814588873,235.74829354383132,0.007835732873403172,124.21678954569029,0.029160972354022086,0.0,1.0,0.0,1.0,100.14983625856848,0.024471057858373245,384.2510227249086,0.01501767428886913,32.91172562987413,0.035988049726675644,5.483712652023087,0.23931776888472445,0.9900414943695068
CPI_sqrt,0.0,-33.23169941181527,0.9370538601259888,-59.36682086046517,0.7276358582428012,561.926457532016,0.0030396818312512157,235.9134127949726,0.011734848515519897,123.73085071518176,0.04285884297064057,0.0,0.5,0.0,0.5,100.39361165256787,0.04045706055990631,384.3581491173454,0.018169478839458856,33.27845097388331,0.08898863630036413,4.056937141986509,0.39112061745733195,8.318633079528809
CPI_sqrt,0.3,-33.335007247431804,0.9371639524246949,-59.33811168838315,0.7275238556638406,561.8907444650215,0.0030400280710888364,235.88795604568577,0.011736995590619333,123.81531827812728,0.042802118384061234,0.0,0.5,0.0,0.5,100.36037576781291,0.04045507253563213,384.36481140685487,0.018168304524132567,33.26727610486978,0.08913656029386274,4.294060659551633,0.3845538973404833,0.9992861747741699
CPI_sqrt,0.6,-33.47740126184476,0.9373161622729579,-59.297105569236464,0.7273676293613656,561.8391937536962,0.0030406860878967796,235.85274932339462,0.011740341033907642,123.94379865541919,0.04271691748790716,0.0,0.5,0.0,0.5,100.31276961907338,0.04045273464733307,384.3578014683553,0.018170244705744392,33.22458913169862,0.08958000855388654,4.609068386346507,0.37567541212100175,0.977226734161377
CPI_sqrt,0.9,-33.899718829498624,0.9377668696946178,-59.17405289899284,0.7269264951183949,561.7212006012746,0.0030427364158457353,235.74829354383132,0.011752284230519232,124.21678954569029,0.042519389507165294,0.0,0.5,0.0,0.5,100.14983625856848,0.04045751874384126,384.2510227249086,0.018192232755833957,32.91172562987413,0.09232996811580602,5.483712652023087,0.35026800119841506,0.9859418869018555
