method,corr,r2,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,tr_time
LOCO-W,0.0,0.5321718211429092,-0.57945569652285,1.0,-0.05314398529445263,0.9997157353794593,0.03926478582781897,0.008295878936283474,-2.1253325299223578,1.0,-0.22120049756490293,0.9999990566331423,0.9186183442865942,0.0,2.034653740923317,0.0,0.14026739835813576,0.003278976281260837,4.458475604849365,0.0,44.175286054611206
LOCO-W,0.3,0.3672974474853663,-6.835327811837324,1.0,-0.11801925045336148,0.9999999999988458,-0.2158317565201123,0.9999999946836159,0.0058845596467436805,0.3452162798614664,-0.5758911582178156,1.0,1.017169966404391,1.1982748127081777e-11,-0.4397802066640305,1.0,-0.5267146705964946,1.0,-1.0861242358788787,1.0,56.97006821632385
LOCO-W,0.6,-0.39037195132207114,0.46110159408749923,0.0,0.027117650056512538,0.34918089143602526,-0.0383394339091659,0.993503567409802,-3.402144065845877,1.0,-0.16346500738661746,1.0,-2.027490974917865,1.0,3.911691305041099,0.0,0.4354590542556994,0.0,-0.7430658952180386,1.0,52.93853783607483
LOCO-W,0.9,0.462253816766539,0.050714321773388076,0.016729118262513887,-0.5209518296712118,1.0,0.12124916970911906,3.5860203695392556e-14,-21.799692862244257,1.0,-0.022360582083247107,0.9093124208774321,-60.784866834102935,1.0,-0.17942838424932342,1.0,0.13052738246818169,9.917289212069136e-12,-0.17839571869717388,0.9999999999992932,47.02736735343933
CPI,0.0,0.5321718211429092,0.2698821048591214,1.59153787318909e-129,0.02621053595822037,4.54365049810641e-12,0.0019855360727559224,1.7412204260408668e-13,0.002547656820795774,1.4424635418367162e-30,6.738752759540261,1.8687200452089154e-16,0.029119236310818142,1.9680135767572746e-23,0.020326163040922218,5.995826200104704e-81,0.0056181028507341635,1.6835161801267514e-66,-0.00012912141744642058,0.6680134597247551,43.251906871795654
CPI,0.3,0.3672974474853663,0.27001568999300407,4.5421985697629765e-119,0.005129839357172816,0.2649073670961767,0.004529683122954653,7.6984763171588065e-16,0.0012748758679184125,2.424879291431683e-14,0.0008154030719245697,0.14017200208537606,0.00875013550894188,2.8813773696052983e-07,0.032021216431636024,1.4550710174112667e-60,0.009096934042492122,4.779076653189732e-68,0.0005755139753771399,0.1157227914902404,33.37508797645569
CPI,0.6,-0.39037195132207114,0.211593953615953,9.495895546135921e-83,-0.0013232081082200642,0.6015070365130104,-0.009812438798875056,0.999999971655529,0.005508575211588318,6.761813596571375e-17,-0.00012026195651171356,0.5761546518100735,-0.001273988412988425,0.924528009742324,0.02644580482414305,5.3014378561249285e-28,0.0054798168523494395,6.701426284000815e-36,0.0002177196334690601,0.3616048780960837,31.691627979278564
CPI,0.9,0.462253816766539,0.2359536574276091,5.2962594844214995e-132,0.02110385788112823,7.968803951681649e-11,-0.0011499273175671343,0.9999998728737859,0.0013668403722731925,1.7397371260360598e-31,-0.00018662347771825072,0.9103507564843496,0.005006160337004961,1.7590901936114857e-05,0.026446448754983254,1.6411877368870033e-68,0.007156296512009164,3.2268201740916714e-84,-8.499521045640668e-05,0.7997526931510213,33.42037391662598
CPI_sqrt,0.0,0.5321718211429092,0.2698821048591214,8.762013971771518e-26,0.02621053595822037,0.07885686969362848,0.0019855360727559224,0.4472835426934208,0.002547656820795774,0.4322622112856738,6.738752759540261,6.000551158711689e-16,0.029119236310818142,0.04947883035784797,0.020326163040922218,0.0988260157795528,0.0056181028507341635,0.3543349250051936,-0.00012912141744642058,0.5034326407485324,40.00333309173584
CPI_sqrt,0.3,0.3672974474853663,0.27001568999300407,6.404139516282803e-25,0.005129839357172816,0.4112751289078498,0.004529683122954653,0.3834242579408647,0.0012748758679184125,0.46585762583114837,0.0008154030719245697,0.47897446364670215,0.00875013550894188,0.2974958804757824,0.032021216431636024,0.027334184722604737,0.009096934042492122,0.2751809232486331,0.0005755139753771399,0.4848886725227535,33.4219388961792
CPI_sqrt,0.6,-0.39037195132207114,0.211593953615953,9.353649424483695e-17,-0.0013232081082200642,0.5265702275880463,-0.009812438798875056,0.7237765190081817,0.005508575211588318,0.3600690167557441,-0.00012026195651171356,0.503128545827685,-0.001273988412988425,0.5325517868181028,0.02644580482414305,0.061354637869108025,0.0054798168523494395,0.3587789487308479,0.0002177196334690601,0.4943320595398464,31.70203733444214
CPI_sqrt,0.9,0.462253816766539,0.2359536574276091,1.806800745869426e-22,0.02110385788112823,0.12062324434447158,-0.0011499273175671343,0.5306921516964233,0.0013668403722731925,0.463274680236841,-0.00018662347771825072,0.5050141165712928,0.005006160337004961,0.3765808752115833,0.026446448754983254,0.051546738712763635,0.007156296512009164,0.3175275163209834,-8.499521045640668e-05,0.5022895008709808,33.065595388412476
CPI_n,0.0,0.5321718211429092,0.2698821048591214,2.2894717148023176e-125,0.02621053595822037,3.9128804823445794e-11,0.0019855360727559224,7.88970524236781e-06,0.002547656820795774,2.5302840156844116e-10,6.738752759540261,1.8973663927700335e-16,0.029119236310818142,6.191132565067413e-21,0.020326163040922218,3.099163424833389e-59,0.0056181028507341635,3.9661637499676706e-28,-0.00012912141744642058,0.6051500987714834,38.20730805397034
CPI_n,0.3,0.3672974474853663,0.27001568999300407,2.069897145259153e-115,0.005129839357172816,0.26953280456743056,0.004529683122954653,9.892967182685554e-10,0.0012748758679184125,0.00017172902233239705,0.0008154030719245697,0.19341456828893866,0.00875013550894188,3.1411519673772524e-06,0.032021216431636024,8.289418499958519e-51,0.009096934042492122,6.958379521231645e-38,0.0005755139753771399,0.19442091867783107,33.191792726516724
CPI_n,0.6,-0.39037195132207114,0.211593953615953,4.436323307686898e-80,-0.0013232081082200642,0.5980213496922064,-0.009812438798875056,0.9999995675000154,0.005508575211588318,5.337882999754291e-11,-0.00012026195651171356,0.558793008677934,-0.001273988412988425,0.8822347988083032,0.02644580482414305,2.1001818781252522e-24,0.0054798168523494395,1.1614450358327625e-18,0.0002177196334690601,0.3929694811572011,31.74966287612915
CPI_n,0.9,0.462253816766539,0.2359536574276091,3.986679887808053e-127,0.02110385788112823,7.100465661066159e-10,-0.0011499273175671343,0.9974809392411204,0.0013668403722731925,3.6088040589609595e-06,-0.00018662347771825072,0.7165587041504704,0.005006160337004961,0.00016952181542245954,0.026446448754983254,9.86646448892513e-55,0.007156296512009164,2.9344727653325205e-38,-8.499521045640668e-05,0.616040932289988,33.22640323638916
CPI_bt,0.0,0.5321718211429092,0.2698821048591214,0.0,0.02621053595822037,0.0,0.0019855360727559224,1.2332990242848785e-26,0.002547656820795774,1.4107767051047851e-42,6.738752759540261,1.1464133336993554e-22,0.029119236310818142,0.0,0.020326163040922218,0.0,0.0056181028507341635,1.5652982813272166e-198,-0.00012912141744642058,0.7550377061451057,96.21778702735901
CPI_bt,0.3,0.3672974474853663,0.27001568999300407,0.0,0.005129839357172816,2.874271960025048e-91,0.004529683122954653,1.4330512337164934e-129,0.0012748758679184125,4.578734382465117e-12,0.0008154030719245697,6.841022959083525e-06,0.00875013550894188,0.0,0.032021216431636024,0.0,0.009096934042492122,0.0,0.0005755139753771399,0.0010521671496456096,91.9578320980072
CPI_bt,0.6,-0.39037195132207114,0.211593953615953,0.0,-0.0013232081082200642,0.9999999996670671,-0.009812438798875056,1.0,0.005508575211588318,2.8608355874150743e-190,-0.00012026195651171356,0.7395622886635502,-0.001273988412988425,0.9999999999942342,0.02644580482414305,0.0,0.0054798168523494395,8.135132867510641e-189,0.0002177196334690601,0.1225293601143061,90.64863133430481
CPI_bt,0.9,0.462253816766539,0.2359536574276091,0.0,0.02110385788112823,0.0,-0.0011499273175671343,0.999999999613016,0.0013668403722731925,1.31956375603909e-13,-0.00018662347771825072,0.8409263774106948,0.005006160337004961,7.572357922449212e-156,0.026446448754983254,0.0,0.007156296512009164,0.0,-8.499521045640668e-05,0.6753279987091231,92.54578471183777
CPI_sqd,0.0,0.5321718211429092,0.2698821048591214,0.0,0.02621053595822037,0.0,0.0019855360727559224,0.0,0.002547656820795774,0.0,6.738752759540261,2.5269979335185953e-23,0.029119236310818142,0.0,0.020326163040922218,0.0,0.0056181028507341635,0.0,-0.00012912141744642058,1.0,96.153484582901
CPI_sqd,0.3,0.3672974474853663,0.27001568999300407,0.0,0.005129839357172816,0.0,0.004529683122954653,0.0,0.0012748758679184125,0.0,0.0008154030719245697,0.0,0.00875013550894188,0.0,0.032021216431636024,0.0,0.009096934042492122,0.0,0.0005755139753771399,0.0,92.15149712562561
CPI_sqd,0.6,-0.39037195132207114,0.211593953615953,0.0,-0.0013232081082200642,1.0,-0.009812438798875056,1.0,0.005508575211588318,0.0,-0.00012026195651171356,1.0,-0.001273988412988425,1.0,0.02644580482414305,0.0,0.0054798168523494395,0.0,0.0002177196334690601,0.0,90.42360734939575
CPI_sqd,0.9,0.462253816766539,0.2359536574276091,0.0,0.02110385788112823,0.0,-0.0011499273175671343,1.0,0.0013668403722731925,0.0,-0.00018662347771825072,1.0,0.005006160337004961,0.0,0.026446448754983254,0.0,0.007156296512009164,0.0,-8.499521045640668e-05,1.0,93.706711769104
S-CPI,0.0,0.5321718211429092,0.276999918397587,4.198578656915239e-137,0.008094077378744326,0.06779735826672108,0.003586748556688219,4.2161233795861186e-18,0.004699616031944374,5.275571710649845e-50,2.618058697795703,7.956394659255079e-11,0.033390632399680105,6.465102003522609e-22,0.032666399647045645,1.357979688585127e-113,0.009486218668901335,2.2542524542221482e-104,-0.0002609375698462121,0.7010638874877144,38.15270113945007
S-CPI,0.3,0.3672974474853663,0.2860837971521403,9.252275487958496e-130,-0.014492885216346578,0.8354811716345296,0.008496176285685804,5.5837836360004986e-27,0.002493870470480421,9.206103963545516e-26,8.535643958044888e-05,0.4652052505373973,0.009177701266850762,0.00016415841073796306,0.04877804460625155,5.004504882048837e-78,0.01560207112959869,2.3316436437370776e-109,0.000461234049930128,0.2354861388041276,33.361899614334106
S-CPI,0.6,-0.39037195132207114,0.25746977795967657,1.9688628780724403e-85,-0.023808757384086065,0.9978038037381491,-0.025142198140625138,1.0,0.010704869598505291,1.7786652614110527e-28,-0.00141024486640682,0.9542978126096654,-0.00218810295390877,0.9221331736485441,0.04349768339619662,3.293765875285716e-38,0.009505729733081392,3.5813018598156534e-57,-0.0005432589949512638,0.759561655641452,31.782177209854126
