method,corr,r2,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,tr_time
LOCO-W,0.0,0.810450204953024,-0.002769751658077074,0.977085436963325,-0.0015614875325253212,0.8578495009487297,-0.0005820694643489902,0.6541958963936944,0.0023363778217210546,0.05457218268825381,0.000527962198764024,0.35568886646699927,0.0030470724450421247,0.0177961220108932,0.01055611450633382,2.6611601811055152e-11,0.011512911380305194,2.7200464103316335e-14,-0.0006910929405861512,0.6855225896875818,460.587363243103
LOCO-W,0.3,0.81209915274032,-0.002703933000129636,0.9733757224645184,-0.000673611992861922,0.6817229832439,-0.0011474577171897518,0.7915479628936448,0.00042018755181677997,0.3864954924211339,0.002791134344361161,0.02731222675389733,0.0036445553960932214,0.004626021407505676,0.014435921616665862,0.0,0.012298228315049146,8.43769498715119e-15,-0.004315012255021386,0.9983895822385412,454.7425048351288
LOCO-W,0.6,0.8119552033677012,0.0004661403372029718,0.3745014346887461,0.00017188006604155508,0.4519137835714726,0.0009007053938174189,0.26241325241322133,0.00019285983792967728,0.44625858516722294,0.0016143558399106673,0.13172888902889746,0.0051952886980699805,0.0001274193839594373,0.013518186554527415,0.0,0.010302054623891417,6.837608257370675e-11,-0.0013113181165622287,0.8239107893519042,455.3008999824524
LOCO-W,0.9,0.8121190900474707,-0.002848552787198317,0.9819659144708018,0.004066208895500075,0.002334491539088379,-0.0008233322858050402,0.7242868751491114,2.884645484955469e-05,0.492142583443099,-0.0006294645353989067,0.6710828186592851,0.0033619709295297172,0.00854301704007121,0.014468524025513955,0.0,0.011735842451156211,1.0946799022804043e-13,-0.002901238610070223,0.9815865574258352,452.3873243331909
CPI,0.0,0.810450204953024,0.17442943089928795,8.758233537682578e-114,0.031342637237882,2.071286629368147e-21,0.010873503507101923,5.370330189186666e-20,0.009252010846294262,1.4266145162810562e-15,0.011388675359196049,6.503493114600313e-12,0.19577043600923558,2.2219251860283475e-152,0.09830864694497801,5.598058722352957e-145,0.10573603535315795,1.1029946073330307e-170,0.00031095397057925855,0.2214966194019785,87.59514355659485
CPI,0.3,0.81209915274032,0.17221091114371245,1.8108526866628447e-111,0.03152007606323323,1.5310912092273252e-21,0.010831576447240643,6.096842633509123e-19,0.008491686898126877,3.5149951221219283e-13,-0.00048227959611846227,0.9060975032247469,0.23386773213210477,1.3230683800057218e-173,0.09924465495460677,2.7010052780119598e-145,0.10805906249061137,1.8870782290496448e-171,-6.833415147122768e-06,0.5429890971625735,88.09562468528748
CPI,0.6,0.8119552033677012,0.17158224761026927,3.235386185971529e-110,0.031550092165227556,6.598449765994781e-22,0.01090975870250685,9.561395075131789e-19,0.008651082326011472,3.638508984315353e-13,-4.078077794086865e-05,0.8205883356194876,0.22373367855496892,9.137698181260477e-167,0.09965403690327121,4.215532978682349e-146,0.10820752253532581,7.255199759975408e-172,2.1853078238320833e-05,0.197339390406282,88.09172987937927
CPI,0.9,0.8121190900474707,0.17190734386159884,4.976562127405194e-111,0.031436357786860936,1.5411234072302145e-21,0.010867774868114577,4.0659238108205343e-19,0.008542641349098185,4.4937662675632327e-13,7.741975150077351e-06,0.28278569674776854,0.2194352729467567,1.4316160089772078e-163,0.09944631861850492,5.03209234010079e-147,0.10809179484951875,4.5737147405806516e-173,-5.1806380591906676e-05,0.9491809455106646,87.57603025436401
CPI_sqrt,0.0,0.810450204953024,0.17442943089928795,4.98236607668307e-15,0.031342637237882,0.04215182647258081,0.010873503507101923,0.2487815424717057,0.009252010846294262,0.2815965971107286,0.011388675359196049,0.24522489403503878,0.19577043600923558,7.835618729958258e-19,0.09830864694497801,6.995860823551054e-08,0.10573603535315795,6.943123260637326e-09,0.00031095397057925855,0.4918594531742939,84.31031894683838
CPI_sqrt,0.3,0.81209915274032,0.17221091114371245,1.0262333075120772e-14,0.03152007606323323,0.04134505889003622,0.010831576447240643,0.2500347966810671,0.008491686898126877,0.29797903419337135,-0.00048227959611846227,0.512657019307425,0.23386773213210477,2.893092671594746e-24,0.09924465495460677,5.592955703713631e-08,0.10805906249061137,3.817803072429709e-09,-6.833415147122768e-06,0.5001830143613042,84.36698746681213
CPI_sqrt,0.6,0.8119552033677012,0.17158224761026927,1.3297726561156502e-14,0.031550092165227556,0.040967674881649783,0.01090975870250685,0.24870476112748585,0.008651082326011472,0.2948054212693523,-4.078077794086865e-05,0.5010935842597504,0.22373367855496892,1.0095943572881285e-22,0.09965403690327121,4.9986501003225454e-08,0.10820752253532581,3.6457027780811167e-09,2.1853078238320833e-05,0.49941324339846543,84.64042115211487
CPI_sqrt,0.9,0.8121190900474707,0.17190734386159884,1.1452855033389762e-14,0.031436357786860936,0.04168149545523028,0.010867774868114577,0.24928973306652813,0.008542641349098185,0.29702346143940206,7.741975150077351e-06,0.4997919565584234,0.2194352729467567,4.574855146015339e-22,0.09944631861850492,5.146254748015359e-08,0.10809179484951875,3.6606881972110468e-09,-5.1806380591906676e-05,0.5013904434379006,84.15850687026978
CPI_n,0.0,0.810450204953024,0.17442943089928795,1.605053250130779e-108,0.031342637237882,2.269979566733565e-19,0.010873503507101923,2.147147564404076e-15,0.009252010846294262,5.1348335298090514e-12,0.011388675359196049,5.763456254286794e-10,0.19577043600923558,4.555615296824923e-145,0.09830864694497801,6.194769188456591e-132,0.10573603535315795,3.779680228584246e-155,0.00031095397057925855,0.3002644799224178,83.03629994392395
CPI_n,0.3,0.81209915274032,0.17221091114371245,2.6508802446887988e-106,0.03152007606323323,1.7139995222982628e-19,0.010831576447240643,1.0773354468660659e-14,0.008491686898126877,2.9680046177633664e-10,-0.00048227959611846227,0.8077136799715494,0.23386773213210477,4.109413519056547e-166,0.09924465495460677,2.529243045216912e-132,0.10805906249061137,3.993404930525051e-156,-6.833415147122768e-06,0.5108258808703086,84.13911008834839
CPI_n,0.6,0.8119552033677012,0.17158224761026927,4.036096228140153e-105,0.031550092165227556,8.357853049380619e-20,0.01090975870250685,1.3681583748239182e-14,0.008651082326011472,2.7468832891091443e-10,-4.078077794086865e-05,0.5694886408756775,0.22373367855496892,2.1012000817009972e-159,0.09965403690327121,4.503679441809963e-133,0.10820752253532581,1.6660058883405725e-156,2.1853078238320833e-05,0.45936372707113793,83.98298478126526
CPI_n,0.9,0.8121190900474707,0.17190734386159884,6.925837478481909e-106,0.031436357786860936,1.7435802050341334e-19,0.010867774868114577,8.049349923541283e-15,0.008542641349098185,3.369516408060173e-10,7.741975150077351e-06,0.4847112319273906,0.2194352729467567,2.765462945457256e-156,0.09944631861850492,7.562467416941744e-134,0.10809179484951875,1.571412340239421e-157,-5.1806380591906676e-05,0.5930243152414544,83.4866714477539
CPI_bt,0.0,0.810450204953024,0.17442943089928795,0.0,0.031342637237882,0.0,0.010873503507101923,0.0,0.009252010846294262,0.0,0.011388675359196049,0.0,0.19577043600923558,0.0,0.09830864694497801,0.0,0.10573603535315795,0.0,0.00031095397057925855,0.04965245828205633,144.7290494441986
CPI_bt,0.3,0.81209915274032,0.17221091114371245,0.0,0.03152007606323323,0.0,0.010831576447240643,0.0,0.008491686898126877,0.0,-0.00048227959611846227,0.9947171952309135,0.23386773213210477,0.0,0.09924465495460677,0.0,0.10805906249061137,0.0,-6.833415147122768e-06,0.5144592364747321,144.98958468437195
CPI_bt,0.6,0.8119552033677012,0.17158224761026927,0.0,0.031550092165227556,0.0,0.01090975870250685,0.0,0.008651082326011472,0.0,-4.078077794086865e-05,0.5856417845880084,0.22373367855496892,0.0,0.09965403690327121,0.0,0.10820752253532581,0.0,2.1853078238320833e-05,0.4538521862680805,147.71817231178284
CPI_bt,0.9,0.8121190900474707,0.17190734386159884,0.0,0.031436357786860936,0.0,0.010867774868114577,0.0,0.008542641349098185,0.0,7.741975150077351e-06,0.48361896474387706,0.2194352729467567,0.0,0.09944631861850492,0.0,0.10809179484951875,0.0,-5.1806380591906676e-05,0.6082811579746515,148.06844115257263
CPI_sqd,0.0,0.810450204953024,0.17442943089928795,0.0,0.031342637237882,0.0,0.010873503507101923,0.0,0.009252010846294262,0.0,0.011388675359196049,0.0,0.19577043600923558,0.0,0.09830864694497801,0.0,0.10573603535315795,0.0,0.00031095397057925855,0.0,144.56579732894897
CPI_sqd,0.3,0.81209915274032,0.17221091114371245,0.0,0.03152007606323323,0.0,0.010831576447240643,0.0,0.008491686898126877,0.0,-0.00048227959611846227,1.0,0.23386773213210477,0.0,0.09924465495460677,0.0,0.10805906249061137,0.0,-6.833415147122768e-06,1.0,146.06199550628662
CPI_sqd,0.6,0.8119552033677012,0.17158224761026927,0.0,0.031550092165227556,0.0,0.01090975870250685,0.0,0.008651082326011472,0.0,-4.078077794086865e-05,1.0,0.22373367855496892,0.0,0.09965403690327121,0.0,0.10820752253532581,0.0,2.1853078238320833e-05,0.0,148.77794361114502
CPI_sqd,0.9,0.8121190900474707,0.17190734386159884,0.0,0.031436357786860936,0.0,0.010867774868114577,0.0,0.008542641349098185,0.0,7.741975150077351e-06,0.0,0.2194352729467567,0.0,0.09944631861850492,0.0,0.10809179484951875,0.0,-5.1806380591906676e-05,1.0,146.9678771495819
S-CPI,0.0,0.810450204953024,0.15088595377147007,1.3145539152755076e-84,0.03268473150895981,1.3098648972118838e-12,0.010934801228623316,1.4983803249209674e-11,0.010360061745271841,3.7589273540044344e-11,0.009598111382281484,6.080697769552895e-08,0.18743486755434846,2.5732602547585656e-125,0.11894239849277376,4.0454418840072e-117,0.12743363827523616,1.1695280558619542e-144,-0.0006236471232752686,0.8718328207708657,89.4836196899414
S-CPI,0.3,0.81209915274032,0.14765476960190896,2.757863776404291e-82,0.03230575122799799,2.9900337167664902e-12,0.010650457628032467,2.552082233393735e-10,0.009003249166112191,1.0218013123072815e-08,-0.0006558708217941305,0.8512236243530498,0.23973037819112603,1.0241166994085541e-144,0.11956663862139152,1.133122583954594e-117,0.1295528952588285,2.7388009714823976e-146,-3.9060480348669785e-05,0.745349948350123,90.64908051490784
S-CPI,0.6,0.8119552033677012,0.14767417035373043,3.6768084584190353e-81,0.032364411242397285,1.9617323185877033e-12,0.010795918810899596,2.3598353397996624e-10,0.008939717966948852,2.0987877724663635e-08,-0.0005867259963795748,0.8406949569029605,0.21858782411980718,1.0007114140031876e-130,0.11993453837299378,2.5239281513918682e-118,0.12999672811554736,3.0288106768631204e-146,-3.1844779921251885e-05,0.7166082708678247,90.47697043418884
S-CPI,0.9,0.8121190900474707,0.1480921819532361,2.674316266329101e-81,0.03216804784207181,2.929897047586754e-12,0.010775508516851141,1.5431423125382107e-10,0.008910506252918327,1.6701310297068726e-08,-0.00017650055208610777,0.8277595031840688,0.21198562278122735,5.362238355110746e-126,0.11982826739264213,3.703969510176098e-119,0.12997868216453848,1.7043414119801084e-147,-5.5455542782805786e-05,0.9080545274382774,90.64093613624573
