method,corr,r2,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,tr_time
LOCO-W,0.0,0.8092750839199371,0.047839405639657495,0.0,0.026271041118615425,5.002165296974503e-06,-0.06765960019905275,1.0,0.010807330329357621,0.009650467064044044,0.01933020058345581,0.00011326852606297066,0.018327071271948114,0.0003479719995554964,-0.008294720526200545,0.9446486381856255,0.028947267357570125,2.5247687274188024e-08,-0.010698217570259048,0.9767613913456634,754.218727350235
LOCO-W,0.3,0.810821423237097,-0.013798937834104973,0.9953789798473185,0.023243895724467688,2.977562490524832e-05,0.02505978929222206,1.9765620773437576e-07,0.003186060398550885,0.24232900155092996,0.021717307185150643,2.1530253621060425e-06,0.02236110824392109,2.101666070397634e-06,-0.0659945354828603,1.0,0.036078253708907417,1.1102230246251565e-16,-0.0019704822843391013,0.6556983424313892,757.7934985160828
LOCO-W,0.6,0.8099259919795652,0.03934128856786858,0.0,0.03334479813181345,3.751887689418254e-12,-0.009517091402900203,0.9824519589182328,0.0013606821522752735,0.3724982617493954,-0.021181756352142814,0.9999956427627957,0.047715991298818705,0.0,-0.0366425703836674,0.9999999999999903,-0.026000277321593702,0.9999993821984284,-0.04411026646726395,1.0,758.3974251747131
LOCO-W,0.9,0.809689798270378,0.05285658419107424,0.0,0.002532004614339691,0.3148468440166221,-0.04937051410839733,1.0,-0.010897886292184591,0.9866188327292836,-0.014341177543397872,0.9982003374767721,0.020683939284489423,0.00020948316226243602,0.015479121443543213,0.00029657701904484135,0.05691964970460568,0.0,-0.019813764098723274,0.9999901625201031,757.1305005550385
CPI,0.0,0.8092750839199371,0.17632289686240543,6.821256657513799e-119,0.029720382060609424,5.749242787814945e-29,0.007571287928716114,5.456130158697361e-15,0.007425316662985126,2.395405679571567e-12,0.008609153246446122,3.032993938658086e-11,0.1717286196554701,1.9013116181824886e-155,0.10817047129599444,5.5942655252646266e-160,0.10548776952491198,1.0714624281932257e-178,2.3774617892574623e-05,0.4620047183314803,109.04772090911865
CPI,0.3,0.810821423237097,0.177093675369231,3.5675463313158274e-118,0.011445760873813299,2.4112025744967184e-11,0.007303766602308165,1.9220475686643577e-14,0.008180855583589969,9.343281644025654e-14,0.00017808894106935425,0.13616142922065405,0.19907207338156582,7.991974155111571e-171,0.1069847541059053,7.487749392656414e-161,0.10539742652709586,9.177764733579107e-179,9.376950165368436e-06,0.4462534027491567,103.68805289268494
CPI,0.6,0.8099259919795652,0.17619450517764604,3.1848046449726174e-118,0.009564178773096316,1.6063121130852856e-09,0.007329127638727756,5.661033644333832e-14,0.007847934286733194,4.432944737435632e-13,7.916838900504097e-05,0.19957676699404053,0.19376806586563142,1.4258823669206591e-167,0.1079434098731124,2.1260967129299764e-161,0.10547276274288925,1.023769660859174e-179,5.8998823637468334e-05,0.17438006968288178,105.69409656524658
CPI,0.9,0.809689798270378,0.17627842110717334,4.7420884900875355e-118,0.009780607962855153,3.4760259317462947e-10,0.007463299794961381,2.6339571524872582e-14,0.00809380537939347,3.6635152957613205e-13,1.4391989099638014e-05,0.23402960114431487,0.19427666752628925,3.2465352632156494e-164,0.10746212086347645,2.4009783524909393e-160,0.1052737523642246,5.791199780060691e-179,2.1097279114562495e-05,0.2532854643524921,104.00678157806396
CPI_sqrt,0.0,0.8092750839199371,0.17632289686240538,1.456760495708228e-15,0.02972038206060937,0.043764026324258874,0.007571287928716114,0.3148020508109264,0.007425316662985126,0.3191231116385745,0.008609153246446122,0.29566997556546937,0.17172861965547004,2.660974594607117e-16,0.10817047129599447,3.8884359292821166e-09,0.10548776952491198,5.1468887848765425e-09,2.3774617892574623e-05,0.4993663502866757,107.26371717453003
CPI_sqrt,0.3,0.810821423237097,0.17709367536923099,1.2984237182985051e-15,0.011445760873813271,0.24340645942628047,0.007303766602308137,0.32072588952654923,0.008180855583589941,0.30266077135341607,0.0001780889410693265,0.4952258667105401,0.1990720733815658,4.4258296919441057e-20,0.10698475410590527,5.118603377631788e-09,0.10539742652709583,5.260254019330695e-09,9.376950165312925e-06,0.4997470425082067,105.5907552242279
