method,corr,r2,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,tr_time
LOCO-W,0.0,0.6038564953133433,0.26765408342760416,0.0,-0.05382810964282563,0.9999555366369608,0.07721610358448465,3.1652418019945117e-08,-0.163059144945336,1.0,0.18016473345255543,0.0,-0.16982283215193972,1.0,-0.08684384515037287,0.9999999985678744,0.1067805740007179,9.825473767932635e-14,-0.20115530408972412,1.0,0.9913530349731445
LOCO-W,0.3,0.6039584897732218,0.7987056665171645,0.0,-0.20047886282024596,1.0,0.006186388874348311,0.3429733441467091,0.026560044370425695,0.025742762358796245,-0.017620002160012853,0.887786888508411,0.0030882187441468962,0.411138645454294,-0.11741695170098661,0.9999999999999972,0.09695876390501847,5.4140247840450684e-11,-0.013473535990093656,0.8256601021978824,2.336956024169922
LOCO-W,0.6,0.6039744887253304,0.09766639323354295,2.0977664050292333e-12,0.05500168597274527,8.996082758649937e-05,0.19899956170122776,0.0,0.025808337101707483,0.053644018903061697,-0.08517466957815004,0.9999999995266263,0.013944556582745382,0.1538882244275288,0.0960845755423342,1.51857526553556e-10,-0.11368855845464514,0.9999999999999942,-0.002262460367402224,0.5628802089361233,2.670970916748047
LOCO-W,0.9,0.60397837672582,0.784974518525562,0.0,0.01171678605947582,0.20080584443621996,-0.1774437259782526,1.0,-0.0025073683231578393,0.5704977383185741,-0.19695669202252694,1.0,0.04030551698289315,0.005379713245642903,0.10916155619237587,6.777548522407528e-10,0.18445843841251455,0.0,-0.1855334676950636,1.0,2.5889132022857666
CPI,0.0,0.6038564953133433,0.2851728383327234,2.8010013432877415e-44,0.010248347041822647,2.8815939339012217e-09,0.007663613504757694,0.014749403161154062,0.014811671387178371,0.04750507143674587,-2.3507830117508455e-05,0.6315675516774057,0.0006753731587434975,5.393439951454581e-33,0.08540475561142935,6.811453423327361e-30,0.08447368482614026,2.0245888242338124e-34,-6.220453886268684e-05,0.8212566671837902,41.290220499038696
CPI,0.3,0.6039584897732218,0.28502463991423493,2.55258309555314e-44,0.008593734556437582,3.833171419531582e-08,0.007531815812072462,0.017604613794439884,0.014816061050590135,0.047374063929620534,-1.1412036321656327e-05,0.8236241517667192,0.0006447026022809443,6.088487987859696e-14,0.0853372917493313,6.418762346677117e-30,0.08440414252545492,2.1282980018521115e-34,-1.265865790234244e-05,0.8296866030909489,31.99785351753235
CPI,0.6,0.6039744887253304,0.28498831430690336,2.610169495741026e-44,0.008396255860465551,4.3782223942542956e-08,0.007520924669846829,0.017855513353868056,0.01482037885069315,0.04736401059453119,-2.603622308083864e-06,0.8237704305325773,0.0006116176796772121,4.942112238356897e-15,0.08530650588002564,7.116744023422721e-30,0.08440266392762269,2.2520599560861195e-34,-3.081965305906653e-06,0.8308075533178211,32.201253175735474
CPI,0.9,0.60397837672582,0.28497776767971456,2.6419616122010723e-44,0.008364988261875705,4.047044991107426e-08,0.007519503439651576,0.017943454605652682,0.014822386233387996,0.04736209196366358,-5.109957026960821e-07,0.8261552432259658,0.0005994562266321557,7.06598532118057e-15,0.08529717155575511,7.44400176611446e-30,0.08440518799036417,2.2977659500561028e-34,-6.837565372230792e-07,0.8361654403728348,32.068130016326904
CPI_sqrt,0.0,0.6038564953133433,0.2851728383327234,2.552247492647566e-16,0.010248347041822647,0.266321882936976,0.007663613504757694,0.33672332168441743,0.014811671387178371,0.26457118478667274,-2.3507830117508455e-05,0.5006364870238497,0.0006753731587434975,0.4817038701801286,0.08540475561142935,6.0818475796960715e-05,0.08447368482614026,4.601873675393018e-05,-6.220453886268684e-05,0.5016844866107378,39.04564952850342
CPI_sqrt,0.3,0.6039584897732218,0.28502463991423493,2.5418030495196085e-16,0.008593734556437582,0.2986069384197777,0.007531815812072462,0.339837030900769,0.014816061050590135,0.2644715739703019,-1.1412036321656327e-05,0.5003102014212856,0.0006447026022809443,0.4825699744398812,0.0853372917493313,6.116667322938963e-05,0.08440414252545492,4.6517842372806934e-05,-1.265865790234244e-05,0.5003440635019006,32.10874938964844
