method,corr,r2,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,tr_time
LOCO-W,0.0,0.49584420688032205,-191.5048988691434,0.7158992088808032,-237.935554842097,0.7758320715741805,166.45745628196582,0.3054421883175673,239.1697835896243,0.25028346006769664,-12.23959950780107,0.5149802280657648,1042.1375012745445,0.0006175873528933007,-208.0738209131385,0.7242981073274836,-548.0445888893303,0.9369815614466445,1101.1404517628853,0.00010388713411668693,318.71881312933505,0.1730439680427207,-79.80865553681197,0.5990456335972872,30.477739810943604
LOCO-W,0.3,0.49602281233218015,25.673442341375818,0.4688070947959979,356.70452930778487,0.14800456281193042,336.04350416838673,0.1511099735818051,-26.657061998740918,0.5323617618486358,-601.5710404223271,0.9555685197267936,-59.68554392257479,0.5720339699289975,564.4691043076859,0.04202481045432882,-361.58883682998504,0.874473518808897,365.1317249701534,0.14458909692334543,-644.2100543882768,0.9751408442101053,841.5507490139295,0.00535573476987139,31.832712173461914
LOCO-W,0.6,0.4905294786154215,-32.307037535317654,0.5389426100191693,-196.5153641146027,0.7249689776652015,-120.28161776524173,0.6408950220266477,700.0465797638974,0.01891171448403095,-762.6858293806758,0.9907907103157197,263.10674383385714,0.21281282751033115,34.592867012289815,0.45909643912660836,1338.9709779793752,1.1002396953507798e-06,259.3612178714315,0.23169832426830528,603.107804454261,0.03618647414920573,-83.51113792352136,0.5996862731250596,30.683122396469116
LOCO-W,0.9,0.4856534051939201,-196.78265712112125,0.7217751238784293,264.22080171077596,0.2081760505270811,70.8978622423247,0.4093073211836876,383.27959647522863,0.13450322985897833,317.1309264817525,0.15723379902217804,24.252397429602603,0.47203742921769665,-237.22346216068215,0.7691128671019409,-197.72063031705974,0.7290210666657737,143.81264091782685,0.33107234511749717,-64.72477985595839,0.5773951543940882,168.42936359641956,0.29094662145407124,31.971662759780884
CPI,0.0,0.49584420688032205,-21.777874486051587,0.9869967690463891,-33.588165233064274,0.629351132903397,641.5583360894191,0.000347305383586471,259.343167399659,0.019981913014566345,-15.454148850933052,0.8698549955358182,-42.06078231987635,0.9714079761894289,126.14575016511185,0.04100335588079993,68.73189609391738,0.0037602785982082196,319.5907672948597,0.001361839012950242,37.53736714568481,0.20728389777703216,6.472022803346135,0.40670564556363187,14.498321294784546
CPI,0.3,0.49602281233218015,-21.955095410841068,0.9877848729755224,-36.519922327546055,0.6413088313674069,641.3343772398528,0.00037260799766452576,259.6472518284388,0.01972991618535763,-15.286222044283022,0.8651232123777313,-41.35305107095269,0.9707646504892218,127.03896612870699,0.03996564642781584,67.85924720027924,0.004418795991773285,320.0381027222936,0.0014388943008145788,36.91776205650285,0.21063049721291116,3.9139429999013373,0.4454195573331299,3.14734148979187
CPI,0.6,0.4905294786154215,-24.74629498049353,0.9941015450910615,-41.18726594667737,0.6572992532930073,629.2980730728734,0.0003998601203176236,270.9426607031828,0.017183977432846914,-15.228529097488035,0.8588013728418631,-39.663475271630205,0.9649205804906077,123.6938614406265,0.04259767296327665,70.56963969511276,0.003926898104872808,323.66346563891625,0.0013110058222660682,36.395124537853235,0.2076421649487803,-3.6603273686118882,0.5632096638478836,3.1318085193634033
CPI,0.9,0.4856534051939201,-30.71265055134836,0.9968629755215833,-46.96699181316603,0.679358040357912,599.8368408310662,0.0004778670437077115,273.69965529800334,0.01685964014675787,-13.956843804258824,0.872472668410265,-42.67162707162174,0.9611922484474565,116.58300152334937,0.045629133299763314,74.57498845223063,0.0038270489793490745,332.1422392863992,0.0010556097195087912,36.25277970814,0.2047880164861977,-4.452013223471113,0.6252955832557938,3.1793601512908936
CPI_sqrt,0.0,0.49584420688032205,-21.777874486051587,0.9079517987669825,-33.588165233064274,0.6217143775790268,641.5583360894191,0.0005243472073138386,259.343167399659,0.025475882063998815,-15.454148850933052,0.7762940550216635,-42.06078231987635,0.9284160947471289,126.14575016511185,0.05548555847298006,68.73189609391738,0.016747482178953384,319.5907672948597,0.002384208016608959,37.53736714568481,0.23781518922990325,6.472022803346135,0.4245897970949868,10.103509426116943
CPI_sqrt,0.3,0.49602281233218015,-21.955095410841068,0.9100742903808918,-36.519922327546055,0.6329567288035449,641.3343772398528,0.0005589298677855941,259.6472518284388,0.025189733084722776,-15.286222044283022,0.7724636559543546,-41.35305107095269,0.9268341545412631,127.03896612870699,0.05426867820100443,67.85924720027924,0.018488723656153207,320.0381027222936,0.002495697869661551,36.91776205650285,0.24103878330970407,3.9139429999013373,0.45564624932356634,3.137753486633301
CPI_sqrt,0.6,0.4905294786154215,-24.74629498049353,0.9338679850589998,-41.18726594667737,0.648162101628715,629.2980730728734,0.0006002192556500016,270.9426607031828,0.022118548701662293,-15.228529097488035,0.7681760348938318,-39.663475271630205,0.9178761213791851,123.6938614406265,0.05748414163116557,70.56963969511276,0.016662184775983756,323.66346563891625,0.002293952469625644,36.395124537853235,0.23897741633010278,-3.6603273686118882,0.5491782659229227,3.133594512939453
CPI_sqrt,0.9,0.4856534051939201,-30.71265055134836,0.9573351761648595,-46.96699181316603,0.6690250090796831,599.8368408310662,0.0007183496360921345,273.69965529800334,0.021702736130463626,-13.956843804258824,0.7701702906312499,-42.67162707162174,0.9170838761099963,116.58300152334937,0.06163873803079111,74.57498845223063,0.015507986121959833,332.1422392863992,0.001884835640815541,36.25277970814,0.23674493999607021,-4.452013223471113,0.5857530432332891,3.171945571899414
CPI_n,0.0,0.49584420688032205,-21.777874486051587,0.9822608482177603,-33.588165233064274,0.628651922290625,641.5583360894191,0.0003605261115941384,259.343167399659,0.020435544278424356,-15.454148850933052,0.8600560987233463,-42.06078231987635,0.9681184937649866,126.14575016511185,0.04221708076389398,68.73189609391738,0.0044670487383300025,319.5907672948597,0.0014352151827119917,37.53736714568481,0.2101680833152716,6.472022803346135,0.4085825045335681,10.098617553710938
