method,corr,r2,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,tr_time
LOCO-W,0.0,0.6010987365782223,-529.7417378942639,0.9398605335423335,-58.18688498816413,0.5699661734778764,252.41403086970325,0.24220740682470043,-226.10099375021792,0.7402076966214172,274.85623942555907,0.20798577304676824,-557.8614914637604,0.9483090301576601,140.40881294753865,0.33539753617453405,-642.2309492024704,0.9654210950144946,579.3036337928625,0.04726481271415284,511.3675647393834,0.07074922413258045,1.4888634174795987,0.49818758884531344,0.5337724685668945
LOCO-W,0.3,0.6010964389090148,190.8851961305223,0.29697261974537725,400.91666643509336,0.12892063748618665,494.8511511861895,0.0743421713550062,-272.5609945765547,0.7837818945658117,123.23003003313127,0.3492229756168356,36.43249223688113,0.45976076906355023,-366.148682932847,0.8445804633547924,541.8692747666594,0.05001699421967043,443.3566947987216,0.1029006689884,-109.36933616047996,0.6186006183765891,536.1381593837507,0.05863666929430278,0.5312187671661377
LOCO-W,0.6,0.6010921899315615,50.40360207077163,0.4434269908789227,785.690069636539,0.011360151274186103,1056.4005651041764,0.0008906198803402265,-155.4645706051784,0.6661380149136447,-110.6808032744575,0.6230174144650957,187.31452880034544,0.29058792876058726,-221.76984662624204,0.7227720757895268,397.7889153809311,0.11188790656089542,-197.00663018245618,0.7082045544979909,-706.5908125822541,0.9801631608179711,-329.26512131184836,0.8384904497739467,0.5316503047943115
LOCO-W,0.9,0.6010742725152637,-16.788461705651653,0.5191224018538869,224.71088084315085,0.26013895775994733,77.5129971044923,0.4153053295136292,619.7506703832099,0.043267671395574525,1067.1642361641887,0.0001673221710207784,-825.1217169562808,0.9939150002034115,-118.03985064622255,0.6371359237024214,353.168060596475,0.1426472358985762,-68.26982167433707,0.5772238144863764,-312.72859934199533,0.8063858465968882,29.631661324536203,0.4657325953474064,0.544858455657959
CPI,0.0,0.6010987365782223,0.0,1.0,56.08858544706686,0.08260736917009148,653.5049776855421,4.771428676391371e-05,243.03322123909334,0.003780247528793491,10.068984233812216,0.03566075542111755,0.0,1.0,110.92716349803663,0.0042456373374433936,0.0,1.0,312.1153606231999,0.0033049973962158354,-0.11588463839848373,0.5086831577167347,59.80383878511839,0.005834995883762514,12.327686071395874
CPI,0.3,0.6010964389090148,0.0,1.0,55.897901949065954,0.08299479432556495,655.4208270570559,4.715995646550308e-05,243.01747621440768,0.0037817462101897175,9.717185246177223,0.037329769598492386,0.0,1.0,110.24019682497328,0.004365425133060204,0.0,1.0,312.1545421396254,0.0033028430425036015,-0.09988933644353892,0.5073356084517873,59.81788922746591,0.005677587789579846,1.0399937629699707
CPI,0.6,0.6010921899315615,0.0,1.0,55.811095273345245,0.08293755250157725,657.996709547511,4.643249434675143e-05,242.97410493670668,0.0037856469298864796,9.271323379794467,0.03910353100701808,0.0,1.0,109.4036976400057,0.004470863497427525,0.0,1.0,312.6004860127982,0.0032631487968957625,-0.07657581502985522,0.5054702231820959,59.68152452175309,0.005472399860022427,1.0300533771514893
CPI,0.9,0.6010742725152637,0.0,1.0,56.156310398315554,0.08080667666658403,665.3612067092774,4.444488820616518e-05,242.7746617733476,0.0038033345207817456,8.090378545401109,0.04260648201131136,0.0,1.0,107.39362132021233,0.00457755392902316,0.0,1.0,313.1129291268544,0.0032148183095394205,0.08827688416954516,0.49416586124928974,58.82492643922683,0.004948020072535414,1.0205159187316895
CPI_sqrt,0.0,0.6010987365782223,0.0,0.5,56.08858544706686,0.11568036195060571,653.5049776855421,8.587134662787222e-05,243.03322123909334,0.006308939443609055,10.068984233812216,0.201284699497712,0.0,0.5,110.92716349803663,0.011222239943065752,0.0,0.5,312.1153606231999,0.005060956132810378,-0.11588463839848373,0.5039278854168435,59.80383878511839,0.02368697453602827,7.882267951965332
CPI_sqrt,0.3,0.6010964389090148,0.0,0.5,55.897901949065954,0.11615837047676503,655.4208270570559,8.483818596048642e-05,243.01747621440768,0.0063111923525587775,9.717185246177223,0.20703375188408513,0.0,0.5,110.24019682497328,0.011490173058666349,0.0,0.5,312.1545421396254,0.005057877192218331,-0.09988933644353892,0.5033548777664584,59.81788922746591,0.023351982695876298,1.0515947341918945
CPI_sqrt,0.6,0.6010921899315615,0.0,0.5,55.811095273345245,0.11615395915987126,657.996709547511,8.348151196027995e-05,242.97410493670668,0.00631708495108885,9.271323379794467,0.21425993932995674,0.0,0.5,109.4036976400057,0.011745899724638525,0.0,0.5,312.6004860127982,0.005002895791161178,-0.07657581502985522,0.5025393095506948,59.68152452175309,0.022970407995832803,1.033156394958496
CPI_sqrt,0.9,0.6010742725152637,0.0,0.5,56.156310398315554,0.11392430983026752,665.3612067092774,7.977367099636757e-05,242.7746617733476,0.006343837331017335,8.090378545401109,0.23397197257309355,0.0,0.5,107.39362132021233,0.012108605802744843,0.0,0.5,313.1129291268544,0.004936099369365745,0.08827688416954516,0.4971786192371635,58.82492643922683,0.02216172085882271,1.0190787315368652
CPI_n,0.0,0.6010987365782223,0.0,0.5,56.08858544706686,0.08552852922854448,653.5049776855421,5.0339039829279435e-05,243.03322123909334,0.003967968898293581,10.068984233812216,0.05057400004877292,0.0,0.5,110.92716349803663,0.0046960979843045396,0.0,0.5,312.1153606231999,0.0034385823501558044,-0.11588463839848373,0.5078582573749312,59.80383878511839,0.006871853434581083,7.876977920532227
CPI_n,0.3,0.6010964389090148,0.0,0.5,55.897901949065954,0.08592535790507705,655.4208270570559,4.975203840968382e-05,243.01747621440768,0.003969527395808075,9.717185246177223,0.05296326575025557,0.0,0.5,110.24019682497328,0.004826657165389274,0.0,0.5,312.1545421396254,0.0034363544604502326,-0.09988933644353892,0.5066512944169941,59.81788922746591,0.006697827763328477,1.0401382446289062
CPI_n,0.6,0.6010921899315615,0.0,0.5,55.811095273345245,0.08587275479198703,657.996709547511,4.898165842549131e-05,242.97410493670668,0.003973585675041676,9.271323379794467,0.05567687161739294,0.0,0.5,109.4036976400057,0.0049426273265314345,0.0,0.5,312.6004860127982,0.003395423759986484,-0.07657581502985522,0.5049725599791608,59.68152452175309,0.006473318556567524,1.0284266471862793
CPI_n,0.9,0.6010742725152637,0.0,0.5,56.156310398315554,0.08372640175404655,665.3612067092774,4.6876752624344435e-05,242.7746617733476,0.003991989845447245,8.090378545401109,0.06198929292783878,0.0,0.5,107.39362132021233,0.005065450899640715,0.0,0.5,313.1129291268544,0.003345597594748088,0.08827688416954516,0.4946602733251798,58.82492643922683,0.005905636028503282,1.0202975273132324
CPI_bt,0.0,0.6010987365782223,0.0,0.5,56.08858544706686,0.48650716462236815,653.5049776855421,0.4901971713012674,243.03322123909334,0.4857792184080211,10.068984233812216,0.3923419546164315,0.0,0.5,110.92716349803663,0.4799666709001089,0.0,0.5,312.1153606231999,0.48964497746212465,-0.11588463839848373,0.5021252613295261,59.80383878511839,0.447070230907504,7.955884218215942
CPI_bt,0.3,0.6010964389090148,0.0,0.5,55.897901949065954,0.48252315977101456,655.4208270570559,0.4926014112444104,243.01747621440768,0.48680403970038943,9.717185246177223,0.3568395454107073,0.0,0.5,110.24019682497328,0.46658948829081714,0.0,0.5,312.1545421396254,0.48757865009340023,-0.09988933644353892,0.5016056337333175,59.81788922746591,0.4561325876308286,1.1222033500671387
CPI_bt,0.6,0.6010921899315615,0.0,0.5,55.811095273345245,0.48740581633835156,657.996709547511,0.4901597192519096,242.97410493670668,0.4864598987076027,9.271323379794467,0.37708808170498387,0.0,0.5,109.4036976400057,0.4710413258311058,0.0,0.5,312.6004860127982,0.48810331367232135,-0.07657581502985522,0.5010229634008361,59.68152452175309,0.454660242655223,1.110086441040039
CPI_bt,0.9,0.6010742725152637,0.0,0.5,56.156310398315554,0.48329759511006126,665.3612067092774,0.48962697842452785,242.7746617733476,0.4893601187619221,8.090378545401109,0.3524214464536204,0.0,0.5,107.39362132021233,0.4783447237564975,0.0,0.5,313.1129291268544,0.4910060560149442,0.08827688416954516,0.4990365506086696,58.82492643922683,0.44914798583859744,1.1012067794799805
CPI_sqd,0.0,0.6010987365782223,0.0,0.5,56.08858544706686,0.4819441466548997,653.5049776855421,0.48960562511029504,243.03322123909334,0.4888196880945256,10.068984233812216,0.37379296510440185,0.0,0.5,110.92716349803663,0.4763284611974634,0.0,0.5,312.1153606231999,0.49082638942368495,-0.11588463839848373,0.5017300476616662,59.80383878511839,0.4544128712642512,7.957850456237793
CPI_sqd,0.3,0.6010964389090148,0.0,0.5,55.897901949065954,0.4858532335137238,655.4208270570559,0.4918295924937259,243.01747621440768,0.48774572589306464,9.717185246177223,0.34246186207181534,0.0,0.5,110.24019682497328,0.46760236085885926,0.0,0.5,312.1545421396254,0.491446692268853,-0.09988933644353892,0.5014943592070753,59.81788922746591,0.45035843060773895,1.1144673824310303
CPI_sqd,0.6,0.6010921899315615,0.0,0.5,55.811095273345245,0.4812559651420581,657.996709547511,0.48722617405208785,242.97410493670668,0.484736112861502,9.271323379794467,0.3894336136795624,0.0,0.5,109.4036976400057,0.4674341185682126,0.0,0.5,312.6004860127982,0.4912575805983698,-0.07657581502985522,0.5009165950761925,59.68152452175309,0.44844989080851816,1.102621078491211
CPI_sqd,0.9,0.6010742725152637,0.0,0.5,56.156310398315554,0.4851589294314792,665.3612067092774,0.4890895835620345,242.7746617733476,0.4876940093476837,8.090378545401109,0.35436815892729534,0.0,0.5,107.39362132021233,0.47540676531361215,0.0,0.5,313.1129291268544,0.4913646805755242,0.08827688416954516,0.49886790751441895,58.82492643922683,0.4568935379934733,1.0975379943847656
S-CPI,0.0,0.6010987365782223,0.0,0.5,116.25702075861227,0.017790014591472107,728.1911489441497,0.00019363103461332587,136.07816882108347,0.10593854964547006,12.361397151312717,0.05132707326381343,0.0,0.5,117.19528193958136,0.03293001365388497,0.0,0.5,358.1385568348345,0.016667592872220287,0.5333231084506967,0.47149413087002406,32.83571848696242,0.15431742756998867,7.891318321228027
S-CPI,0.3,0.6010964389090148,-4.134066826240583e-13,0.9791593328633779,115.9893567618759,0.01786111058946163,730.2579723559347,0.00019182351275269413,136.06096277324178,0.10596418210865127,11.998777414043865,0.05220812106416662,-4.134066826240583e-13,0.9791593328633779,116.57710314277789,0.033246941727853564,-4.134066826240583e-13,0.9791593328633779,358.1868212640269,0.016657844863528042,0.5642797560941207,0.4704412887264025,32.936398434974514,0.15338145323790642,1.0434634685516357
S-CPI,0.6,0.6010921899315615,-4.134066826240583e-13,0.9760176758565794,115.70630373651966,0.017921419577056185,733.0815022483946,0.0001893006525555018,136.04524262722117,0.10598402730179352,11.51126983569115,0.053248806299645096,-4.134066826240583e-13,0.9760176758565794,115.71083447431978,0.03365804974104222,-4.134066826240583e-13,0.9760176758565794,358.512837505035,0.016519630748805858,0.6098461576497853,0.4689268269998281,33.050204862773334,0.15169298876998755,1.0351803302764893
S-CPI,0.9,0.6010742725152637,-4.134066826240583e-13,0.9891260283062896,115.22103719638712,0.017941635446158538,741.3066880770425,0.000181901969621838,136.02501627284462,0.10599249723611426,10.127225123942067,0.05580094349957196,-4.134066826240583e-13,0.9891260283062896,113.23362487188082,0.034753210755421586,-4.134066826240583e-13,0.9891260283062896,359.08268993654144,0.016275543192902076,0.7910401744402407,0.46271006833784833,33.351252468294,0.14545304564063116,1.0255703926086426
S-CPI_sqrt,0.0,0.6010987365782223,0.0,0.5,116.25702075861227,0.029894685645906447,728.1911489441497,0.0002902781164827128,136.07816882108347,0.11925597429762691,12.361397151312717,0.188967312560965,0.0,0.5,117.19528193958136,0.04742180787311473,0.0,0.5,358.1385568348345,0.02020549464427669,0.5333231084506967,0.4847008154711235,32.83571848696242,0.19807798392746206,7.885928153991699
S-CPI_sqrt,0.3,0.6010964389090148,-4.134066826240583e-13,0.5000000000000255,115.9893567618759,0.030013727807212624,730.2579723559347,0.00028748251205041746,136.06096277324178,0.11928249863247958,11.998777414043865,0.19289979899684268,-4.134066826240583e-13,0.5000000000000255,116.57710314277789,0.04785373583122493,-4.134066826240583e-13,0.5000000000000255,358.1868212640269,0.02019434378935264,0.5642797560941207,0.4839874492280471,32.936398434974514,0.19719542209082047,1.0359644889831543
S-CPI_sqrt,0.6,0.6010921899315615,-4.134066826240583e-13,0.5000000000000255,115.70630373651966,0.030121320899263004,733.0815022483946,0.00028359707831300817,136.04524262722117,0.11930326536041713,11.51126983569115,0.19826977167090554,-4.134066826240583e-13,0.5000000000000255,115.71083447431978,0.04842352001912171,-4.134066826240583e-13,0.5000000000000255,358.512837505035,0.020039896468089794,0.6098461576497853,0.48295323075697355,33.050204862773334,0.19568275921249895,1.0345048904418945
S-CPI_sqrt,0.9,0.6010742725152637,-4.134066826240583e-13,0.5000000000000255,115.22103719638712,0.03020299381511309,741.3066880770425,0.00027225655508431815,136.02501627284462,0.11931343132860395,10.127225123942067,0.2146182811836685,-4.134066826240583e-13,0.5000000000000255,113.23362487188082,0.049971921542083894,-4.134066826240583e-13,0.5000000000000255,359.08268993654144,0.019767031403127522,0.7910401744402407,0.4788251732665395,33.351252468294,0.19021679551309445,1.0246567726135254
S-CPI_n,0.0,0.6010987365782223,0.0,0.5,116.25702075861227,0.01873203588775906,728.1911489441497,0.00020084118086145949,136.07816882108347,0.1071087918490623,12.361397151312717,0.064261788033262,0.0,0.5,117.19528193958136,0.034122966536847675,0.0,0.5,358.1385568348345,0.016961794033415894,0.5333231084506967,0.4734786248377856,32.83571848696242,0.1584744463021942,7.8876564502716064
S-CPI_n,0.3,0.6010964389090148,-4.134066826240583e-13,0.5000000000002951,115.9893567618759,0.018807049010934718,730.2579723559347,0.00019896038206350668,136.06096277324178,0.10713451325203305,11.998777414043865,0.06557021578056693,-4.134066826240583e-13,0.5000000000002951,116.57710314277789,0.03445002118498258,-4.134066826240583e-13,0.5000000000002951,358.1868212640269,0.016951924628960415,0.5642797560941207,0.4724607108302458,32.936398434974514,0.15754143699425588,1.04331636428833
S-CPI_n,0.6,0.6010921899315615,-4.134066826240583e-13,0.5000000000002951,115.70630373651966,0.018871155004338943,733.0815022483946,0.00019633632995351785,136.04524262722117,0.10715444790645262,11.51126983569115,0.0672196823945133,-4.134066826240583e-13,0.5000000000002951,115.71083447431978,0.03487502795071735,-4.134066826240583e-13,0.5000000000002951,358.512837505035,0.016812281732828425,0.6098461576497853,0.47099542141966255,33.050204862773334,0.15586658341037207,1.0365147590637207
S-CPI_n,0.9,0.6010742725152637,-4.134066826240583e-13,0.5000000000002951,115.22103719638712,0.01889590730827442,741.3066880770425,0.0001886444631011007,136.02501627284462,0.10716307219758958,10.127225123942067,0.07178837810602438,-4.134066826240583e-13,0.5000000000002951,113.23362487188082,0.036009706668023236,-4.134066826240583e-13,0.5000000000002951,359.08268993654144,0.016565661425561092,0.7910401744402407,0.46501737010157185,33.351252468294,0.14968914484335455,1.0230350494384766
S-CPI_bt,0.0,0.6010987365782223,0.0,0.5,116.25702075861227,0.48695619886679886,728.1911489441497,0.4926664509038374,136.07816882108347,0.4952880160947695,12.361397151312717,0.4171333335946854,0.0,0.5,117.19528193958136,0.48892964495946506,0.0,0.5,358.1385568348345,0.49478760636667013,0.5333231084506967,0.49580167188391105,32.83571848696242,0.48891608115004065,7.952662229537964
S-CPI_bt,0.3,0.6010964389090148,-4.134066826240583e-13,0.5000000000002951,115.9893567618759,0.48668819739621383,730.2579723559347,0.4928734535871034,136.06096277324178,0.4957126370668047,11.998777414043865,0.41325708950938256,-4.134066826240583e-13,0.5000000000002951,116.57710314277789,0.4899729386695918,-4.134066826240583e-13,0.5000000000002951,358.1868212640269,0.4951107511257993,0.5642797560941207,0.4962113282415912,32.936398434974514,0.4888702903105151,1.1190173625946045
S-CPI_bt,0.6,0.6010921899315615,-4.134066826240583e-13,0.5000000000002951,115.70630373651966,0.4829812826283073,733.0815022483946,0.49280686957731107,136.04524262722117,0.4945239466232176,11.51126983569115,0.4119599596403932,-4.134066826240583e-13,0.5000000000002951,115.71083447431978,0.48975570877063734,-4.134066826240583e-13,0.5000000000002951,358.512837505035,0.49466641294674957,0.6098461576497853,0.4958826773108468,33.050204862773334,0.4883937866477345,1.1209721565246582
S-CPI_bt,0.9,0.6010742725152637,-4.134066826240583e-13,0.5000000000002951,115.22103719638712,0.48459317597926566,741.3066880770425,0.49295636976438445,136.02501627284462,0.4953049179301851,10.127225123942067,0.40446393138286885,-4.134066826240583e-13,0.5000000000002951,113.23362487188082,0.48740868541745586,-4.134066826240583e-13,0.5000000000002951,359.08268993654144,0.49476565066232414,0.7910401744402407,0.4956890590301199,33.351252468294,0.48641494433519916,1.105309009552002
S-CPI_sqd,0.0,0.6010987365782223,0.0,0.5,116.25702075861227,0.48513149566377983,728.1911489441497,0.4917922467581733,136.07816882108347,0.4953127537570627,12.361397151312717,0.4233186406885424,0.0,0.5,117.19528193958136,0.4897471526291377,0.0,0.5,358.1385568348345,0.4948006607221489,0.5333231084506967,0.49561683824266806,32.83571848696242,0.4876884692970226,7.958993434906006
S-CPI_sqd,0.3,0.6010964389090148,-4.134066826240583e-13,0.5000000000392442,115.9893567618759,0.4820521984126439,730.2579723559347,0.49352963795939636,136.06096277324178,0.49491456673416984,11.998777414043865,0.389790533630047,-4.134066826240583e-13,0.5000000000392442,116.57710314277789,0.486021896711627,-4.134066826240583e-13,0.5000000000392442,358.1868212640269,0.4949438138870717,0.5642797560941207,0.495572045959758,32.936398434974514,0.4850846661418661,1.1128802299499512
