method,corr,r2,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,imp_V12,pval12,imp_V13,pval13,imp_V14,pval14,imp_V15,pval15,imp_V16,pval16,imp_V17,pval17,imp_V18,pval18,imp_V19,pval19,imp_V20,pval20,imp_V21,pval21,imp_V22,pval22,imp_V23,pval23,imp_V24,pval24,imp_V25,pval25,imp_V26,pval26,imp_V27,pval27,imp_V28,pval28,imp_V29,pval29,imp_V30,pval30,tr_time
LOCO-W,0.0,0.8480813301723172,3.88774972189051e-06,0.2341655782709744,-1.7167826759474145e-05,0.9969551475660245,-4.109371727677859e-06,0.828832505363647,4.266931913271885e-06,0.2038536000532466,-9.774889808469498e-05,0.9999999999966889,9.088797807266628e-06,0.03752769201127326,1.7204900583935676e-05,0.0006355936062882872,4.776582640535542e-06,0.10276019208515175,9.873453722656948e-05,1.6359472665428143e-09,-3.1979099031166365e-05,0.9999999999881073,-5.139524454621877e-05,0.9999999999999564,8.832089385385379e-05,5.218048215738236e-14,-1.7553247035493183e-05,0.9963330987685762,-1.0055460172680844e-05,0.9134735544628269,2.519917606896209e-05,0.00014493617789168578,8.805200502479087e-06,0.07096814965892206,-1.0886273539805223e-05,0.9739646524766035,2.064004898384528e-05,6.891998051372639e-06,1.3655818741081443e-05,0.0005693871406964313,1.7729114649457966e-05,0.002963730081355531,-6.092536693903211e-06,0.9676526255228015,8.756598599930778e-06,0.018403763022047603,-1.6115298442349976e-05,0.9998597889771839,3.118905093297305e-05,3.667073631419271e-07,-9.715721307711672e-05,0.9999999999883864,4.919019755255447e-05,7.077015640177819e-10,2.0080084067607257e-05,1.0671838798215205e-06,-1.9323419997092424e-05,0.9999913257864799,-2.9075465530946717e-05,0.999413122456532,4.499876019336033e-06,0.10294354553047236,-3.207814089008693e-05,0.9999999995552235,58.81982493400574
LOCO-W,0.3,0.8462988705492115,2.527194763076942e-05,2.072614383785698e-06,3.370908463551073e-05,2.9100388765357366e-11,-3.459380176821955e-07,0.537100176745184,-3.677082290551984e-05,0.9999999984972846,1.736015090204189e-05,0.00022042553497414463,-1.757880608783104e-05,0.9998219833755877,3.410801693526022e-05,7.052489792158667e-08,4.640084670203996e-05,3.9684799335582e-08,3.6552482925241177e-05,5.221149068646014e-10,-1.7532301533940823e-06,0.645313111693426,1.5236605747266455e-05,0.011624541408065792,1.2812393047855842e-05,0.016128745906184405,-6.392273694527045e-05,0.9999999999958525,-6.239409360995358e-05,0.9999999996611874,-8.234565220208183e-06,0.9803387788378022,7.533436241479832e-06,0.0438244975129507,7.503889841580613e-05,5.32149213583466e-10,2.7991382591034905e-06,0.2736051437981978,-3.912075572832994e-06,0.8520285670734661,-6.297289243652615e-06,0.9573608756936458,-1.0034672909787366e-05,0.996018009512651,5.167280689273398e-05,7.993605777301127e-15,-1.6774295797507906e-05,0.9999596233468023,-3.863601817979265e-05,0.9999999998140474,1.7828916662168388e-05,3.217619437556607e-07,-5.550694272348925e-06,0.9372913614395934,3.264455369083843e-05,2.749318573913584e-07,-6.415447706592483e-06,0.9040832333934665,1.573941382263688e-05,0.0002326236310986607,1.2715761575653995e-05,0.014968852985368652,-2.1745618923729405e-05,0.9995061114259054,59.58037209510803
LOCO-W,0.6,0.8509388683153314,-4.0777818028873934e-05,0.9999999983852969,2.506673645349365e-05,0.00011828569303506953,1.4255337615828814e-05,9.821333760773321e-05,9.015697369681591e-06,0.010971637269942991,2.9471567024989302e-05,8.703680692834226e-07,-6.065034107413609e-06,0.90735415641232,8.17300794723955e-06,0.002553674394248362,4.026248869120651e-05,6.098455074265985e-13,-2.775500705981704e-06,0.7277506405819638,1.2912471149490391e-05,0.017150391192350845,1.9117260433281464e-05,3.802411383535542e-07,-3.232850547024372e-06,0.7209671323067595,-4.062973763889524e-05,0.9999999902421915,-3.766200572783637e-05,0.9999999999999981,-7.44163404891151e-05,0.9999999999999944,7.628489776515954e-05,2.077227279073668e-13,3.313888117035043e-05,4.567969019253493e-05,-3.770488529821891e-05,0.999999999553805,5.491037920848585e-05,4.7550852144695455e-11,-3.0738709766838926e-05,0.9999999993076676,-5.4295222328453344e-05,0.9999999999995688,-1.5209098471019965e-06,0.5929773163984143,-9.382669564902469e-06,0.9860745462452092,-4.1582695147511266e-05,0.9999999997144363,2.0156150905372628e-05,0.0003746654968956875,-1.0565571771897715e-05,0.9776300230440167,-4.540500575213176e-06,0.9025900075663129,2.6179390111196268e-05,6.970745362266939e-06,-1.0612176309138575e-05,0.9995321875389817,-2.350520209733396e-05,0.9997368945025403,-2.9772988942795407e-05,0.999999957869978,58.876872539520264
LOCO-W,0.9,0.8497336738767083,5.9816008557339446e-05,0.0,3.080792282917278e-05,2.44164466423058e-10,-2.862239322951347e-05,0.9999999814150562,-8.444726918932809e-06,0.9713497497793157,2.5637375091530463e-05,1.1275343541061744e-06,-9.853405700636421e-07,0.6736673909782158,4.00486743479186e-05,9.547918011776346e-15,1.5097237686299245e-05,0.0007195180384712563,1.5729533531759633e-05,0.0035333288692767084,3.633509945202505e-05,2.220446049250313e-16,-3.887713627157059e-06,0.7993336598070451,-3.0382528321434955e-05,0.9999999742740554,3.5228696832401815e-05,3.886925162066568e-06,-8.567884472705532e-05,0.9999999999999942,-9.017498050865832e-06,0.9696519788714365,-2.7223402173455695e-05,0.9999998084056686,-8.984290116853535e-05,0.9999999940967179,-0.00012281192795011853,0.9999999999991067,-3.158961438581719e-05,0.9999999980788691,2.7937601283798085e-05,2.3028245976774997e-12,3.841636167750916e-05,1.383337888682945e-13,-1.2284512832902361e-05,0.9993890280900966,-1.3062678534623341e-05,0.9999823519935812,9.606043422302124e-07,0.4355310645720628,2.3850052936919073e-05,1.2729686860168954e-08,4.8213332296186174e-05,3.061662035008794e-12,-3.570389339549491e-05,0.9999999786254832,-2.4247723483739674e-05,0.9999999999304648,-4.8625420104088415e-05,0.9999999999826021,-2.389607765181417e-05,0.9908216862436954,-1.5156868732014052e-05,0.9999858562088441,60.75836157798767
CPI,0.0,0.8480813301723172,1.5764275553276086e-06,0.42194253489927924,-7.842005660787382e-05,0.6428739193885172,1.3011706207041035e-05,0.4279230199747671,-0.00020626186679614453,0.7701731818564368,0.0002961481101552907,0.027257255731002374,3.0319138962994763e-07,0.48756244382491876,-0.00032779477825881434,0.8601820181989851,0.0007031741656784822,0.2820944859127582,0.0008651857347671682,0.10922670734872669,1.3556821783791695e-05,0.42854149647671075,-8.505379871512342e-05,0.869087515638552,4.195531055940782e-06,0.4808015775430268,5.372052964711452e-05,0.30097443740971264,-0.00034661265703037764,0.8679628586713819,6.017586488600568e-05,0.3048346558630284,0.00017080736197148602,0.09556123397060534,0.000456948009926135,0.22550000158432043,5.040297139602412e-05,0.11603132970760954,-0.00015505674101037523,0.936171994487671,-0.0008250547605215923,0.966412041892153,-1.2008348112657607e-05,0.5403443716497723,0.0005426972193804044,0.022901928264547695,-0.0005279937986475101,0.8789596144900086,0.0009256758170480342,0.021862429156053857,-3.3764593521445896e-05,0.5718761778939128,0.00014992855666992946,0.1372736105045368,0.0005697867389180544,0.1834997136625771,0.0033789165094364818,0.07643211391552658,-0.00021871174950247388,0.7702146272143837,-0.000746533787715626,0.9691063439473184,6.376547675518082e-05,0.42367557163632386,16.935095071792603
CPI,0.3,0.8462988705492115,-4.60345559239253e-06,0.8473351690623186,0.0001338763550930433,0.23431277261051875,5.571519515260026e-07,0.4970607684607331,-5.936841806194679e-05,0.648828097470582,0.00026611193108992334,0.05652042201708712,8.59563215629619e-06,0.3253997891177668,-0.00042199474012248606,0.9313891890572537,0.0008014693638461051,0.28109309723041165,0.0007903231531778063,0.1293484353280146,1.685654161618505e-06,0.48872046889456616,-6.609711347294739e-05,0.9370015677715857,2.4106306582477588e-05,0.3945438149599961,8.688152744385988e-05,0.20270770038146219,-0.00016589847789919704,0.7599972286249379,0.00012453903198328745,0.2626557543782797,0.00013435395788452542,0.220722816788542,0.00039569915784362295,0.2437705596271712,9.064325473978618e-05,0.06690822898988402,-0.0002980703856972182,0.9425750690057143,-0.00032114458802321236,0.8536807694638843,5.615511320711253e-05,0.30008442157089155,0.0003793273070395939,0.053833233362723304,-0.0005027933582092969,0.8421563592827728,0.00015138673675211406,0.3852399984344815,-3.3216884729736496e-05,0.5667954224347792,0.00012104876398998446,0.24018211371418768,0.0005017745772235502,0.22763192002245375,0.002734002658000473,0.10041229149754055,-0.00014742466372547405,0.6959079544156431,-0.0008649217716383724,0.9828496257105186,-4.635062870225748e-05,0.9186030133440671,5.5136027336120605
CPI,0.6,0.8509388683153314,1.1410055268130243e-05,0.212233275403857,4.693048254699253e-05,0.4078269544849675,9.212443320850278e-06,0.4457289610261316,2.6019530202852498e-05,0.10364190128412076,0.0003640201427794927,0.029768224830872433,-4.0818387821973945e-05,0.8546606967586212,-0.00041752031408751056,0.9446820400434286,0.0006564046128548495,0.3178001804864772,0.0008541138894779983,0.10129547474920708,-3.9146823920661183e-05,0.6994435714382099,-5.199472996291615e-05,0.9524698036698818,2.9200571928685026e-06,0.4900102676906685,2.6691134923050724e-05,0.3813540036791551,-0.00043638225379517837,0.9256183390659104,7.707489937095954e-05,0.21651562792229928,0.00012348726437459712,0.14081607436441496,0.00043714530449824596,0.21963925505264914,6.3156715525668206e-06,0.3739437894653864,-0.00017625041997570978,0.9388106631477411,-0.0005258062204439272,0.9253061930378098,3.610668967208089e-05,0.371780563122996,0.000514640914548399,0.041518067304904344,-0.00036118814660579535,0.7439668549619716,-0.0006897453736164488,0.9192081328067255,-0.00011668444958767496,0.6675672356052642,0.00010490314922177724,0.20919218930159017,0.000632669432783884,0.17653408244996277,0.002504252324134995,0.1117251507035874,5.8495740085373615e-05,0.42508626892825774,-0.00041502756732415824,0.9534187056947996,-2.55804673815474e-06,0.5362239249424845,5.586232900619507
CPI,0.9,0.8497336738767083,0.0,1.0,0.00011765074975477949,0.32128941611673223,2.300534326563075e-05,0.3113637479715545,2.049732680902555e-06,0.15794566236675578,0.00033838353994484344,0.02872789901731393,-5.078759679356254e-06,0.6144926934764026,-0.00034568627913682953,0.9013542625134708,0.0007835207291279865,0.30756611100428827,0.0007665484411831132,0.13580265034961342,4.0054327500378684e-05,0.24498357415479072,-3.760686497475754e-05,0.7000780621611186,3.882935212676589e-05,0.3124511218062139,-5.331651436698767e-05,0.8484306928012051,-0.00038621137971078107,0.8650514993492748,0.00037406856215025514,0.013255923874325516,0.00019242456256177154,0.03799031891465825,0.0005203277088228798,0.17625273654730045,0.00015335197779510826,0.049486866037832034,-0.0002267420060338629,0.9550080578633663,-0.0004621368188435955,0.9283576841288523,-2.856209018384931e-05,0.6036622046620761,0.00038851262281174373,0.0876671838534745,-0.0007445173258146323,0.9339484707026081,-0.0006582982195711407,0.9537824984302906,-7.188071600288184e-05,0.6246634891507625,0.00012663830073991744,0.15229875067357013,0.0005874330861190685,0.17815901579885096,0.0025280923991879076,0.10398720354580032,-6.809186813360596e-05,0.5962152719464382,-0.000697269163406216,0.9814485718178696,2.206010134432959e-05,0.07494949961115385,5.645723581314087
CPI_sqrt,0.0,0.8480813301723172,1.5764275553276086e-06,0.4999828358581689,-7.842005660787382e-05,0.5008490593826208,1.3011706207041035e-05,0.4998585741180182,-0.00020626186679614453,0.50222928240909,0.0002961481101552907,0.49678837344637944,3.0319138962994763e-07,0.49999669900722166,-0.00032779477825881434,0.5035404592200781,0.0007031741656784822,0.49258930090693304,0.0008651857347671682,0.49075604781540155,1.3556821783791695e-05,0.4998526638545027,-8.505379871512342e-05,0.5009243545640761,4.195531055940782e-06,0.4999544175204525,5.372052964711452e-05,0.4994166035210906,-0.00034661265703037764,0.5037429763310903,6.017586488600568e-05,0.49934676414886275,0.00017080736197148602,0.4981464610366902,0.000456948009926135,0.4951047990404617,5.040297139602412e-05,0.49945172398495796,-0.00015505674101037523,0.501683942779444,-0.0008250547605215923,0.5088752164872513,-1.2008348112657607e-05,0.5001303536358629,0.0005426972193804044,0.494133550526147,-0.0005279937986475101,0.5056798756964331,0.0009256758170480342,0.4900448234391008,-3.3764593521445896e-05,0.500365847706518,0.00014992855666992946,0.498373318905604,0.0005697867389180544,0.4939002207272389,0.0033789165094364818,0.4654759858087871,-0.00021871174950247388,0.5023627651797803,-0.000746533787715626,0.5080417447850487,6.376547675518082e-05,0.49931179329415365,16.889951705932617
CPI_sqrt,0.3,0.8462988705492115,-4.60345559239253e-06,0.5000501272281468,0.0001338763550930433,0.49854935429991537,5.571519515260026e-07,0.49999394490411475,-5.936841806194679e-05,0.5006438139908777,0.00026611193108992334,0.49711518999387544,8.59563215629619e-06,0.49990643881389507,-0.00042199474012248606,0.50456023595415,0.0008014693638461051,0.49158980939916946,0.0007903231531778063,0.4915550335291131,1.685654161618505e-06,0.49998167241241764,-6.609711347294739e-05,0.5007189743478622,2.4106306582477588e-05,0.4997381174662954,8.688152744385988e-05,0.4990565177017943,-0.00016589847789919704,0.5017951805036237,0.00012453903198328745,0.49865094596634446,0.00013435395788452542,0.4985437762045836,0.00039569915784362295,0.4957567902277587,9.064325473978618e-05,0.49901448819771144,-0.0002980703856972182,0.5032293987923309,-0.00032114458802321236,0.5034684480110092,5.615511320711253e-05,0.49939023310310765,0.0003793273070395939,0.495895473927905,-0.0005027933582092969,0.5054015528585413,0.00015138673675211406,0.4983743725955188,-3.3216884729736496e-05,0.5003598049491984,0.00012104876398998446,0.49868787932098607,0.0005017745772235502,0.4946340865506043,0.002734002658000473,0.4718903470220168,-0.00014742466372547405,0.5015930011157567,-0.0008649217716383724,0.5093145612502055,-4.635062870225748e-05,0.5005043185694819,5.512948751449585
