method,corr,r2,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,imp_V12,pval12,imp_V13,pval13,imp_V14,pval14,imp_V15,pval15,imp_V16,pval16,imp_V17,pval17,imp_V18,pval18,imp_V19,pval19,imp_V20,pval20,imp_V21,pval21,imp_V22,pval22,imp_V23,pval23,imp_V24,pval24,imp_V25,pval25,imp_V26,pval26,imp_V27,pval27,imp_V28,pval28,imp_V29,pval29,imp_V30,pval30,tr_time
LOCO-W,0.0,0.10875249405603993,0.13140509400160974,0.005644631245524057,0.10061615328491368,0.00017723190954188617,0.32996785471604423,0.0012016794927330876,-0.04722644122822824,0.968294382519687,0.147736189019024,0.00041836452796695234,0.06939652348550511,0.01570902924626183,0.07293824707222649,0.0008961510258185257,0.023564573708117598,0.1765787708475186,0.01512840947420755,0.3963064074467687,0.06937806803913787,0.006624725450067759,-0.7530093637546373,0.9807254702835762,0.0645874754739735,0.03462379358955836,0.02944562477036691,0.14006927424962512,0.08755580984730393,0.002151316259427327,0.24128548008298253,0.000605602656699844,-0.0647493358149879,0.997478450541711,0.061913043577839874,0.08407751601969493,-0.39266701652976504,0.9999999958657128,0.07867367098166313,0.00011729239751290255,0.5164837026289104,0.0,0.29036983374287756,1.5157330834902893e-07,0.2573693979281359,7.101502830231254e-09,0.18362671584197787,3.160720019046437e-09,0.10562137305246735,0.0003774042690748436,0.19074346047022342,1.3595564653856584e-05,0.28577229321055087,1.085131984268628e-12,0.3183147587980585,1.3322676295501878e-15,0.41958376343971077,1.6653345369377348e-15,0.026566116959087872,0.309723007442842,0.17282698193809135,2.4980708890343095e-06,0.09605242270634293,0.006450241929502942,33.03538966178894
LOCO-W,0.3,0.3594920946927057,0.0704967550041957,0.007026815411188658,0.24824213626948993,1.7848176880885802e-06,0.33171402740248923,1.6979598904676152e-07,0.03109536407540885,0.13997387556834107,0.2319523985769843,0.0010710264151098103,0.15887405139329583,0.0002636465483962791,0.16282315867673428,0.0012382491456115474,0.24437620570462237,1.0822454044046026e-12,0.14179571253466136,0.00011037496974597438,0.05137732375267078,0.25820145006047934,0.03593169336587158,0.20942700414292248,0.23952473391538234,8.175901067275504e-09,0.17824639434595052,9.251458443770844e-08,0.3418438888889143,0.0,-2.879049155259215,0.9999952487350113,0.6443579817659723,0.0,0.22317628653476304,4.987745455098391e-06,0.06029301616363415,0.010490656112283281,0.1357724220074825,1.4888163073378813e-05,0.3633196180071309,1.6058265828178264e-12,0.11300230804284772,4.805903171201109e-06,-1.0584479624453516,0.9904924673872152,0.16939005600178222,0.0012954101838660304,-0.5082212960351811,0.969846146551727,-0.03332220852740356,0.6766561882285965,15.018449699051507,0.00028410518625487935,0.12294428959332088,2.9086499875319305e-10,0.549488366671419,7.736034035588091e-13,0.23084503872931816,1.2234427694379768e-05,0.03471019414438083,0.075673205245391,0.38683954692206035,0.0,39.222495555877686
LOCO-W,0.6,0.3654021109748279,0.005107234920043603,0.44472098858091746,-0.0800158656246053,0.9433025230786158,-0.042670793375300324,0.7527380369912362,-0.09549711526750561,0.9219073245641725,0.2695241217266961,2.254852990279943e-05,-0.04076566561341881,0.6916292966274016,0.34384455051418233,2.8899105330992825e-13,0.09331552311370635,0.13140194389308202,-9.409695960308252,1.0,0.1040819124394334,0.12895564730810527,0.2426496686975926,2.180874703050506e-09,0.21376882373657616,2.981073331520534e-06,-0.020970657462864827,0.7321459097004437,0.3629792314578493,0.0010001730269896258,0.11753508020128504,0.02042664648003434,-0.11483102744053748,0.9074812175367686,0.19200307040803483,0.00011216621502874169,0.13175270872915523,2.306803020224457e-05,0.44554764827129856,1.0471290501357089e-11,0.172766473708852,0.001302344039365133,1.4424792130650896,0.0,0.8931423819927514,0.0,-0.003248702437605568,0.5206827153986052,-0.08730505346741614,0.7928562284171397,-0.13884308938135048,0.9994965749087966,0.7820675801385618,0.0,0.025674390531914903,0.12714838595768785,114.0340640692821,2.964295475749168e-14,0.04409024739914232,0.23333267488588827,0.21514448150808327,1.7966064827845685e-05,0.17024324985661415,1.0536530484217543e-05,38.675840616226196
LOCO-W,0.9,-0.0853908484860666,-0.3664195355674087,0.9999967746198272,-0.21470661738344188,0.9924532533126543,-0.7474915372268405,0.9999999997539033,0.2490603009905362,0.00018928148152763669,0.05478290449082186,0.24168423716406395,-0.1614464018780428,0.9586884624970361,-0.15917720340212632,0.9811591019051564,0.0032451725900147456,0.48418663081221247,0.11081419313712498,0.02809698815694117,0.36595586235802113,0.003893881533207577,0.06316424396424257,0.051629840083494805,-0.2445784951334226,0.999410577763589,-0.13979419740905621,0.9882878670762035,0.22783233871860858,0.01539277951049356,-0.42961527500572066,0.9999999740906612,0.09579212162253369,0.1047520980466431,0.06144631061766937,0.2206826820511235,-0.4842358905757431,0.9998969332382546,-0.2540752409512743,0.9783140981775339,-0.18483652149721358,0.9727658343248432,-0.3752889240930206,0.9983489813516516,0.004612638717981502,0.4832519831243407,-0.23518612649029802,0.9719059407023946,-0.21246425018279455,0.9998961734528764,-0.30650747084792507,0.9993158687914308,-0.3419422963505317,0.9998632347595282,-0.7300208017228869,0.9999998807331459,-0.5016127573272431,0.9999457590441563,-0.2702228990489212,0.9983371587580167,0.32100252035431964,0.003916187437306484,-0.15175879985181673,0.9896426645743335,39.08608818054199
CPI,0.0,0.10875249405603993,-0.00011170328408453833,0.6574725814640492,-0.00293319696880269,0.8569743653553579,-0.00032967248659215853,0.8354224446059106,0.22795566651748878,0.09135784989634255,1.0508679450835223e-05,0.218003500012665,-1.0540699397029729e-05,0.5532538028855383,3.727801905552275e-05,0.13610504786057165,2.911787002508881e-05,0.37651137354962033,6.78838401420856e-05,0.3124464776632703,-2.940415236138416e-05,0.6910270852666753,0.0002020166426118658,0.2687248469206931,0.0010706127459726295,0.13726865475473565,0.0009466340181269045,0.11043716290971628,0.0044385483577560475,0.3943377084737205,1.963163779261645e-06,0.43036824811210717,1.480949291109146e-05,0.4590600855441492,4.245605282451881e-05,0.17277521312657834,2.1666105784343137e-05,0.21490811816015876,-1.5641123481818786e-06,0.6091766862920208,-1.2302580447084988e-05,0.7269962176995768,-0.000988894026861989,0.9285587098779692,-0.0043140330415444295,0.8042956156697844,-0.0010661874439259478,0.8344491746485426,0.22689023458154522,0.0013389469960252995,-0.00013953465457272607,0.8099245922934001,-0.00018851863528021595,0.8135539194339259,-0.00012523122601576508,0.5538813041666955,-2.235563489623449e-05,0.6078999166066563,0.00013513218516769676,0.30550181825937983,-8.96285466063379e-05,0.8806876501309635,0.0005880498056599764,0.26951039419811035,15.760907888412476
CPI,0.3,0.3594920946927057,-0.0003450303568730273,0.8958990235037716,-0.002035367769839924,0.860399400342161,0.000246719479850388,0.32598885184029086,0.0037680378033754652,0.3622268138250765,3.3593836307188596e-07,0.47259296145406116,1.4085479081424324e-05,0.2924866817740963,-0.00015872006507572367,0.9305326174202642,6.92318872936859e-05,0.23599169946083187,0.00011806059235498767,0.20281310985461215,8.321953306661412e-06,0.4046078609577204,0.00022293969224125576,0.22905191313068507,0.002132280966929523,0.1379325521979924,-0.00041620737151272513,0.9409114848372718,-0.009667049222795092,0.8718708547488143,1.4952915852337045e-05,0.150181973643838,4.4112599436763045e-05,0.3451450024295095,6.514605956668695e-05,0.08292412727708676,-5.48294498456392e-06,0.6103512887692166,1.5983312578043973e-06,0.3988287602818556,8.925493981848387e-06,0.15171590609077484,-0.0005908629197394627,0.8337089409397143,-0.0036565195328685796,0.8332580583226168,0.004290646887918748,0.06633185764088598,0.0005862533551696941,0.4411710530120626,-0.00010726727034061911,0.8796686132966521,-0.00010497111917015522,0.8368340850665799,0.0003470799462290258,0.31375794364293974,-8.432671344996145e-06,0.606915796699698,0.00012102469788990988,0.3053083718647456,-2.1157457968101756e-06,0.5121271063253381,0.0007231822767567453,0.4298355153751293,4.996450901031494
CPI,0.6,0.3654021109748279,-0.0006321492170794085,0.9651169874697745,-0.0005557010624800823,0.7692651229295189,0.0009410296518544276,0.03572703060291528,0.03798423682068655,0.016293958170647715,2.1239357169688944e-06,0.35470849305459684,-1.4203365910056553e-05,0.7806057518490483,-5.586989281482213e-05,0.6365822778969599,4.8066489127890355e-05,0.24039291944434366,-1.3943886814596351e-05,0.5460319139012325,-1.7337124005312177e-05,0.7725886780011046,-6.189643181486737e-05,0.6396101083171013,-0.000353471611997655,0.8040819392469098,-0.00023240345183297983,0.9928960832843196,0.005242845485236208,0.060979580097544464,-6.828146527387835e-06,0.7564988432292903,-0.00011659488823156927,0.9586260096875311,-1.3382317601826066e-05,0.6725187671867358,-2.482214329604937e-05,0.8360491041113989,-1.0996229178744654e-06,0.5532493281354524,1.7800844990950582e-06,0.4251864533339048,0.00027011977309858437,0.1526267949458482,0.0016764931036766517,0.09524554911064403,0.0011031909044100924,0.2786637679778209,0.011569722285607098,0.013344672208773532,-9.802871352979081e-06,0.5804643627362317,-0.00017584032327636057,0.9226766805087996,0.0012266304793237398,0.025620820102567,-4.2357180651805826e-05,0.8591454963148448,4.4676691126080414e-05,0.4446127039191548,1.622107779782056e-05,0.43183407438828075,-0.0015755185878377903,0.76324652883597,4.925606966018677
CPI,0.9,-0.0853908484860666,9.144327012740316e-05,0.28911735080153106,-0.011121240862367474,0.9834555707916702,0.00011586666872377693,0.39734134643513774,0.05968354696868043,0.07045366697831736,-1.402554927547317e-05,0.9383863765227557,1.5119430395268973e-05,0.3148432563041552,3.5253920663003147e-05,0.4421278775839925,9.88991878834583e-05,0.26112068918150705,-3.7908849885123774e-05,0.6105912470782422,-4.911543486668668e-05,0.8351499994372122,-0.000347329797718246,0.9007182080708988,0.0007293637724524321,0.11756369825478963,0.0005962062742929514,0.1356461670225947,0.024824472195015587,0.07282981707198243,6.033732325175234e-06,0.1342621796991133,5.2777361379541254e-06,0.47834394773774175,9.122800569139056e-08,0.4985322256605577,-3.2801726577616486e-05,0.8679969416484503,8.805501420544593e-06,0.1532053546533621,-2.130514273099293e-06,0.5984314138290631,-0.0001518642814636595,0.6431955212715458,-0.012373603454018986,0.9500419141220052,0.0021351599793898862,0.08430958287279583,0.06591879774071861,0.00028585700233281345,-4.4429664547845915e-06,0.6551619550542941,7.41632819125232e-05,0.40036371607323323,0.0005438908637052098,0.30839990855858274,3.993953308016607e-05,0.16812426373566702,-0.00016045853661256215,0.6691739437266924,-5.186407481093391e-05,0.6392795175221639,-0.0015643857672024836,0.6199776209513463,4.934658050537109
CPI_sqrt,0.0,0.10875249405603993,-0.00011170328408453833,0.5012380078080073,-0.00293319696880269,0.5303885592421156,-0.00032967248659215853,0.5036473908351806,0.22795566651748878,0.13516767341724045,1.0508679450835223e-05,0.4998826783833891,-1.0540699397029729e-05,0.5001174646450867,3.727801905552275e-05,0.4995840567790008,2.911787002508881e-05,0.499675638125817,6.78838401420856e-05,0.4992447769460728,-2.940415236138416e-05,0.5003278584074335,0.0002020166426118658,0.49776429746572504,0.0010706127459726295,0.48836376558535066,0.0009466340181269045,0.48965272129505155,0.0044385483577560475,0.4661707659931449,1.963163779261645e-06,0.4999780813201133,1.480949291109146e-05,0.4998352649156003,4.245605282451881e-05,0.4995264274637023,2.1666105784343137e-05,0.49975820840451207,-1.5641123481818786e-06,0.5000174659910207,-1.2302580447084988e-05,0.5001373227281367,-0.000988894026861989,0.5108382869037988,-0.0043140330415444295,0.5421516011246609,-0.0010661874439259478,0.5115512705584073,0.22689023458154522,0.020736667101530357,-0.00013953465457272607,0.501551479751886,-0.00018851863528021595,0.5020930593181551,-0.00012523122601576508,0.5013633572993534,-2.235563489623449e-05,0.5002491090331241,0.00013513218516769676,0.49850192509500846,-8.96285466063379e-05,0.5009988862972237,0.0005880498056599764,0.4936040672690229,15.751248359680176
CPI_sqrt,0.3,0.3594920946927057,-0.0003450303568730273,0.5038240543641942,-0.002035367769839924,0.5215843019769674,0.000246719479850388,0.4972861020428433,0.0037680378033754652,0.46764496942200195,3.3593836307188596e-07,0.4999962485938043,1.4085479081424324e-05,0.499842800180523,-0.00015872006507572367,0.5017673484095388,6.92318872936859e-05,0.4992288638140524,0.00011806059235498767,0.49868666521555927,8.321953306661412e-06,0.49990714606918685,0.00022293969224125576,0.4975308888245209,0.002132280966929523,0.4774345620636567,-0.00041620737151272513,0.5046138909964334,-0.009667049222795092,0.5864942117479106,1.4952915852337045e-05,0.4998330662064729,4.4112599436763045e-05,0.49950885184575566,6.514605956668695e-05,0.4992733746026565,-5.48294498456392e-06,0.5000612026127332,1.5983312578043973e-06,0.4999821521916218,8.925493981848387e-06,0.49990034003898864,-0.0005908629197394627,0.5064879853289296,-0.0036565195328685796,0.5368763204026975,0.004290646887918748,0.45571614861248244,0.0005862533551696941,0.49410625802332925,-0.00010726727034061911,0.5011949517753161,-0.00010497111917015522,0.5011688661110308,0.0003470799462290258,0.49619980312201056,-8.432671344996145e-06,0.5000940981979357,0.00012102469788990988,0.4986572755220287,-2.1157457968101756e-06,0.5000235837091196,0.0007231822767567453,0.4927534478341811,4.924104690551758
