method,corr,r2,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,imp_V12,pval12,imp_V13,pval13,imp_V14,pval14,imp_V15,pval15,imp_V16,pval16,imp_V17,pval17,imp_V18,pval18,imp_V19,pval19,imp_V20,pval20,imp_V21,pval21,imp_V22,pval22,imp_V23,pval23,imp_V24,pval24,imp_V25,pval25,imp_V26,pval26,imp_V27,pval27,imp_V28,pval28,imp_V29,pval29,imp_V30,pval30,tr_time
LOCO-W,0.0,0.8651501990227538,-0.003360088810643674,0.9999987297723131,-0.003808174750427284,0.991219232538524,-0.0008388044959548614,0.6918846683549223,0.006204025856197765,6.177236065241232e-05,-0.0018533055752172857,0.9795847647063177,0.0007980448088327302,0.06203147576429435,0.0040320900363759755,0.0006134487956085399,-0.008994011944381649,0.9999999913539492,0.0016569800042816561,0.11632382891193138,0.0006216877723098698,0.34252319534428544,-0.0014070930698835437,0.7761382468037203,0.003873409352792853,0.020439181011699503,0.0054068326368511156,0.005169069614053501,0.004206853639824882,0.0003680642781580534,-0.006429141958690314,0.9999998880014065,0.0010460589459344897,0.0944746511524307,-0.0015520156576486147,0.7999574696633176,-0.0037672653921235594,0.9967298725834364,-0.0009494296020318641,0.6333693416525381,0.008441058837408772,0.008454509217475481,-0.0019094425354083831,0.916667028910691,-0.0011457159519341511,0.8610607215044426,0.007625974302345535,2.795461990778847e-07,-0.005053383196821434,0.9981880427437733,0.0023616481012550786,0.0027974869474842734,0.0006266000592572597,0.3418258524746395,0.005054448861638585,0.05140325882647656,0.0026482822005703785,0.04261431783691072,-0.004982797595663673,0.999990912356417,0.008326710623912659,2.5544634123408905e-05,0.00605370707778938,1.020452210909184e-05,181.41653609275818
LOCO-W,0.3,0.8639236172317586,-0.007383829202536986,0.9996419201118251,0.013662779868265897,3.575222229379449e-08,-0.003568371958739179,0.9885344708871234,0.014996012610849017,2.9888926889043432e-09,0.0043779756049254544,0.0004237983357980868,0.0034665745276105486,0.09922986195873995,-0.0015356379139583225,0.8272385109381366,-0.005552604148105228,0.9998427741933703,0.003159561289000745,0.004203908868135375,0.008863064715799996,1.3277730206429084e-06,0.004098015172367408,0.00035488121098203873,-0.0017572652442346744,0.8017536096910339,0.002395383278448068,0.059458209981205545,0.005151997869184834,0.004063202643330266,-0.0008794753047384626,0.6161818670724586,0.004819116166615269,0.023565758112815693,0.0006333079378158285,0.31938789981406046,-0.004158574028262921,0.9602463442543421,0.0026422113733471355,0.0336747689472191,-0.004667023627038845,0.9999710608749294,-0.00023588127534429103,0.5555499814491021,-0.007901943218327835,0.9999999928532454,0.0015412369663147572,0.0362876650787437,-0.0016699257409643771,0.8441814048878125,0.0024708979576907506,0.023721378726374587,0.002730888593774594,0.011633557620952861,0.002943285951089132,0.07267798314463558,-0.004737542063328632,0.9976207484596102,0.0009011573196685076,0.3054696061234189,-0.006457219690906058,0.9998091899782519,0.0009705762347805056,0.29928312488317,181.0937008857727
LOCO-W,0.6,0.8649585088494719,0.007379542118701484,0.0005586280221964168,0.010825385955730708,0.00012866916178688736,0.0005104160483028183,0.3625442107178376,0.007150410952080415,0.0005454492014800305,-0.0005206804004310004,0.6420293351011492,-0.0035747237962186896,0.923336451459283,1.049283415769528e-05,0.49833536150330404,-0.0011676721268366111,0.7272653800297983,-0.0012350057700962688,0.7873830260093023,0.004758519379393903,0.02049512617332938,0.01119345242532347,2.7855075290794673e-07,0.002322857582286484,0.026813671385517934,-0.008933459856991826,0.9995885762038955,-0.0027395898394399596,0.9069715589113175,-0.0033822045423876584,0.9980412573615586,-0.010265244872561042,0.9999999862116037,0.011233263566358264,1.4740280263048078e-07,-0.00211513791450552,0.8406617053140925,0.0006764068007138718,0.2763327169492691,0.005276788925948871,0.0005635170026336844,0.004323582191506919,0.00667056687490819,-0.007666977269830693,0.9996589610883978,0.007276330565374178,1.2459733245151483e-10,0.0009902809986049727,0.2714126466835415,0.0007809314989745225,0.34133807504365,-0.0026802079170804784,0.9908997356307362,-0.006221013286203571,0.9974132298283896,-0.00680606814806353,0.9964116577138403,0.002623819318976553,0.06307429092738248,-0.005250866329682348,0.9989787563991485,-0.002675427677113383,0.9683395796436064,180.66536569595337
LOCO-W,0.9,0.8633703178278336,-0.005259553438046492,0.9973198243191926,0.0034258473583314085,0.03828174842772003,0.005436825883271069,0.00013540068041584252,0.008133985798146294,0.0016990887501685537,0.004348448945055444,0.04673851478793667,0.00711980816761846,2.1465288705391217e-05,0.008792403701566224,3.281576931302155e-07,0.0036757677584664827,0.0832810567427793,-0.00326740695369963,0.9160215302342574,0.008829510010568179,4.191781588502863e-09,0.005168554595642086,9.511681655638426e-06,0.0006238630776120945,0.35085543225917093,0.0006783992414286338,0.3989508908651218,-0.001787173498027468,0.8682324246701414,-0.003572113505860743,0.9990114324255978,0.0038603916346236105,0.012869342242016635,-0.01076711513234134,0.9999993889242631,0.0075361090281834825,8.725409936238826e-06,-0.0053667047982763425,0.9982312029622264,0.0017257561078808127,0.047101306903128304,0.011872414728687391,1.2336026766313068e-05,-0.0014253654135546886,0.8968207812964746,-3.0147640150321794e-05,0.5080120882545531,0.005351996090623739,0.004930746916514295,0.0016221854619765186,0.2370758071925625,0.0035456356551950407,0.02621077445556408,-0.014018145772589212,0.9999959298913261,-0.0017279832150193656,0.8205678670636177,-0.0014873215867757025,0.7593331286026292,-0.002048030095483731,0.9494625859434211,-0.0013238280929752046,0.8738555057906787,180.8234622478485
CPI,0.0,0.8651501990227538,8.127411715401142e-05,0.022229107282943986,0.0011925348592921117,0.04006243423621085,3.4114333439954486e-05,0.046804292745685636,0.00011824828801388493,0.04204682653600036,1.9442337149028904e-05,0.40130698730579933,1.8540093202904645e-05,0.10314778843501288,-0.00033069088058560077,0.9550429489198713,0.0018020811359066476,0.08575791342987149,0.0006215579911727116,0.02089229452445172,-0.0002038316143668055,0.849672634006156,-0.00016913959787360697,0.9394670242335101,1.2163751346886548e-05,0.4760951853631313,-0.00025627569883595117,0.9705445238712626,0.0006126406899725975,0.004701134005675219,-0.00016653762837038483,0.6503851774242042,3.5700653263533166e-06,0.48648940756700765,-0.00013134002481330134,0.939185314873121,-1.1313909760793384e-05,0.5956440445168262,-0.0003834326209923508,0.973642926618782,0.00024259410110666346,0.048455301175081546,0.0005032461359294263,0.05044293578029162,-0.0015053263286549986,0.964625177856001,0.00017727257693809367,0.10681884079309267,-0.0003862190755087331,0.7192174935125437,0.0004884732265114794,0.03946412085939164,1.549962521267545e-06,0.4824892442201587,0.0005690787209928494,0.014550047709485057,0.0018142928086848677,0.159456923035508,-8.990484083691921e-05,0.7220913847702466,5.498698603155841e-05,0.16831655884726848,3.903155397385477e-05,0.3580910131236971,22.59881615638733
CPI,0.3,0.8639236172317586,8.692401086010312e-05,0.023306014522279855,0.001012259192993862,0.06929748913530312,1.4631482584598343e-05,0.2625975800855962,6.132009821610898e-05,0.06301859733163873,-2.5413316987611678e-05,0.7734999496886655,0.00022925143274961715,0.058189165340129044,-0.00039805662706004705,0.9750854898100142,0.001555973967689011,0.12032744634621068,0.0006220695191017644,0.02931479543195555,-0.00023940470407844,0.8891289626461734,-0.00018290122482549076,0.9441462174051994,2.5708462630530393e-05,0.4406360690583065,-0.0003104488011464561,0.9758734435094444,0.0006053858784547499,0.012504852588346518,-0.000288793061481836,0.749077322476298,1.5383139758955167e-05,0.43475795196178735,-5.0844576976703804e-05,0.7320140945825611,-3.3377240387606755e-05,0.8090221793279888,-0.00042594245628287293,0.9717862616431204,0.00021673208728202262,0.08945538703564726,0.0005276452886194341,0.05536838672860349,-0.001595444715253155,0.9574199467074569,0.0002387285897601961,0.060825370461506385,-0.000410268021074231,0.7201440388882293,0.0004290034555928107,0.10350889423094412,4.670106027516996e-05,0.1577677533072105,0.0008993576465342219,0.00789067924272523,0.0017420834662532358,0.15392098311769542,-0.00020465267868376852,0.8506917066247819,5.322826001876585e-05,0.27443979591542883,1.640599992628125e-05,0.37217461483001524,10.743320226669312
CPI,0.6,0.8649585088494719,8.326615578239938e-05,0.023394961677325618,0.001078123162486129,0.0530199193827711,2.6521804432674823e-05,0.12887486384368446,6.443175616412111e-07,0.4896250606408473,-4.881145245029528e-05,0.8878074742507016,4.533656347066595e-05,0.17994140111732765,-0.0003754757761947145,0.9568785449432464,0.0019441009073188562,0.0745452922403706,0.0005684118601701829,0.030970386826234847,-0.00014542094722594032,0.8187575776515388,-0.0002027859894423896,0.9565431564332291,6.77576145020238e-05,0.36819443948451847,-0.0002643100556514906,0.9661623305813651,0.0008054448706308025,0.003365522263438462,-0.0003078727682339199,0.7759890113806601,-4.447165996347008e-05,0.6244173376598714,-5.1377574734272347e-05,0.6939764300920385,-6.162222309317317e-06,0.5392572099521104,-0.00036944844116890314,0.9667927550338343,0.00029246797874095745,0.05226025273578381,0.0005412785895537106,0.06029791375653108,-0.001533270562788196,0.9469693414291399,0.0001995357881154139,0.09996489388136937,-0.00011059385954090284,0.558629780268655,0.0002758926739637006,0.18797982248648443,4.948414785270472e-05,0.050568603021503324,0.0010143864739591661,0.006036380525913747,0.0016898557187407862,0.16106120152851178,-0.00010574039296965682,0.7640924397964644,5.7429515880048215e-05,0.2585675619089477,-2.1502780055866755e-06,0.528454813245032,10.724095821380615
CPI,0.9,0.8633703178278336,8.424255899669442e-05,0.019781666834167825,0.00187501965676478,0.041009259289501124,2.421528631127781e-05,0.1381621215142682,1.0200993572389433e-05,0.2062864852837209,-1.387904582002275e-05,0.6382244634737897,5.5612899458514636e-05,0.11860680146381025,-0.0003591316132201122,0.9605256335558309,0.0019287722921879531,0.07839401620926294,0.0005814804173587818,0.03223934770908425,-0.00022035038082534458,0.85158919431387,-0.00019070991206007054,0.9473420396178652,1.8121735778236364e-05,0.4599372582853011,-0.0002833312511494289,0.9702840886623714,0.0007793463181033772,0.004315339158206426,-0.0001900533215347805,0.6702536064797868,-9.443809998380126e-05,0.703695337157092,-6.826150441944373e-05,0.7868636363204748,1.730268152868794e-05,0.3875379889394683,-0.00027449996856364,0.9162100150125776,0.0003010446014537031,0.06380704242489804,0.0005384138529060008,0.05706804595472264,-0.0015283764227547996,0.946026327458865,0.0002332694587359324,0.06163405120611005,-0.00027014879706467945,0.6423197773702919,0.00021526538624938932,0.24915104548119116,6.738902651654693e-05,0.04779956374590631,0.0009513957658943313,0.007706393689038593,0.0014420718617392386,0.18948219239465963,-0.0001405063727441605,0.7966530503326645,7.461760322451452e-05,0.22197200165513303,-1.9910541298122364e-05,0.9290294061596385,10.854182481765747
CPI_sqrt,0.0,0.8651501990227538,8.127411715401142e-05,0.4991274834716629,0.0011925348592921117,0.4874167401830748,3.4114333439954486e-05,0.4996335679358765,0.00011824828801388493,0.4987315054446987,1.9442337149028904e-05,0.49979148657039196,1.8540093202904645e-05,0.49980082495769124,-0.00033069088058560077,0.5035353768650983,0.0018020811359066476,0.48130359792301386,0.0006215579911727116,0.49337480533825284,-0.0002038316143668055,0.5021790443502551,-0.00016913959787360697,0.5018124409684482,1.2163751346886548e-05,0.4998699845255834,-0.00025627569883595117,0.5027441898247896,0.0006126406899725975,0.4934577092847981,-0.00016653762837038483,0.5017692598956915,3.5700653263533166e-06,0.49996174048750397,-0.00013134002481330134,0.5014083132941966,-1.1313909760793384e-05,0.5001214397581853,-0.0003834326209923508,0.5040988926943072,0.00024259410110666346,0.49740303926692564,0.0005032461359294263,0.49463601079062697,-0.0015053263286549986,0.5158187903722835,0.00017727257693809367,0.4981021144373517,-0.0003862190755087331,0.5040776129572768,0.0004884732265114794,0.49478946412183733,1.549962521267545e-06,0.4999833580961665,0.0005690787209928494,0.49392690984672943,0.0018142928086848677,0.48141965505467066,-8.990484083691921e-05,0.50096226639642,5.498698603155841e-05,0.49940995470616495,3.903155397385477e-05,0.49958173053361943,22.48380708694458
CPI_sqrt,0.3,0.8639236172317586,8.692401086010312e-05,0.499066910736187,0.001012259192993862,0.4893190271186957,1.4631482584598343e-05,0.4998428502835138,6.132009821610898e-05,0.49934169281866864,-2.5413316987611678e-05,0.5002728725892798,0.00022925143274961715,0.4975458613502215,-0.00039805662706004705,0.5042546455226716,0.001555973967689011,0.48385885232178255,0.0006220695191017644,0.493373537788578,-0.00023940470407844,0.5025593995853309,-0.00018290122482549076,0.5019595945408906,2.5708462630530393e-05,0.49972498174020563,-0.0003104488011464561,0.5033223436388462,0.0006053858784547499,0.4935410904079297,-0.000288793061481836,0.5030681390445642,1.5383139758955167e-05,0.4998350906092529,-5.0844576976703804e-05,0.5005452291365541,-3.3377240387606755e-05,0.5003583427120397,-0.00042594245628287293,0.5045502134139891,0.00021673208728202262,0.49768082788677875,0.0005276452886194341,0.49437957899667023,-0.001595444715253155,0.5167239711389466,0.0002387285897601961,0.49744497348705174,-0.000410268021074231,0.5043271443708465,0.0004290034555928107,0.4954313668716413,4.670106027516996e-05,0.49949872365946557,0.0008993576465342219,0.4904314034510582,0.0017420834662532358,0.4821072319911296,-0.00020465267868376852,0.5021878240572638,5.322826001876585e-05,0.49942931152465925,1.640599992628125e-05,0.49982392037356604,10.716157674789429
