method,corr,r2,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,imp_V12,pval12,imp_V13,pval13,imp_V14,pval14,imp_V15,pval15,imp_V16,pval16,imp_V17,pval17,imp_V18,pval18,imp_V19,pval19,imp_V20,pval20,imp_V21,pval21,imp_V22,pval22,imp_V23,pval23,imp_V24,pval24,imp_V25,pval25,imp_V26,pval26,imp_V27,pval27,imp_V28,pval28,imp_V29,pval29,imp_V30,pval30,tr_time
LOCO-W,0.0,0.7050426563726434,0.0016770942922384293,0.394120416390608,-0.0012788264454750792,0.5794129574015564,0.005284660445974066,0.214120488183017,0.003941876810645678,0.2703938325875629,-0.007382376631874711,0.8805418171530013,-0.008240043947555042,0.8949239181801354,0.00346639217289694,0.2858447479072773,-0.008975940104884362,0.9188144403393343,-0.012449617758149734,0.9757060556642607,0.009714816889292821,0.05656957061534407,-0.009583433135838508,0.9380098027792966,0.003599833861897835,0.28948773310481435,-0.00025627209023178395,0.5153074546035998,0.002972427216134996,0.32899331953575994,0.0038726653009155854,0.27668151553941844,-0.009446909691070137,0.9444118278207562,0.0011255560693098755,0.4273508579363442,-0.0011382260096179362,0.5705909927765667,0.003290391699548529,0.2970775426913769,0.009927845972445067,0.05596363314541952,-0.002644762247745845,0.6669438230013651,0.004757914142838777,0.236303458598646,0.013361619957085144,0.01961659045116315,0.0026956992312554794,0.33402899646329265,0.010937468784072278,0.04371557932218695,0.006472704964747063,0.15531590076926927,0.00930054860806487,0.07498968379314774,0.00457046749414977,0.24159599149263344,-0.007402871536967091,0.8778434842104951,-0.014694046427814925,0.9891743440440613,-0.03264899678594469,0.9999998430204753,2.8415610790252686
LOCO-W,0.3,0.7049384957714149,0.006946388035264733,0.138291573516636,-0.005017370342796071,0.777870741830192,0.005932174201418946,0.16895700801426605,-0.008487062402254887,0.9044921902763132,-0.0069173340209812174,0.8563622324047904,0.0005102677940013959,0.4704281303981189,0.005686952634860924,0.17614447773692565,-0.001396051781787516,0.5864629979787518,-0.0009030837142129011,0.560418151348663,0.005151942445118599,0.21538481393548303,-0.006079039606517137,0.8234175684145287,0.012505105053337368,0.019204941852105417,-0.006532637601896189,0.8502147831863723,0.0015687065706672867,0.4054032998763596,-0.009935377866617785,0.9410539435083684,-0.0026679915641797786,0.6625701021820675,0.005557117649623017,0.20176113766929582,0.008036126981717805,0.11247107784262678,-0.006636076980274415,0.845605153326283,-0.0076592431616440085,0.8826421998431135,-0.005441252778932252,0.8064683349459971,-0.01637405621985054,0.9926457776161542,0.0038155708329031626,0.2850890629390552,0.0004982395621854315,0.4682933920985096,-0.005839945666759627,0.8268894744190318,-0.0023014525842143963,0.6384792822401512,-0.0060666031443117815,0.8305920649567059,-0.0012987061491347746,0.582070191747567,0.002905695883069426,0.3255849221582684,0.009020908370817347,0.0782873725635902,-0.01903225072128882,0.9974851865893598,3.1240763664245605
LOCO-W,0.6,0.7051555852035305,0.009818957301323948,0.05707379613519725,-0.0022130995422035907,0.6350768260974649,-0.004203425553075337,0.7483615006265671,-0.004169577184909533,0.7535771790112433,-0.005455619669163418,0.7936607415416734,-0.0006246483714207029,0.539079822234557,0.005206321914680903,0.21415880391548092,0.0195799462830377,0.0005802000795410711,-0.010174625260964645,0.9446917941335053,-0.014274012545358653,0.9878528731168845,0.0020134292114385847,0.37709040022933027,0.003217194503539807,0.2984913463376365,-0.0064617663096747675,0.8496720656957168,0.009901131412064978,0.05453108212070634,0.008805782727519347,0.08846424772190586,-0.004115047396672185,0.7456143093333786,-0.001383388919829154,0.5890471967319055,0.003931773205070466,0.2640900789795906,-0.00209829549248789,0.6269481380283253,-0.004175844506838323,0.7369138561149398,0.016469118439374167,0.004015385627654688,-0.0009059859779313185,0.5575074043436746,0.002278366950809166,0.36248276888737085,0.012689981856276058,0.022066127625701037,-0.011874900552068201,0.9698207503164747,-0.004271678068227305,0.7414050981557001,-0.0011724944849974398,0.5733839037759437,-0.0030317710688507055,0.6847240750584048,-0.005831068088212609,0.809142595152368,-0.002340542923259792,0.6445283544628199,0.009637241402034329,0.06905964661724606,3.14853572845459
LOCO-W,0.9,0.7052915010818488,-0.004639114968841081,0.7748432783968439,0.005813373688844014,0.19614728191368602,0.0007889885982415395,0.44872342846558566,0.00708191930644622,0.11588873850829906,0.003679111189617096,0.28315927276888053,-0.011434748381293568,0.9686545815883123,-0.005349911234238763,0.7899797211368732,0.00034083518571957963,0.47884155006952045,-0.0022799387364642173,0.6447865779147172,0.011582259139475084,0.03782369590212664,0.007973868300913982,0.1056925354381234,0.006406964462316869,0.1631539946411028,0.006864981128386566,0.1537772015812251,0.0012605216325080153,0.42059473211493714,0.0015900895091684136,0.3996418730472332,-0.00982620453453918,0.9311070313652536,0.0024438012864993353,0.3503208200031368,-0.004830443131126283,0.8030459490316532,-0.0019832038843623392,0.621158620192113,-0.02450013980874856,0.999902324411844,0.00474241844409698,0.22656534708621845,-0.0012089311231584564,0.5747360735492414,0.004249082525036696,0.2566424356915611,0.005615127308460693,0.18824659236519736,0.010399424962307901,0.061172290134641094,0.006959473510524079,0.1391249869694755,0.0024518918205893706,0.3538129387370337,0.005947966342715643,0.1595695206398735,0.002685080030522423,0.33874223740554377,-0.00900683531337633,0.9147270368349527,-0.009439512165475316,0.9273694643381662,2.965498685836792
CPI,0.0,0.7050426563726434,0.00039638861724412833,0.15120071733677293,-1.1698387190763049e-05,0.5330422150888755,2.6438117473000233e-05,0.1327147161571307,-0.0012281390763662636,0.8681023493471183,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.6392637948953754e-05,0.22987371391790068,-7.63842612097193e-05,0.6929360547044356,0.0,1.0,-0.0007063444738992231,0.970172391742508,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0015592396518907328,0.24637484629088507,0.00019425230678609545,0.3160583814539482,0.00026821592038304976,0.27346289070629826,5.428061067042772e-05,0.49051002654513465,0.0,1.0,0.0,1.0,-0.00039262217155260765,0.643368904982741,0.0005002525137039679,0.2048913070978458,-0.0005047339227025466,0.7596449673058643,0.0,1.0,0.00024004686408327092,0.17089177742255873,14.779419183731079
CPI,0.3,0.7049384957714149,0.0003946513587091832,0.1573303325315682,-1.3103920752613463e-05,0.5411210964157704,2.6440805337223094e-05,0.13841763392505174,-0.00027869967696319414,0.6285858724973696,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.9408585326566594e-05,0.22450284468652693,-7.957479529164396e-05,0.6836554313136487,0.0,1.0,-0.0006337063690158989,0.9709267280126109,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0014678449609058022,0.26143655694490997,0.00018797418937236549,0.3161144653098946,0.00025820062111461123,0.27718206809572205,-0.00019698573494388028,0.6657929097288794,0.0,1.0,0.0,1.0,-0.0004014593193824162,0.648774252751523,0.0005025543177056557,0.20616040578818345,-0.0005039847604774231,0.7575234453412709,0.0,1.0,5.875389858972513e-05,0.31129669944711413,3.4439809322357178
CPI,0.6,0.7051555852035305,0.0003905186664193913,0.15875884813643315,-1.490882373215291e-05,0.5465985809016022,2.6235159422044463e-05,0.14122183640657082,-0.0005641913779519184,0.7651965507730487,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.124936474818013e-05,0.21697993102324592,-8.171390271164564e-05,0.6847722218691905,0.0,1.0,-0.0006240033331897377,0.9709816521247108,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0015088920017550383,0.2541363426020034,0.00019357688966141484,0.3088517575477796,0.00024483070954652714,0.2874288564227355,-0.00085419513216968,0.9104175519246667,0.0,1.0,0.0,1.0,-0.00039800182952190455,0.6485276095603267,0.0005132951843298678,0.2041434828631477,-0.0005014098706272382,0.7552240161376396,0.0,1.0,4.045248727151118e-06,0.4675059177645292,3.642707109451294
CPI,0.9,0.7052915010818488,0.00038806986717828534,0.15937956859713792,-1.5780647331105346e-05,0.5489469759899035,2.59518833275324e-05,0.14251883862830345,-0.001114467591879234,0.8975135715596124,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.285876536184007e-05,0.2138330962164769,-8.287085622391693e-05,0.6861967899696544,0.0,1.0,-0.000618111296711743,0.9708679521159307,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.001548325733263911,0.24782877130322467,0.00019709925156290858,0.3046909218838955,0.00023913751826135782,0.2919916423029034,-0.0012544758460306601,0.9057296507958001,0.0,1.0,0.0,1.0,-0.00039602990492240003,0.6481848538812391,0.0005192121258159529,0.2030402615614164,-0.0005001680613066911,0.7541882623576526,0.0,1.0,-8.707079749009639e-06,0.6598433756991124,3.6748147010803223
CPI_sqrt,0.0,0.7050426563726434,0.00039638861724412833,0.49575738793078616,-1.1698387190763049e-05,0.5001260347331182,2.6438117473000233e-05,0.499714258604107,-0.0012281390763662636,0.5128956642726819,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,3.6392637948953754e-05,0.49960694225779867,-7.63842612097193e-05,0.5008227079067428,0.0,0.5,-0.0007063444738992231,0.5075616985569591,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0015592396518907328,0.4841200107093222,0.00019425230678609545,0.4979220485616937,0.00026821592038304976,0.49713389523392065,5.428061067042772e-05,0.4994471564306751,0.0,0.5,0.0,0.5,-0.00039262217155260765,0.5041265686466168,0.0005002525137039679,0.49467755183139706,-0.0005047339227025466,0.5053545785670951,0.0,0.5,0.00024004686408327092,0.4974215876621456,14.773528099060059
CPI_sqrt,0.3,0.7049384957714149,0.0003946513587091832,0.4957769033182332,-1.3103920752613463e-05,0.5001412315804772,2.6440805337223094e-05,0.49971423399999687,-0.00027869967696319414,0.5029462371265994,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,2.9408585326566594e-05,0.4996822840084908,-7.957479529164396e-05,0.5008567251492736,0.0,0.5,-0.0006337063690158989,0.5067915512263901,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0014678449609058022,0.48505960811559556,0.00018797418937236549,0.49798850580700565,0.00025820062111461123,0.49724028307668583,-0.00019698573494388028,0.502104136117035,0.0,0.5,0.0,0.5,-0.0004014593193824162,0.5042213943672412,0.0005025543177056557,0.4946539342122466,-0.0005039847604774231,0.5053457927736378,0.0,0.5,5.875389858972513e-05,0.499366633016747,3.4232497215270996
CPI_sqrt,0.6,0.7051555852035305,0.0003905186664193913,0.4958209219895795,-1.490882373215291e-05,0.5001606825585365,2.6235159422044463e-05,0.4997164572937921,-0.0005641913779519184,0.5059750612660954,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,3.124936474818013e-05,0.49966240712929116,-8.171390271164564e-05,0.5008796756027828,0.0,0.5,-0.0006240033331897377,0.5066885178376934,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0015088920017550383,0.4846355653834554,0.00019357688966141484,0.4979282790132324,0.00024483070954652714,0.49738316613983624,-0.00085419513216968,0.509080695257225,0.0,0.5,0.0,0.5,-0.00039800182952190455,0.5041858378766482,0.0005132951843298678,0.4945408072885618,-0.0005014098706272382,0.5053179259039479,0.0,0.5,4.045248727151118e-06,0.4999563098406703,3.4837191104888916
CPI_sqrt,0.9,0.7052915010818488,0.00038806986717828534,0.4958469646804881,-1.5780647331105346e-05,0.5001700744335913,2.59518833275324e-05,0.49971951785530705,-0.001114467591879234,0.5117705357154129,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,3.285876536184007e-05,0.4996450347674298,-8.287085622391693e-05,0.5008921069569477,0.0,0.5,-0.000618111296711743,0.506625869370571,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.001548325733263911,0.4842308396963868,0.00019709925156290858,0.4978904630942518,0.00023913751826135782,0.4974440320457729,-0.0012544758460306601,0.5132225580045755,0.0,0.5,0.0,0.5,-0.00039602990492240003,0.5041653905338513,0.0005192121258159529,0.4944785007002386,-0.0005001680613066911,0.5053045208577595,0.0,0.5,-8.707079749009639e-06,0.5000941121895982,3.683516263961792
CPI_n,0.0,0.7050426563726434,0.00039638861724412833,0.4507892204586914,-1.1698387190763049e-05,0.5015756163601843,2.6438117473000233e-05,0.4962922982048086,-0.0012281390763662636,0.6229753111606313,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,3.6392637948953754e-05,0.49494165490419983,-7.63842612097193e-05,0.5102507802161561,0.0,0.5,-0.0007063444738992231,0.587458201585597,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0015592396518907328,0.37976794011729725,0.00019425230678609545,0.47599729109944444,0.00026821592038304976,0.46727598269715387,5.428061067042772e-05,0.49575616803371697,0.0,0.5,0.0,0.5,-0.00039262217155260765,0.5402042716437635,0.0005002525137039679,0.44198467784423046,-0.0005047339227025466,0.5567418977221933,0.0,0.5,0.00024004686408327092,0.4688726371317473,14.83808708190918
CPI_n,0.3,0.7049384957714149,0.0003946513587091832,0.4511272534699423,-1.3103920752613463e-05,0.5017734099486794,2.6440805337223094e-05,0.4962926697115749,-0.00027869967696319414,0.5302639114517242,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,2.9408585326566594e-05,0.49589751488557576,-7.957479529164396e-05,0.5106252630655433,0.0,0.5,-0.0006337063690158989,0.5795852539136825,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0014678449609058022,0.38713873680571814,0.00018797418937236549,0.4766784115502162,0.00025820062111461123,0.46841280361813353,-0.00019698573494388028,0.5239388143966879,0.0,0.5,0.0,0.5,-0.0004014593193824162,0.5412913400528077,0.0005025543177056557,0.4418225837196108,-0.0005039847604774231,0.5565645284770102,0.0,0.5,5.875389858972513e-05,0.4920287264364697,3.4353890419006348
CPI_n,0.6,0.7051555852035305,0.0003905186664193913,0.4516093800058813,-1.490882373215291e-05,0.5020173699515201,2.6235159422044463e-05,0.49632162444296385,-0.0005641913779519184,0.5622477211413067,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,3.124936474818013e-05,0.49564240319886915,-8.171390271164564e-05,0.5108985648921407,0.0,0.5,-0.0006240033331897377,0.5785119201584619,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0015088920017550383,0.3837085328474761,0.00019357688966141484,0.475947351421039,0.00024483070954652714,0.47004316692796644,-0.00085419513216968,0.5975869977765905,0.0,0.5,0.0,0.5,-0.00039800182952190455,0.5410133414166419,0.0005132951843298678,0.44072075511322745,-0.0005014098706272382,0.5562154242954189,0.0,0.5,4.045248727151118e-06,0.4994377960755568,3.6029345989227295
