method,corr,r2,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
LOCO-W,0.0,0.3143285605174141,0.18455997541207883,3.5451175328660156e-10,0.12624982184509112,8.632734750380067e-07,-0.08788835678371858,0.9995079505014433,-0.04034723424755717,0.9437093758420911,0.1133515564689918,2.1534664553346516e-05,0.06485360177142449,0.009790071189928251,0.06468991431434347,0.00593810269525441,0.07393242946296556,0.003450856891292986,0.060162179033132236,0.01184245785149085,0.07702335573967126,0.0013725563767779114,0.11436601359216235,2.2882812193980584e-06,-0.19709240432950545,0.9999999998889322,23.363768100738525
LOCO-W,0.3,0.32992470792329165,0.1492616766051268,1.5416906318233004e-07,-0.009857600447777674,0.660512450123582,-0.0334900563247989,0.8980007136462342,0.04186904338974041,0.06574724911609187,0.1816743704877491,9.41866377113243e-08,0.041883434674410844,0.06827693694431225,-0.03230050214134065,0.912174625216184,-0.018794543973658685,0.7664440215820599,0.13319784326653528,3.4564918142132584e-06,0.026115531969624604,0.16994119104708838,0.10788413246536818,2.8498770339724366e-05,0.22158478341196955,1.1729728299769704e-11,20.243337869644165
LOCO-W,0.6,0.32986913990912037,0.1451131865660382,1.1180756396278468e-06,0.03687685057069544,0.06833337383920757,-0.11496239302337359,0.9999266415895494,0.04621551969002313,0.05517789501548065,-0.05663920820863483,0.9855760361237804,-0.10621916966302465,0.999896401380602,-0.010016150823053288,0.6507883900948013,-0.06745297604458914,0.9959064739025549,-0.1226541730692189,0.9999747888114245,-0.06648892070988141,0.9948327474059729,0.002531734821397136,0.4617638164081007,0.010193013752314304,0.33642912542440573,23.259111642837524
LOCO-W,0.9,0.3254320547049052,-0.028779288237140946,0.8267683562966204,0.14097023705865366,5.773323596969249e-08,-0.03195868357681643,0.8899331870986376,-0.0006806221670925606,0.5097818175316279,-0.10461983975595325,0.9999261058143641,-0.0815368845344665,0.998699838274085,-0.036838159865425754,0.9380787508666273,0.007632498543667543,0.38228184234390683,-0.030334774550789423,0.8859161731233841,-0.010054059752410242,0.6533046217114942,-0.07268798220213173,0.9984347085726721,-0.02109852554020113,0.8049142630395345,23.05440592765808
CPI,0.0,0.3143285605174141,0.009368287854028046,0.03443800624535463,0.015373218362192631,0.013370584923535576,-0.0019909163036176958,0.7712203682327694,-0.0008364018223892544,0.5438757124960117,-7.805342939598559e-05,0.588860523851311,0.20839397710471955,0.0001766355050583967,0.050389673594189804,0.0027245339049903894,1.8146788262896063e-06,0.39197645957753224,-0.0014745667974948584,0.7778613649564783,0.007895557258290803,0.015547354901777458,0.09835146396428626,8.135692468375191e-08,0.0014313318795939056,0.25498092459444666,15.914568662643433
CPI,0.3,0.32992470792329165,0.003467955110844634,0.11530594721089565,0.011559013224772624,0.009994572449441647,-0.0031028672450983397,0.8920766545016874,0.00791911978925211,0.10275091434180716,-0.00016827525641258112,0.8880798094789194,0.14843529087364052,0.00035229516926026176,0.03358992959049614,0.0006247555729682849,-3.662938815485184e-06,0.6873820348792993,-0.001678930286904745,0.8487699820525705,0.0054048770329157,0.013073448885274749,0.10448150381567442,3.947650801084994e-08,0.005176005499938935,0.08754081509437295,4.397876501083374
CPI,0.6,0.32986913990912037,0.0014953297518617847,0.3414769773445978,0.01375009180821904,0.014080378336972394,-0.002721846501131442,0.8601203532368167,0.0030432775631063502,0.32573607257636916,-5.9643130264658284e-05,0.6089302065773184,0.1591688818942175,0.00019866073200430756,0.01810081596799265,0.020149886666482375,-5.930561091993525e-06,0.7280092223962866,-0.0016071228588566133,0.8172116542085324,0.008001003107750981,0.00808098629101622,0.09112935334396702,9.843835344004724e-08,0.0011995430710596833,0.32430408901806945,4.713873386383057
CPI,0.9,0.3254320547049052,0.0003828637975049898,0.4330650970465213,0.014674211187857722,0.004236325905710213,-0.0019925805505380256,0.7698676501851216,-0.0014893365731268593,0.6351523534807898,-0.00011272135111806136,0.7199988169800651,0.015418060722814486,0.03747492754754083,0.0014066756544980907,0.19847638003621698,-1.1818343275488141e-05,0.8670811638099837,-0.0011671680248462324,0.7490999456103887,0.008415609452172734,0.008742399731795797,0.059794317115791196,5.027182434259475e-06,-4.287121592444487e-05,0.516662657798223,4.458367586135864
CPI_sqrt,0.0,0.3143285605174141,0.009368287854028046,0.41292846451904824,0.015373218362192631,0.364490820051317,-0.0019909163036176958,0.5197939162698314,-0.0008364018223892544,0.5074113570076604,-7.805342939598559e-05,0.5008242680209448,0.20839397710471955,0.01476886431240494,0.050389673594189804,0.18222281335655205,1.8146788262896063e-06,0.4999806619299991,-0.0014745667974948584,0.5149432355128335,0.007895557258290803,0.4238156304795934,0.09835146396428626,0.040078717694676004,0.0014313318795939056,0.4855843175389002,12.013798236846924
CPI_sqrt,0.3,0.32992470792329165,0.003467955110844634,0.4657313794930342,0.011559013224772624,0.3925691716000479,-0.0031028672450983397,0.5309642272351485,0.00791911978925211,0.42807490615266824,-0.00016827525641258112,0.5017869268073598,0.14843529087364052,0.03384898152763163,0.03358992959049614,0.24128955692475756,-3.662938815485184e-06,0.5000390330786202,-0.001678930286904745,0.5171433997273467,0.0054048770329157,0.4460704446234739,0.10448150381567442,0.03313394384941219,0.005176005499938935,0.4500685525150352,4.415073394775391
