method,corr,r2,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
LOCO-W,0.0,0.42045417388095696,0.001996720193164762,0.28518831357202035,0.011879552113874628,0.00040107148669765724,-0.0052908774946552614,0.9383693137056128,-0.0028981886688808443,0.7980004463742537,0.005439389381306087,0.07453774850757533,0.0032172341035565694,0.2018565110385364,0.002471932400996227,0.2666132434680254,0.003065343923350756,0.1911307864060382,0.003974533172366027,0.13397675833254996,0.004485677324766539,0.11826036678810192,-0.0005630809716417619,0.5613460908108108,-4.661731315843231e-05,0.50516037071722,33.989558935165405
LOCO-W,0.3,0.42432136470721804,-0.007468535479202941,0.9863664735650278,-0.0050326887578695054,0.9018339523462899,0.003238410266352821,0.1948783028239197,0.005304991728512522,0.07439314291909105,-0.002730829502936191,0.7599237324765764,-0.00013047069351461796,0.5147274706755385,0.004511254792989931,0.09634165543560702,-0.008555742973204754,0.9863737954017201,-0.003935468332073632,0.8527658615069267,0.005924981258119621,0.05803038157008045,0.0028078422989548865,0.22329958997670352,0.00039389360018339553,0.4601663710387345,33.85656476020813
LOCO-W,0.6,0.42653668644091847,-0.004869600531611985,0.9179762177111865,0.008887617514538324,0.005820954546414847,0.005408200120718491,0.08253829729236561,-0.0035166150152670583,0.8425512748374713,0.004610301408989675,0.10756781397906456,0.0001743282959948747,0.48240145302492676,-0.005090074920465957,0.9110645378597464,0.005704997814391386,0.0711530104824587,-0.004592291153004151,0.9142431448029824,0.0021856719900742545,0.28561302099762,0.004571987798316986,0.1042656404593183,-0.008561284709381514,0.9904591769985674,32.089813232421875
LOCO-W,0.9,0.42650730890409005,-0.002914920823057143,0.7799709679143851,-0.002191875409827379,0.7198036270226857,-0.004513810802912285,0.8875366646014848,0.0014042475552381384,0.351271674797901,-0.004811656460504203,0.9070424444783076,-0.005555770214161783,0.9480003275493037,0.0014764150402657372,0.33883455418430886,-0.004390903318446381,0.885764636424214,0.0026860064522236365,0.22560567534010356,0.0003938076656339144,0.45873005204912787,0.004127182361020081,0.15254828990863223,0.0038281237040188455,0.13705904774227207,33.27354073524475
CPI,0.0,0.42045417388095696,0.004262786458333306,0.003911071233979952,0.020183203124999965,0.004969040647306786,0.003292213541666672,0.002718860969334746,0.0023744010416666406,0.21689427330346345,0.0038009635416666188,0.03572141455692366,0.0019079427083333045,0.11097780594024781,0.00985526041666665,0.00831280860099681,0.0035797916666666374,0.01393083501707125,0.0053624999999999645,0.000292921816345202,0.047187447916666625,1.1211041384445423e-05,0.09136828125000002,3.0100270759010426e-13,0.0018376822916666424,0.0849815046539662,17.594412803649902
CPI,0.3,0.42432136470721804,0.0037411458333333203,0.012673720996135522,0.02087023437499999,0.003128609539733346,0.0029451041666666844,0.009438143154717304,0.00334018229166666,0.11922493906153359,0.004547968749999992,0.029086899557936145,0.0017947656250000277,0.15211147534544323,0.0017372916666666682,0.2008761828605859,0.0036518489583333424,0.008686516039049992,0.005236041666666635,0.0005994949359005617,0.04691218750000001,4.9699134971139325e-06,0.08555216145833333,2.7634015693238016e-12,0.0008623958333333348,0.2202740705981503,6.74269437789917
CPI,0.6,0.42653668644091847,0.00344455729166665,0.01630241742279688,0.019160130208333404,0.006682585674953048,0.002769947916666682,0.023217965110877776,0.004996901041666668,0.041803937767856576,0.004803046875000022,0.025778965891425424,0.0014165364583333395,0.20007331461823485,0.0016160416666666788,0.1338393019054005,0.003018723958333358,0.023904704065685622,0.00585705729166669,0.00047964839990361565,0.046712812500000006,8.324375084973811e-06,0.08580515625000004,3.5157737903710646e-12,-0.0004439583333332997,0.6923972043433891,6.848721504211426
CPI,0.9,0.42650730890409005,0.0016085416666666574,0.187036502885095,0.020252578125000004,0.005241099516396477,0.0032329947916666657,0.010260504808783355,0.0045443229166666765,0.02513445248565434,0.0040739583333333496,0.04544915336499841,0.0009334635416666515,0.17098337491321597,-0.0001006770833333337,0.543339081139579,0.003075833333333333,0.026115506415496516,0.004721874999999959,0.002353925261648909,0.04869044270833334,4.4028562096036445e-06,0.08492007812500005,3.2968458027201366e-12,-0.0012094531250000373,0.9691108077429147,6.847437381744385
CPI_sqrt,0.0,0.42045417388095696,0.004262786458333306,0.45450600490766385,0.020183203124999965,0.32142971985108526,0.003292213541666672,0.46443551790450843,0.0023744010416666406,0.4755578160761921,0.0038009635416666188,0.4599577757882032,0.0019079427083333045,0.47958010298349857,0.00985526041666665,0.4022433429949902,0.0035797916666666374,0.4617962002242145,0.0053624999999999645,0.4427762710874403,0.047187447916666625,0.15680436607678006,0.09136828125000002,0.02949381996338936,0.0018376822916666424,0.48021308526616174,13.84452199935913
CPI_sqrt,0.3,0.42432136470721804,0.0037411458333333203,0.4601281278966217,0.02087023437499999,0.3150266119922471,0.0029451041666666844,0.46823695058357295,0.00334018229166666,0.46545904719311015,0.004547968749999992,0.45248851768481757,0.0017947656250000277,0.48088510656602634,0.0017372916666666682,0.4816559087027652,0.0036518489583333424,0.4609330853241167,0.005236041666666635,0.444201212016559,0.04691218750000001,0.15555111702091257,0.08555216145833333,0.03768455088639224,0.0008623958333333348,0.4906555994748849,6.889120101928711
