method,corr,r2,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
LOCO-W,0.0,0.5192498191720722,0.09674820560501048,1.1102230246251565e-16,0.08957171220166782,0.0,0.08650683662187031,2.9976021664879227e-15,-0.045198055427414785,0.9999834245900657,0.036278460921423554,0.0009267817760383323,-0.061829279081317016,0.9999998543347565,-0.011009899150564068,0.8869023972860531,-0.006186915671650058,0.7121132062377478,-0.08691606614297936,0.999999999999866,0.3385636789567474,0.0,-0.07594453511209204,0.9999999999999964,0.06789131038069941,1.2090328738167955e-12,80.86681795120239
LOCO-W,0.3,0.5147933843635024,-0.17132129454585962,1.0,-0.03608552877428088,0.9996732736043064,0.1266640197172485,0.0,-0.01746759179325694,0.9292657094941403,-0.09277920605413727,1.0,-0.12121261241917483,1.0,0.002489212629209487,0.4050014353340685,-0.045958076329859106,0.9999952240905611,0.04840232558756573,3.1675392470065233e-06,0.14645195055288218,0.0,-0.04711474567464693,0.9999979788939319,0.058084895788955704,5.031691027168606e-07,83.39521646499634
LOCO-W,0.6,0.5127544140012081,-0.039246621948486854,0.9987350780334544,0.13510062850290872,0.0,0.059355895309440514,2.822231337518133e-11,0.07891795857598735,5.551115123125783e-16,0.05787917855451757,8.980760579646585e-09,-0.08799199887735026,1.0,0.00726482001506437,0.24931141384853994,-0.03136470719934163,0.9967183212085724,0.006142705652446353,0.2710547548916763,0.01732021433851851,0.0980999381869696,0.0017253361782643424,0.43207499056598453,0.08112675905630666,4.889422200449189e-13,83.24904298782349
LOCO-W,0.9,0.515700124467452,0.025849846193071162,0.006621368102586622,-0.026747172152662,0.9836280500550787,-0.058083494592781004,0.999999941730794,0.20513063194467895,0.0,0.04582277579946785,8.801627167720483e-05,-0.1151521320458238,1.0,-0.0889869428642624,0.9999999999972505,0.09759948167791059,0.0,0.019262728216283626,0.03517972960414084,0.049974758399562606,0.00012046315349656389,0.009529452342160976,0.18277678756175542,0.017177637343294413,0.056972143725778635,81.09773063659668
CPI,0.0,0.5192498191720722,0.004524609096026366,0.005988096967079758,0.026833956962042826,9.810099394760579e-07,0.004154336324166841,0.0014749296877997412,0.003579084328246107,0.061049118762514516,0.007707122208067768,0.00040497140652550847,0.0037387702227398845,0.003334420392051053,0.011039623880122473,0.0006255840815901421,0.004191372597852017,0.00020578124038186192,0.003225535684439673,0.020332188365487013,0.05287230871005022,2.186401583701026e-08,0.11493453240622073,1.3093590064685895e-14,0.00044448233001381787,0.36111347547752504,22.234230995178223
CPI,0.3,0.5147933843635024,0.004512563605196113,0.0031682057191113563,0.02649939713837543,1.3331296664067046e-06,0.003688146158134231,0.004835561312644178,0.004568574533829056,0.015217530120996702,0.007120804272061243,0.0009302506522224174,0.0034568853919548226,0.00473625798156134,0.011297202565450665,0.0005099636505733177,0.004685922729633224,9.234461986580805e-05,0.0027944474237606987,0.0360245386619851,0.05215804895227366,3.951397565774898e-08,0.1115003856750868,7.11123929574943e-15,0.0009687704749319626,0.17287604775586274,11.618242740631104
CPI,0.6,0.5127544140012081,0.003913363068428238,0.004097289802001237,0.02598406751746213,1.0794842249290126e-06,0.0038690430509509266,0.005678453713952285,0.004215354895529627,0.025919580839585347,0.008581497655291537,0.0001168598494935099,0.002288636042518166,0.037267475251394254,0.011385893396813063,0.00020387523375607215,0.00446152516206702,9.262590036851355e-05,0.002357902073856444,0.05353046202075189,0.04947643903990051,2.05201146473692e-07,0.10880152887162517,5.578995676062214e-16,0.000706573297090729,0.20264498511949552,10.098256587982178
CPI,0.9,0.515700124467452,0.0020654822996453437,0.021712688933946733,0.026013883550000866,1.3002905828276344e-06,0.0043569603368951715,0.0022039094964416118,0.0041663437834682515,0.03121856577610066,0.0088923791999099,0.00013095860960357107,0.0009700629784198944,0.18827473324213612,0.010174418670961666,0.0001870871690522828,0.004414167704142741,4.967079345016219e-05,0.002737419674467695,0.03470819541176635,0.05343669034559467,1.4124016518552483e-07,0.07300152523250508,2.2607728816776799e-13,0.00032826111494771437,0.2896202741530247,10.24667763710022
CPI_sqrt,0.0,0.5192498191720722,0.004524609096026366,0.45303729596293313,0.026833956962042826,0.2623647705519503,0.004154336324166841,0.4564082788650091,0.003579084328246107,0.4633098289043532,0.007707122208067768,0.4213682118278528,0.0037387702227398845,0.46073408422704043,0.011039623880122473,0.39119136995757836,0.004191372597852017,0.45577642665544876,0.003225535684439673,0.46628553979307985,0.05287230871005022,0.12624108820069813,0.11493453240622073,0.013014362979216697,0.00044448233001381787,0.4953086260985413,20.03675651550293
CPI_sqrt,0.3,0.5147933843635024,0.004512563605196113,0.45298167054927474,0.02649939713837543,0.2649731866708652,0.003688146158134231,0.46131218968233867,0.004568574533829056,0.45296182985502975,0.007120804272061243,0.4272572876251027,0.0034568853919548226,0.4636422878868205,0.011297202565450665,0.38876749507583813,0.004685922729633224,0.45067052494970083,0.0027944474237606987,0.47076568166778476,0.05215804895227366,0.12976839903635484,0.1115003856750868,0.014456498125765261,0.0009687704749319626,0.48971517652678676,11.48131251335144
