method,corr,r2,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
LOCO-W,0.0,0.3634614213954358,-0.02628606279755953,0.8580461277571312,-0.02833868036322684,0.882725824997454,-0.006506223047437843,0.6101095056894107,0.03620502791383971,0.06613630842107021,0.046552346050194086,0.02369278259067098,0.044154984577251866,0.03528055400367358,0.04151986019310766,0.04526447015845492,-0.009081539298072247,0.6461361183614166,-0.0005974463414561474,0.510056933002931,0.06014056376886723,0.005887874686907657,0.04159997803900078,0.04395597550992858,-0.018397904971727285,0.7720833149617656,0.5544912815093994
LOCO-W,0.3,0.3634499865213765,-0.05082152504633123,0.982451999536274,0.023503541265922526,0.1723641706212382,-0.0034919060371172545,0.5559632527673359,-0.040420786500568,0.9547960114107016,0.00020908779566107682,0.4964809088224069,-0.0013667466465412945,0.5226200765467739,0.055935971053800645,0.010527235268711577,0.011485360376148218,0.31579940646188964,-0.010007061193196781,0.6637912520130469,-0.02705123439952992,0.8726390300180815,0.03794997542550801,0.05499374503541088,0.00831103566500086,0.36546327254596933,0.6222677230834961
LOCO-W,0.6,0.3634363830868177,0.007579954283489089,0.37833747834195075,0.029077525768751767,0.1159602673242639,0.061030215157975395,0.005582602829197647,-0.024459681626823822,0.8475170349213923,-0.026462874455715907,0.8641412965054449,0.04489345683329813,0.03112885227325568,-0.042795922305058555,0.9566415290931891,-0.05235488370459144,0.9844424205490407,0.0461823560566099,0.0285382689471404,0.017646984214548453,0.23066081435712915,0.0479321332950761,0.019670220426214025,-0.003313773056681974,0.5550294467449308,0.8192551136016846
LOCO-W,0.9,0.3633733649936516,-0.04892673586097382,0.9785092135656451,0.011997824486481826,0.3155442274366951,0.012360201160621562,0.3059483462014635,-0.012178365514660254,0.6947762885786968,0.002501740829661566,0.45854452239748855,-0.003782653581667191,0.5624924305533902,-0.017053019102557757,0.7673734263934626,0.02077569171677136,0.19051159363431913,-0.03688412839264178,0.9394127115832097,-0.05084797215343303,0.9852456688329246,0.04576671504921482,0.029920189817204346,-0.004849771136563034,0.5792337623188855,0.9464147090911865
CPI,0.0,0.3634614213954358,7.29993540328766e-05,0.4408240197657144,0.020170305350768886,0.004156127227544519,-6.607206345005112e-05,0.8993099969570786,0.0002492710213595206,0.3558542572657974,0.0020903921192097497,0.2178736571063632,0.0025829408149770083,0.027513872402184496,0.008244793566378555,0.013159707133008286,0.0,1.0,0.0014445695789306878,0.18044439842247822,0.013399995588732616,0.005812462748593885,0.08216846274281431,7.985362737953388e-08,9.999437246077658e-05,0.33400533691435885,14.607107162475586
CPI,0.3,0.3634499865213765,9.421507611059865e-05,0.4278197501469153,0.020233225113499648,0.00402315937440237,-6.848014235211197e-05,0.8981263460651618,0.00023327375980958243,0.36235370215037543,0.002090689519711336,0.21778570572914902,0.002353667041698565,0.034779265872038986,0.0002383215540464334,0.35613164755139787,0.0,1.0,0.0014454907029578246,0.18037766668339916,0.013436565309560417,0.005734866188035511,0.08024845391125807,1.1342923471916778e-07,9.339693219112544e-05,0.33361820441338175,3.3853862285614014
CPI,0.6,0.3634363830868177,0.00011987403033625332,0.41109604219123824,0.02031566397034537,0.0038156426662193056,-6.813570261901547e-05,0.8967017221653826,0.00021076628114302665,0.37200985517457286,0.002089389089080851,0.2178313750350202,0.001867019328600228,0.053951655149384124,-1.7206185835005883e-05,0.5389021782880239,0.0,1.0,0.0014472597100628481,0.1800912384881908,0.013472253510601662,0.005651227543026949,0.07383817156059225,2.72553193418326e-07,8.205062646024497e-05,0.3327058319780556,3.4471824169158936
CPI,0.9,0.3633733649936516,0.00013049659164929284,0.3875550943163993,0.020302586649547233,0.0035647000515644563,-5.74287227395609e-05,0.8950354554107325,0.00016454551411473894,0.3941451314040556,0.002084967132078841,0.21801712463872058,0.0007868603890701931,0.15142838969027855,-1.328676061826406e-05,0.6202621805493747,0.0,1.0,0.0014478060257868686,0.1805939479720336,0.01341375442553952,0.005671252709562919,0.047287829354896754,1.6225786925889663e-05,3.983815187846851e-05,0.32784078776946535,3.457953453063965
CPI_sqrt,0.0,0.3634614213954358,7.29993540328766e-05,0.4992320079864365,0.020170305350768886,0.32725534695119024,-6.607206345005112e-05,0.5007032474555997,0.0002492710213595206,0.4973902291962473,0.0020903921192097497,0.47921901626463537,0.0025829408149770083,0.4734455168912612,0.008244793566378555,0.4205833914035633,0.0,0.5,0.0014445695789306878,0.48523064692910123,0.013399995588732616,0.37694272565239584,0.08216846274281431,0.060908099699530704,9.999437246077658e-05,0.49894082345500146,10.65436315536499
CPI_sqrt,0.3,0.3634499865213765,9.421507611059865e-05,0.4990095272884586,0.020233225113499648,0.32672294169298083,-6.848014235211197e-05,0.5007288360298474,0.00023327375980958243,0.49755693496665976,0.002090689519711336,0.4792157278984152,0.002353667041698565,0.4757688266445748,0.0002383215540464334,0.49750300811163956,0.0,0.5,0.0014454907029578246,0.4852214489040283,0.013436565309560417,0.3766304916594987,0.08024845391125807,0.06475978555353906,9.339693219112544e-05,0.49901028738332487,3.381807565689087
CPI_sqrt,0.6,0.3634363830868177,0.00011987403033625332,0.49874029455204333,0.02031566397034537,0.3259906778385146,-6.813570261901547e-05,0.5007251688520612,0.00021076628114302665,0.4977916714212495,0.002089389089080851,0.47922805721417805,0.001867019328600228,0.4807069929819354,-1.7206185835005883e-05,0.500182530510494,0.0,0.5,0.0014472597100628481,0.48520338925804524,0.013472253510601662,0.37632267476533043,0.07383817156059225,0.0784807825182139,8.205062646024497e-05,0.4991298866642583,3.4778401851654053
CPI_sqrt,0.9,0.3633733649936516,0.00013049659164929284,0.4986258923658848,0.020302586649547233,0.3258449816573028,-5.74287227395609e-05,0.5006113472853324,0.00016454551411473894,0.4982744694907114,0.002084967132078841,0.4792701684149845,0.0007868603890701931,0.4917816391880586,-1.328676061826406e-05,0.5001414509972032,0.0,0.5,0.0014478060257868686,0.4851992901998045,0.01341375442553952,0.3767850997247253,0.047287829354896754,0.166316264439067,3.983815187846851e-05,0.49957640209037574,3.481208086013794
CPI_n,0.0,0.3634614213954358,7.29993540328766e-05,0.48675745781120183,0.020170305350768886,0.01550438560136863,-6.607206345005112e-05,0.5149718533595264,0.0002492710213595206,0.45834405086080465,0.0020903921192097497,0.31699586319135015,0.0025829408149770083,0.19889536260758384,0.008244793566378555,0.064102398032368,0.0,0.5,0.0014445695789306878,0.33027782077267837,0.013399995588732616,0.028122274708536656,0.08216846274281431,1.1448890937398246e-06,9.999437246077658e-05,0.4794630482081291,10.64328384399414
CPI_n,0.3,0.3634499865213765,9.421507611059865e-05,0.4831222195593335,0.020233225113499648,0.015173193707839932,-6.848014235211197e-05,0.515498183421523,0.00023327375980958243,0.46080982892157046,0.002090689519711336,0.3169467698036075,0.002353667041698565,0.21676957700428767,0.0002383215540464334,0.45969002459873204,0.0,0.5,0.0014454907029578246,0.3302038907732965,0.013436565309560417,0.027867175078563476,0.08024845391125807,1.564697508533705e-06,9.339693219112544e-05,0.4806584692046712,3.3662045001983643
CPI_n,0.6,0.3634363830868177,0.00011987403033625332,0.47867840364737124,0.02031566397034537,0.014663441089507396,-6.813570261901547e-05,0.515419682167993,0.00021076628114302665,0.46432673240291916,0.002089389089080851,0.3170084567046558,0.001867019328600228,0.25765647169985306,-1.7206185835005883e-05,0.5036422324108603,0.0,0.5,0.0014472597100628481,0.33001147112432755,0.013472253510601662,0.02760027408634556,0.07383817156059225,3.572160739914792e-06,8.205062646024497e-05,0.4827606297862962,3.4326248168945312
CPI_n,0.9,0.3633733649936516,0.00013049659164929284,0.4759703439497385,0.020302586649547233,0.014118644993715486,-5.74287227395609e-05,0.5130578532178642,0.00016454551411473894,0.4717433849775715,0.002084967132078841,0.3172320701419621,0.0007868603890701931,0.3751319528054215,-1.328676061826406e-05,0.5030257413313776,0.0,0.5,0.0014478060257868686,0.33014065304563833,0.01341375442553952,0.027774667511107545,0.047287829354896754,0.00015128118996378303,3.983815187846851e-05,0.4911603315312286,3.4466965198516846
CPI_bt,0.0,0.3634614213954358,7.29993540328766e-05,0.4829611554824101,0.020170305350768886,1.8816926061883865e-30,-6.607206345005112e-05,0.5154248044647979,0.0002492710213595206,0.44201483242955664,0.0020903921192097497,0.11159469384410897,0.0025829408149770083,0.06547575006535772,0.008244793566378555,8.500896936121024e-07,0.0,0.5,0.0014445695789306878,0.1992764700222251,0.013399995588732616,6.585362130174328e-15,0.08216846274281431,0.0,9.999437246077658e-05,0.4766641611209027,11.286423683166504
CPI_bt,0.3,0.3634499865213765,9.421507611059865e-05,0.4780143678247085,0.020233225113499648,1.001734734630005e-30,-6.848014235211197e-05,0.5159866850984334,0.00023327375980958243,0.4457111035132671,0.002090689519711336,0.11144222213839378,0.002353667041698565,0.08437662212931313,0.0002383215540464334,0.4445429995108258,0.0,0.5,0.0014454907029578246,0.19905682864731078,0.013436565309560417,5.20105097813139e-15,0.08024845391125807,0.0,9.339693219112544e-05,0.4782020637119178,3.9780967235565186
CPI_bt,0.6,0.3634363830868177,0.00011987403033625332,0.47203533652242996,0.02031566397034537,5.748377857849245e-31,-6.813570261901547e-05,0.515906316068485,0.00021076628114302665,0.4509195101970486,0.002089389089080851,0.11167056476991133,0.001867019328600228,0.137432965818309,-1.7206185835005883e-05,0.5040177309566723,0.0,0.5,0.0014472597100628481,0.19883404938373683,0.013472253510601662,4.207665425935932e-15,0.07383817156059225,0.0,8.205062646024497e-05,0.4808479216963957,4.09133768081665
