method,corr,r2,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
LOCO-W,0.0,0.40209727873060275,-0.010560738902751655,0.7951078412250234,0.04712469798510372,8.162327095140309e-05,-0.018412811398018945,0.9297019995972734,0.01588806056801916,0.10208238989885787,0.01697671808843379,0.09352041365112373,0.02519443185710034,0.024792582122872386,0.0010523285965700587,0.46745124611573186,0.007872035246102806,0.2702120878722196,0.0010087399350508428,0.46794984176001386,0.006901067351941658,0.2888753426817685,0.003422199241003044,0.38832112042601863,-0.00477780977868889,0.6460800932592734,30.08077073097229
LOCO-W,0.3,0.40914646940796573,0.00564779345800927,0.32294798435204397,0.014250391568263783,0.1292872497684604,0.013403383324240927,0.14232275561350027,-3.174071205420832e-05,0.5009877404905978,0.018078924473523994,0.07642805200600256,-0.005685356966200536,0.6705497739822086,-0.001367920806105253,0.544171028295011,0.030022515009419676,0.008567147948967513,-0.001126097045125632,0.5363612854791052,0.020487538308619352,0.05294249099722548,-0.0016730179208261113,0.5540952033142101,-0.00393901778014043,0.6213262603138792,30.90364694595337
LOCO-W,0.6,0.41354835917530686,-0.016892843029669643,0.9116753434065641,-0.009881101134793013,0.7832176126518084,0.006570602306953096,0.2951682707502714,-0.015905507350425476,0.8898610226764501,0.027005216073252306,0.018542916554663336,-0.01494450788080351,0.8893156327405668,-0.002401970614393685,0.5764911111302793,-0.005032759295482256,0.6545445730346771,-0.0032245965867471237,0.6005274130364598,0.0010042553524769655,0.467820442998951,-0.004663611662385627,0.6465654341353796,0.030961568578270187,0.007011393916367736,30.54973793029785
LOCO-W,0.9,0.40056013140618274,0.0016710358729832842,0.4468731547457676,0.026879383930545054,0.019382721758708366,-0.0032149476899309766,0.6000463773135971,0.023737390952845317,0.03357198358308211,-0.0022580603055348705,0.5733238485339982,0.005714299590661156,0.32085904958280176,0.005608217562726327,0.32818933724322563,0.016262569660626645,0.10088286080309183,0.015629641858898854,0.11697359142426889,0.0024670953999893146,0.42256859002339975,-0.009561105637756728,0.7799964775880455,-0.004106871572354308,0.6296142401921057,29.851616382598877
CPI,0.0,0.40209727873060275,0.005069471225710831,0.005526239465646901,0.03373136335615412,8.250855532932787e-13,0.0078065421292449755,0.00031801821018820976,0.012620939590557989,8.306508931879529e-08,0.006518002333365275,0.0019919186237078858,0.043730482727994735,6.842682881618168e-10,0.0053256327482150145,0.01063786966190969,0.0038506159223097858,0.013245933912348181,0.0102749989035065,7.524073256387184e-06,0.004614670748849942,0.006406003433542777,0.0780120291414243,3.044896089051955e-22,0.0007087616250264772,0.2992124113190973,22.640321254730225
CPI,0.3,0.40914646940796573,0.006244007695523662,0.0034712224706627123,0.03295627882252372,5.343150490410703e-12,0.008022220428183069,0.0001252048159884327,0.011454880287816466,1.1195296397416617e-07,0.004640640552012021,0.015487063321367579,0.01618256834483997,3.3350758461691647e-06,0.00630360895662499,0.0008784063148688423,0.003574702808768676,0.024065286759011584,0.01172200951476135,2.9990508950451084e-06,0.003502001963129997,0.02913101284194868,0.06669387354732609,1.486867261231794e-19,0.0017461093882718548,0.11353728574615979,11.704336643218994
CPI,0.6,0.41354835917530686,0.003197680540639819,0.053623949257811575,0.034953251296794385,2.4946589135063227e-13,0.009784788468438416,2.050232410377938e-06,0.011250932932581198,1.2110637618732923e-06,0.004105178104655632,0.04513000622235387,0.00573650872428233,0.009525229245332665,0.0016063696357966617,0.09106078132147338,0.00554510964836627,0.001345630573449583,0.011453344786431618,1.1503334991785003e-05,0.0025142322830371544,0.09228474036846018,0.07480936570231236,1.3358494799597065e-21,0.004207243106351316,0.01644034685743805,11.429422378540039
CPI,0.9,0.40056013140618274,0.004656796142533393,0.013559734921503037,0.03396384072366537,7.859628869254599e-13,0.008566714419456889,5.817427454755775e-05,0.012175101274205763,1.8880261279271673e-06,0.005248569740612802,0.005650016262640652,0.0015402975130386909,0.0494678462144563,0.0008375818186115158,0.19558684212766503,0.0056544887932507,0.0008578077245229543,0.00839210859557396,0.0001822661832023561,0.003631350209219536,0.028999382522851593,0.06205275175323016,9.907088653876039e-19,0.0004700902181431488,0.13340694850512708,11.365001440048218
CPI_sqrt,0.0,0.40209727873060275,0.005069471225710831,0.4170976952830264,0.03373136335615412,0.10577792354854848,0.0078065421292449755,0.3750448543990604,0.012620939590557989,0.3042124995383254,0.006518002333365275,0.3950490649124734,0.043730482727994735,0.06872122225732548,0.0053256327482150145,0.4140821255478454,0.0038506159223097858,0.4361571915070695,0.0102749989035065,0.3380730629681836,0.004614670748849942,0.42400411123054194,0.0780120291414243,0.005048972801918812,0.0007087616250264772,0.4880049147928862,18.80509924888611
CPI_sqrt,0.3,0.40914646940796573,0.006244007695523662,0.39956186825449824,0.03295627882252372,0.11173393661816006,0.008022220428183069,0.37123258181231056,0.011454880287816466,0.3196123718494085,0.004640640552012021,0.4245014753428297,0.01618256834483997,0.2653831179786895,0.00630360895662499,0.397404975590821,0.003574702808768676,0.4408767156987851,0.01172200951476135,0.3183151955565817,0.003502001963129997,0.4421671153331187,0.06669387354732609,0.012265526504233208,0.0017461093882718548,0.470595666653737,11.658268213272095
CPI_sqrt,0.6,0.41354835917530686,0.003197680540639819,0.4474570075031734,0.034953251296794385,0.09823722803485585,0.009784788468438416,0.3438860745076635,0.011250932932581198,0.3237726098926405,0.004105178104655632,0.4338574687854628,0.00573650872428233,0.40806336176223057,0.0016063696357966617,0.47266653755218907,0.00554510964836627,0.4089043429770677,0.011453344786431618,0.32295741178627996,0.0025142322830371544,0.4584869673541858,0.07480936570231236,0.006499337537253117,0.004207243106351316,0.4309770046236547,11.232030868530273
CPI_sqrt,0.9,0.40056013140618274,0.004656796142533393,0.42410744697674546,0.03396384072366537,0.10445101386775979,0.008566714419456889,0.3630078055779853,0.012175101274205763,0.3121333566005104,0.005248569740612802,0.4144806400230555,0.0015402975130386909,0.47348346952167425,0.0008375818186115158,0.48560028010964745,0.0056544887932507,0.4069714876063205,0.00839210859557396,0.36638117753752525,0.003631350209219536,0.4402103084062099,0.06205275175323016,0.017119539519170546,0.0004700902181431488,0.49171949332403203,11.4267897605896
CPI_n,0.0,0.40209727873060275,0.005069471225710831,0.024477731458458076,0.03373136335615412,1.515735492589536e-10,0.0078065421292449755,0.0032177429272784172,0.012620939590557989,1.2241843112482502e-05,0.006518002333365275,0.010940239043476263,0.043730482727994735,1.0192814522302587e-08,0.0053256327482150145,0.032776057177634745,0.0038506159223097858,0.048121483227104446,0.0102749989035065,0.00025195244991511146,0.004614670748849942,0.028969267153012363,0.0780120291414243,1.2908332466577399e-19,0.0007087616250264772,0.3563934455129903,18.791399717330933
CPI_n,0.3,0.40914646940796573,0.006244007695523662,0.015439251390867038,0.03295627882252372,6.348893725327211e-10,0.008022220428183069,0.0018915624825965583,0.011454880287816466,2.0376638368691563e-05,0.004640640552012021,0.044616325711529084,0.01618256834483997,5.2595704415679765e-05,0.00630360895662499,0.00755774601043657,0.003574702808768676,0.06724404205480937,0.01172200951476135,0.00010838796321199407,0.003502001963129997,0.07467842006675963,0.06669387354732609,4.36041902594423e-17,0.0017461093882718548,0.19428739419286184,11.696484804153442
CPI_n,0.6,0.41354835917530686,0.003197680540639819,0.10625389772405819,0.034953251296794385,5.502903471789004e-11,0.009784788468438416,0.00014798994878684513,0.011250932932581198,7.434463105880203e-05,0.004105178104655632,0.0858051965930759,0.00573650872428233,0.02901289378122365,0.0016063696357966617,0.18388847320681395,0.00554510964836627,0.011174641217338726,0.011453344786431618,0.00024466459069921514,0.0025142322830371544,0.15480747219031332,0.07480936570231236,5.3834279441619e-19,0.004207243106351316,0.04958667082346179,11.130544185638428
CPI_n,0.9,0.40056013140618274,0.004656796142533393,0.04153878271455291,0.03396384072366537,1.4206373847472903e-10,0.008566714419456889,0.001118992581496775,0.012175101274205763,7.553786407126512e-05,0.005248569740612802,0.023880380075665075,0.0015402975130386909,0.1543484240548283,0.0008375818186115158,0.29523681204616126,0.0056544887932507,0.008825963446996583,0.00839210859557396,0.0021160797452593667,0.003631350209219536,0.07278777748799871,0.06205275175323016,2.839719526002991e-16,0.0004700902181431488,0.3196424720160451,11.451287031173706
CPI_bt,0.0,0.40209727873060275,0.005069471225710831,1.890749410108035e-18,0.03373136335615412,0.0,0.0078065421292449755,5.948531581099506e-41,0.012620939590557989,2.1036200044844382e-103,0.006518002333365275,3.8354677858650413e-29,0.043730482727994735,0.0,0.0053256327482150145,4.2429276651796184e-20,0.0038506159223097858,1.9585146603589444e-11,0.0102749989035065,2.4464978570718027e-69,0.004614670748849942,1.2315705525842507e-15,0.0780120291414243,0.0,0.0007087616250264772,0.11142992833425297,23.377865314483643
CPI_bt,0.3,0.40914646940796573,0.006244007695523662,7.247577323188752e-27,0.03295627882252372,0.0,0.008022220428183069,3.0776570850924625e-43,0.011454880287816466,7.184846193078553e-86,0.004640640552012021,9.905753303181707e-16,0.01618256834483997,9.11421307718745e-165,0.00630360895662499,1.7358619954931865e-27,0.003574702808768676,4.3510836258280916e-10,0.01172200951476135,3.628725297259148e-89,0.003502001963129997,9.410253231799108e-10,0.06669387354732609,0.0,0.0017461093882718548,0.001341843752961517,16.40546417236328
CPI_bt,0.6,0.41354835917530686,0.003197680540639819,2.1450022281870867e-08,0.034953251296794385,0.0,0.009784788468438416,2.580357970724372e-63,0.011250932932581198,1.1676249161934233e-82,0.004105178104655632,1.1566709809911477e-12,0.00573650872428233,5.643101881494785e-23,0.0016063696357966617,0.002850065187251691,0.00554510964836627,9.5683510388139e-22,0.011453344786431618,5.349950396469284e-85,0.0025142322830371544,8.128864884872017e-06,0.07480936570231236,0.0,0.004207243106351316,2.8237459039980443e-13,15.943965196609497
CPI_bt,0.9,0.40056013140618274,0.004656796142533393,7.857396227983892e-16,0.03396384072366537,0.0,0.008566714419456889,6.431600780048998e-49,0.012175101274205763,4.64997095111175e-96,0.005248569740612802,1.2810552172320845e-19,0.0015402975130386909,0.003984711213980012,0.0008375818186115158,0.07454255609901456,0.0056544887932507,1.4749679766965252e-22,0.00839210859557396,5.793767363635618e-47,0.003631350209219536,2.362942700443642e-10,0.06205275175323016,0.0,0.0004700902181431488,0.20874854878364862,15.743088245391846
CPI_sqd,0.0,0.40209727873060275,0.005069471225710831,0.0,0.03373136335615412,0.0,0.0078065421292449755,0.0,0.012620939590557989,0.0,0.006518002333365275,0.0,0.043730482727994735,0.0,0.0053256327482150145,0.0,0.0038506159223097858,0.0,0.0102749989035065,0.0,0.004614670748849942,0.0,0.0780120291414243,0.0,0.0007087616250264772,0.0,23.45759344100952
