method,corr,r2,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
LOCO-W,0.0,-0.22262379257926135,0.07417571024421085,2.912158653733954e-05,-0.008617296263245939,0.6748813758944202,0.22550639741864886,1.6745493880421236e-12,-0.02811838986062046,0.895277820362878,-0.09102829749590202,0.998881440168638,0.059910009123132324,0.0010386127508569265,-0.04324407101605584,0.9898087433964994,-0.14009511261085572,0.9999999993112321,0.05658728241654694,0.004263291251297874,0.020285501986806797,0.1577008053111424,0.121967946060188,4.06152889098621e-12,0.03860132855498529,0.04400108847957884,19.867709159851074
LOCO-W,0.3,-0.2503010303788922,-0.09518333522523632,0.9999845609931105,-0.18296047794977904,0.9999999999992717,-0.16278568608900298,0.9999999999667583,0.1197703330724187,1.0862395958266546e-06,-0.39526579797975425,1.0,0.06635458454168347,0.0002634376552046458,-0.12221014712722016,0.9999999992871831,-0.002263134349182989,0.546528495737304,-0.1903235102408962,0.9999999999999878,-0.0068079726637383505,0.6150317202982349,0.09596608483207436,7.97717166323153e-07,-0.04378984003209716,0.984410953686018,25.0614275932312
LOCO-W,0.6,-0.16285730439694657,0.08729232235172371,2.026275319388926e-05,-0.07476214872125754,0.9990737891021075,-0.14235288873211588,0.999999999995714,0.00907101271724836,0.3166250926082862,0.09560637463834495,7.634031652381523e-06,0.15638951958071268,7.442183536099378e-10,-0.014496078099969237,0.7814710485313113,-0.25754902668065494,1.0,-0.7846582164689707,1.0,0.011929666838216866,0.26772997576872937,0.10579209485355497,2.2573263258607312e-09,0.014585698120669887,0.2326776480095698,23.917468786239624
LOCO-W,0.9,0.19466674787851357,-0.05957543094343455,0.9988308590864013,-0.050067399504875675,0.9894389062466302,-0.21131384245314766,0.9999999999999999,-0.002194143738050033,0.5417754385440946,-0.00974218670208017,0.6975989977005634,-0.061886265633833135,0.9971132061387844,-0.46342430389524114,1.0,-0.4423294592848965,1.0,0.1607126027226006,2.0860313476589454e-11,-0.1465065432110085,0.9999999999307128,0.15446529642457263,2.7200464103316335e-14,0.030882761021164638,0.051996217208756246,26.502941846847534
CPI,0.0,-0.22262379257926135,0.004033336080377425,0.1070177608640635,0.002581348255757121,0.0001215708242243676,-3.830600546839147e-05,0.5407366578006538,0.014703923506973526,0.023562047755503645,4.304099701740727e-05,0.30296862850632,0.02273204746028029,0.005440088013387681,0.030902165660364023,0.11131794630957043,1.3247672319527393e-05,0.08540635914381478,0.0021362741950912145,0.08064295233894786,0.003034188943103533,0.00011594498326408459,0.11243642485811972,2.3887895199046667e-18,-0.0004431743168921143,0.6306867988074024,22.06843638420105
CPI,0.3,-0.2503010303788922,0.003899749505602901,0.13195065386859417,0.0024937733727036226,0.00019927524794104647,-0.00016160031954914889,0.7235583270987048,0.012233192385728175,0.16682147707372008,5.8239728193409945e-05,0.2631426624039215,0.014698214346779315,0.0837902496041475,0.014442331991368018,0.014074190015978224,1.2367691645032153e-05,0.007027647830234532,0.0019717771988468913,0.07905069978374668,0.002487571837766156,0.0002260451297448042,0.11270476348325131,4.509352266537204e-16,-0.0020491079466107287,0.8921011299123465,10.492923736572266
CPI,0.6,-0.16285730439694657,0.0002613311457632661,0.4512661841841426,0.00209518432299316,2.809278424569745e-05,0.00019156320094648738,0.1657104958433006,-0.00011223068609500508,0.5109562459677445,-1.0848935774299129e-05,0.6859382845276502,0.005506369812358525,0.23887711157860225,0.004075070750363341,0.1421825787421222,6.615217292338382e-06,0.25042295214322385,0.001176974292009858,0.10421449683366829,0.00267051848638028,1.2047678896330302e-05,0.12845288415929923,6.417526176572596e-19,-0.0005277877659725094,0.6772573439531243,10.508351564407349
CPI,0.9,0.19466674787851357,0.0017345853146347179,0.0778803186472496,0.002252964085623199,2.2156018544293226e-07,4.4586190508177914e-05,0.359325567506939,-0.0008046620351681022,0.6555930248034975,3.5537186738376914e-05,0.03618673356704069,0.0003932002815286162,0.4679055759096451,0.0014476013393394105,0.26615737607590084,9.479620436791958e-06,0.21988580587902934,0.0011259788553029115,0.06189038504938968,0.0028821454435791205,5.584873612070387e-07,0.11562511499391492,4.574558522145337e-22,-0.0009901644710466062,0.8050227157226724,10.619712114334106
CPI_sqrt,0.0,-0.22262379257926135,0.004033336080377425,0.440121100838637,0.002581348255757121,0.4575756861994457,-3.830600546839147e-05,0.500639431015855,0.014703923506973526,0.3172616237709911,4.304099701740727e-05,0.4992726715559659,0.02273204746028029,0.24180903734952974,0.030902165660364023,0.2635577113152638,1.3247672319527393e-05,0.4997754324287877,0.0021362741950912145,0.4660189359001396,0.003034188943103533,0.4504149266024,0.11243642485811972,0.0010364531657345768,-0.0004431743168921143,0.5071135294311904,18.2933189868927
CPI_sqrt,0.3,-0.2503010303788922,0.003899749505602901,0.4426106948383225,0.0024937733727036226,0.45901109865671913,-0.00016160031954914889,0.502709109874853,0.012233192385728175,0.367629051048588,5.8239728193409945e-05,0.49901618933697744,0.014698214346779315,0.3335682100473898,0.014442331991368018,0.31570168256768283,1.2367691645032153e-05,0.4997903080840076,0.0019717771988468913,0.4684689653306457,0.002487571837766156,0.4591209726231533,0.11270476348325131,0.0013411681576313104,-0.0020491079466107287,0.5324292683320496,10.460286140441895
