method,corr,r2,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
LOCO-W,0.0,0.5229016555772568,0.0009511195989802614,0.3565815269268787,0.0044325003341865775,0.040297484020815344,-0.0008068566142666952,0.6216049243760096,0.004794803473316368,0.0313856813610941,0.0013748398216161856,0.2896528169670356,-0.002682353074322588,0.8499786775928094,0.0022469787011042846,0.19134621576608135,-0.0011882421768168248,0.6760926088243528,0.0019737362910555397,0.2158956428352754,0.00034074946383574883,0.44822781306172155,-0.001795777073371813,0.7680014127568905,0.002268690590741961,0.18045540883255173,104.8306474685669
LOCO-W,0.3,0.5254181780998121,-0.0015826241438597019,0.7376214258326288,-0.0014425958637836404,0.7088821196246144,0.0017606594778238958,0.24889652439818,2.1574431048004297e-05,0.49665735968545666,-0.00263274224551535,0.8536813488415552,-0.0023950930737876557,0.8190244358427554,-0.0014781595727843737,0.7147084367579615,-0.001933186551796086,0.7690483219214537,-9.571311463100858e-05,0.5151694040282834,-0.0010481311976609444,0.6542397400188736,-0.0009100831694714017,0.6471945046910614,0.0007942794896625317,0.3727522603101022,104.72299218177795
LOCO-W,0.6,0.5296422667762247,0.0026409724803884986,0.14877641531983632,-0.0007452706718695583,0.6130019743426383,0.001999100274607125,0.21356505817004146,0.00617482495192616,0.006494311187167812,-0.0031349889846251145,0.891903069822052,0.00515653623116416,0.022653895268837654,0.00011219904242750445,0.4820382645999012,-0.0035351758352208332,0.9165689292071237,-0.0031082586432926835,0.8927185024850781,0.0006009034253332797,0.40686171428014983,0.0012739480900429794,0.3094424713770212,0.0009432314504440064,0.3539538951599618,104.36829876899719
LOCO-W,0.9,0.5312782574990162,0.0008294243773147647,0.37693829034116577,-0.0007914524303075968,0.6200102605113662,-0.0007178900465200316,0.6083044708386509,-0.00020763296032994466,0.5311154126606932,0.0035953657393129365,0.08477368396048734,0.00017126615035123642,0.47463764227504135,-0.000967732578481123,0.6446884536422391,-0.0013051529782315346,0.696276238882991,-0.003339336379070697,0.8958779588513868,-0.003330882595125811,0.9013454248202826,0.0003364222017739104,0.44587079888064796,-0.0063520369188056576,0.9951098727669503,104.60994744300842
CPI,0.0,0.5229016555772568,0.009879124149659912,5.913291190217002e-10,0.07871880952380958,9.579897488886995e-23,0.014958911564625893,1.4597828606009646e-17,0.029475739795918415,6.8549930638314155e-09,0.008659438775510259,1.3465001290267446e-05,0.04226409013605445,7.906360426656907e-09,0.013256377551020465,7.356873093761716e-12,0.009172108843537474,5.915773858123166e-10,0.019923732993197385,1.4590009154368466e-10,0.011152117346938828,3.242954136886084e-09,0.11904384353741501,3.473465775350672e-28,0.00038127551020411543,0.3864544666474068,29.601807832717896
CPI,0.3,0.5254181780998121,0.009775527210884344,2.4195041936650433e-09,0.07982145408163263,8.179089641662502e-24,0.014710697278911555,4.0415312357968526e-17,0.028805884353741484,6.772510454937339e-09,0.009285833333333327,5.585308260072506e-06,0.02886704931972786,2.4799186254291644e-06,0.007730127551020455,4.40516289378547e-08,0.009053767006802715,4.960416674178334e-10,0.019587100340136054,1.298865782721029e-09,0.01238002551020409,3.188535957350104e-11,0.11832257653061226,2.7432482660734093e-28,-0.00023291666666663824,0.5971436745091246,18.855759620666504
CPI,0.6,0.5296422667762247,0.008324243197278924,2.8708905432666405e-07,0.07874619047619047,5.082362477666775e-23,0.01411975340136054,5.331289693784938e-16,0.02795069727891153,5.15508947275776e-09,0.009758818027210875,2.0295898505352527e-06,0.01926997448979592,6.523686556771329e-06,0.00528857993197282,1.1562266740171082e-08,0.00990718537414964,1.5105467482056237e-11,0.019183418367346966,5.317753583451325e-09,0.013060850340136071,6.573956608313028e-12,0.11930962585034016,2.935304445331472e-28,0.0002622193877551138,0.35883097293887456,18.453655004501343
CPI,0.9,0.5312782574990162,0.007561547619047565,1.4560093755622723e-07,0.07922341836734689,4.828208704466781e-23,0.013362380952380931,5.924287762534e-16,0.02553436224489794,4.5514353084657414e-09,0.00881360544217688,1.0338735269507334e-05,0.004514557823129234,0.00618366303284363,0.0017734353741496456,0.0002741169274291702,0.009514022108843528,2.9558599840446013e-10,0.020190442176870715,3.034589496772047e-10,0.012096853741496577,1.6825623996081397e-10,0.1125713775510204,1.4118665355748943e-25,0.00012038265306121843,0.38313619098605844,19.057052612304688
CPI_sqrt,0.0,0.5229016555772568,0.009879124149659912,0.34273278068956703,0.07871880952380958,0.005353721070860769,0.014958911564625893,0.2710567877473544,0.029475739795918415,0.145892395001968,0.008659438775510259,0.3636415662523381,0.04226409013605445,0.08114668871069952,0.013256377551020465,0.29597485795434864,0.009172108843537474,0.3527781233523492,0.019923732993197385,0.22112348487357625,0.011152117346938828,0.3257431257097144,0.11904384353741501,0.00020127406065378954,0.00038127551020411543,0.493685891506724,25.717752695083618
CPI_sqrt,0.3,0.5254181780998121,0.009775527210884344,0.3445735444715401,0.07982145408163263,0.004724659780720565,0.014710697278911555,0.27438279130521004,0.028805884353741484,0.15040645936602343,0.009285833333333327,0.35449864174336976,0.02886704931972786,0.16051073891958367,0.007730127551020455,0.37476507430094347,0.009053767006802715,0.35443999611989907,0.019587100340136054,0.22611369169987255,0.01238002551020409,0.30784002895512763,0.11832257653061226,0.00021087804090212686,-0.00023291666666663824,0.5039181914832161,18.836259603500366
