method,corr,r2,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
LOCO-W,0.0,0.49965111577945576,0.042292572984711896,9.948336043841266e-09,-0.09741423411467756,1.0,-0.08200615717719197,1.0,0.01773119975689361,0.011196458530080555,-0.08070007595715434,1.0,0.028079604793477594,0.00013536500000876917,0.0036075475464883403,0.3279610441923678,0.1131574031615206,0.0,-0.04307377010545807,0.9999999996159735,0.006572330294297855,0.17563310294786283,0.03619261742415184,8.500421035950723e-07,0.08366352040122305,0.0,178.90259170532227
LOCO-W,0.3,0.5098368713672152,0.02798401882644427,5.927823317442016e-05,0.027346887688285852,1.1244130515564166e-08,0.020880003760888607,0.000565274668763438,0.05225210335307421,0.0,0.04923642166636814,0.0,-0.024059945549876817,0.9987614956119383,0.017934701830942888,0.0008961926178796542,0.06964813580938671,0.0,0.09835778327383143,0.0,0.13863903823032805,0.0,-0.016339809281076256,0.998644447941701,-0.056092903235125516,1.0,178.80619478225708
LOCO-W,0.6,0.5155290916189217,-0.077856311419078,1.0,-0.02822620786006537,0.9999991727462803,-0.03452409033645806,0.9999978491228805,-0.03527790269066701,0.9999975714858313,0.059118724527254515,0.0,0.0021526088270942562,0.3993154939968795,-0.02520109634810738,0.9999396783321527,-0.023852065909959252,0.9984873962250363,0.0213383331071809,0.0021382979909930766,0.04675633153220262,2.4756863226116366e-11,-0.00745813878005117,0.88326837343694,0.023008799042920153,4.743425200925966e-05,178.55805110931396
LOCO-W,0.9,0.5157767540164824,0.04611163174384245,1.3362866368993309e-11,0.07629557335414845,0.0,0.013957110915566702,0.02777116354553344,-0.035389006036395824,0.9999999839196506,-0.07045809876901594,1.0,-0.00783425424626379,0.8493012944904916,0.12842076649612574,0.0,-0.04712304909989139,0.9999999988645202,0.07022386137329532,0.0,-0.024926249535701803,0.9993779003759258,-0.00019917750043126076,0.5129892049680713,-0.06660589860240275,1.0,177.97097945213318
CPI,0.0,0.49965111577945576,0.007977843458454592,4.786900564482106e-06,0.08036512916254943,1.3007332105970296e-23,0.016293302569154233,1.3967432465821309e-15,0.009734161763934712,5.497558920390048e-07,0.011725007334306287,5.696666491843619e-08,0.03949608211226091,4.592966734281445e-14,0.011152850024773175,6.507421679580834e-13,0.007517169352372094,4.6569030547463686e-08,0.014925951415215716,7.79829333477465e-07,0.010928363779128453,1.2523784863209204e-08,0.11362170496643811,3.519506018200441e-28,-0.0005978849217495585,0.6535429098548019,35.066731214523315
CPI,0.3,0.5098368713672152,0.008489028246294245,1.0163900799383345e-05,0.07899030161721762,1.6307173651794632e-23,0.0166202928737883,1.6846733264322471e-16,0.007729915863125242,3.955035163016923e-05,0.013006377832704946,3.947106518555857e-09,0.04856905404297254,1.2204103691260876e-15,0.0034348995495918633,0.0016414961444395344,0.008048923174407557,1.6538707160460722e-09,0.01602219089056331,4.163034458821059e-07,0.01072702195516742,7.891203995434373e-08,0.11730768073558204,1.0862192623376342e-29,0.0005255647301405375,0.2858496962456235,23.623151063919067
CPI,0.6,0.5155290916189217,0.00994056901928983,1.6715091797090485e-07,0.07869320666151988,5.122388192258512e-23,0.016523807775423588,1.1367538998127042e-16,0.007549761710812647,0.00013928752633302484,0.012103170724520329,2.5854761073142948e-08,0.0357136651850104,1.4108730960588897e-12,0.0014511993888326469,0.014469994436342164,0.007838147760723418,2.4089288345280382e-08,0.015350075447015776,5.351480658234201e-07,0.011033600033252405,3.896768850261113e-08,0.11735303963497248,1.8844565120915524e-30,0.0006583101354827869,0.15194658085672397,23.461592197418213
CPI,0.9,0.5157767540164824,0.009100778122296788,8.742849481049273e-07,0.07764500620349482,3.633978941692299e-23,0.015673581791847357,3.313037465773366e-16,0.005660429098268249,0.0011077510158020198,0.013101024530201288,3.7002832358543895e-09,0.015355872860631697,1.96881152210188e-09,0.0006770025384502942,0.005599184862762476,0.008126668852811741,1.61008569561414e-08,0.01524650130233876,5.500836872740117e-07,0.011796984411479583,1.5294177556091882e-09,0.11619528569242846,1.8190784795316653e-30,0.00013248713694316572,0.3211991890962583,23.52232003211975
CPI_sqrt,0.0,0.49965111577945576,0.007977843458454592,0.3751970023643222,0.08036512916254943,0.005187836100180692,0.016293302569154233,0.26010245768198903,0.009734161763934712,0.3500617438028184,0.011725007334306287,0.32274338002975933,0.03949608211226091,0.08346285140147919,0.011152850024773175,0.32677224351902595,0.007517169352372094,0.3803581169520607,0.014925951415215716,0.2857862653902458,0.010928363779128453,0.332495541786451,0.11362170496643811,0.00036793942215556844,-0.0005978849217495585,0.5096208110302198,32.767691135406494
CPI_sqrt,0.3,0.5098368713672152,0.008489028246294245,0.3684505828297465,0.07899030161721762,0.0057210643437596706,0.0166202928737883,0.25572038825331694,0.007729915863125242,0.3796779492792509,0.013006377832704946,0.3052147540149909,0.04856905404297254,0.049329011632588605,0.0034348995495918633,0.4441245933691004,0.008048923174407557,0.371944581709843,0.01602219089056331,0.27292623436645314,0.01072702195516742,0.33591823506751267,0.11730768073558204,0.00024963317067447637,0.0005255647301405375,0.4913384724442579,23.709027767181396
