method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,imp_V12,pval12,imp_V13,pval13,imp_V14,pval14,imp_V15,pval15,imp_V16,pval16,imp_V17,pval17,imp_V18,pval18,imp_V19,pval19,imp_V20,pval20,imp_V21,pval21,imp_V22,pval22,imp_V23,pval23,imp_V24,pval24,imp_V25,pval25,imp_V26,pval26,imp_V27,pval27,imp_V28,pval28,imp_V29,pval29,imp_V30,pval30,tr_time
LOCO-W,0.0,-5.558125057299819e-06,0.8832812984575884,4.66784509682874e-05,3.9148806196820374e-08,-7.815724161874715e-05,0.9999999998865592,3.0439737726867558e-05,3.955737959415728e-10,6.168967957423502e-06,0.1320136490391023,-1.727313800201635e-05,0.9999934525577733,1.3297238317384566e-05,0.0016735113872363705,3.77746479615924e-05,2.6645352591003757e-14,-6.820120243184145e-05,0.9999999999995989,2.5921492061977178e-05,4.441824685841311e-11,-2.4917150822506907e-05,0.9999969711960586,-7.085917139752302e-06,0.9287914284293132,8.187680102542284e-06,0.03134377676150013,-3.3048598441205065e-05,0.9999952940879747,-5.3804223032588236e-05,1.0,1.6460307293296442e-05,3.137004430886492e-06,-2.6400779662618966e-05,0.999999999996458,5.510463080640962e-05,4.604196679469652e-08,1.4167179047755688e-05,1.2536800681473004e-05,-3.831400313054409e-05,0.9999999999829313,1.0501837674073008e-05,0.031643593480288223,-1.2290546487107675e-05,0.9473721139170282,7.871268553932276e-06,0.034015681218354965,2.0962809699040923e-05,0.00012779758543390862,1.3506916777227836e-06,0.3649154208084153,1.584201924736776e-05,0.003571836036269982,-3.137794120710733e-05,0.999999992791201,2.618860093618272e-05,2.0151714274718735e-05,7.236436004465502e-05,1.5876189252139739e-13,-1.428340280476116e-05,0.9999971839246946,-1.5289454649024306e-05,0.9992215731664856,57.033934116363525
LOCO-W,0.3,6.418328225084947e-05,9.992007221626409e-15,-1.7599148734489523e-05,0.9999999642969939,1.688721526103584e-05,2.4967929646013687e-07,-3.886061360852212e-05,0.9999999999749078,2.6727828975456613e-06,0.2203387496218172,-4.462381427543386e-05,0.9999999660299541,-7.2054749799408485e-06,0.9496678540188109,-6.605821367874131e-06,0.9803898035371675,4.685581770711921e-06,0.09664067397305964,1.4139089351073257e-05,0.0010228197416275453,-1.585444645800623e-05,0.9999911249374142,9.335135795887332e-06,0.0009388651008155335,3.8659543635861625e-05,9.214493557063719e-08,-6.031070398465399e-05,0.9999999999999782,-2.80511076946889e-06,0.6662758388823844,-7.511258175084566e-06,0.9574032256032351,2.1930072456708238e-05,4.629079146667436e-06,-4.173939168972263e-05,0.999999999999613,1.2776497441522548e-05,0.01227705730622597,1.6633735057301408e-05,7.887646091830902e-11,-1.8685243672915053e-06,0.7381089212301927,-1.3598527639523767e-05,0.9800487723778056,5.647263370013342e-06,0.22185427203165586,3.6013826630997663e-05,1.395250581737173e-11,6.97321801563071e-05,2.491984396613134e-11,-6.0957769834797436e-06,0.8578732607181099,3.518394166932579e-05,6.007145256670121e-06,-5.5186261965524424e-05,0.9999999755751249,-4.651217058188935e-06,0.9755801962005435,5.2683869407658066e-05,2.9631733733381793e-09,-1.2283982685136554e-05,0.9960367937951331,57.72399544715881
LOCO-W,0.6,-5.61819833524683e-07,0.5794451651393812,2.5163499705006635e-05,3.3150424605388196e-06,2.2015081753746793e-05,2.1607529743228326e-07,9.525652907889018e-06,0.09775136396636763,-2.301094615223181e-05,0.9999999957784804,4.460125770749877e-06,0.1689539491137413,-1.2323802992697011e-05,0.9641324875981371,6.148956934252707e-06,0.15021720242183623,6.0034468056695685e-05,7.327471962526033e-15,3.4242644881075265e-06,0.2258552320397491,-5.044537187993544e-07,0.5644095155616351,-1.351591479831537e-05,0.9996464029201928,-1.892037116221766e-05,0.9999999592366579,-3.928815691051376e-05,0.9999999999997615,4.352336671843045e-05,2.584216951539986e-09,-2.625267111105255e-05,0.9980589680365337,-2.085880606419966e-05,0.9999998535436093,1.030200269461211e-05,0.0061595642737407585,2.6741753383656577e-05,1.2555814480785799e-05,2.3785258578054466e-05,0.0008341138120112612,-3.595223572059001e-05,0.9999981458874768,-3.533979040688374e-05,0.9986958969157653,-4.29124477989881e-05,0.99999962740167,-3.2360182008024214e-05,0.999999999999307,-2.0746461520341103e-05,0.9999781918658308,2.288739358246649e-05,0.000270291321565419,-2.5518708502316744e-05,0.999999383016467,-4.4402928933126905e-05,0.9999998772723374,-1.970422793228693e-05,0.9999999999992475,-7.616416058205998e-05,0.9999999999999996,2.0300048334716175e-05,1.623739291911619e-07,56.56237721443176
LOCO-W,0.9,6.869503571098517e-07,0.38695905586152535,-3.5866620338920076e-05,0.999996202838917,-3.226005793799481e-05,0.9999999999821975,7.251908252152811e-06,0.004472016916103216,6.196491346256688e-06,0.004849835622174448,-2.6521105034216315e-06,0.8696113643905892,-8.079066372800832e-05,0.9999999999999909,2.6583465894345597e-05,1.5501288918029488e-06,3.268083489964415e-06,0.002390236991239303,2.2403759737579216e-05,6.633105517528382e-05,-3.4232322197264017e-06,0.9361939958121491,-3.0916883948662238e-06,0.8674404836077724,6.231091052245627e-05,6.306066779870889e-13,1.298520298616232e-05,4.294837943175089e-06,-3.978709768709344e-05,0.9999999881572016,-6.595565649839115e-06,0.9978563855489149,2.1239497633388538e-05,1.8590380775562743e-05,5.931092954661866e-05,1.1471934513451743e-12,6.142430218009423e-05,2.810856913892934e-08,4.884391358281618e-06,0.20806282909115126,4.2261843309071054e-05,1.1939164079599607e-06,-1.1826777485881008e-05,0.9991678761554578,-5.354746317745977e-06,0.959913354151701,-4.980402398880313e-05,0.9999999999626774,-3.4190769055041034e-05,0.9999999999995168,4.642718921130314e-05,6.678073649624139e-10,-2.4061354148464852e-05,0.9999999699000356,2.546137901768607e-05,0.002048311490102428,1.8375205466726162e-05,1.956508972500437e-06,-1.8632423676146427e-06,0.6818909152421617,-3.1665921493135963e-05,0.9999990268101187,56.385963916778564
CPI,0.0,-1.3077946482698e-07,0.8420543376251566,0.0013918580020069009,0.08037052107610348,-3.484542798914969e-06,0.5662356573988098,5.8765625029329194e-05,0.07026876128950268,-2.810285211856528e-05,0.657303312727042,-1.592612323002285e-05,0.9185968334355619,4.037828590255574e-05,0.19244503123127038,0.0007814982331604166,0.31550221472833795,3.0093713578357995e-05,0.45836136862709165,3.8820059648315974e-05,0.4086682247810901,0.0002345041218193289,0.17184108258606767,-0.0004612603211294683,0.840011586807864,-1.832755184030116e-06,0.5614852082324878,0.00031786608641552055,0.31890029576034506,4.277107615480863e-05,0.24705356208923834,-0.00025155681563860874,0.9342341472574897,3.994493534473925e-06,0.3889960597863195,-4.455524356808405e-06,0.5155326304323663,0.0001328585650972186,0.24390067136693144,0.00028201497132255074,0.09709607605053261,-7.642030745907968e-06,0.5875510417734678,-0.003092397595743389,0.9160342538170538,0.0008884042424078115,0.06261105276848632,-0.0008955996012912602,0.650179853723093,0.001079528146555285,0.03763029435629269,6.713083865456451e-05,0.3017480620926151,-1.2685690936771465e-06,0.5036668030153153,0.0038687479426407316,0.10460417662376309,6.587857620588e-05,0.42276436241730064,5.470460263449009e-05,0.3674827360684114,0.00010684192400859868,0.01960519100988219,16.672816038131714
CPI,0.3,1.9738514256628648e-05,0.16302953301034778,0.0009473332990090795,0.12922288809698734,-5.033358183744244e-05,0.7517334311108177,5.262036342040463e-05,0.06672080662607019,-6.285869520057316e-05,0.8598987616461229,-2.6226786134952995e-05,0.9153074332886306,0.0001019759578511116,0.0432946561057446,0.0005877325604956435,0.2980425996600109,8.003893597071862e-05,0.4175736736510146,-0.0001675973890503911,0.778887466840519,-2.7250474444937695e-05,0.8245177933711532,-0.0002967933177297384,0.7999843227553504,3.903229008537373e-06,0.012763026670872049,0.000828577230635081,0.12323481212481413,-0.0001795341513914396,0.7859974209948697,-0.00012438662810118975,0.8042249953947787,0.00010784710239498951,0.21290216992731043,0.00034252695449295614,0.06217936610626596,0.00022399695009824722,0.15579987743193902,0.0002640079487835137,0.09061984617729829,-0.00020981977020753315,0.8881849273947201,-0.002892005129858922,0.9175007905599646,0.0009086767626021348,0.049729670551997306,-0.0007865652975111541,0.9024034162197156,0.0008209843286648665,0.05916336509418833,-0.00010973499871869477,0.9356169830794169,8.998603139031072e-05,0.3688284570548782,0.004713059926270805,0.0822402697020887,9.113347312850184e-06,0.4892581924060332,0.00010824273272738716,0.11470357608581316,2.9739910631390587e-05,0.05314966845614879,5.418338060379028
CPI,0.6,1.2980160750793862e-05,0.16233238486197304,0.0011440952458787387,0.10801948712500975,7.605917165386111e-06,0.41342047788735475,2.9939324425059394e-05,0.1985704232584128,-8.16136635676673e-05,0.7875026805759442,-5.927946601055889e-05,0.9647194638567309,2.9214746220935367e-05,0.2260702434498067,0.0005100722903588657,0.36388488674911046,0.00039694926374530745,0.20969544140378732,-0.0001158892621955683,0.6818417049434351,7.92216502499693e-05,0.15482378802241298,-0.00036136805651656653,0.8215217129514697,-7.251646777711035e-06,0.768122033607405,0.0007179800547480047,0.22558323831890503,2.8605749912806455e-06,0.4792652662453153,-0.00020651568513954666,0.9035930950621036,0.00010161869787842295,0.11847179923793866,5.478036163528155e-05,0.304326315653601,0.00015992560915192508,0.23993918504219885,0.0002796279092003931,0.09594699938619011,-6.83763533889277e-05,0.7844101832584317,-0.003055122609662491,0.9193491833151378,0.0008852400973291021,0.06180525719089659,-0.000377204337162311,0.916226866947581,0.0011431076655375322,0.05739037043382975,2.8043035300386043e-05,0.43874634581175537,-1.7258439900802447e-05,0.5399771118036671,0.003855675559193701,0.10316016717393423,6.921187091177283e-05,0.421995151667154,0.0004591001540322076,0.06693540035225803,5.507445436622738e-05,0.15769498273277222,5.506147384643555
CPI,0.9,1.3580837617762492e-05,0.06318470822770898,0.001085766761772737,0.12799672733816414,5.790145898822846e-06,0.4274138179074198,4.137137091563686e-05,0.15444805452986388,-8.541679019610782e-05,0.7837842867076399,-6.991092102059948e-05,0.9673794490615195,2.9706879819711013e-05,0.2780516126877396,0.00047852983055353404,0.3728475161681454,0.0003103044607250735,0.2460033176476607,-5.0361616615896e-05,0.5825971537926802,0.00010366829268667124,0.15588993606812734,-0.000363248344315642,0.8219946032451263,5.7520381458522896e-06,0.3846514563964035,0.0006392876923373043,0.2520658650845049,2.0131981772100738e-05,0.3556827839775366,-0.0002118662631307236,0.902214563065254,0.00012191008769622466,0.23362885893844887,5.096349988105778e-05,0.321056371417372,0.00013561750250698848,0.28067193094225923,0.00026584348186926843,0.1427142187625316,-7.482538929521818e-05,0.8029015386379469,-0.0031311478660896834,0.9206210701637049,0.000981735971674072,0.044774495630220235,-0.0008596469185233498,0.9017146450104881,0.0011726622741981899,0.046079320398663665,4.844714598989039e-05,0.38891683570295643,-1.0237208172850232e-05,0.525185726540353,0.0037903051092991157,0.1050482498353063,0.00012443085887606925,0.35792911905153213,0.0003332130843074557,0.13235411537158387,0.0,1.0,5.342569351196289
CPI_sqrt,0.0,-1.3077946482698e-07,0.5000014143604369,0.0013918580020069009,0.48534484336398837,-3.484542798914969e-06,0.5000376636147636,5.8765625029329194e-05,0.499365142776747,-2.810285211856528e-05,0.5003033587248025,-1.592612323002285e-05,0.500172185991117,4.037828590255574e-05,0.49956386281175813,0.0007814982331604166,0.49190578100426524,3.0093713578357995e-05,0.4996770594632869,3.8820059648315974e-05,0.49958206962853735,0.0002345041218193289,0.4974807935268332,-0.0004612603211294683,0.5049264110538381,-1.832755184030116e-06,0.5000198146821666,0.00031786608641552055,0.4966241455200797,4.277107615480863e-05,0.4995382186730122,-0.00025155681563860874,0.5027082915929573,3.994493534473925e-06,0.49995681658055635,-4.455524356808405e-06,0.5000480370177667,0.0001328585650972186,0.49857057272573413,0.00028201497132255074,0.49696792354446806,-7.642030745907968e-06,0.5000825704013231,-0.003092397595743389,0.5314944010386711,0.0008884042424078115,0.4905414803490591,-0.0008955996012912602,0.5091115779774517,0.001079528146555285,0.48851556951301484,6.713083865456451e-05,0.49927652278607065,-1.2685690936771465e-06,0.5000136682947881,0.0038687479426407316,0.4614451876136015,6.587857620588e-05,0.49929400245566175,5.470460263449009e-05,0.4994109564040311,0.00010684192400859868,0.4988461388103566,16.750651121139526
CPI_sqrt,0.3,1.9738514256628648e-05,0.49978664640936665,0.0009473332990090795,0.4899834014729401,-5.033358183744244e-05,0.5005432617660786,5.262036342040463e-05,0.499431457222979,-6.285869520057316e-05,0.5006787384510941,-2.6226786134952995e-05,0.5002834930905035,0.0001019759578511116,0.49889891894426397,0.0005877325604956435,0.49382947485327544,8.003893597071862e-05,0.4991433204619597,-0.0001675973890503911,0.5018018874526456,-2.7250474444937695e-05,0.5002944776067356,-0.0002967933177297384,0.5031793568203001,3.903229008537373e-06,0.49995778901027366,0.000828577230635081,0.49121011002173864,-0.0001795341513914396,0.5019297846728632,-0.00012438662810118975,0.5013399516891733,0.00010784710239498951,0.49883791328623517,0.00034252695449295614,0.4963179100989595,0.00022399695009824722,0.497591963295062,0.0002640079487835137,0.4971600104431009,-0.00020981977020753315,0.5022586086475525,-0.002892005129858922,0.5295779161678851,0.0009086767626021348,0.4903184847401063,-0.0007865652975111541,0.5083682439673969,0.0008209843286648665,0.4912465929511786,-0.00010973499871869477,0.5011844504827797,8.998603139031072e-05,0.4990338482497341,0.004713059926270805,0.4534254037309907,9.113347312850184e-06,0.49990233615021806,0.00010824273272738716,0.4988322195702321,2.9739910631390587e-05,0.49967852666910784,5.480775594711304
