method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,imp_V12,pval12,imp_V13,pval13,imp_V14,pval14,imp_V15,pval15,imp_V16,pval16,imp_V17,pval17,imp_V18,pval18,imp_V19,pval19,imp_V20,pval20,imp_V21,pval21,imp_V22,pval22,imp_V23,pval23,imp_V24,pval24,imp_V25,pval25,imp_V26,pval26,imp_V27,pval27,imp_V28,pval28,imp_V29,pval29,imp_V30,pval30,tr_time
LOCO-W,0.0,6.0368007379301895e-06,0.010846469970853811,-7.1298970356213966e-06,0.9911398539747078,5.699636129075619e-05,2.2448054415313834e-08,2.0202450998205802e-05,3.5895043022371453e-05,3.4129401464403967e-06,0.1491416002710999,3.210178933786634e-07,0.4607935105495633,3.4148889000290963e-05,3.7298972795918317e-06,5.116729065396007e-06,0.008386409616412904,-2.214865433940755e-05,0.9999963784232817,-1.5886698908033637e-05,0.9999998280707848,-1.9552439320955636e-06,0.6051257329332763,-3.5591684300746295e-05,0.9999995901682515,7.124178835739247e-07,0.4401220174730138,1.2419299397563717e-05,0.11154325106518537,-5.80175703760802e-05,0.9999999999995458,-8.79997549274735e-05,0.9999999999998205,-2.4565240744382806e-05,0.9999994929159051,-8.051414094701254e-06,0.9638220511614974,4.4441007383937595e-05,2.9795048539504876e-08,1.048533298478818e-05,3.2000745386895346e-09,1.4515342285981431e-05,0.000991250588801007,-4.0968958880540234e-05,0.9999999999998616,-4.431691019833998e-06,0.8556402377258818,-2.8057267757619952e-05,0.9999975677248797,-8.582692232247864e-06,0.9860377051200327,-2.3338355358213703e-05,0.9996085397874518,4.221160343870663e-05,6.76894096329761e-11,-3.863592972939096e-06,0.7730481146985309,-0.00010157217418293542,0.9999999999847355,-8.870517311151049e-06,0.9614387278008732,-1.3473240768224907e-06,0.6037562581558396,59.03581738471985
LOCO-W,0.3,1.983377858878794e-05,1.0596543309482342e-08,-5.943294669198735e-06,0.942722020578554,-3.921912688365486e-05,0.9999994994021498,1.1021421556771173e-05,3.8984694732513425e-05,-3.83535252956623e-06,0.7461484712530151,6.909957407759296e-05,5.438860473105933e-11,1.7924669700064118e-05,5.658075482184444e-05,-8.041639438157683e-06,0.9844843900465523,3.746998119273921e-05,6.347133929551774e-11,-2.2320507921283466e-05,0.9999999978324626,6.742761519837062e-05,1.1102230246251565e-16,1.059429217076931e-05,0.00017852245335259198,-3.992203548125134e-05,0.9999999999999961,2.1063544948016018e-05,1.1297331465320859e-05,2.8141115153757414e-05,1.3565260026382475e-11,-3.8547521828801e-05,0.9999999999885651,-3.8074669974263125e-06,0.9243757950699282,-5.4984604560021765e-06,0.9338503015398006,-2.112730219232309e-05,0.9985587914571947,1.170670262019349e-05,0.006044257960184485,9.382211469648886e-06,0.0051628135492464144,2.71681637672324e-05,2.959585909678708e-10,-9.060067345820777e-06,0.9968534991580194,-3.346442098822814e-05,0.9999995950398213,-3.857396858172523e-05,0.9999892058560707,7.631132394228508e-07,0.4149074586431992,3.31509673569654e-05,3.640709955732291e-11,7.139833768692542e-05,4.067302050714261e-12,1.7475614118166545e-05,0.0018626989325707388,6.746909862425254e-05,4.488975857697142e-11,2.342717462349676e-05,4.391529885294787e-07,60.58416438102722
LOCO-W,0.6,-9.442414416268581e-08,0.5067763830281251,-4.105693061214652e-05,0.9999999999981651,-5.021570985354417e-05,0.999999999999932,1.614447346049434e-05,6.820377155880575e-05,4.088215005159998e-06,0.2102964642127294,-2.316864303359447e-05,0.999590928674839,6.652944771093287e-05,2.886579864025407e-15,1.35619680673393e-05,1.9195507708236192e-05,3.206359198657097e-05,2.053725796757888e-06,7.346122303143344e-06,0.048990699452029274,5.6902326945168304e-05,1.7109647032498287e-12,8.62577631687061e-05,1.1618594975004726e-11,-7.14793560480603e-06,0.9342278257153754,-8.2352813287043e-06,0.9332102367263895,6.672121412445913e-05,8.049116928532385e-13,9.760658625745544e-06,0.0005180932073414191,-3.187962097123596e-06,0.743636463839962,-3.2624690162041345e-05,0.999999999999998,2.7721439087473487e-05,5.776190904338563e-05,7.03607919772205e-05,3.7470027081099033e-13,2.2707308032647405e-05,7.475461018646712e-06,3.9827252989167935e-05,2.3287862749299393e-09,9.300403812782826e-06,0.11759168574808532,-1.6288653386564326e-05,0.9992570266778666,-2.4713812945977583e-05,0.9998886500461275,3.588846750130038e-05,3.682166127561004e-09,1.1938814203431163e-05,0.0007501403402488949,2.881023870016345e-07,0.4637183955751867,-3.7953935973848035e-05,0.999999998126448,1.2331240287264357e-05,0.0043385181789283855,-2.3559753927311612e-05,0.9999999998417173,58.79580616950989
LOCO-W,0.9,-3.069644470326836e-05,0.9999999951834772,-4.452882877374826e-05,0.9999968849396915,-4.6437814606968845e-09,0.5004898899550667,2.3904959936363336e-05,2.0591233748090687e-06,1.3456583023822374e-05,0.009159627618703925,3.4887188888567385e-05,9.017198099314783e-10,-4.461005759861412e-05,0.9999999999993784,-3.672982574662688e-05,0.9999998479260337,5.001626138784802e-05,3.113909130547654e-11,-1.7796843415687914e-05,0.9999352610364376,7.501629937183342e-06,0.09885266607846244,1.5116994548295158e-05,0.0010556018389987765,5.8364485320411726e-05,4.462007652250577e-09,-1.6357275885070183e-05,0.9999991824612137,3.7917650445974e-05,3.8261838142261695e-11,8.351961309586826e-06,0.2074577082982667,4.939490058219696e-05,8.547151875148984e-11,-2.772374337114497e-05,0.9997735266160459,-5.9290623345372345e-06,0.8846077061679887,-4.248329872707699e-06,0.9834590430889479,-7.803927083777525e-05,0.9999999999996462,5.36420024833249e-05,1.0420264651145317e-10,-3.4127123968024004e-05,0.9999999857455086,-3.877421817783261e-05,0.9999999800500927,3.1374022262777934e-06,0.21415615271552868,2.9333882715913932e-05,3.9064012816725224e-06,-3.156742196941623e-05,0.9999998641603736,2.1511138733591914e-05,7.633543845919633e-05,1.4540000235405823e-06,0.27629820439549113,4.515683326575928e-05,2.7283566861324715e-07,1.1738060557404548e-05,5.8436393786664986e-05,58.133073806762695
CPI,0.0,-5.025599856080601e-05,0.8271458284760049,6.414506403144837e-05,0.42616545985176457,3.7941095887582266e-05,0.16452145561509612,-3.956229204854847e-05,0.6246605340516708,-5.09683154253579e-05,0.5927969280161633,1.2260346764814828e-05,0.3695139691239863,-4.089363184017411e-05,0.8208661994029212,0.0022335572740583946,0.08947989385228461,-5.952439222280115e-06,0.5457017249855108,8.363301620714636e-05,0.14096150141457814,1.3899953207833354e-05,0.10169120835678297,0.0002558536641144825,0.2022961535232557,5.658702714305894e-05,0.1569625991624291,-0.0007551448805462602,0.8595344479887486,0.0002468484045803111,0.12934031561933762,4.0979248319739786e-05,0.22930914580200662,0.00015516085181336778,0.10317722206799829,0.00038486916583251735,0.03970452779516462,3.60431070234174e-05,0.1736269782126479,9.451173062981211e-05,0.3557885836225714,-0.00018173064593890106,0.8911406441467817,8.410603921693918e-05,0.4629805250281732,-0.004816323002921605,0.9717584043384903,0.0004013951286443822,0.3308182561528046,0.0013077311302537864,0.03758521103939366,-0.00014179776952844697,0.7791016792724099,-9.190597788743399e-05,0.5678317683115929,0.01171432196274116,0.004842092641433188,-9.222182104886428e-06,0.5232194204975487,-0.0001281974389873916,0.9009275936126165,-0.0009590393081380238,0.8911466428069652,17.051207304000854
CPI,0.3,-2.905277631098241e-05,0.8496073610691328,0.00040079837200969123,0.13310836698581607,-6.074306917954603e-06,0.8221626188530478,4.135166015193509e-06,0.3556470055114067,-8.750988353015826e-06,0.5165095394081668,-1.4947422269026567e-05,0.7611962790210629,2.4763208073132204e-05,0.24921647793401663,0.0014596279265864237,0.1677274879290266,2.1910567410313164e-05,0.2729906704712176,8.48601975870708e-06,0.3716147182209496,-1.7618941262790427e-05,0.8935078967984655,0.0001276217783641037,0.1875668303766524,3.612871886570987e-05,0.21355064786694278,-0.00028159525640289104,0.6743182345134763,0.000186339265732402,0.0911953363554831,4.9624114005782094e-05,0.05449595174639734,4.683881979543336e-06,0.48236260366408507,0.0002566344116533732,0.047615230318110296,5.0293581045378344e-05,0.1171231511666933,5.095829639134575e-05,0.41230850658523943,-0.0002899191496398383,0.8776269776741009,6.103098846991714e-05,0.4719922322443974,-0.003974290082272942,0.9665424810513165,-0.00015569582517867275,0.6171208692650672,0.0013422211961751328,0.022543323798354938,2.0114388967394647e-05,0.4370611328890671,8.122934074715135e-05,0.44539905804369384,0.011010349946654313,0.006056744494283891,8.199049095514513e-05,0.2412258528074102,0.0001275243134638733,0.21981038936519204,0.00035572364789073635,0.162925856702423,5.380988597869873
CPI,0.6,3.109105347251853e-05,0.31418311407857524,5.50214945456845e-05,0.4554783982641004,6.306714998019491e-05,0.19194245956957262,-2.1832917349817044e-05,0.9754155158975687,-0.00010846971110339484,0.6616833265256947,-0.00011569192074048495,0.9449040338235446,-3.835971089118789e-05,0.7723104685248277,0.0010474238977454704,0.25104025419835924,-4.482674328193728e-05,0.7836601191661889,7.76288143180745e-05,0.16943989635978773,-1.01591154911089e-05,0.7379336811192602,9.556492086488719e-05,0.3612114921155444,-1.4797323474948637e-05,0.7800671991897771,0.00038352131618902413,0.34320108292246443,0.00011898980439589354,0.2708464683595537,8.685143688844793e-05,0.09652276649327934,8.181291909269486e-05,0.15630332236579197,0.0003711784419100535,0.0777831180423551,0.0001237105005852633,0.06005259223657546,0.0002178828147166162,0.21145413339599167,-4.5457769956930294e-05,0.5823725058387066,0.00015830005057839228,0.4343424365518965,-0.004026565080139155,0.9681282348774174,-0.00035875646695256863,0.7907007877381926,0.0010826939925239927,0.056639223110421716,-1.2535984651694532e-05,0.5559184037878674,-0.00018704373955678172,0.6136944678733819,0.010932523732263298,0.00587842675641383,-0.00010345314441985096,0.8042345419105627,-6.631587244167875e-05,0.7371898572431156,4.282009978355192e-05,0.05833811117722826,5.4486613273620605
CPI,0.9,-2.550051441691306e-05,0.8299088264172538,8.903560688300338e-05,0.42586807748492866,0.00011070448753495651,0.17039951443857976,-4.994902510244842e-06,0.764835834004792,4.779960855530452e-05,0.3757955431911729,4.949015054354217e-06,0.38740383682530416,-6.710124779946841e-06,0.5788618136570669,0.0013963002282243314,0.17440146802337264,-1.4183591888317082e-05,0.5430709617127454,5.945397837411187e-05,0.22158982821415696,-1.5298704896565124e-05,0.9003082003719245,4.931530175030299e-05,0.36021428619097157,-1.5069161943326304e-05,0.8252690731705821,-0.00016763818006882564,0.59263774482306,0.00028654046875808276,0.0866741321860397,2.770694035513291e-05,0.3032272786288972,6.142817330869951e-05,0.27780537669353755,0.0004277269115268087,0.02950676373252034,0.00020437685844025555,0.05218627821563139,0.00020291185349266896,0.24365581249466106,-0.00021733945721079395,0.8877290579416379,0.0002924046599164752,0.3851731689514128,-0.0038683039582749455,0.9676997926681516,0.00013384278483142761,0.42833745333310735,0.0010401216244620738,0.05490759529822154,3.9057139023315757e-07,0.4984777630456825,-6.83398951125333e-05,0.5497889128959282,0.01115953520265884,0.0056792136418692026,-0.00018612569711278296,0.8344694104283649,3.376693694491506e-05,0.4142789894084233,9.076070737613906e-06,0.15794566236698537,5.2804341316223145
CPI_sqrt,0.0,-5.025599856080601e-05,0.5005427287502213,6.414506403144837e-05,0.49931269909852904,3.7941095887582266e-05,0.49959010326347836,-3.956229204854847e-05,0.5004264224133066,-5.09683154253579e-05,0.500547991082117,1.2260346764814828e-05,0.4998675378627087,-4.089363184017411e-05,0.5004417269694751,0.0022335572740583946,0.4768986140908292,-5.952439222280115e-06,0.5000642846189463,8.363301620714636e-05,0.4990974207328854,1.3899953207833354e-05,0.4998497180680294,0.0002558536641144825,0.497255829623255,5.658702714305894e-05,0.499388948630266,-0.0007551448805462602,0.5080141041161841,0.0002468484045803111,0.4973461044716455,4.0979248319739786e-05,0.499557477372418,0.00015516085181336778,0.4983275245377174,0.00038486916583251735,0.49586236746969203,3.60431070234174e-05,0.49961060264116003,9.451173062981211e-05,0.4989849013377877,-0.00018173064593890106,0.5019575649446711,8.410603921693918e-05,0.4991121861717089,-0.004816323002921605,0.5486296637998648,0.0004013951286443822,0.4957643483980975,0.0013077311302537864,0.4861360883941704,-0.00014179776952844697,0.501525897588936,-9.190597788743399e-05,0.5009796662643595,0.01171432196274116,0.3886491627246267,-9.222182104886428e-06,0.5000993105393915,-0.0001281974389873916,0.5013827041935305,-0.0009590393081380238,0.5101565654731836,16.962365865707397
CPI_sqrt,0.3,-2.905277631098241e-05,0.5003139635577675,0.00040079837200969123,0.4957074425199265,-6.074306917954603e-06,0.5000656812469075,4.135166015193509e-06,0.49995529217824297,-8.750988353015826e-06,0.5000941016854457,-1.4947422269026567e-05,0.5001615625268834,2.4763208073132204e-05,0.4997324539772094,0.0014596279265864237,0.48484084392919363,2.1910567410313164e-05,0.4997632725294107,8.48601975870708e-06,0.49990828904150525,-1.7618941262790427e-05,0.5001904738427436,0.0001276217783641037,0.4986251504530591,3.612871886570987e-05,0.49960975324355833,-0.00028159525640289104,0.5029947996495598,0.000186339265732402,0.4979923754868763,4.9624114005782094e-05,0.49946377094356853,4.683881979543336e-06,0.4999494893573053,0.0002566344116533732,0.49723607456389346,5.0293581045378344e-05,0.4994567033865705,5.095829639134575e-05,0.499452305923495,-0.0002899191496398383,0.5031143689184823,6.103098846991714e-05,0.4993551414284177,-0.003974290082272942,0.540524546590224,-0.00015569582517867275,0.5016603066879549,0.0013422211961751328,0.4857459430899809,2.0114388967394647e-05,0.4997832112822649,8.122934074715135e-05,0.499135381807172,0.011010349946654313,0.3948332803511057,8.199049095514513e-05,0.4991160798558251,0.0001275243134638733,0.4986269831753553,0.00035572364789073635,0.49619033843958843,5.441253185272217
