method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,imp_V12,pval12,imp_V13,pval13,imp_V14,pval14,imp_V15,pval15,imp_V16,pval16,imp_V17,pval17,imp_V18,pval18,imp_V19,pval19,imp_V20,pval20,imp_V21,pval21,imp_V22,pval22,imp_V23,pval23,imp_V24,pval24,imp_V25,pval25,imp_V26,pval26,imp_V27,pval27,imp_V28,pval28,imp_V29,pval29,imp_V30,pval30,tr_time
LOCO-W,0.0,-0.7679754094570852,0.9999999999936835,-0.2921633387675299,0.999999894438488,-0.38809323570818804,0.99999999996865,-0.19813481175949124,0.9999999999377117,-0.4572820049364688,0.9999999942009584,-106.06559376772152,1.0,-0.17484375183978845,0.9977012234440152,-0.20623783245941257,0.9999075127182491,-90.8146086610198,0.9999999999999951,0.17811486426231854,3.106973300859295e-08,-0.4438743681246023,0.9999999999777544,0.014845995875943369,0.3176222033878141,-0.2699828047153003,0.9999921979604025,-0.19130046462886513,0.9999707549138614,-0.35204762924410815,0.9999998527924464,-96.1834495913009,0.9999999999999997,-78.73336063299429,0.9999999999999921,0.16426949831518264,0.0004002460261351981,-0.4778522624451625,0.999999999996315,-0.2825191661933655,0.9999944028756574,-0.450838062401506,0.9999999839255477,-0.2558830796986787,0.9999978251104589,-0.4841064649359216,1.0,-0.07601845817861617,0.9998853520742339,-0.4191558620290111,1.0,0.013812753490283025,0.18002009765292126,-0.7219256504799624,1.0,0.045758129900641716,0.029188858192859768,-0.31820074977611457,0.9999999839285173,-0.1937242351870821,0.9999999999999948,-96.21249108918697,0.999999999999999,37.2994544506073
LOCO-W,0.3,-0.5318062467857745,0.9999999999994175,-0.32193434376784696,0.9999999925308705,-0.2061396013647579,0.9999141728853326,-0.4182878246146067,0.9999999999999977,-0.030831626955884716,0.6486082528275557,-0.34103085895348034,0.9999999265066822,-0.29526406662010424,0.9998961564462854,0.25974184294292835,7.51334197424125e-06,0.17644730923859506,0.05008261866158614,-0.41817543851634437,0.9999996832834281,-0.76881874682624,1.0,0.17829149267134886,0.00016366874581785762,0.4581613371839268,1.16157083951407e-11,0.03770591509791539,0.30511913146044023,-0.2720743824140746,0.9999999761573883,-0.01055489988834971,0.6177141037399689,0.13681608026658487,0.0031809593111005174,-0.3852983547043701,0.9999995893437656,-0.1800022751588455,0.9978587652999008,0.21140465176834908,2.9968331038965346e-08,0.11390507316467854,0.0007935780784296131,-0.5546684762039676,1.0,-0.020103296720863993,0.738010267239976,-0.6666410470379273,0.9999999999999999,-0.08884356736908401,0.9883216443647924,-0.2686168758756825,0.999999956535417,-0.04937601535444893,0.9966328360892646,-0.5058328296935458,1.0,-0.014128252074199097,0.6721985637453707,-0.7426435080427953,1.0,-0.6080966163080006,0.9999999999999994,38.3292076587677
LOCO-W,0.6,0.07842357553979691,0.01310564824813465,-0.10501286167810275,0.9997372289720904,0.13577489941442078,0.040324575927005335,0.029438421365145424,0.13876290071196118,0.12646653158390478,5.2676076318092235e-05,-0.24862039028578511,0.9999726519142537,0.00520181669292009,0.4335634878237523,-0.2717324650153297,0.9999888657966001,0.3435065264037565,1.8629542353210127e-13,-0.2102718570588233,0.9999989509052758,-0.03067196278671178,0.7206269341428798,0.3799428527127682,4.102313722054163e-08,0.3792809455949063,2.980238724692441e-07,0.43387509986633205,5.7595291869105836e-09,0.010070424253080593,0.35572857164973526,0.04438217371874863,0.07134147186986395,0.6306156311223384,1.0714318321447536e-11,-0.08726447377594893,0.9824416492095844,0.29314397640214884,7.531347323563864e-09,-19.7582987752307,0.999996089028284,-0.4143027450185551,0.9999999999999707,-0.0952177270166103,0.9998371599541962,-0.2704645460734654,0.99999957548049,-0.0039159413419141715,0.5392589669855863,-0.09607775590992113,0.999169078749978,-0.21032908203317163,0.999999999978022,-0.3148647531646172,0.9999999970666046,-0.13680037462700678,0.9999999823813096,-0.11956954117489843,0.9999999982218365,-0.2587064164313757,1.0,-0.1225535346893042,0.9999999704567366,38.39296293258667
LOCO-W,0.9,0.21192322058778262,0.0011226379595005165,0.014823296075715382,0.3118962328992271,-0.13048669642904331,0.9999969866093319,0.14543994887334505,0.0004070462357674831,-126.40388202647405,1.0,-0.13207499981708928,0.9994505529687456,0.1087360128123717,0.003274437450911716,-0.06005067446813867,0.9983286681634642,0.15947248052828414,0.0003394509932461709,-0.02250162335071135,0.7063764559235045,0.13144356915673808,4.594360919585316e-05,-0.18185902986611058,0.9876493465040547,0.1369871427999206,0.05294841651119275,-0.3255770542122248,0.9999895660619534,-0.06829470038284281,0.9114883168524797,-0.6890771278373652,0.9999999999999988,-0.08914158112125303,0.9992137903446932,0.3031904216648974,1.8164358905892186e-12,-0.0067722222597366355,0.5458216686685521,0.005825037812718809,0.43302397204935295,-0.08425518387115205,0.9999834337030721,-0.05983433415209173,0.9671448544124807,-0.18546253567002424,0.9999996761967901,-0.08869601945503595,0.9953682628088812,-0.2314982745872919,0.999999725270059,-0.029500309493637227,0.9275598634282317,-128.96426684822464,1.0,-0.03064221950032694,0.9824543894463285,-34.768195712450876,0.9999261730107174,-0.07639248269951089,0.9997334167834144,-0.055408656399820434,0.9994714994530239,39.64082431793213
CPI,0.0,5.559173629193781e-05,0.4318325165582955,-0.0022147072277152735,0.8129881497860305,0.0002116430356391974,0.32657887778721095,0.24094214293626848,0.04821832588250519,-7.84633578053695e-05,0.9751891446574108,-6.837851270069528e-05,0.710337444050228,-5.825533648454173e-05,0.6563000669519157,8.62948897050464e-05,0.05275353704257506,-0.0003394470166850905,0.9664676932114561,-6.074472065761838e-05,0.9733899302071275,0.0006560280480753522,0.04401147368869788,0.00015517224638536553,0.47680338325644345,0.0023765465424068766,0.03664159470040268,0.009018858883679648,0.10352032783553067,2.546631318489645e-06,0.19272393338630867,0.00011257307129247662,0.2007117128770709,8.044858091979523e-05,0.04961806478001736,-1.4083917787260924e-05,0.9497480381270595,-2.1837033455374133e-06,0.5177657877393887,-1.7327840207748135e-05,0.7403442991858942,0.0007585710906995169,0.14392691415796516,-0.0005411717682463346,0.7792810819184413,-0.0006077219151006674,0.7802001438234258,0.07588535747705275,0.08874820853782206,-0.00010297133258271862,0.976412870404244,7.126601576423752e-06,0.4856510118253232,0.00010002986515825207,0.2508721224091465,-4.490837317627783e-06,0.7670765119004277,-0.00043094880614547026,0.9430065124015959,-0.0001547523350642066,0.9267494321807407,0.0010821395761776154,0.18166311870785834,15.74647855758667
CPI,0.3,0.00029980944114053887,0.10639480093611559,-0.0012972313468814917,0.8564478824095398,-0.0009322445658540429,0.7814879809087243,0.03496251120940341,0.036133059481302944,-0.0001492612519346792,0.9996424441159731,-4.775564333615867e-05,0.63453335673951,2.51186415976129e-05,0.41380503016769066,0.0001273436579870002,0.018394791304559562,-5.715031973518858e-05,0.6210135123907792,-0.0001285595400358358,0.9988791131353159,0.00010072567138311173,0.1844021395686724,-0.00135941037861953,0.6894386510889019,0.00017164408884096094,0.47379968184985183,-0.0008889378552192628,0.5684854399150344,-8.546573804502078e-07,0.7319494631417847,9.806308812987385e-05,0.2439839213936157,-1.7481283738046693e-05,0.9708594973648131,-9.773377128194372e-06,0.9866660403961178,2.6281319934262637e-05,0.3336273998834649,-3.5754424120779116e-05,0.9203284721881461,0.0007068033664094087,0.0433249922512794,-0.0014900606671083144,0.971645951940362,0.0005258556050874164,0.30723775530046604,0.06926100063556312,0.039248869078219055,-0.00022259776846132728,0.9944948052098224,0.00022972607203293471,0.10624253042924026,-9.450471891681023e-05,0.8657061005476446,-2.0227962694893686e-05,0.9525652070170445,-9.121729249937649e-05,0.637784213027679,-0.0002419141311995332,0.9864667080102786,-2.8886961352975193e-05,0.5012801839242944,4.475179195404053
CPI,0.6,-3.2308694110777525e-06,0.5471693012898688,-0.0009994893599606092,0.7749233873217369,-0.00040641019186780925,0.6125708269190937,-0.010886943154507556,0.9609141367828937,-0.00015463214659734714,0.9957739484727826,-2.2647626062466397e-05,0.6228921351829751,-1.9478198913930322e-06,0.515370531654608,0.00015466967090690953,0.019486656313511718,-4.663933382965946e-05,0.6181050173060283,-0.00010745335970549497,0.9909236479881317,0.00018675644234540656,0.19070719428550809,0.0005081480226074159,0.39048672487221414,0.0008415214696863155,0.27936514476423824,0.026037074964765636,0.11320965960426488,-4.943272129478982e-06,0.8619945499363573,5.5598763345321434e-05,0.28725350882297573,-7.760834271619554e-07,0.5189275425225617,-3.367212437765943e-07,0.5806659485523906,1.6769641536906743e-05,0.3912210997459904,-3.1950420087523135e-05,0.9559917738333336,-0.0005355138235136614,0.9431543738012907,-0.0017124682583232048,0.8584063134538542,0.0070035621811462695,0.003044044108336381,-0.0021959818162208405,0.6653689128337642,-0.00014585862751413659,0.9518612654740711,0.0001226554458268192,0.33002358736731124,0.0001393705036296794,0.21063549358804373,4.318505163956876e-05,0.17889782556462225,-6.35726123335012e-05,0.5954714256171378,-0.00015448979426525844,0.9331063306144597,0.005468771592060356,0.2681763495714386,4.211649656295776
CPI,0.9,-8.61482167624078e-05,0.8730141289561798,-0.001659558014506346,0.9604767956395042,-0.0002317368024553068,0.5622993580175609,-0.0008668860235213627,0.5916212637625975,-0.00010070732853333098,0.9635173172385688,-1.335355144534145e-05,0.5923212151348238,7.943645763258678e-07,0.49647656091733866,0.00015174684407116834,0.05525968846552134,1.317739347458935e-06,0.4960174195859498,-6.697233150541881e-05,0.945257161915648,0.00030240629392909446,0.12493699406945119,-0.0005705853468544464,0.6696533198459543,0.00022419859338133896,0.4509617534848996,0.03329101431396363,0.05796703730664352,5.70981809111526e-07,0.46643097667422206,6.357489838537678e-05,0.26617941054312516,4.5995959340253134e-05,0.01035616467298797,-2.3839976365513937e-06,0.846187317985849,1.4613410000419158e-05,0.41483134252061865,-2.791323140302615e-05,0.8959516750302329,-0.0010568318762527035,0.946837545669837,-0.000506626517018452,0.6410158792676152,0.01752272292666697,0.00025407211565373777,0.0006216417530467144,0.4367819166586776,-6.226522259580869e-05,0.8256085162385254,8.142542025330046e-05,0.4104881763238588,0.00030971036963114984,0.13761647427468815,6.475135680107658e-05,0.07586872372651926,-8.851305468007831e-05,0.6332969126562221,-8.983611892933452e-05,0.8624177652403722,0.010961321053754622,0.10369996470348775,4.119052886962891
CPI_sqrt,0.0,5.559173629193781e-05,0.49940940847089255,-0.0022147072277152735,0.5222329340835138,0.0002116430356391974,0.4977603528393586,0.24094214293626848,0.09297602917956599,-7.84633578053695e-05,0.5008399205178653,-6.837851270069528e-05,0.5007303322831386,-5.825533648454173e-05,0.5006218527029316,8.62948897050464e-05,0.4990765766686565,-0.0003394470166850905,0.5036194835391619,-6.074472065761838e-05,0.5006503985189066,0.0006560280480753522,0.4930421534460048,0.00015517224638536553,0.49844832815797746,0.0023765465424068766,0.4754246731797563,0.009018858883679648,0.41947506616899377,2.546631318489645e-06,0.4999727121410956,0.00011257307129247662,0.4987979869427762,8.044858091979523e-05,0.49913903249410435,-1.4083917787260924e-05,0.5001508902094809,-2.1837033455374133e-06,0.5000233700570424,-1.7327840207748135e-05,0.5001855532047079,0.0007585710906995169,0.4920245037742837,-0.0005411717682463346,0.5056915833655157,-0.0006077219151006674,0.5063774426170344,0.07588535747705275,0.2085132073209205,-0.00010297133258271862,0.5011019162261168,7.126601576423752e-06,0.4999240346971488,0.00010002986515825207,0.4989323396801702,-4.490837317627783e-06,0.5000481163973557,-0.00043094880614547026,0.504584421365301,-0.0001547523350642066,0.501653606003835,0.0010821395761776154,0.4887644629416238,15.76161241531372
CPI_sqrt,0.3,0.00029980944114053887,0.4968078728311032,-0.0012972313468814917,0.5134581111880114,-0.0009322445658540429,0.5096772760777257,0.03496251120940341,0.26866836112917203,-0.0001492612519346792,0.5015976043853112,-4.775564333615867e-05,0.5005098532309082,2.51186415976129e-05,0.4997316570339784,0.0001273436579870002,0.4986376044050762,-5.715031973518858e-05,0.5006093935877063,-0.0001285595400358358,0.5013761019673649,0.00010072567138311173,0.4989238526066734,-0.00135941037861953,0.5135627899676156,0.00017164408884096094,0.49828122441145195,-0.0008889378552192628,0.5083671834312049,-8.546573804502078e-07,0.5000091582722019,9.806308812987385e-05,0.4989531213545497,-1.7481283738046693e-05,0.5001872851041366,-9.773377128194372e-06,0.5001047202878565,2.6281319934262637e-05,0.499718827916175,-3.5754424120779116e-05,0.5003828873767977,0.0007068033664094087,0.49250926017275104,-0.0014900606671083144,0.515635174356502,0.0005258556050874164,0.4945187560567833,0.06926100063556312,0.18292505969594913,-0.00022259776846132728,0.5023797736308655,0.00022972607203293471,0.49755036732223196,-9.450471891681023e-05,0.5010104044955691,-2.0227962694893686e-05,0.5002166947947879,-9.121729249937649e-05,0.5009707477599332,-0.0002419141311995332,0.5025847648391886,-2.8886961352975193e-05,0.500249279078874,4.70246148109436
