method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,imp_V12,pval12,imp_V13,pval13,imp_V14,pval14,imp_V15,pval15,imp_V16,pval16,imp_V17,pval17,imp_V18,pval18,imp_V19,pval19,imp_V20,pval20,imp_V21,pval21,imp_V22,pval22,imp_V23,pval23,imp_V24,pval24,imp_V25,pval25,imp_V26,pval26,imp_V27,pval27,imp_V28,pval28,imp_V29,pval29,imp_V30,pval30,tr_time
LOCO-W,0.0,-0.15378112959507415,0.999999999898152,-0.1809413475162641,0.9999999716673933,-0.11453688271352401,0.9999984718739259,-0.013732154891749303,0.8368428108870765,0.09010777046504834,0.10389240682182987,0.09730047073659912,0.171347950937206,-0.01671873370406804,0.7721879511912481,0.04837108762507394,0.0863428337802421,0.05359590162164837,0.19614406090413938,-0.17900682536232876,0.9999999999914382,-0.18228394442678933,0.9897472738840288,-0.3536555694382382,0.9999999784606893,0.19367071217610174,2.148319113715047e-07,-0.13154771478013352,0.9920130486127156,-0.03514800051919905,0.904727671219038,-0.07898712314569174,0.9214495274220956,-0.017599482237287457,0.8316585119320274,-0.06206806985025511,0.9292880890757458,0.4366093090511039,4.5303527596018967e-10,0.058038312277864795,0.0030270037481253675,-0.09753944865456914,0.9999977515298385,-0.06973546273679117,0.9996446802349672,-0.2975581842929435,0.999991804420687,0.05119521307823703,0.001180757403480448,0.06479950466589722,0.03392902948918408,0.2269171664205707,2.3364256085400825e-09,0.0016490686421569386,0.48557362474234766,-0.09011388686633479,0.9124381989211061,0.12441409535523575,3.334818943212525e-08,-0.07587217636133467,0.8801258689190391,0.04387556193319482,0.15101729838861488,33.06363296508789
LOCO-W,0.3,-0.10616545087823834,0.9999900811913104,0.012565628812558547,0.31193038340695545,-0.012203969801695356,0.7579574421802061,-0.11863657276653725,0.9999811795393997,0.15142886289647575,0.004293496977125444,-0.005727005808168712,0.5402218778165231,0.18020174750571058,0.027345548552333954,0.37234831340688507,4.191567799782803e-05,0.26939175581526736,2.523679895949371e-06,0.4338322703132523,0.0005270151882085239,0.012533191001112344,0.35689460474986967,-0.2526804879648044,0.9999879415671157,0.11498540433123518,0.13573185915787656,-0.21261115905650438,0.9999999657089105,-0.0032775906127109375,0.5500381153201549,0.07584187574361118,2.1356527901250644e-05,0.07140471801038166,0.007279663768252731,-0.026378116954572865,0.6597904503961659,-0.8427154387948688,1.0,0.1263672991818036,0.011991701258426302,0.04885502796791749,0.006802341016894253,0.20591909892734375,3.3696267998095664e-11,-0.017638391873518778,0.7926957521532196,-0.009211997906971246,0.6206341459759607,-0.028634629933366556,0.8227139469586362,0.17878974169737274,0.00024017809014487135,0.024261691596374854,0.215238730249403,0.14609122384022,9.35115136435627e-08,0.6164249075832616,3.044708929422768e-10,0.11427231426372601,0.0011684997531244967,0.3129670492184649,1.9687897441333924e-05,35.289182901382446
LOCO-W,0.6,-0.08997829029871374,0.9999924859639763,-0.15737821554707324,0.9985529527230532,0.006214094706463975,0.34907146409903966,-0.29913396012637555,0.9999999923748292,0.18691565189298365,9.701622679836319e-05,0.6516433196386666,1.2212453270876722e-15,-0.031192457887767384,0.8327295376113036,-0.017102131247770942,0.724848720730197,0.006677450505873309,0.42934519305757135,0.08962761411350034,0.002330807343796648,-0.1436801489532432,0.9652470208760084,-0.512232787780989,0.999999999953455,0.055261075157276435,0.08233285587817962,0.018281240665934367,0.31540090074868654,-0.12858635599564375,0.9911696816508012,0.522901763038563,0.0005832318462993813,-0.11390969593729801,0.9979645594517689,0.3819703922315132,0.00037773382321126814,-0.17659522304351888,0.9987192377143973,0.1611573839179945,0.01414367626779145,0.182057637341051,2.83758915644583e-05,0.18905422234689495,0.047025202107275565,-0.056825081958004585,0.941982765997646,0.16927071779761366,7.217062991671241e-08,0.06011285047324013,0.11844353206762359,-0.17180992505693532,0.9995129629325277,0.14986942950956067,0.0016675268545115474,0.4409559915527208,3.6505791188856662e-06,0.03528057632130115,0.17862059376846595,0.14700654520445072,0.0007367432160677589,-0.16154326513661502,0.9767642437072896,35.93191623687744
LOCO-W,0.9,-0.0357953551910233,0.8795098346819659,0.26306224804383943,1.5318188606450178e-08,-0.04075301266319375,0.993955867476594,0.0650831545813616,0.00505912324438651,0.06502390173395693,0.03500458883198132,0.13164229046447148,0.002829756993835475,660.4148622532766,0.0,0.02834548207796968,0.255955760625035,0.0986580005608347,0.004398791232232857,-0.03451417500280285,0.7869677055588069,0.049610211465630334,0.12452373596990551,740.9877719214476,0.0,0.1967667121405723,1.1599521343441666e-10,0.05643866898997603,0.04728573265473057,0.07401054403481903,0.010597423277236229,-0.05657099711462138,0.9551204890686681,0.24766670300127328,0.00043419162915459,-0.5457542707083503,0.9999999735454961,-0.21671977344176943,0.99979223967002,0.07758144373545113,0.09468709178957824,0.5481486939889734,2.220446049250313e-16,0.10494134998920444,0.027901091534082156,-0.0607536017662369,0.9425492447917319,0.0221689937148397,0.21791793137544646,11.5531261779948,0.020893570344693302,168.48643312229197,0.0,4.008727792796158,0.0002593976604606807,6.335790093994678,0.0,0.6096588331401784,0.0,-0.05443502548206862,0.7944357521252813,0.21635100985767983,3.392371662003235e-05,32.405251264572144
CPI,0.0,0.002750919233619531,0.03228573876232452,0.0031265927050960485,0.3587584590653532,-0.004735431514250293,0.9661907093431423,-0.02828853906498177,0.7593450707509983,4.986321756964007e-05,0.09747740684650497,1.4266069134044601e-05,0.47759653630126564,0.0001435591654372348,0.3772007942273028,1.0273802511950869e-05,0.4413790427751478,6.992480545064961e-05,0.3934375807370663,-0.00014291630523574628,0.9027781792137981,0.0006886832061604731,0.2277971067829368,0.004169168350301983,0.34806960138941,0.0021854397937587366,0.19243118873719334,0.10784904070321683,0.17592195494117535,6.288934213075081e-05,0.1751004261882621,-0.00012251553499850742,0.8544354924926101,0.0001449347689881919,0.27879586748301355,-3.2953396911117316e-05,0.818117744844393,9.253398984068739e-05,0.13754434962246387,-1.2701857207891853e-05,0.7218568744836894,-0.004240931916920959,0.6745157590098432,-0.00820968350426951,0.7467509184238363,-0.014020928148893635,0.8616466323102085,1.8906726260091467,0.1474143339541425,0.00014286173235952826,0.13457348018084947,2.0492074760153356e-05,0.4591235996272809,-8.567726126271213e-05,0.5246946418634876,-0.00010457805455169056,0.8401927193987331,2.162857504300897e-05,0.4235115133270597,-0.00010735466204117583,0.8218581497309259,0.002561468297479552,0.13065460845825727,15.259048700332642
CPI,0.3,0.001466511640412782,0.26612999176756147,0.011946092514487971,0.1871203744409352,0.0011852169966276582,0.18185377327138752,0.262369636565301,0.11105207577317677,0.00030441100901734686,0.06103131196641649,-0.00040700372200430657,0.8152386497963655,0.0012804466665640168,0.14063337441346313,-0.00012021367074799283,0.820427325643447,-0.001962089188062288,0.8483566254603879,-0.0002125262876336853,0.7997657319014394,0.01124546451962316,0.1512607016532292,0.06154503000610112,0.11240688481353533,0.014264620174136433,0.1551228074865706,0.19740897657325407,0.09868811558132068,0.0002196802579560453,0.10447681773815837,-6.62546104635009e-06,0.5725813596981224,0.00036753556581348157,0.20691123237259768,7.077705080038577e-05,0.17039967206665751,0.0009176213470282191,0.12074962894659813,0.00010753199303215055,0.16049440012575794,-0.039256002123642,0.8615774424640819,0.03876007143085225,0.16925134276512538,-0.06539154612922948,0.8359324989212409,0.10253569846684574,0.12676009611700473,-0.0002467076927700207,0.746246903232143,0.0030601886446335325,0.1356265673058868,-0.007094529447333353,0.8625472043539716,7.475597162409642e-07,0.49757359974195065,0.00012624541150196844,0.24213771206716656,0.0004221353410274187,0.06832621720282557,-0.011783248174019212,0.8013189290132087,3.794595718383789
CPI,0.6,0.00025541156996367054,0.4114010460004741,0.005242605326561886,0.13999682918819434,0.0002580313301509818,0.39160011368400455,0.16360125255553587,0.06972132904938055,-1.543387893709891e-06,0.5107489181389313,-0.00010836407921216429,0.8979164934616699,5.45885750679459e-05,0.40962678742131214,5.631064668508434e-05,0.061338017153691166,0.0003504033056300898,0.13072643471971712,-4.3526889265954605e-05,0.751789993494052,-0.0007668047126975913,0.7347011795875594,-0.0014912444744533265,0.6018465678633534,-0.002574210666531143,0.87454442045405,0.019719288429536894,0.05902312900284694,-1.2024552783873599e-05,0.5945473388218866,4.653329383268179e-05,0.00842253784588902,-0.00013327197317551664,0.7799903845084986,1.8923366317161183e-05,0.008554995563295776,6.232034354620997e-05,0.294999520646297,3.2852633402163933e-06,0.3582975919054049,0.009082820211447531,0.1725665384313919,-0.0022403547411208036,0.8791396365020678,-0.0014934861146363998,0.7185747105244422,0.008026569516110194,0.09823990478750111,9.373583569322053e-05,0.19586774186552686,-0.0002086571084703448,0.8208553667194782,0.0008832562125328375,0.2639464546473843,-1.3210267884700144e-05,0.5539206435335294,-4.086671647310358e-05,0.7822774861445791,-7.531644469527254e-05,0.8518722388491917,0.00019438534550811348,0.4541080198678943,3.945122241973877
CPI,0.9,-0.0008116355172970158,0.7181057472334678,-0.012664751354430848,0.825625434841441,-0.002753427344782289,0.8976432727077042,0.14982024938820548,0.24383595744194697,0.00017652557359998378,0.2211002950036552,6.41111328489874e-05,0.3591018465641548,-0.0003486966037632433,0.7508439917964035,-7.781817717156247e-05,0.6386859267919776,-0.000537113685825541,0.7008456485116645,-0.0001310881036624134,0.8162770041919328,0.002755394466672889,0.28770241594582413,0.006938608885465769,0.3673395289724186,0.0036421309181546846,0.29500932869367424,-0.09178399246602936,0.8564397749358663,0.00016454217588712794,0.18671055397161834,7.194853695824399e-06,0.47380301891051524,0.0006606644710290821,0.213911795312002,-0.0001543756828273346,0.8609306850605323,0.00019462730808567086,0.3460313822233582,2.6049050972754006e-05,0.10987072718652924,-0.021385598809637252,0.7855886685976504,0.005610460815060336,0.03700558768934852,0.00987503968732456,0.08193883437118687,0.16265206915385366,0.10077656672346574,-1.8474282240998896e-05,0.5283807030958888,-0.000894042091982683,0.8003613704074753,-0.0030280283418919196,0.7329990055024038,-6.528235599401189e-05,0.7877468154681717,-8.063510497702264e-06,0.5191405727357534,-0.0001364914893693947,0.7005037706635617,-0.0056378704877282915,0.7935809890511656,3.8636186122894287
CPI_sqrt,0.0,0.002750919233619531,0.4712361371824818,0.0031265927050960485,0.4724716827899572,-0.004735431514250293,0.5480470949773361,-0.02828853906498177,0.6436833547581811,4.986321756964007e-05,0.49945754057025665,1.4266069134044601e-05,0.4998457065394032,0.0001435591654372348,0.4984559325004561,1.0273802511950869e-05,0.499888326776751,6.992480545064961e-05,0.4992438314134181,-0.00014291630523574628,0.5015517430750843,0.0006886832061604731,0.49268472022548115,0.004169168350301983,0.4648874036186182,0.0021854397937587366,0.47774030730611805,0.10784904070321683,0.23967916923811872,6.288934213075081e-05,0.49931636789811684,-0.00012251553499850742,0.5013300243595433,0.0001449347689881919,0.49843218723059235,-3.2953396911117316e-05,0.5003585198090564,9.253398984068739e-05,0.49899459782605665,-1.2701857207891853e-05,0.5001382465573512,-0.004240931916920959,0.5367229522291592,-0.00820968350426951,0.5665413969961004,-0.014020928148893635,0.611458656147626,1.8906726260091467,0.15226975043228935,0.00014286173235952826,0.49844965704288624,2.0492074760153356e-05,0.49977804322064945,-8.567726126271213e-05,0.5008991070238348,-0.00010457805455169056,0.5011356355834383,2.162857504300897e-05,0.499765175319499,-0.00010735466204117583,0.5011654287973364,0.002561468297479552,0.47375826810002986,15.274636507034302
CPI_sqrt,0.3,0.001466511640412782,0.48499470884152573,0.011946092514487971,0.4057253609091937,0.0011852169966276582,0.487538512364548,0.262369636565301,0.1484444345173745,0.00030441100901734686,0.4967026083655325,-0.00040700372200430657,0.5043781293276441,0.0012804466665640168,0.48649618361531505,-0.00012021367074799283,0.5013045016719889,-0.001962089188062288,0.520302314467752,-0.0002125262876336853,0.5022986180027953,0.01124546451962316,0.4065028835002615,0.06154503000610112,0.24050038448418476,0.014264620174136433,0.38919926565157886,0.19740897657325407,0.14911609085272876,0.0002196802579560453,0.4976189773683896,-6.62546104635009e-06,0.5000720825175412,0.00036753556581348157,0.4960460094442508,7.077705080038577e-05,0.4992307717945178,0.0009176213470282191,0.4902169862201472,0.00010753199303215055,0.4988323911501555,-0.039256002123642,0.7053095341620791,0.03876007143085225,0.3076448755263202,-0.06539154612922948,0.7362350990287334,0.10253569846684574,0.20868273167641788,-0.0002467076927700207,0.5026596922817416,0.0030601886446335325,0.46905640672137033,-0.007094529447333353,0.5653274591869807,7.475597162409642e-07,0.49999188601616423,0.00012624541150196844,0.4986318833139195,0.0004221353410274187,0.4954382055743579,-0.011783248174019212,0.5921493047499469,3.8135664463043213
