method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,imp_V12,pval12,imp_V13,pval13,imp_V14,pval14,imp_V15,pval15,imp_V16,pval16,imp_V17,pval17,imp_V18,pval18,imp_V19,pval19,imp_V20,pval20,imp_V21,pval21,imp_V22,pval22,imp_V23,pval23,imp_V24,pval24,imp_V25,pval25,imp_V26,pval26,imp_V27,pval27,imp_V28,pval28,imp_V29,pval29,imp_V30,pval30,tr_time
LOCO-W,0.0,-0.0010942462663751098,0.7821535589334034,-0.0008257592475930421,0.7202271850099373,-0.0008622789591026046,0.7037083791602947,-0.002089254172059556,0.9184192291690321,-0.0026174913713880796,0.9713141714633058,0.002584583476114573,0.037457526909051464,0.0013418077593246424,0.19314444775892814,-0.0007201183094212734,0.6911025428939097,0.00019178387035883815,0.44154754527220264,0.0014950326566758525,0.15705425829833364,0.0008692182651529961,0.2854470226611253,-0.0006065167691716539,0.6509003183678926,0.0003889510912313777,0.4001337384051913,0.0019617001320416027,0.10343964140199535,-0.0012968491327925193,0.8019574173228695,8.515492124556682e-05,0.47876650177764735,-0.0012175596998946607,0.8033144945808859,0.0003354037295154552,0.4163436907167557,0.0008868332737837954,0.2715835583226991,0.0008382998990485587,0.2790839942522009,-0.0008028015067086818,0.7088383769568205,-0.0011804381162078311,0.7971490179723335,0.0011058905034674387,0.23539184182339568,-0.0015759543926455104,0.8585025997492437,0.00039376532409433456,0.40123413181745926,-0.0027644305505166323,0.9851893124878452,0.002164007451556581,0.07026030247532944,-0.0013973413731724993,0.8182325325021231,0.0015205692586129243,0.11828260451445205,-0.0008914189848485543,0.734006511142266,0.0008891363751024004,0.2789608034089759,50.624794721603394
LOCO-W,0.3,-0.0012106183658778574,0.823508095659119,-0.00104478654318518,0.8033976499016527,0.0014234765087374843,0.1487111230704805,-0.0004358567213281298,0.6235242422375682,0.0003380052748112366,0.41275479484962296,0.0006532050586948863,0.3270940512953123,0.0020325970724603733,0.08263091942507528,0.002408637387857155,0.02682395524977632,-0.001657012515062385,0.8837639208087967,0.0016715971197683924,0.1432472541659069,-0.0014755985943166571,0.8872738660289691,0.0007172559701203411,0.2984803164929001,-0.0003883443104285692,0.6000912256514996,0.0007003092164306896,0.2955265169807767,0.0003135837467832936,0.41452579287205804,0.0008781891381827484,0.28150571707181404,-0.0007220375290676185,0.6821181891949377,-0.0005003866365249883,0.63726912885488,0.0009494806447027239,0.2520948288687157,-0.0018853940313424274,0.8921557331744865,-0.0011881158755446652,0.7958498356204822,0.003280419710524034,0.006945503301550193,-0.0025074356629185665,0.9707631498240228,0.002080329292097268,0.030645607719823276,-0.0013852465258227511,0.867553253210417,0.0010120684343129089,0.2369950652705085,-0.0004692981529877602,0.6370497369843553,-0.0014520124312763004,0.8253005038474693,0.0004174194228207521,0.37176685062995163,-0.0004058949231030091,0.6021943401256067,-0.0010494471410304592,0.7679917844110037,49.71117281913757
LOCO-W,0.6,0.0012377974795912362,0.15571742281520629,-0.001178684661164502,0.8217622345862341,-0.0007106898146641191,0.7167831733828077,-0.00016054404548037718,0.5506462505840768,-0.0004017327058836592,0.6031894157677423,0.0030140437006613823,0.01841268586265188,0.002490668924162702,0.02280945586512395,-0.001664637078048662,0.8774479010666993,0.0003696624915338734,0.3849956067009199,0.00031843578694834167,0.4164096142663155,0.00025763723160009074,0.4229641705069225,0.00019978487583020163,0.4412020518854596,0.0006684779707999585,0.32484492189592284,-0.0006857762340217339,0.6777272013121873,-0.0017941876382433879,0.9034830362378936,-0.0012359401963559261,0.8154216959745545,-0.0009609934162726708,0.7473163127796805,6.088383327865736e-05,0.48326104091268307,0.0011199452577382147,0.2166536329185076,0.00013421856948815988,0.45851712451348914,-0.00036390791825677065,0.5957541462361717,-0.000675490560366025,0.6710460564653791,-0.00037039572660214773,0.5993493007283233,0.0010238074943610307,0.24435894913541323,-3.382629284793552e-05,0.5097666208580076,0.0013479692130647254,0.18835745536383408,0.0003049558984208539,0.40014068378522183,-0.0030062343197387433,0.9812000773264261,-0.0003369686032666514,0.5958306264867878,0.0018418975554326722,0.07767881164642154,0.0014006399766802319,0.16880866809108563,49.1804416179657
LOCO-W,0.9,0.0007150260032075328,0.295828304877629,0.0005766820912555799,0.3362157983594325,0.00034163538913292496,0.41745364863092227,-0.0018849756645937146,0.9347629413714715,0.0004306734500487018,0.38021595987049317,0.0006660363270897693,0.3214715551405707,5.442468623469042e-05,0.48657407567784594,-0.0012274401591262165,0.8158489441189827,0.0009344592038880769,0.23131759923178585,-0.001237121003859069,0.7835420744766901,-0.00016666608965461386,0.5529794496031183,0.001028755816190731,0.20051345281945876,-0.0012639251188640082,0.856820228096248,0.001277403628824922,0.17078123094384878,-0.0015231054812248936,0.8482313527168961,-0.0006072353897934126,0.6540630683616954,0.0016246205324913381,0.08555139859180039,-1.3297350849048534e-05,0.5036295955660718,0.0008120489504627802,0.2671291613638187,0.0012438203478264181,0.16082037250677794,3.8932316491001917e-05,0.4899261023344057,-0.0014164640345388248,0.8538378450291432,-0.0014314899047789325,0.8793071933772291,0.0029896301733256274,0.019706690878206645,0.002428031849423234,0.03970128261158434,-0.0012657273665463039,0.8275553409605678,-0.0013207448757903764,0.8556803226111661,-0.000521953459100924,0.651891526536955,-0.0004611242288255916,0.6199869060678738,3.9521118742437237e-07,0.4998836816722003,0.0021268414892109144,0.06543761021741279,49.02889919281006
CPI,0.0,0.0,1.0,4.992690058479993e-05,0.4608536183508953,-3.143274853800032e-06,0.842054337632972,5.818713450293084e-05,0.107863848842146,3.611111111111176e-05,0.3082004089111074,7.397660818713944e-05,0.12171768148505707,3.274853801170027e-05,0.3343389790513558,-0.0011483187134502925,0.6811778715679139,-2.288011695905992e-05,0.6161216924197466,3.9327485380120236e-05,0.15080595552907905,-0.0004991959064327457,0.9017730055310483,3.998538011696501e-05,0.3848990991719664,-3.2894736842099814e-05,0.7699083874882774,0.0007737573099415238,0.021038511855045083,-3.8377192982452096e-05,0.6049477253613171,-5.6432748538007976e-05,0.729379799424829,6.315789473684483e-05,0.2572083140712933,0.00017492690058480004,0.08841957716062743,-7.945906432748132e-05,0.7677658382471695,0.00020862573099415457,0.12094122144352676,0.0004963450292397691,0.09066645366066506,-0.0006359649122806982,0.8289738209471941,-8.793859649122368e-05,0.843621063611182,-0.00025833333333332917,0.6452680580069201,0.000314766081871351,0.21995086097878147,-9.641812865496951e-05,0.8064037228022396,0.001060672514619887,0.06920234285506051,-0.0036724415204678323,0.9317870966863336,-6.359649122806774e-05,0.6966044193680375,4.217836257310384e-05,0.25442970944070936,-1.557017543859368e-05,0.639455974294208,18.35653591156006
CPI,0.3,-2.558479532160235e-06,0.8420543376327287,0.0002807017543859664,0.1006146725504628,-9.50292397661201e-07,0.8420543376331571,1.074561403508964e-05,0.2977146385523599,-6.988304093566954e-05,0.7747123996648602,6.10380116959075e-05,0.10458599854070078,5.6286549707604966e-05,0.1261772364444837,-0.00033786549707601893,0.5590666538863199,8.633040935672985e-05,0.1279290038798448,8.55994152046801e-05,0.15302879571264377,-0.0005294590643274821,0.8798212007965813,-7.807017543859547e-05,0.906049504028468,1.7105263157896414e-05,0.33572824886805697,0.00035906432748538525,0.03407669747348771,-5.59941520467816e-05,0.7073009036751476,-0.00012923976608186782,0.9627941361457284,5.2119883040937023e-05,0.24700340173723517,8.888888888889009e-05,0.1264672785877175,-0.00017499999999999634,0.7851258435771258,0.0001403508771929858,0.23702968802428998,0.00018728070175438698,0.092297192069833,-0.0002175438596491181,0.6195281823838525,-6.16228070175421e-05,0.8756202863829206,4.861111111111212e-05,0.0824495982963892,0.0001584064327485417,0.18701184549973954,-0.00010782163742689699,0.9135557642935981,0.00048106725146199007,0.1657633633939432,-0.0023730994152046762,0.921937624947924,3.464912280702094e-05,0.30297476488235897,9.137426900587137e-06,0.39609075669403465,0.0006937865497076041,0.042127637278340034,7.410418510437012
CPI,0.6,-1.827485380119162e-06,0.8420543376333514,0.0002669590643274867,0.1223300409070297,0.0,1.0,7.090643274853051e-06,0.37146769264572277,-0.00014736842105263215,0.9113060772263142,5.146198830409225e-05,0.08791895731162985,3.08479532163744e-05,0.34919336374306503,-0.0005527777777777788,0.6047705240604004,6.235380116958837e-05,0.13226196966491166,0.00016520467836257137,0.08061433698017217,-0.0005557748538011706,0.8867667282174045,-6.549707602339361e-05,0.9048971231974388,2.923976608185108e-06,0.47761007323330973,0.00024831871345029274,0.08364239539799645,-6.89327485380118e-05,0.7338886508041245,-7.668128654970789e-05,0.9072812564192212,7.426900584795067e-05,0.22625070245234902,5.5774853801166674e-05,0.17523817737154862,-0.00019883040935672787,0.8338574517494286,0.00015921052631578947,0.14865121964834427,0.00020519005847952944,0.08634974815847485,-0.0001855994152046795,0.5963161452357452,-9.795321637427051e-05,0.923678364100585,-4.459064327487841e-06,0.842054337633193,0.00024086257309941135,0.11210840561124275,-0.00011769005847953387,0.9268419942636119,0.000356944444444441,0.22387729437643472,-0.0023858918128654982,0.9290021090835912,9.926900584795485e-05,0.059293195118880204,4.897660818709015e-06,0.41264073452161354,0.00031425438596490926,0.1927396475125831,7.493256330490112
CPI,0.9,-5.847953216380625e-07,0.6270347480172522,0.0002946637426900576,0.11985344274088672,0.0,1.0,-1.0014619883039894e-05,0.8420543376330349,-7.163742690056291e-06,0.5316323688885093,3.5014619883042344e-05,0.15785121404649433,3.469446951953614e-18,0.4999999999999865,-0.000644371345029239,0.6323096346894173,7.777777777777904e-05,0.21436603431440654,0.00018099415204678518,0.08879268760266512,-0.0003177631578947359,0.8969347383868765,-2.185672514619895e-05,0.70745402741706,-8.187134502922466e-06,0.5981962417838543,0.00022412280701754675,0.06679085947520215,-1.0087719298243134e-05,0.5434325415062145,-3.165204678362392e-05,0.778027255627115,5.3801169590646236e-05,0.295534514257271,3.6184210526316735e-05,0.17598201634767352,-0.0002526315789473689,0.8941074187238278,0.00014173976608187339,0.18303465562126076,0.00020964912280702075,0.09742625762700396,-1.85672514619855e-05,0.5107886327636209,-2.5292397660817145e-05,0.6652510870824834,-4.605263157894321e-06,0.8420543376330375,0.00020372807017543862,0.14506765771965557,-0.00012814327485380014,0.9392383438179719,0.0004317251461988317,0.1563600799588412,-0.0021385964912280665,0.9226546499005577,0.0001367690058479542,0.058928540367560504,0.0001135233918128694,0.009852062360718164,0.0007676169590643302,0.12180179036191435,7.528481960296631
CPI_sqrt,0.0,0.0,0.5,4.992690058479993e-05,0.4994673809677708,-3.143274853800032e-06,0.5000339912816427,5.818713450293084e-05,0.49937151364329324,3.611111111111176e-05,0.4996102240622965,7.397660818713944e-05,0.49920132483957613,3.274853801170027e-05,0.4996465614141141,-0.0011483187134502925,0.5116473614969969,-2.288011695905992e-05,0.500246927283419,3.9327485380120236e-05,0.4995751161948525,-0.0004991959064327457,0.5053426154057562,3.998538011696501e-05,0.4995691584985341,-3.2894736842099814e-05,0.5003553238627992,0.0007737573099415238,0.49171796254350375,-3.8377192982452096e-05,0.5004134291022564,-5.6432748538007976e-05,0.5006087892435368,6.315789473684483e-05,0.4993187437248994,0.00017492690058480004,0.4981148112767032,-7.945906432748132e-05,0.5008568172856611,0.00020862573099415457,0.49775459894520163,0.0004963450292397691,0.4946857376734704,-0.0006359649122806982,0.5067549891670732,-8.793859649122368e-05,0.5009488045965074,-0.00025833333333332917,0.5027422791126476,0.000314766081871351,0.49663307757570824,-9.641812865496951e-05,0.5010396077849597,0.001060672514619887,0.48874879584767916,-0.0036724415204678323,0.5371743592055025,-6.359649122806774e-05,0.5006854923780727,4.217836257310384e-05,0.49954463393595006,-1.557017543859368e-05,0.5001681908652991,18.379120349884033
CPI_sqrt,0.3,-2.558479532160235e-06,0.5000276677595785,0.0002807017543859664,0.4969822382228307,-9.50292397661201e-07,0.5000102770431192,1.074561403508964e-05,0.49988385109531885,-6.988304093566954e-05,0.5007538838875502,6.10380116959075e-05,0.4993407495736006,5.6286549707604966e-05,0.499392077817172,-0.00033786549707601893,0.5034417973989423,8.633040935672985e-05,0.4990682661348574,8.55994152046801e-05,0.4990763466976407,-0.0005294590643274821,0.5056566973094647,-7.807017543859547e-05,0.5008429648558286,1.7105263157896414e-05,0.49981521050136707,0.00035906432748538525,0.4961374325421105,-5.59941520467816e-05,0.5006038899571785,-0.00012923976608186782,0.5013949714832341,5.2119883040937023e-05,0.49943749145852573,8.888888888889009e-05,0.49904069939289203,-0.00017499999999999634,0.501881295772775,0.0001403508771929858,0.498490148868056,0.00018728070175438698,0.49798230957278805,-0.0002175438596491181,0.5023079624581642,-6.16228070175421e-05,0.5006654796536331,4.861111111111212e-05,0.499474774744238,0.0001584064327485417,0.4982950929158865,-0.00010782163742689699,0.5011635821074004,0.00048106725146199007,0.49486639927658865,-0.0023730994152046762,0.5245356554390922,3.464912280702094e-05,0.49962595469952464,9.137426900587137e-06,0.49990127255757977,0.0006937865497076041,0.49257805916271274,7.3989338874816895
