method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,imp_V12,pval12,imp_V13,pval13,imp_V14,pval14,imp_V15,pval15,imp_V16,pval16,imp_V17,pval17,imp_V18,pval18,imp_V19,pval19,imp_V20,pval20,imp_V21,pval21,imp_V22,pval22,imp_V23,pval23,imp_V24,pval24,imp_V25,pval25,imp_V26,pval26,imp_V27,pval27,imp_V28,pval28,imp_V29,pval29,imp_V30,pval30,tr_time
LOCO-W,0.0,0.0008102163162387916,0.3029958012791636,0.001785319733441895,0.10564318605899348,0.0005377343142203466,0.353566196149389,-0.0008192576123935766,0.726847507687466,-3.452372645984561e-05,0.5090507055771217,0.0008675600221281337,0.28064611295836184,0.0027790968971187335,0.02342041003399742,-9.356564042305775e-05,0.5303653041277001,0.0020567387561257868,0.09090756768291897,0.0010711258469325007,0.25386641414068634,0.002353736089563956,0.03875041560651726,-0.001342375778281522,0.7963312521655879,0.002216121234277428,0.05849401163871748,1.8519936641755855e-05,0.49476775032472686,0.00025329256786205465,0.4222761645234089,-0.0023411975980594,0.9653768431933966,0.0006222749676438679,0.32070686857388075,-0.0019394777948948865,0.8646948659707678,0.002709556302868209,0.03017064092795385,-0.001254942671234765,0.7883673556517701,-0.00030951919259078963,0.5830119589711771,0.000723519744109676,0.30183513582958965,0.00022508554886230882,0.44106158377225624,-0.0014238228730312317,0.8465515204326882,0.0008866593242325925,0.23944474289788298,-0.0009558027554048142,0.7484924517605599,-0.001852303073215777,0.8811478932809709,0.001100039436611588,0.24373876102926872,0.001838003033783976,0.10524876897168367,0.0002312596467860663,0.43099367306744285,5.865552852751211e-05,0.48270590258360935,54.997905015945435
LOCO-W,0.3,0.0025002710122175044,0.0372785667596669,0.001315228911479954,0.13537511458191154,-0.0015320630245037057,0.8840480721052617,0.0013084801323771005,0.1890817654797292,0.00011805063783715742,0.4682388362919183,0.0015125014257717482,0.14257149989942552,0.0007711972751506214,0.30219156650573575,-0.0007928079816699601,0.692586804094861,-0.00023447426987636318,0.5773214911924675,-0.000520493287065812,0.6504193387280166,-0.0007797412460099929,0.7240393439161299,-0.0008167244633506781,0.7201435413768593,-0.0009312225464623466,0.7443764566499218,0.0009497491624055302,0.2713715616262974,0.0006172592552975714,0.3486862052146209,0.0011267555698201146,0.22606306697869527,-0.0013849546580555826,0.819801609365844,-0.00025606515322065105,0.5743071955182038,-0.0009624122368378489,0.7275585832340594,-0.0006217549196493574,0.6836369685417358,-0.0005260247461202055,0.6438624395907145,0.0009747544662831978,0.2794398221612453,0.001144613300772942,0.2346195619700696,-0.0002002785108816077,0.5540953658008996,-0.0009889852886972,0.7339544028371635,0.0002537134315629119,0.43657443610601343,0.002249111067301222,0.03660464995395418,-0.0001901893180231371,0.5553220874525344,0.00014523687978415273,0.4571756018870964,-0.001402798760080951,0.8332326152534157,0.0008774648140579507,0.2727172972475741,54.84753680229187
LOCO-W,0.6,-0.0014523796549164155,0.8533436622289983,0.0015963475308905398,0.13087969077619077,0.0004533048500012794,0.382680731707864,-0.0009151701707712971,0.7327226547173812,0.000574441079866962,0.3474408721335239,-0.0011302433708372333,0.7782042720210223,-0.001730707833481385,0.892267825417532,-0.003341375605646027,0.9912369326367286,0.0008349358285365785,0.27527405359339163,0.0026855285035478384,0.031193887331138814,-0.0006374999840855608,0.6863862920398515,0.00028115201481084884,0.41814802246397265,0.001424557779482239,0.1300566767962703,0.0007815762125978517,0.2621873759239114,-0.0013231261369567938,0.8195501167818375,0.001129916518557874,0.20549156821095704,-0.0018066082612989258,0.8910306489629256,0.0008358339957811209,0.29552253987452404,-0.001172800573390774,0.8000694957446216,-0.0008849824033010227,0.7270032463825127,0.0013278059478145548,0.1390404940390636,0.0010895409333626564,0.23704100958603114,0.0018318677343065258,0.0704747790417194,0.0011341482014072882,0.24206290173695932,-0.00016999698313616463,0.5434600498589435,0.0015199429417663978,0.16087451009957532,-0.0005122404660206498,0.6227799038752334,-0.0023730378825623307,0.9447007218750746,0.0010071062039624257,0.24025583497483405,0.0014601668327303787,0.15968378924939142,-0.002138624731489285,0.9447553869927672,53.965603828430176
LOCO-W,0.9,0.0015968357355740015,0.14676767827548387,0.0003910695512068794,0.38860945456759666,-0.001827980112600405,0.8838038527927372,-8.345093118130033e-05,0.5248019253990293,-0.0015113452775630508,0.8450902163072922,0.0008392354313422495,0.2853210963342161,-6.832602427235344e-05,0.5171996580070831,-0.0010857349547481218,0.8118229010833284,0.002182282524794911,0.06725828265950673,0.0015505189360034539,0.133603018976991,4.6987294389399884e-05,0.48638168955685335,-0.0012724876580762078,0.8002715458987923,0.001059663758632574,0.24838566770378445,0.0018373857883310254,0.11120448923113013,-0.00012745511119561484,0.5321700716515039,-0.0005179495555762813,0.6473457136976591,0.000907215606887036,0.2608880265185526,0.00013487675125747927,0.46445078680984275,0.000800932697502212,0.29697482204867476,-0.0006212052723452215,0.6677327317561422,0.002176815146286674,0.05473350465129134,0.0022392790174459646,0.10102435727908676,-0.00020001256428919142,0.5642637524278838,0.0006851809365515288,0.325022608296324,-0.0005896635690642744,0.6388231044783201,0.001552066438800976,0.14754871984091,0.0005511191527760516,0.35626809589146013,0.00028715962301556665,0.4185226059140672,-0.00035143909977344417,0.5944093222374264,0.0019654393959054506,0.0625351055776926,-0.0012175671074333135,0.7880947639940612,52.52826714515686
CPI,0.0,9.72222222222173e-06,0.15794566236695295,2.755847953216095e-05,0.469124640588184,0.0,1.0,1.8274853801170804e-05,0.13956035831256108,0.00014502923976608337,0.022542665386406188,6.432748538011748e-05,0.27304768147201286,5.1608187134503936e-05,0.3439793435801315,0.0021453947368421065,0.029386268990431945,0.00020804093567251478,0.02916179320033157,6.059941520467939e-05,0.0721499756741127,-0.00013070175438596558,0.8893659202804336,2.682748538011641e-05,0.33881461322273254,-3.187134502923884e-05,0.726899848549423,-0.0002256578947368408,0.6434802064211396,-6.21345029239509e-06,0.5209048853970302,0.0003230994152046765,0.027807785389343656,0.00032295321637427,0.02546857612121449,0.0001401315789473674,0.02866155605861199,0.00018888888888888775,0.027071931643756104,0.00026688596491228,0.025176773980822163,0.00012741228070175387,0.1753789904844439,-0.000289254385964912,0.8091756399178542,-0.0006407163742690042,0.943559807591636,-6.578947368447718e-07,0.5005758297027043,0.0005176900584795315,0.06197396345356741,-0.00012163742690058515,0.9106094791188895,0.0005828947368421052,0.029661466483580177,0.0034379385964912294,0.06904343703695946,0.00016381578947368206,0.16892461865845365,0.0001366228070175425,0.24105674514244269,4.839181286549546e-05,0.15764594280345412,18.703071117401123
CPI,0.3,9.722222222219995e-06,0.1579456623669962,3.625730994151824e-05,0.45682304652395567,0.0,1.0,1.783625730993922e-05,0.13911435419029738,0.00015957602339180914,0.02106570969283252,6.154970760233539e-05,0.2769839827888101,3.625730994151824e-05,0.38129195784520364,0.0020399122807017514,0.03238063075270975,0.00021454678362572976,0.025643843369857252,6.030701754385602e-05,0.06846671501449188,-0.00011315789473684279,0.8694665883226989,4.788011695906237e-05,0.26206150785428234,-2.5584795321640513e-05,0.6784403288717593,-0.0003642543859649159,0.7040851094387902,-2.850877192983603e-06,0.5095713963193996,0.00033801169590643235,0.031098162536184228,0.00031176900584795053,0.022196955419449445,0.00011352339181286246,0.050716655188559306,0.00018369883040935883,0.02657892471189064,0.00028304093567251346,0.03003996927929482,0.00018706140350877032,0.10216220223029054,-0.00027587719298245716,0.8078980826228279,-0.0006237573099415177,0.9419144945692521,-0.0002474415204678365,0.7324453821436707,0.0005202485380116952,0.0615758653320795,-0.00012112573099415207,0.91096319161983,0.0006176169590643259,0.027091760569326367,0.0034061403508771904,0.07122562329670773,0.00015804093567251508,0.17443034855978756,0.00013187134502923824,0.24917189591496952,-9.941520467838388e-06,0.6610058784880523,7.72260046005249
CPI,0.6,9.722222222223464e-06,0.15794566236690982,4.459064327486106e-06,0.49443063815790594,0.0,1.0,3.0482456140352998e-05,0.07120038499878169,0.00014517543859649158,0.02394106918088915,5.935672514620176e-05,0.2809031189310773,3.4868421052632395e-05,0.38528604307101694,0.00205650584795322,0.030699393801055342,0.00021337719298245884,0.025288471004679756,5.942982456140326e-05,0.06801976008090725,-0.00010964912280701615,0.8673929463658507,4.6125730994151654e-05,0.26868317629394345,-2.426900584795097e-05,0.6711657036394245,-0.0003896198830409363,0.715852589896822,-3.435672514618196e-06,0.5115986852392118,0.000333479532163743,0.031015461964506354,0.00031235380116959206,0.02085749260134628,0.00011293859649122787,0.05129462929100915,0.0001803362573099456,0.027049946120104626,0.0003320906432748554,0.022135362863623248,0.00016929824561403607,0.11190596104954759,-0.00026023391812865504,0.803736738859935,-0.0006115497076023355,0.937457539287948,1.6008771929826998e-05,0.4506552354919442,0.0005077485380116983,0.057842823573688903,-0.00012119883040935357,0.9114342895931554,0.0006446637426900607,0.0259159316388343,0.0034160087719298255,0.07154026135418891,0.00010204678362573348,0.2503159492624385,0.0001334795321637442,0.24648695573591306,9.502923976606806e-06,0.3980297240158101,7.804764270782471
CPI,0.9,9.72222222222173e-06,0.15794566236695295,-4.605263157895015e-05,0.5630724846233324,0.0,1.0,3.0482456140351263e-05,0.07140772015470671,0.00014261695906432614,0.024859469098755964,6.023391812865625e-05,0.2795881641394322,3.5891812865496836e-05,0.3819229143005791,0.002083114035087718,0.029547151776667807,0.0002127923976608173,0.02485544719033247,5.8991228070176885e-05,0.06959361271332741,-0.00010833333333333528,0.8660837346237016,4.53216374269004e-05,0.26964969078126655,-2.872807017543881e-05,0.7080292441498605,-0.0003727339181286548,0.7148866245584106,-1.2865497076023497e-05,0.5415759982975485,0.0003318713450292353,0.0319579446351804,0.00031089181286549604,0.020695451108069186,0.00013274853801169446,0.03380982442812174,0.00018947368421052407,0.02359640052580855,0.00029400584795321455,0.0227332272674109,0.0001728070175438575,0.10314107646585124,-0.0002593567251461988,0.8069378339309348,-0.0006055555555555571,0.9366534099112986,4.5687134502921806e-05,0.22139173969944065,0.000501315789473683,0.05980826496552823,-0.00012134502923976526,0.9115976954915017,0.0006453216374269002,0.022970809985861068,0.003415570175438594,0.07025697945638966,7.858187134502856e-05,0.3106868527789194,0.00013508771929824324,0.24521484195621457,1.0964912280711503e-06,0.15794566236672547,7.651684284210205
CPI_sqrt,0.0,9.72222222222173e-06,0.4998945258154094,2.755847953216095e-05,0.4997038114687227,0.0,0.5,1.8274853801170804e-05,0.49980177902536765,0.00014502923976608337,0.498429292048477,6.432748538011748e-05,0.4993039597023222,5.1608187134503936e-05,0.49944191767384494,0.0021453947368421065,0.47742836692749563,0.00020804093567251478,0.4977491556318702,6.059941520467939e-05,0.49934313924808504,-0.00013070175438596558,0.5014142141060439,2.682748538011641e-05,0.49970938812324633,-3.187134502923884e-05,0.5003453599857689,-0.0002256578947368408,0.5024085438904438,-6.21345029239509e-06,0.5000672094118624,0.0003230994152046765,0.4965099134677805,0.00032295321637427,0.49651117537666656,0.0001401315789473674,0.49848239029833524,0.00018888888888888775,0.49795571030577984,0.00026688596491228,0.49711458029981326,0.00012741228070175387,0.49862248759047983,-0.000289254385964912,0.5031108735051822,-0.0006407163742690042,0.5068768774315043,-6.578947368447718e-07,0.5000070518034878,0.0005176900584795315,0.49443335298820557,-0.00012163742690058515,0.5013167221806395,0.0005828947368421052,0.49372763691362115,0.0034379385964912294,0.46495100781674725,0.00016381578947368206,0.49823056339924815,0.0001366228070175425,0.4985252198571246,4.839181286549546e-05,0.49947555736297133,18.639357328414917
CPI_sqrt,0.3,9.722222222219995e-06,0.4998945258154094,3.625730994151824e-05,0.49961009507227055,0.0,0.5,1.783625730993922e-05,0.49980653403605046,0.00015957602339180914,0.4982720355820713,6.154970760233539e-05,0.49933396954557874,3.625730994151824e-05,0.4996078293311411,0.0020399122807017514,0.47851966753938857,0.00021454678362572976,0.49767878016070133,6.030701754385602e-05,0.4993462916119555,-0.00011315789473684279,0.5012245922759017,4.788011695906237e-05,0.4994814827783711,-2.5584795321640513e-05,0.500277220431687,-0.0003642543859649159,0.5038809770740958,-2.850877192983603e-06,0.5000308370139905,0.00033801169590643235,0.49635006678625604,0.00031176900584795053,0.496631048588545,0.00011352339181286246,0.4987704057569003,0.00018369883040935883,0.49801171379554837,0.00028304093567251346,0.4969410989294127,0.00018706140350877032,0.4979781914796177,-0.00027587719298245716,0.502968094764099,-0.0006237573099415177,0.506696151926539,-0.0002474415204678365,0.5026562989438825,0.0005202485380116952,0.4944059865333771,-0.00012112573099415207,0.501311201863314,0.0006176169590643259,0.49335612780522575,0.0034061403508771904,0.4652778802517397,0.00015804093567251508,0.49829283681720504,0.00013187134502923824,0.49857652455225765,-9.941520467838388e-06,0.5001078115243454,7.91840934753418
