method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,imp_V12,pval12,imp_V13,pval13,imp_V14,pval14,imp_V15,pval15,imp_V16,pval16,imp_V17,pval17,imp_V18,pval18,imp_V19,pval19,imp_V20,pval20,imp_V21,pval21,imp_V22,pval22,imp_V23,pval23,imp_V24,pval24,imp_V25,pval25,imp_V26,pval26,imp_V27,pval27,imp_V28,pval28,imp_V29,pval29,imp_V30,pval30,tr_time
LOCO-W,0.0,0.0012430534330608114,0.24726042437931373,-0.0052212734858102326,0.9999962264596151,0.008137681104153827,3.061970574980144e-06,0.0004264049488009566,0.3784641219618944,-0.004261488962776524,0.9980250784431783,-0.0012968122991688354,0.938045124771013,0.0017427667723807245,0.19229844054685075,0.0037498835783876232,0.009245244561189692,0.005334392164093887,0.0011232578877578003,-0.0038906164772937067,0.9933508894732743,-0.0014913978278463184,0.9735532835290135,-0.00034567988106602634,0.6297136650604027,0.0013393795327428664,0.14075876990063607,-0.004548211508730708,0.96470267249928,0.00010789842695538556,0.48045291894336417,-0.000715389846948804,0.6902839743401228,0.003151888285875663,0.05782537767330087,0.004484475415280877,0.019526770533076054,-0.008085913215142567,0.9999999993594205,0.007556460334304265,0.00010946252211985197,-0.0017455961232853378,0.7708847709936206,-0.0022676877958709247,0.8455762590875123,0.0018161589815876317,0.08927369540306973,0.004290625782692298,0.0001706463091634136,0.006759529565070368,0.00320636878818914,-0.01054122338822696,0.9999935921469246,0.00014616366646087785,0.47326887660948447,-0.0027461819484143495,0.941247107301798,-0.0031699465708842135,0.9524318564181077,0.006418934745261865,1.682200860830818e-07,0.00290558828641947,0.068703930242763,180.5283501148224
LOCO-W,0.3,-0.005295003687678994,0.9990990195333049,0.0026545179069468886,0.05952272069058506,-0.0038457095668002054,0.9999985281129299,0.002497607543963494,0.011386034477120832,-0.0033872835824045404,0.9650945060935894,0.00019917969807970817,0.4622310783141086,0.002308146371211231,0.06629691274843286,0.0017072394371971892,0.13482597066069157,0.0014589092974169235,0.13854404730921488,-0.0010895146395118562,0.7074876612439055,-0.001363959905730072,0.7355803670096284,-0.004398447048220256,0.9935086144636209,0.004202631917910045,0.019572615794673398,0.007570061922176584,0.00012032022477459492,0.0009941577718873185,0.3037871269235157,-0.0023863170114402353,0.9584741976560401,0.0009542506374489957,0.2604483829567006,-0.01622655133291829,0.9999988354821341,0.0020645024169253785,0.05926012210842857,-0.0007695635733321047,0.6664552318178861,-0.0035304604354417252,0.9909692822132251,0.001403201013688506,0.20195830675756654,0.008696747770151787,8.551497387987439e-08,0.00012289555571759174,0.47482993483066616,-0.006665856183403555,0.9982244514465552,-0.0033016967817773323,0.9705126706104502,-0.004413478270322965,0.9999025500273296,-7.793390118425792e-05,0.5400994992675274,-0.008331789305882468,0.9999812242944075,-0.010108852297586747,0.9999999995189723,0.004884065520583736,0.0007881253887318529,180.64510250091553
LOCO-W,0.6,0.00442585116701768,0.03738657058991024,-0.0067639029207923074,0.999999348849923,0.006406556023617857,0.000295310343247035,-0.005177364170786572,0.9780456711106434,-0.0006250822695619341,0.6589273660412511,0.0014977811554177892,0.11305659804373791,-0.00415282450658366,0.9772545606435955,-0.0035617173858514166,0.9754787845545327,-0.005822511622915631,0.9995530392600751,-0.0037261981418851404,0.9999004595885631,-0.007880682461599904,0.9999989949538485,0.005300826085381002,0.0019767198531127628,-0.0055954863552525515,0.9955832806955093,0.002221506838494223,0.2250580999931795,0.006415912446271468,0.007342948212806344,0.002213450464618229,0.047070674450951255,-0.008601047502239688,0.9999600339484408,0.0018071888691162784,0.17237623576298722,-0.0044944818234896,0.965539088500787,-0.0030803574842090137,0.9901676452715992,-0.003936889749901145,0.9870323678867589,-0.0042424386175731535,0.9355186195672134,0.0006796289688910207,0.26319775362526043,0.001629805626414347,0.09631393184591408,-0.004645481920038328,0.988236031366285,-0.0006520086894588458,0.6575659135767028,0.007631640606304479,0.00024899536041056436,0.00264108116959084,0.03843302288820183,-0.003997105097817692,0.9353888664316367,-0.001937177187641659,0.880761867215191,-0.0017990611306844414,0.791272602885394,179.98669123649597
LOCO-W,0.9,-0.0021229451068964164,0.8768029472724861,-0.004918118870276713,0.9988890646836842,-0.0017567483533515618,0.7545922562156078,-0.0037663197347441463,0.9835932908454796,0.003346040704791578,0.017328476755574806,-0.003096699833345876,0.9764417245291538,-0.0020466240366871996,0.9209528386861046,-0.0014933273651303554,0.7432806606902281,-0.0037638190290281517,0.9476741100783378,-0.0017638944774364808,0.996973860940635,-0.007810696163780671,0.999374158338079,-0.004879901635163299,0.9978933851181677,-0.011097776242945629,0.9999999950326182,-0.0025622428326933437,0.9005348750728086,-0.002301547541836579,0.9627876725247856,-0.001870471560961372,0.8110028357049659,0.0008233100738448984,0.31020375865827166,0.0009892049837200822,0.23447593660290056,0.0019167120366624072,0.14817324486349026,-0.0024833628246201302,0.9752804579655451,-0.007041786410663811,0.9999994791903225,-0.0030163262813471137,0.9732018445595847,-0.0065108027547271866,0.9982191325448158,-0.005400830470327156,0.9987123817566559,0.0020198974412808162,0.006063711358641033,0.006725372413587272,0.0001953066473254772,0.006175702910616209,7.869045853114986e-05,0.0033643009092217293,3.7270725735560895e-05,-0.004855994961894833,0.9955632190729902,0.004901962662255274,0.00015966166681147254,-0.0008426671724359776,0.7149380670797023,179.72431230545044
CPI,0.0,-7.52398951299818e-05,0.719056645084933,-0.00021086464520455456,0.727857408830604,4.367103953377416e-05,0.005135622671826078,-0.00024045014359097214,0.8851011963734001,3.134381141994824e-05,0.4116487421828283,-5.927377683495605e-05,0.9321177533715274,-0.00021906735211149608,0.6779028627472512,0.0004101836028129746,0.33256956776662583,-4.252586276150619e-05,0.8029082857306618,0.00012425956898962087,0.0061112328111710395,-5.8021402883357e-06,0.892805928988595,-0.0005637183633802959,0.8797022974544025,8.890058165320763e-06,0.461440284649913,-5.960479445538472e-05,0.668427769022505,-8.883619630942197e-05,0.6002658666641569,2.6963125741741312e-05,0.3710563144954635,0.00020515324958712833,0.1651901262341557,-2.5685588922699787e-05,0.8147771277393276,-6.395048828027744e-06,0.6168785363714182,0.00012690954505318458,0.030633932353943426,-0.0012791763964533145,0.9773072517834929,5.247412890386355e-05,0.43068116053809147,-3.890000008741415e-05,0.636800822389567,-0.0001307014966162659,0.5715142935563952,8.372464674173685e-05,0.3703852196328604,8.470903658427606e-05,0.40008115024969826,-7.642001567008394e-05,0.5605847911677879,0.002466109516978513,0.04527779843772354,9.854638877509689e-05,0.3083665365479692,3.238559825645762e-05,0.45440718914704237,-4.039729375128823e-05,0.5737463925019044,22.587636470794678
CPI,0.3,-8.7785859033504e-05,0.740915415688713,-3.108175119746065e-05,0.572980480462831,4.011536305531527e-05,0.006508736451373665,-0.00016858913349977744,0.9386544983482049,-1.431459903580845e-05,0.5527251577265105,3.479998866677547e-06,0.46916569982226,-0.000446901712738465,0.6897159656193985,0.0001868654483671399,0.3547277090401088,-3.5519756994392e-05,0.6867434863170715,4.948804528470338e-05,0.29795198710570225,1.0746783371675533e-05,0.18926107693472793,-0.0004986484864094379,0.8059762398889712,-2.578825636158008e-05,0.8499936683272349,-0.0003761886199240075,0.8948408045296373,-8.988630985699159e-05,0.6265182758223412,8.915923609719573e-05,0.3386652411530843,-4.6588426645986086e-05,0.6447385289510665,-1.071809403096688e-05,0.6170441503416153,4.4585760445040035e-05,0.26090506250493173,0.00018804149765633965,0.01012607595388174,-0.001064607391659124,0.979126969054106,0.00022404094348671064,0.11120079399167027,-0.00019782694689391214,0.8798986945483256,-0.0002507625530231844,0.9618324282966961,-1.5700408132292287e-05,0.5369480238060473,-4.024932143367049e-05,0.597349675481543,-0.00018220810470288493,0.6900815654355777,0.00304916120031622,0.0272284562430056,0.0002497644950974799,0.0901549321317644,0.00016184508049826157,0.16502212168054625,0.0005455838712461122,0.07448419724075502,10.47836971282959
CPI,0.6,-2.2054552994605486e-05,0.5746748763492684,0.0003025136063008922,0.07038573019344613,2.9720688090630054e-05,0.015830526525722484,-0.00010447175735814329,0.8640806042305851,4.977670650090776e-06,0.4795473746884284,0.00019795987484360136,0.09111038321673731,-0.00029130688499826723,0.5958611250230885,0.00022119444903509478,0.36731466444586514,-0.0001766760444013686,0.9299981660750587,0.00012827425995019445,0.07667892911166085,-3.4136000704662606e-06,0.6155353028434255,-0.00048528207538784535,0.8661000362560856,-5.7660624113331505e-05,0.9722989509690592,-0.00018165274209598972,0.8965867930465005,-6.171101777343799e-05,0.5807824376841693,0.00014925440051364453,0.03883585248278747,0.0002029636775326242,0.11318616247450908,0.0001998206726812335,0.04274977916480661,-8.874480317213121e-05,0.8783305728533986,0.0001536107478981759,0.012698704398560927,-0.0010266585413325653,0.9848584862291275,0.00029392842462969485,0.04898623426378693,-5.425113267278417e-05,0.7236478852286425,-3.967056806062491e-05,0.8016108963565457,4.31277274558009e-05,0.3590263734581747,-3.3041797679950885e-05,0.577150831071375,0.00011184864205051812,0.4357044987615555,0.0029869510263523143,0.04045416690808696,5.6989283034922233e-05,0.3117455182800045,0.00010552255328195176,0.170732574886655,-9.160889700153899e-05,0.6368510410792609,10.712180852890015
CPI,0.9,-1.812280804712116e-05,0.5950158436297073,0.00042511171544376905,0.04746751654567098,3.272344070174085e-05,0.005396641918776938,-8.205933518350139e-07,0.513865565099632,0.0001241470019958807,0.09191099852095652,-3.644024687743733e-05,0.7356045879991957,-0.0005276976218888396,0.6495933760329309,1.8455609232952835e-05,0.49054874221289246,-0.00011817935003614888,0.9473530824215685,0.00013519066830357945,0.09038890990614218,4.009059667622536e-05,0.0034390904702344227,-0.00039486535277591037,0.8672321995918726,-7.656376574852186e-05,0.9556957455891858,-0.00014134117547134895,0.9492802838480767,0.00010051527875291552,0.2964350130745461,0.0003911916256860333,0.009669852935944767,4.315267975492712e-05,0.25855529241808567,-2.9102262190085215e-05,0.7920815845903703,6.443438967891971e-05,0.17454652838007462,3.352555315017797e-05,0.3244159348805739,-0.0008284769886903742,0.9731085443405242,0.0003540520479142495,0.021598616734158523,-2.213591354205402e-05,0.5669195517144135,5.138988312610934e-05,0.185228986161942,0.00013552719696000373,0.20388352664107273,-5.189195529933799e-05,0.6661257936943926,-9.029314751200432e-05,0.5942462467177083,0.003171914159660512,0.04518904033619292,7.997620182944795e-05,0.18730771154196157,2.3938927488295625e-05,0.2584859913508506,-0.00018074108893554458,0.9133241942249221,10.647110223770142
CPI_sqrt,0.0,-7.52398951299818e-05,0.5008261247766735,-0.00021086464520455456,0.5023014451232375,4.367103953377416e-05,0.4995190052078901,-0.00024045014359097214,0.5026349819072373,3.134381141994824e-05,0.49965594943712943,-5.927377683495605e-05,0.5006524346835489,-0.00021906735211149608,0.5023827204027803,0.0004101836028129746,0.4955954794849488,-4.252586276150619e-05,0.5004679567940686,0.00012425956898962087,0.4986326316396906,-5.8021402883357e-06,0.5000639268319126,-0.0005637183633802959,0.5061301568222254,8.890058165320763e-06,0.4999022863142968,-5.960479445538472e-05,0.5006543251309056,-8.883619630942197e-05,0.5009695400983839,2.6963125741741312e-05,0.4997035582376358,0.00020515324958712833,0.4977524668420867,-2.5685588922699787e-05,0.5002828112112443,-6.395048828027744e-06,0.5000704266309897,0.00012690954505318458,0.49860417249489836,-0.0012791763964533145,0.5138481861920609,5.247412890386355e-05,0.4994265353758781,-3.890000008741415e-05,0.5004273355636611,-0.0001307014966162659,0.5014119440676965,8.372464674173685e-05,0.4990838243560896,8.470903658427606e-05,0.4990751216740848,-7.642001567008394e-05,0.5008305885866586,0.002466109516978513,0.4738954196811039,9.854638877509689e-05,0.49891997047733405,3.238559825645762e-05,0.49964590143756843,-4.039729375128823e-05,0.500442491089199,22.53800940513611
CPI_sqrt,0.3,-8.7785859033504e-05,0.5009637147845208,-3.108175119746065e-05,0.5003409058485556,4.011536305531527e-05,0.4995581570654779,-0.00016858913349977744,0.5018521273133868,-1.431459903580845e-05,0.5001572666552765,3.479998866677547e-06,0.49996170069612694,-0.000446901712738465,0.5048045890182555,0.0001868654483671399,0.4979690315150361,-3.5519756994392e-05,0.5003906126005832,4.948804528470338e-05,0.49945608232646815,1.0746783371675533e-05,0.4998816186917835,-0.0004986484864094379,0.5054082533513039,-2.578825636158008e-05,0.5002839713828072,-0.0003761886199240075,0.5041111325318384,-8.988630985699159e-05,0.5009829128734545,8.915923609719573e-05,0.49902331574171505,-4.6588426645986086e-05,0.5005115944263842,-1.071809403096688e-05,0.5001179877561409,4.4585760445040035e-05,0.49950964238041573,0.00018804149765633965,0.49793256309396966,-0.001064607391659124,0.5115625126912254,0.00022404094348671064,0.4975437156576864,-0.00019782694689391214,0.5021697938693079,-0.0002507625530231844,0.5027524303902692,-1.5700408132292287e-05,0.5001722011450068,-4.024932143367049e-05,0.5004415248379966,-0.00018220810470288493,0.501987619062078,0.00304916120031622,0.46784517461961045,0.0002497644950974799,0.49726190937772075,0.00016184508049826157,0.49822474630698516,0.0005455838712461122,0.4940504368336636,10.455957651138306
