method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,imp_V12,pval12,imp_V13,pval13,imp_V14,pval14,imp_V15,pval15,imp_V16,pval16,imp_V17,pval17,imp_V18,pval18,imp_V19,pval19,imp_V20,pval20,imp_V21,pval21,imp_V22,pval22,imp_V23,pval23,imp_V24,pval24,imp_V25,pval25,imp_V26,pval26,imp_V27,pval27,imp_V28,pval28,imp_V29,pval29,imp_V30,pval30,tr_time
LOCO-W,0.0,0.005585503832534954,4.155283839080148e-05,0.009141503349601406,5.964722671591982e-05,0.013697857186560337,6.087020246403618e-06,-0.0030267626572084735,0.9971612355099706,-0.007975260418078388,0.9874303706229353,0.0004158140998893982,0.37123774588735503,-0.0020398150637760057,0.8212129576121308,-0.005651830277964115,0.9935501004325104,-0.015144528772423987,0.9999995501102558,-0.00010138600927627623,0.5256821133866887,0.003075663688795839,0.12153294682889837,-0.010670933324713526,0.9999970772395995,-0.008271510983849609,0.9999974228673061,0.0017863938981977738,0.03214846178291242,0.0074233095897651615,1.2100475988985337e-06,0.00014800141513955853,0.4586629358660349,-0.0025565471408567648,0.9355870355923508,-0.0019302413833513293,0.8165213663268245,-0.001276683234403039,0.7477403531621466,-0.006756267386159693,0.9999929568614436,-0.00968366599493265,0.9999816947029799,-0.0030065917800272133,0.964964964505943,0.0008299318107351826,0.3621058470995282,0.013260367530292586,4.2241416609023474e-07,-0.00012775430692197072,0.5515068085069719,0.0034942279617711856,0.022173578926299564,-0.0018275834735832096,0.7863747569231799,-0.0034329218792196197,0.9944231512587536,-0.0018764520610754843,0.9476560583690491,0.009673764593001751,6.333873791009026e-07,0.004887693407235139,0.0162583511872878,169.52301025390625
LOCO-W,0.3,0.0008193261013889902,0.27734895412078875,0.008143049697427634,0.00038525801658584324,0.007065663891491484,3.9562276320292966e-05,0.008189833462539115,7.090273750343101e-06,0.005004476637795001,4.545717344872635e-05,0.006275392237607185,0.00051439017180821,-0.0006449211560033007,0.6884466875139649,0.0019017228210272486,0.14749984269719252,-0.0018327594339190242,0.9134645387005447,0.00426053468677235,0.013756005741945687,0.00534621260893588,0.0075371717467285215,-0.0010644209139628149,0.9000657289226063,0.0008943395991880238,0.3046408101917455,0.006545573352978347,0.0011568407818866033,0.0033490593288047926,0.04520091802391979,-0.0015692350155031877,0.9880848149031132,0.0013192115632303422,0.31645498356017054,0.004440554825250506,0.04880925000287473,0.00853000608517801,0.000108541515621563,-0.010031728728030648,0.9999869716945835,-0.0023585284090901454,0.8395708626844612,-0.0072177707118864206,0.9962747589632148,-0.0017869469013934317,0.8863492249694863,0.0016785732477529697,0.08618500114820127,0.01102580817363207,2.804491283647792e-08,0.011244252111336825,7.385613083332743e-07,0.0013020663001275896,0.18104927621408962,-0.008372219557912064,0.999999987412978,-0.0041330430999784,0.9952114035945998,-0.009300650316264137,0.9999903780252263,-0.001304872092531646,0.8432166473086351,167.2992765903473
LOCO-W,0.6,-0.004294086517065314,0.8887369955309303,-0.0004529330598158609,0.7880186891285208,0.0038130288971142804,0.013047736915144048,0.0017836837207301968,0.054358630608729586,0.0011481644771572856,0.2550802567902821,0.008476135453327245,1.1430322101046997e-06,-0.02332618526215123,0.9999999994239739,0.0061326264746774575,0.005713333101109552,0.00461234000202996,0.013545727170003241,0.004961130925542255,0.0014162509334673112,0.005843248155756986,8.825998260464374e-06,0.0009056576207384796,0.3578561401058993,-0.0039033436095183187,0.999775293699703,-0.01634914193099712,1.0,0.0009261271455658579,0.205921747928398,0.0027165100436551456,0.11127090242438187,-0.004922495593824878,0.985268723242853,-0.0012313568242084368,0.7674815964211126,-0.006783663942921935,0.9979193787493811,-0.007196308795784816,0.99999078297168,-0.007362375323143743,0.9999550213485507,-0.010566549959378096,0.9999688247742173,0.007381902689510576,0.0018260746359796132,0.002171228832068793,0.035179378949481976,-0.013928152852122485,0.9999999600078353,0.003676251840544693,0.013210127613187517,-0.0057883199290355535,0.9992982769174763,-0.006051178289513633,0.9999999847098359,-0.002547360404353987,0.891784236726054,-0.0023613507746418016,0.9733417936896441,-0.00905980985544857,0.9999646314337858,167.2453715801239
LOCO-W,0.9,-0.002348850126335165,0.8309397825151092,0.0024130778274360797,0.05144845969321965,0.001926780505960751,0.23015790108253698,0.005461314998932267,0.00023444491508084475,-0.0003130829717166651,0.5733334005203394,0.008583853052509183,2.6360057581165108e-08,-0.0004164704087703664,0.5938079750181671,0.003029817200917096,0.047388918914612166,0.0031930300961829005,0.029802200962153136,-0.010611179947442916,0.999592423204082,0.011813523463108017,7.218409595610709e-07,0.0012968958139002974,0.1259040467623772,0.008368922894515525,2.504399123637313e-07,-0.005997028136483373,0.9991084611542351,0.009940870273010194,6.046652255564666e-07,0.007583405516631889,0.00027372015964810537,0.0022944476524954928,0.030053761583063943,0.010817422407104229,0.00014164085062373655,-0.0030452813292546283,0.9931276095972357,0.0008792779220623642,0.32138092790540385,0.002362753398151483,0.15916983355540637,0.0048396602457045305,0.00013600757301157618,-0.0060680454231813764,0.9999304558004918,-0.001271371535544747,0.8143672830752966,-0.00237462870093452,0.9605877713175289,-0.009602572146607497,0.9999999995885674,0.003102795304686666,0.053930932921942176,0.0007065233189915835,0.38860701661523966,-0.0004325517719188713,0.6298087519947564,-0.0029233614213476887,0.9929075463124005,-0.005931743655358719,0.9975588198230124,175.8638460636139
CPI,0.0,-1.846464427016775e-05,0.7276234192980007,-0.00015045526211538915,0.758286750981953,-4.160730973524346e-06,0.6162855542850781,1.4928170408040967e-05,0.40717497138744524,-8.582426426518262e-05,0.8543540313237574,-0.00020529717040951127,0.9796489963751758,8.15545708952245e-05,0.23609090563879886,0.0009539343164843839,0.17543212189315083,2.4696453559501855e-05,0.23813975209454002,5.2263707041488167e-05,0.05109483961634067,1.2562840340256398e-05,0.32063509378476185,0.00016514626959366653,0.04528156888788526,-3.345873703269539e-06,0.5174437233757339,4.446532210241813e-05,0.3496587540291681,4.085565008699228e-05,0.14302143112486937,0.00012972957752035302,0.07844985899073649,5.61650050786202e-05,0.2719649673471902,0.00046834357119638487,0.012602905652487055,6.54420131997336e-05,0.08139909696864867,-0.00016171994497114414,0.8820716456597619,7.851886824566598e-06,0.4728393430010451,0.0011059473692675726,0.0917079229375814,-7.805798238903414e-05,0.6127683944572242,0.0005011879951010694,0.1425879622368164,-0.00019160985388085375,0.7712228598553413,-1.5275004247791713e-06,0.5200022362696767,-6.950388123128266e-05,0.5306644774599922,0.0009456356453117556,0.11894979159263214,0.0001115848734526935,0.25631866151418137,-0.00016541238402299416,0.8271609195824918,-3.4601100476878976e-05,0.8082230512338728,22.307977199554443
CPI,0.3,-2.316115088207664e-05,0.7708616443926097,-6.989846701629422e-05,0.6091215761237367,-1.4062743173594294e-06,0.5751766789072243,-5.31359408894802e-07,0.5040798350346851,-0.00015643103076089585,0.9522686422134934,-0.00011322339369991032,0.9785069394255153,0.00010368223503703054,0.13603860944613905,0.0008578839388021179,0.19031860224381325,2.1669600758616667e-05,0.37604145762818253,7.311979108468036e-05,0.01585100180931843,6.027821097019659e-05,0.12982149065860593,0.00012121988562854673,0.04857689180009326,-3.612178173149558e-05,0.7116300373338029,-4.504422524889348e-05,0.6848571426474794,-2.006919577907454e-06,0.5184467707274983,0.00017698248244024314,0.0067261491219465525,-1.555926322226002e-05,0.6660968075147315,0.0003541492182213453,0.03226626851650936,3.1069882465014145e-05,0.280724988705783,-0.00010496556886079901,0.9638533836241987,1.7212200126109217e-05,0.4374886609675678,0.0008707126284754185,0.16718054087111306,8.158831585448022e-05,0.32910891052001157,0.0003848093998728916,0.14574049472931982,3.5251496195008725e-05,0.4550159492298832,9.6179359315475e-06,0.3361936644301734,-8.09824981484221e-06,0.503386530925993,0.0008770214119486457,0.14826301609620218,5.671677849004332e-05,0.3755484245042494,-0.00021947318795414138,0.8903952290182062,-0.0001203354711083425,0.9394059274962134,9.781795501708984
CPI,0.6,-1.806198973044494e-05,0.73691107758533,2.887881635592858e-05,0.44996667276295055,-9.194886455829443e-06,0.7226743141555692,5.977686800657037e-06,0.44400265879084033,-8.583727330898835e-05,0.835670559630552,-0.00011942287724787427,0.974106337064861,4.880285948180747e-05,0.33857377944342126,0.0012507630468898932,0.10426000118574469,2.667181710999146e-05,0.24209623808806718,9.472622523005146e-05,0.016858738089798167,0.00011062577578814341,0.10150789119973969,0.00013760171732420633,0.05125464267130271,-4.756343152151343e-05,0.7503467233523194,-1.790060767437561e-05,0.5762270406649668,-3.719740160692403e-06,0.5324496827012533,0.00022797897392578918,0.004598101915072651,-1.8849281582350788e-05,0.6510556826390415,0.0003052160310665977,0.05561839223671415,3.3822950708329094e-05,0.25403050171188324,-0.0001510199806715705,0.9884345980464794,5.5153883789156935e-05,0.29167717071488597,0.0008670976901373213,0.14902579712269742,4.721701206812992e-05,0.3797761257854593,1.680075009305622e-05,0.3578168153057625,-1.9716952252736217e-05,0.5324061019593551,1.1132981683991544e-05,0.3358912846172574,5.152381098167541e-05,0.4799792849281166,0.0009726359107907843,0.11788802296806455,0.00016303296202667926,0.19883236260051457,-0.0001750007091891586,0.8395894147253923,-2.305765274263072e-05,0.873550532637061,9.47043228149414
CPI,0.9,-2.4650620759290517e-05,0.7848827409965531,-7.314436118437129e-05,0.6128566360091943,1.0177373920955066e-05,0.3493549661296643,2.7175707064917842e-06,0.4717100344308824,-0.00012819707907457678,0.8518565293822861,-0.00010710388699704254,0.952293475719179,7.83235344429846e-05,0.2661191782895094,0.0011133345101428764,0.10475357794580681,1.7343315012701213e-05,0.3372622301951354,4.6578388776998686e-05,0.06988071217052629,4.2008901099748266e-05,0.22027435566200493,0.00010032256478513871,0.05422761431352838,-2.1836422126454355e-05,0.6800359146483266,4.98971206780649e-05,0.274887647293885,4.966421625882643e-05,0.14854154744552478,0.00015296333097057982,0.018355513783629235,-1.9386918356721974e-05,0.6411035823284505,0.0003093833327578611,0.06282221003984378,9.483839596496207e-05,0.04667888319684683,-5.4283973459691784e-05,0.7848206101202061,5.136786278228493e-05,0.3043421989272046,0.0008911698667335745,0.16239968289564433,3.9660858875306335e-05,0.4104607121779743,2.4679859296113105e-05,0.19186901631333275,-5.28541858114788e-06,0.5076922861860529,1.9352058338695244e-05,0.24509772344196512,3.5347641159626936e-05,0.4851514720794461,0.0010606249305435203,0.11162834631427443,0.00015816182594747923,0.22757138192362725,-0.00019438909087329467,0.865294718535526,1.1014288711728298e-06,0.36545023769642315,9.59335970878601
CPI_sqrt,0.0,-1.846464427016775e-05,0.5002009197378876,-0.00015045526211538915,0.501628963423946,-4.160730973524346e-06,0.5000452945391746,1.4928170408040967e-05,0.4998377082260553,-8.582426426518262e-05,0.5009325874375288,-0.00020529717040951127,0.5022296466286755,8.15545708952245e-05,0.4991145824195791,0.0009539343164843839,0.4898944827483949,2.4696453559501855e-05,0.49973130061003623,5.2263707041488167e-05,0.4994313250744074,1.2562840340256398e-05,0.49986328654485934,0.00016514626959366653,0.49820627867215916,-3.345873703269539e-06,0.5000363618993534,4.446532210241813e-05,0.49951727297179005,4.085565008699228e-05,0.4995555312515115,0.00012972957752035302,0.49859072435909985,5.61650050786202e-05,0.4993898834525771,0.00046834357119638487,0.49492866635722377,6.54420131997336e-05,0.4992882231229118,-0.00016171994497114414,0.5017546511085298,7.851886824566598e-06,0.49991475814157393,0.0011059473692675726,0.4882247922228008,-7.805798238903414e-05,0.5008438054653239,0.0005011879951010694,0.49461102457256856,-0.00019160985388085375,0.5020721048250638,-1.5275004247791713e-06,0.5000166212402483,-6.950388123128266e-05,0.5007387068328458,0.0009456356453117556,0.48992316226699395,0.0001115848734526935,0.4987904277061466,-0.00016541238402299416,0.5017928127633406,-3.4601100476878976e-05,0.500376410999883,22.1932430267334
CPI_sqrt,0.3,-2.316115088207664e-05,0.5002520188461632,-6.989846701629422e-05,0.5007560131213594,-1.4062743173594294e-06,0.5000153117587868,-5.31359408894802e-07,0.5000057785091389,-0.00015643103076089585,0.501699235799247,-0.00011322339369991032,0.5012311634320393,0.00010368223503703054,0.4988737650660425,0.0008578839388021179,0.49090117309948644,2.1669600758616667e-05,0.4997644509474651,7.311979108468036e-05,0.4992044375593344,6.027821097019659e-05,0.4993445046265727,0.00012121988562854673,0.49868250018336713,-3.612178173149558e-05,0.5003926860729558,-4.504422524889348e-05,0.5004892985425362,-2.006919577907454e-06,0.5000218302579524,0.00017698248244024314,0.4980763614908668,-1.555926322226002e-05,0.5001692787248974,0.0003541492182213453,0.49616330645101603,3.1069882465014145e-05,0.4996621307516258,-0.00010496556886079901,0.501141293655407,1.7212200126109217e-05,0.49981311073895696,0.0008707126284754185,0.4907463007644194,8.158831585448022e-05,0.4991159241145364,0.0003848093998728916,0.4958506749389395,3.5251496195008725e-05,0.4996193396494781,9.6179359315475e-06,0.49989532203109915,-8.09824981484221e-06,0.5000859545776574,0.0008770214119486457,0.49066389081534,5.671677849004332e-05,0.49938533333071844,-0.00021947318795414138,0.5023785334188561,-0.0001203354711083425,0.501307724648268,9.664380073547363
