method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,imp_V12,pval12,imp_V13,pval13,imp_V14,pval14,imp_V15,pval15,imp_V16,pval16,imp_V17,pval17,imp_V18,pval18,imp_V19,pval19,imp_V20,pval20,imp_V21,pval21,imp_V22,pval22,imp_V23,pval23,imp_V24,pval24,imp_V25,pval25,imp_V26,pval26,imp_V27,pval27,imp_V28,pval28,imp_V29,pval29,imp_V30,pval30,tr_time
LOCO-W,0.0,0.002370173327665911,0.36328884205204726,0.005573788744686955,0.190429811028748,-0.031325226632909674,0.9999986732113917,0.001847043093352039,0.3895428065675216,0.005614597533202524,0.19510282778750798,0.0006335697211137251,0.4602934209655476,-0.004674576135513364,0.7666094352051325,-0.005324233040527954,0.800487811803378,-0.007252911917060387,0.8840910703629803,-0.0036483143532353712,0.7208837755385117,0.0013974698033291841,0.4104543226110843,0.0054187628910039014,0.19138389133070688,0.008356137349756602,0.09883769403051279,0.008142520900659141,0.10586417491344524,0.0006984442275509304,0.45677342302823076,0.0037656688736646977,0.2738145210202265,0.009928963704229124,0.06367744984123502,0.009649083808257814,0.061630852728013386,0.005353186733676117,0.2103900534410481,-0.0017072939694462814,0.6117899617176927,0.00701166919368333,0.12756215527004644,0.003787115800339049,0.25800814949022843,-0.012591724379611804,0.977352797584752,0.008642679043867547,0.0948556905531519,0.005068831747387267,0.20753965635626792,0.009365778716900145,0.06442707539897996,-0.0014756604703015342,0.5945093381165609,0.003895166822891022,0.2726653902936632,-0.008766006433002122,0.907197998402164,0.0037889424195112586,0.2725938495654405,-0.0039747163874795785,0.7289500456522235,2.9311916828155518
LOCO-W,0.3,0.00136085586213013,0.4154863811334004,0.0005932303574100391,0.46214312950841663,-0.0011171800389998625,0.5702991082958913,-0.004691469658756117,0.7811910621530815,-0.0019446082365627928,0.6248374330725202,0.011883176434428344,0.03286167196189904,0.006773198164810692,0.14234689663174738,-0.01478761622805403,0.9930999819019102,0.00603395458531723,0.1605435891938507,-0.002024868083534901,0.6286999691038414,-0.004337473708535096,0.7454377333431355,0.0023253861625163984,0.3632054985234259,0.006722579976095431,0.14504246430164636,-0.0012457404748868815,0.5770321690249058,-0.00650943880163299,0.837390993994874,0.001481868001499531,0.4106333068569198,0.01143891880990117,0.03590461817766477,0.006139427751439701,0.1762181771072613,-0.00022548168766361518,0.514202856499058,-0.005617037082437014,0.823250406877803,-0.003306493627172715,0.697809645199869,0.005140284656127551,0.2085880098711952,0.010030498340457047,0.06440477283536361,0.005117183474496653,0.20558941504392403,-9.985049294764891e-05,0.5061532997505935,-0.003014068093049589,0.6841303478280429,0.00551224479128162,0.20246715397104498,0.006384041998214597,0.15654774882723166,0.0029177606453393546,0.31440135801600333,-0.009629877046923493,0.9353878590258585,0.00042823245663736655,0.4741761904595756,2.8377184867858887
LOCO-W,0.6,-0.01131289784495159,0.9547074677096499,-0.0018233442625822961,0.6086681933707018,0.0032856550391269107,0.3050516535186941,-0.0007423374150454069,0.547164880639884,-0.002474012650832918,0.6557334684604571,0.01797445061911327,0.003543834847054006,-0.002769264005569747,0.6762507351231126,0.013863046638784167,0.01784005832016189,-0.01359207782149849,0.9842345259744842,-0.003163699891570716,0.6983729892103164,0.004922973407541839,0.22186589828422465,0.007630958073482818,0.10399544493487634,0.006877698113094293,0.14170876593757997,-0.010497879434722171,0.9571779145794019,0.00707181383256855,0.13559101731156376,-0.0050014852318064065,0.7855819408827696,-0.006301357505812598,0.8393083259489006,-0.004868632646126513,0.7733398630705257,-0.006009451398972841,0.8201012060987216,0.004584073695485697,0.24137456869122553,0.012731807277653414,0.02552727754569606,0.014219012387547632,0.011828534908326915,0.005096501197788839,0.2148245376466209,0.00420021111314387,0.2547140696200878,-0.007281349959759997,0.867679120085536,0.0004352763111910075,0.47337548863302126,0.0023752528664055463,0.34676109003156985,0.009818618109352738,0.0635188107609842,-0.007385350188576385,0.8929731551804216,-0.0029996125816189293,0.6810529617351426,0.0037463956966809976,0.27815987842678325,2.8523590564727783
LOCO-W,0.9,-0.010246050005476718,0.940519122291849,-0.00262576255369635,0.6582111381756983,-0.009865700825505357,0.9414312733661864,0.0025752286866924864,0.3428306112797578,0.004663267381759561,0.22770228622563982,-0.009433665834607525,0.9292197765659466,0.0024158385408718755,0.3495546226227728,0.002715670640772915,0.34034478732947804,0.012286036727077444,0.023693556354766,-0.0021319117937771913,0.6365541093424185,-0.010994173093905853,0.9547509336290756,0.0068751319976322394,0.13495638348746442,-0.008903222511879217,0.9120595988831867,-0.004638543025771021,0.7596221092765421,0.008427858050711319,0.08788221091467852,0.00836122954515449,0.11016254527128655,-0.005067658130631361,0.7764502238057442,0.0017748809525621955,0.3900907159140786,0.00121168994230404,0.42502974259590875,-0.0023884143014024383,0.6455299180381253,0.004589337434690983,0.24487698642667532,0.004881258863641796,0.21640383400606855,0.00911471973384266,0.07718570627820731,0.0018752125509817793,0.38063617707812214,0.0028504193887871833,0.3281125278845308,-0.000800836089165151,0.5500542986265151,-0.007066785972517348,0.872075398805752,0.007332894036126876,0.12047728029887894,0.004823767621634559,0.22937706777938272,0.010912250818214734,0.04393263528619862,0.009699113372820724,0.058942506195200584,2.9915201663970947
CPI,0.0,4.960521651771119e-05,0.42848337811515813,-0.0005334170242200197,0.9339019515841043,-4.6122461537206894e-05,0.8152625679030108,6.758802850880333e-05,0.4374785058863473,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00024088747751451617,0.07741194040942234,6.328033895862048e-05,0.31258446221305336,-0.0002611850749096624,0.9340183029733287,-0.00013079815963698213,0.7111741793961447,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.001218077137981985,0.1934294054114934,-0.0002464191257709712,0.635648339282578,-0.0009361661529698334,0.9692286918836315,0.0014507575075362218,0.07019451817121478,0.0,1.0,0.0,1.0,-5.782748826278078e-06,0.5046634023474035,0.0015932019345651811,0.008387404898314767,0.00044729550334293017,0.22715097350093627,0.0,1.0,-5.815098699673421e-05,0.759810272246565,14.407970428466797
CPI,0.3,4.349515864330092e-05,0.44018555115756175,-0.0006505968705025483,0.9461385890852738,-5.0264452033103174e-05,0.8036095961352087,0.00028298184555882247,0.1734122044302861,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.000248670668593378,0.07476070213598522,6.0938570538866116e-05,0.2965947896934672,-0.0002818532148661859,0.9377195472165065,-7.999410627829856e-05,0.605294250826461,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0013919255745740884,0.16978134495068337,-0.0003740781321213346,0.6934622984558034,-0.0009096063622328412,0.9488551302122975,0.001361469717230352,0.10802471147450998,0.0,1.0,0.0,1.0,3.0223764527052138e-05,0.4748584736981583,0.0015747457377441702,0.009128293994689384,0.0003829231637181227,0.2622024787395383,0.0,1.0,7.899310013612104e-05,0.253049257943235,3.201894998550415
CPI,0.6,4.410709600062568e-05,0.4308895175335712,-0.0007123317433110656,0.9506593597815225,-5.245602271405567e-05,0.8079921466044497,0.00015372293580475857,0.17705033521395963,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.000289669986048801,0.06539435307673293,3.76410560086228e-05,0.30943911915808986,-0.0002853192960088763,0.9378676278801422,-4.340542306738651e-05,0.5498035281664739,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0014081106324497945,0.15427000951550707,-0.00040212609840441227,0.7005781549181884,-0.000986606489873313,0.9680708224508703,0.0009618302294397002,0.1004784235925219,0.0,1.0,0.0,1.0,2.765135973241059e-05,0.47699262729087877,0.0015949087218018222,0.008434510117415655,0.0004096784330620655,0.25098590248483366,0.0,1.0,-3.889343315493371e-05,0.6384975913165638,3.1840925216674805
CPI,0.9,4.634347225725144e-05,0.4237498856953369,-0.0007113707129883136,0.9510158198405648,-5.318814733600019e-05,0.8100447470214439,4.6652804591929e-05,0.2527303876020064,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0003013378359756312,0.06264943819023762,2.9924681986898127e-05,0.3186930677636835,-0.00028295933006442994,0.9369470727047862,-0.000194011061278785,0.7182281768888049,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0013783224763023426,0.15554956700495826,-0.00038492531227425283,0.6923779055383381,-0.0007492315258412069,0.917958953709417,0.000658230940258818,0.10658496885937763,0.0,1.0,0.0,1.0,1.8914411823282157e-05,0.484345096336701,0.0016010927823765682,0.008219653796465044,0.0004350491609035889,0.23889996010686165,0.0,1.0,-8.076025349996671e-05,0.7980814764292983,3.1422362327575684
CPI_sqrt,0.0,4.960521651771119e-05,0.49946570243688965,-0.0005334170242200197,0.505732994408088,-4.6122461537206894e-05,0.5004998052510005,6.758802850880333e-05,0.4992750295232719,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.00024088747751451617,0.49739797967143246,6.328033895862048e-05,0.49931571622929977,-0.0002611850749096624,0.5028209570337373,-0.00013079815963698213,0.5014103591771745,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.001218077137981985,0.4872714836351027,-0.0002464191257709712,0.5026233352732844,-0.0009361661529698334,0.5100213673859408,0.0014507575075362218,0.4846710771178338,0.0,0.5,0.0,0.5,-5.782748826278078e-06,0.500061919088913,0.0015932019345651811,0.4830239859970622,0.00044729550334293017,0.49522388934566675,0.0,0.5,-5.815098699673421e-05,0.5006296217077644,14.361276149749756
CPI_sqrt,0.3,4.349515864330092e-05,0.49953168809447585,-0.0006505968705025483,0.5069828531190843,-5.0264452033103174e-05,0.5005445799982442,0.00028298184555882247,0.4969541358045805,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.000248670668593378,0.49731414283112924,6.0938570538866116e-05,0.49934076273565914,-0.0002818532148661859,0.5030433469871896,-7.999410627829856e-05,0.500861050909508,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0013919255745740884,0.4854745280207872,-0.0003740781321213346,0.5039792229867444,-0.0009096063622328412,0.5097225055936123,0.001361469717230352,0.48565833793919,0.0,0.5,0.0,0.5,3.0223764527052138e-05,0.4996762434887176,0.0015747457377441702,0.4832209714736251,0.0003829231637181227,0.4959116268510934,0.0,0.5,7.899310013612104e-05,0.49914555755859874,3.1943843364715576
