method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
LOCO-W,0.0,0.038204898812836056,7.674781779420936e-05,0.02309488331622752,0.014185529247492945,-0.014547864686921482,0.9142276611190492,-5.022394627463918e-05,0.5019300554345425,-0.002691101039197741,0.6050870503279268,0.005545432212643812,0.3033912532831071,0.001060561492700131,0.46083848526478455,0.013767153929051871,0.09946839383247319,0.011025389492473224,0.14579146623916506,0.021148602285002017,0.02510782674186751,-0.0012140756548855154,0.5473759052854977,0.008702014620783995,0.19800978220125298,13.312174320220947
LOCO-W,0.3,-0.00791865446147826,0.7746833936199607,0.008133295968762076,0.21451023206011222,-0.01857837660316016,0.9663122561185478,0.0036030540820312187,0.3602800081358647,0.0064538020017216955,0.2728712584180034,-0.012946747131362348,0.9025605887623067,0.0033603462227950534,0.3645275760465697,-0.011349762361431148,0.845610343592706,-0.005450962394199509,0.695741857646941,-0.007325529277535133,0.7573316365892975,0.030716543048905566,0.001325280918071714,0.0032284197544867805,0.3803655826536688,13.022177696228027
LOCO-W,0.6,0.023196806568854877,0.010063307672529609,0.005441987081839911,0.3060009406646701,-0.00034900632757350387,0.5132926577889272,-0.0011544318694102526,0.5451172360404642,0.013171495788383199,0.11453250482348287,0.012300260598380155,0.11807968288592763,0.010322576001594159,0.1506952392622669,0.014361887617024886,0.0965215188747246,0.011838953241787789,0.10038326708900436,-0.007173074566639758,0.757100247988683,-0.001991082692908363,0.5746823923478732,-0.008557723473333383,0.8023754371471912,13.639101505279541
LOCO-W,0.9,0.0005947985615614811,0.47782671149609857,0.012191566038188923,0.12798187842992648,-0.013845578817131575,0.9157759514149235,-0.002147135068674131,0.5840893571786613,0.012496708045897125,0.13466253036517895,0.000953540895982688,0.46022717637925903,0.021245102231203655,0.027287348221494034,0.004501015407303985,0.3282982363722847,0.005156430566664397,0.3031504688500508,0.01126363085171551,0.14070873741044987,0.0013337741359866412,0.4472403368596025,-0.004119293502584875,0.6562592186352931,13.202139377593994
CPI,0.0,0.0028954830666733378,0.254922840413316,0.030495545019653653,8.72998381355327e-05,0.009161264856620055,0.002118194845122081,0.010637348746475428,0.004223606643706754,0.002748602902478109,0.2673449866871388,0.00241781760784765,0.027219753164192943,0.022744463573185825,6.338700251003026e-05,0.0032151403903278586,0.18016910907754874,0.005640473850432454,0.08831070388877177,0.056752338362632965,2.724182288808015e-07,0.06780993471345315,3.787773421733672e-09,0.0010783055807041253,0.3427751014681789,15.507251977920532
CPI,0.3,0.004001336800715682,0.1722753251774256,0.025944593717179054,0.00018760501905618263,0.007874135100961993,0.002428826242502702,0.008888230785469436,0.032605916608685497,0.0015003227734485813,0.37555637821492266,0.005626398897209062,0.027923319953770082,0.0216836023937505,6.59504928991813e-05,0.005020255771872956,0.09963497625284196,0.01029397739003221,0.009787720537378555,0.060963337069157575,3.152677200405039e-07,0.06743157621174425,2.919677368068765e-09,0.0005443605887644476,0.3988252059348303,4.3352370262146
CPI,0.6,0.005693771213560184,0.06597212208566884,0.025127751901178663,0.0002728685428094274,0.00706682836151637,0.005177142834974439,0.011992235305880256,0.01762383923606556,-0.0004837137091552035,0.5420573088176703,0.005046583369698099,0.06627246529031121,0.03421921393158214,2.8960892392330257e-06,-0.0008518528441308904,0.5877148148024569,0.006047081309649566,0.08413796260332346,0.06316489768511643,8.824909735782988e-07,0.06635046037773953,9.455938646363138e-09,-0.002550465174982114,0.8544982183037702,4.181090593338013
CPI,0.9,0.0032351827358017837,0.24535151919565995,0.02734458997686759,0.0001257346914105879,0.00653379837825907,0.010893798626226473,0.027202029981411302,0.00015884343490116725,0.0028784022507274687,0.25306914898277993,0.0023952209506448996,0.16046544494747095,0.022243538530432733,0.00031806058622675784,0.0019725097712458006,0.3063311062194044,0.006073217312747736,0.06335258780308566,0.05967749372966005,5.964118636690424e-07,0.07368314090556727,1.913909959855454e-10,-0.0018154635269621855,0.76586156518983,4.292972803115845
CPI_sqrt,0.0,0.0028954830666733378,0.47033174779638065,0.030495545019653653,0.23720024707344245,0.009161264856620055,0.40402343620864745,0.010637348746475428,0.3912840471911863,0.002748602902478109,0.47185860862723766,0.00241781760784765,0.4730492593484991,0.022744463573185825,0.2869140140242009,0.0032151403903278586,0.4663043935471509,0.005640473850432454,0.4420302543982705,0.056752338362632965,0.10781815391207672,0.06780993471345315,0.07126927804360902,0.0010783055807041253,0.4884279179516074,11.36018681526184
CPI_sqrt,0.3,0.004001336800715682,0.4588665736047868,0.025944593717179054,0.2674029795947165,0.007874135100961993,0.4164071398155157,0.008888230785469436,0.4105959955480764,0.0015003227734485813,0.4847488143514181,0.005626398897209062,0.4402855207250147,0.0216836023937505,0.2947050533110055,0.005020255771872956,0.448014650438842,0.01029397739003221,0.3956890378846334,0.060963337069157575,0.09608051782668736,0.06743157621174425,0.07172522449345024,0.0005443605887644476,0.49407134037198147,4.284961700439453
