method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
LOCO-W,0.0,0.01183979235422259,0.13046184046743625,0.017845541781644804,0.03691467838795914,0.006770283011437034,0.2525692437925353,0.010587643513704594,0.14066176442613565,0.011305895089856285,0.13664681451365968,0.004695002230898267,0.32396798885710887,0.008880599372144131,0.19911931837455854,0.028670833375047333,0.002760776813882204,-0.00039843344750694265,0.5158281009620664,0.012294405459521908,0.12446968707761241,-0.0006343447638455949,0.5263946511787144,0.014824218996717037,0.08407901685420449,13.076521635055542
LOCO-W,0.3,-0.0009425537727825407,0.5383461032124166,0.0335892738648493,0.0010425622253179556,0.014933138387208018,0.07170110185110945,0.017022155818164027,0.04941045558083379,0.0014678398489822635,0.44142469615257995,0.019572147972258678,0.025587751268661973,0.020681811919398694,0.02392989193453654,0.002174227950745463,0.42066892539911493,0.004930087326690194,0.3221696010028774,0.006688938193105425,0.25667125752417264,0.008775308089464919,0.21049928206222712,0.0223038000358136,0.016079099788745888,13.363115787506104
LOCO-W,0.6,0.0299647907490413,0.002118611480243615,-0.006705531118600478,0.7435561342863057,-0.011533482012479477,0.8745343426884555,0.013349964212639754,0.09350388035352208,0.01299925979809668,0.10146467806623716,0.008114049210437744,0.22336731297738255,-7.199793236271985e-05,0.5027892100400524,0.025649663640408094,0.0030837767393255833,0.0007657283888579055,0.4691637601335784,0.009354740536910542,0.20430172191086937,0.025862764329908743,0.005647200284715659,-0.013182967177098392,0.8870595722374333,13.157575130462646
LOCO-W,0.9,0.03117914756536949,0.0006758973896571208,0.015175900306527932,0.07954500036705836,0.010019570010852269,0.1606255657392195,-0.012024536196668312,0.8750204477992881,-0.007242028579398599,0.75155893125561,-0.0084000491145146,0.7910308370201129,0.0053219177372692324,0.299028345253332,-0.024457105173071234,0.9893090040394349,0.006966218363581144,0.23378234096030093,0.0060428932043155355,0.2926745001997091,0.013946209235838473,0.07636931585529627,0.009226038869501638,0.1899604535421615,13.094278573989868
CPI,0.0,0.008361464205497604,0.02471577205131677,0.017764645829219022,0.013676198798542375,0.004295509205025666,0.10622570619253263,0.003300181861135121,0.16576905955663845,0.008453154258689949,0.023348214525931714,0.00415183091237159,0.10117495941029558,0.007749005790572222,0.04006381209319291,0.006820359157541006,0.08891901152329229,0.005096673244794375,0.07296085422169002,0.04699650898784882,5.582152711339898e-09,0.058580866453570024,7.279405620455643e-07,0.003105278126813993,0.11765479844429383,15.015033483505249
CPI,0.3,0.011839819083650088,0.005904208640275258,0.020611010220506404,0.005233307375309532,0.007111927997212303,0.03784667565163538,0.0038559649435546683,0.15270622226773134,0.011637563531715689,0.01871384967037374,0.004141695426567088,0.15012678893365045,0.0029644994566373484,0.10036554829995992,0.010962055843091428,0.004977801264499981,0.002108442704969349,0.2720130490820629,0.04091358594445271,2.0553018983402087e-08,0.06291735320346675,4.877163658924522e-08,0.0013339283548030323,0.31625364440803927,4.148684501647949
CPI,0.6,0.009924945155523252,0.010182014633728417,0.027109973607041288,0.0005673869712921063,0.005348775292186081,0.1145488350499061,0.0050892093043481135,0.17685894585209377,0.00916746989971981,0.01936978254308102,0.0037469671402600158,0.0830394969753332,0.0017612113687024977,0.09112099293408166,0.00503093104906116,0.11369125555299281,0.002191261699834801,0.215671134906392,0.039729898980088746,9.77082961378955e-08,0.06513481220176984,1.4612382197960725e-08,0.0014443197786821738,0.3653917027597736,4.120531797409058
CPI,0.9,0.008891601532130616,0.016473606176292864,0.01509638219088072,0.025646706132344693,0.006623126970957793,0.02886144333856216,0.007256854771382548,0.021792246249104363,0.008607920115966533,0.025160327545955877,-0.00140392016376914,0.8573022137961994,0.0022152157597603583,0.0035578697612397604,0.0043580727068149305,0.13536839917308807,0.00293811671590688,0.17738688094071847,0.04158279696908693,3.3344389779502375e-07,0.05941165063741827,1.0072176783686103e-07,-0.0017291604907017089,0.830609332936032,4.139158487319946
CPI_sqrt,0.0,0.008361464205497604,0.41576236490312213,0.017764645829219022,0.34010006150776817,0.004295509205025666,0.45557237489682,0.003300181861135121,0.46579671702808345,0.008453154258689949,0.41484063070948585,0.00415183091237159,0.4568420858652625,0.007749005790572222,0.4221872520900378,0.006820359157541006,0.43248658966070536,0.005096673244794375,0.4474120715596157,0.04699650898784882,0.13873807338513705,0.058580866453570024,0.10731827779853881,0.003105278126813993,0.4671452499929041,11.164568662643433
CPI_sqrt,0.3,0.011839819083650088,0.38290433218139647,0.020611010220506404,0.3162414593358256,0.007111927997212303,0.42774446944256395,0.0038559649435546683,0.46042748250409843,0.011637563531715689,0.3872997122437807,0.004141695426567088,0.45776162912414986,0.0029644994566373484,0.46838061760859606,0.010962055843091428,0.39014866742836374,0.002108442704969349,0.4781754136178835,0.04091358594445271,0.16788284152584038,0.06291735320346675,0.08963705109392861,0.0013339283548030323,0.48593815212796526,4.072466611862183
