method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
LOCO-W,0.0,0.14370861349030237,7.87639773403015e-08,-0.06418485283132501,0.995156466073327,0.1859850184949507,3.2187924769999654e-08,0.18568418650985688,3.8016922943029385e-11,0.10017080264632683,0.0002813954361265969,0.0007924614474897032,0.4876219960946421,0.10225578146602972,2.119809226786007e-05,-0.021762679414245163,0.8060059049420869,-0.009625107141532759,0.6360892575942025,0.12766713691211007,6.6749745730732e-09,0.32288324322685963,0.0,0.05326283387303101,0.010924904191608187,23.730432987213135
LOCO-W,0.3,0.1806390276655604,2.3748125688172195e-10,0.17617769488438786,2.5678059678568843e-10,0.009734811976166977,0.3491197238731093,0.06499546505322693,0.007218874432604272,0.10328813376881285,0.00029737146217678756,0.15819070351037498,7.003790780668595e-08,0.06339968231449633,0.004246183915303847,-0.10705829292615936,0.9998746397152077,-0.07745476328361678,0.9975347882101031,0.1593832021854637,6.122040652201122e-10,0.15918624015515306,1.3800068865421622e-09,0.07011335336703801,0.0017237454924832196,20.182700634002686
LOCO-W,0.6,0.17988022116121258,7.194571249868886e-08,0.03787049305653325,0.08135711979370619,-0.018286687063381293,0.7372520849923312,0.020060552602448673,0.23118515073923973,0.06933926685944898,0.010554983788562122,0.028168473980762,0.14381900294262084,-0.08464813425214089,0.9996452586856609,0.05620989483647171,0.016797798600210134,0.06259389268108317,0.010898432502769229,-0.18816756569305396,0.9999999982348634,0.09185620998592016,0.00024422732221285326,0.03013374599305533,0.1275023348850175,18.327484130859375
LOCO-W,0.9,-0.19932251664474934,0.9999999997214786,-0.06519298211130714,0.9963424937021881,0.009156059851687371,0.36756032511933645,0.07082933917452759,0.009971572158443465,-0.04180545102845717,0.9362600278100732,0.09426207448050232,0.00022489347542731242,-0.06983240174719255,0.9973178032565648,-0.02650216335933391,0.8421428869555019,-0.023960465072899173,0.7887102835025404,-0.06988369318356608,0.9973435758966078,-0.048633986486681116,0.9686273690289461,0.08134190871949379,0.0002843665349375746,19.707733154296875
CPI,0.0,-0.005453899877622598,0.9278139862335394,0.007219204566403042,0.014781306484371724,0.002446498395093366,0.11914598940193555,0.007052689198246004,0.06920666746598036,-0.0003643552489919766,0.6720415466532249,0.013556938719656991,0.0603356348093278,0.07590860393983984,4.4048317959231226e-05,-2.4527497659215802e-05,0.9843450582707566,-0.00018623862866731788,0.5994487111212319,0.010321505670606274,0.0004328162813641271,0.09415039666178443,3.8942931933494476e-07,-0.0059418658533253454,0.940545004420744,15.820613622665405
CPI,0.3,-0.005905712401721996,0.9470342414651414,0.010233596798100292,0.0026148510876449,0.003755331707436138,0.03284439859369852,0.008383603360119535,0.024687280551751654,-0.00115801881918548,0.90100363095338,0.0425341865323173,0.0006757480274415176,0.04663942201958468,0.0011375803513546858,-1.603022565091483e-05,0.9294777776444907,-0.0011989762396477366,0.9302129160232193,0.008593106456565275,0.0019944488940686024,0.09256661192699697,1.5263517770975532e-06,-0.0032797588593632687,0.7483838712510323,4.748732328414917
CPI,0.6,-0.005999254556901035,0.9477214889682077,0.008508293687137958,0.007215472906650652,0.0014204103473808294,0.2577409232804033,-0.0011726897633581312,0.621418596083021,-0.00025117460688076076,0.6706748448204087,0.006482213420966998,0.05470629112770903,0.007468702494539348,0.041249028677539115,-7.692857830948752e-06,0.8086186761436449,-0.001035387495974982,0.8638804325462585,0.006885032237245986,0.003187804522673294,0.0746610803135043,1.2235678460709084e-05,0.0006255603026270873,0.35004484740657504,4.9148454666137695
CPI,0.9,-0.008892963381807367,0.9392153026994255,0.007868083389303393,0.014424599227258772,0.0025422832555263564,0.16913287935553106,0.00463957736435025,0.1506556421371984,-0.0003740748753447154,0.8180828428429109,0.004604068943377976,0.09594064696069615,0.0023079059026386572,0.19681516654871895,1.5957845282688066e-06,0.4404556609112056,-0.0006333692266970448,0.8948573096580832,0.0044537632921430315,0.014101761174267952,0.026983014052867765,0.005475125976735122,0.001174982024226473,0.33723611418416477,4.594235897064209
CPI_sqrt,0.0,-0.005453899877622598,0.5557053187900776,0.007219204566403042,0.425654604750608,0.002446498395093366,0.47383109608127405,0.007052689198246004,0.4299444334335709,-0.0003643552489919766,0.504036158988132,0.013556938719656991,0.37881332841902005,0.07590860393983984,0.08204452983689609,-2.4527497659215802e-05,0.5002779320087998,-0.00018623862866731788,0.5020675968659055,0.010321505670606274,0.3937595911914836,0.09415039666178443,0.04133190607171592,-0.0059418658533253454,0.5605379607911063,11.906750917434692
CPI_sqrt,0.3,-0.005905712401721996,0.5604146952699597,0.010233596798100292,0.3961419428653222,0.003755331707436138,0.45983347236051925,0.008383603360119535,0.41587682097573675,-0.00115801881918548,0.5127969391731629,0.0425341865323173,0.1900840526567094,0.04663942201958468,0.17775539939640878,-1.603022565091483e-05,0.5001816482249539,-0.0011989762396477366,0.5132817616184597,0.008593106456565275,0.41096302088084086,0.09256661192699697,0.046269190705307585,-0.0032797588593632687,0.5325972319887239,4.701113939285278
CPI_sqrt,0.6,-0.005999254556901035,0.5612964237393587,0.008508293687137958,0.4129336855471249,0.0014204103473808294,0.4848439185158941,-0.0011726897633581312,0.5119977242365877,-0.00025117460688076076,0.5028018082283123,0.006482213420966998,0.43440312068359216,0.007468702494539348,0.42500822943007377,-7.692857830948752e-06,0.5000871775905675,-0.001035387495974982,0.5114284101309643,0.006885032237245986,0.42758201813494623,0.0746610803135043,0.07902580804764558,0.0006255603026270873,0.4932222831705,4.809883117675781
CPI_sqrt,0.9,-0.008892963381807367,0.5859828747556758,0.007868083389303393,0.41964172650910314,0.0025422832555263564,0.47322432943279313,0.00463957736435025,0.45346436652390437,-0.0003740748753447154,0.50419104979411,0.004604068943377976,0.4526785005333932,0.0023079059026386572,0.47572203431550797,1.5957845282688066e-06,0.49998191707273265,-0.0006333692266970448,0.5070772728460146,0.0044537632921430315,0.45238219160039683,0.026983014052867765,0.27788337816031095,0.001174982024226473,0.4876640744402831,4.598479986190796
CPI_n,0.0,-0.005453899877622598,0.8463264399695454,0.007219204566403042,0.07131652726933574,0.002446498395093366,0.25314568434463103,0.007052689198246004,0.1339675357836555,-0.0003643552489919766,0.5597360057168471,0.013556938719656991,0.09494763730876332,0.07590860393983984,0.00014686511479906317,-2.4527497659215802e-05,0.5060480351154223,-0.00018623862866731788,0.5316409160757807,0.010321505670606274,0.014129763264241733,0.09415039666178443,2.6008219143629716e-06,-0.0059418658533253454,0.863661280084344,11.921260595321655
CPI_n,0.3,-0.005905712401721996,0.8692636975495827,0.010233596798100292,0.026100836094002697,0.003755331707436138,0.1515596444649866,0.008383603360119535,0.0766909500312441,-0.00115801881918548,0.6779937109235092,0.0425341865323173,0.0021263193269600903,0.04663942201958468,0.0028770406418484372,-1.603022565091483e-05,0.5039540732301508,-0.0011989762396477366,0.6900019853907857,0.008593106456565275,0.03062632078617943,0.09256661192699697,7.889110732090488e-06,-0.0032797588593632687,0.6929118916160247,4.735525608062744
CPI_n,0.6,-0.005999254556901035,0.8710573132411458,0.008508293687137958,0.04712269696818517,0.0014204103473808294,0.35393426201591166,-0.0011726897633581312,0.5859758927792829,-0.00025117460688076076,0.5459688721416633,0.006482213420966998,0.1258688535887006,0.007468702494539348,0.10307580618718398,-7.692857830948752e-06,0.5019000118681082,-0.001035387495974982,0.6576717042953116,0.006885032237245986,0.04776750016182173,0.0746610803135043,5.477489803608364e-05,0.0006255603026270873,0.42322642050826803,4.885050535202026
CPI_n,0.9,-0.008892963381807367,0.8868329838276299,0.007868083389303393,0.06536819030308039,0.0025422832555263564,0.2753875230342494,0.00463957736435025,0.22326872460535402,-0.0003740748753447154,0.5735167124919167,0.004604068943377976,0.18493523944512968,0.0023079059026386572,0.29624179822279684,1.5957845282688066e-06,0.49960631348506446,-0.0006333692266970448,0.6178693705533282,0.0044537632921430315,0.1103050612382524,0.026983014052867765,0.0135669139927711,0.001174982024226473,0.3948095127343658,4.566871881484985
