method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
LOCO-W,0.0,-0.004624972301914424,0.8984236370451661,-0.0011620266788777195,0.6255722478861961,0.007192084961555714,0.031196340049289506,0.0052783136818090395,0.06558855838672384,0.008911459076321883,0.010073708628929645,0.006503632957565482,0.028051873114029124,0.0028969269841912977,0.21227600563145632,0.0003689516486109937,0.4606683588790871,0.00728907845242615,0.018881607639027242,-0.0016032368512631948,0.6536887921454084,0.005812898912612135,0.050323825134843236,-0.002949648718610544,0.8067084709779235,33.59809637069702
LOCO-W,0.3,0.0033363730363034105,0.19401680493754514,0.0009160376588234375,0.4048501863955849,0.005310971439801802,0.0701260084185199,-0.0017281657031110197,0.6863531373874794,-0.0013673673151414444,0.6391848341309021,-0.00018899707713034944,0.5211037300196895,-0.009004075082951195,0.990797535267937,-0.0010966852987470688,0.6100144034835984,0.006221683760177813,0.04829628409399933,0.003547043198490052,0.20064737956582746,-0.0019088234529861944,0.7015008442125955,-0.0008062700468125223,0.5891647790519514,33.09735083580017
LOCO-W,0.6,-0.00508799352015483,0.9250543929647266,0.007417355855251714,0.017250814148994986,0.0008015233357124076,0.4122796546489167,0.0013198484562831172,0.3541020443975774,0.004044716441126052,0.1269292402228439,-0.004600106875429195,0.8858198628638918,-0.00645343871552846,0.953795172600618,-0.0016686624370961078,0.6698783463008796,0.003660246115557581,0.14872673617480747,0.010924481890679082,0.0019192197444137804,-0.0025806469012331352,0.7507222409742482,0.0013143295355974565,0.35656496709926644,33.08932018280029
LOCO-W,0.9,-0.002468127444131876,0.7531017349934386,-0.0008554872448061824,0.5881511807490838,-0.0012821474024320345,0.6325912265783328,-0.002432448922670738,0.7566611119367295,-0.0016923594758071453,0.6717397853939019,-0.0067952901901336665,0.9531494085040861,0.005602359257350338,0.04844942194944579,0.005850969157577765,0.05080646090071117,0.002408246007936836,0.2734387069852986,0.0024480445481917536,0.273783506005448,0.003284200414860885,0.19337897796462222,-0.00590381602403078,0.930901782399899,34.219667196273804
CPI,0.0,0.004536901041666708,0.0039044894068761098,0.015894479166666642,0.009692465348925169,0.0030793229166666825,0.01761196557857651,0.004346067708333318,0.029049405669437006,0.009436536458333339,0.00029498197661377237,0.006205260416666691,0.005832618045617944,0.018947604166666687,5.2273270557364995e-09,0.00490802083333336,0.007606333797606592,0.00628526041666666,0.0019135610234919764,0.03762812500000001,0.00017783020430641063,0.09787635416666665,3.112117616697437e-11,0.0006899479166666833,0.3265631249064075,17.80224370956421
CPI,0.3,0.0042415885416666466,0.005403729860320448,0.01502656249999998,0.014040170136920016,0.0031475520833333104,0.014807327803028944,0.004839609374999998,0.017041516486522534,0.009991380208333317,0.0003246618028905251,0.005585390624999964,0.014864079619960651,0.014298229166666648,4.780397172220242e-07,0.005558359375000016,0.0020891045135530764,0.006404036458333318,0.0024683904868620303,0.03805854166666667,0.0002187401925840732,0.09944505208333337,3.636280396506401e-11,-0.0008914062500000042,0.7003348569316319,6.7987220287323
CPI,0.6,0.005232708333333308,0.0006512399475245475,0.016610989583333347,0.007455112047500385,0.0027003385416666803,0.04258317750473752,0.0040853124999999935,0.04929256566033971,0.009586718749999973,0.00042179256621675284,0.005761406249999962,0.010972695461732634,0.00920874999999996,5.238639794891977e-05,0.005639427083333315,0.0038293504309496874,0.006437057291666631,0.0011370607607523555,0.038377421874999956,0.00024087215049587118,0.10124794270833332,2.928618889141973e-11,-0.0021094531250000215,0.8963887955159164,6.536667823791504
CPI,0.9,0.003558567708333349,0.0004065551772472605,0.018922291666666702,0.0033059561071703577,0.0031094791666667065,0.01641253478698128,0.006129531250000042,0.00650434059250192,0.010046171875000037,0.00019826216144904204,0.005317057291666677,0.021563580668155637,0.004002578125000017,0.002747779777756303,0.006794843750000029,0.0005218900721843476,0.006003385416666701,0.00175008128637161,0.04022796875000004,0.00014624299167023653,0.08708468750000001,1.7913289667358566e-11,-0.0012729947916666484,0.9110609301381105,6.676403045654297
CPI_sqrt,0.0,0.004536901041666708,0.4527835593094771,0.015894479166666642,0.3568950841968531,0.0030793229166666825,0.4677074979841175,0.004346067708333318,0.4554430674387478,0.009436536458333339,0.40508326289623986,0.006205260416666691,0.4367889117759929,0.018947604166666687,0.31721971743889454,0.00490802083333336,0.44935850370055974,0.00628526041666666,0.435510364123615,0.03762812500000001,0.21205324137787362,0.09787635416666665,0.028702144597374864,0.0006899479166666833,0.49277093422004165,14.082255125045776
CPI_sqrt,0.3,0.0042415885416666466,0.4557963159996792,0.01502656249999998,0.36452429350412263,0.0031475520833333104,0.46698033081154733,0.004839609374999998,0.45039566646814055,0.009991380208333317,0.40007565394276856,0.005585390624999964,0.4432158013038549,0.014298229166666648,0.3585319188165025,0.005558359375000016,0.4425713014297551,0.006404036458333318,0.434478457272533,0.03805854166666667,0.21082027519368485,0.09944505208333337,0.027447675226846265,-0.0008914062500000042,0.5093000874382794,6.615876913070679
CPI_sqrt,0.6,0.005232708333333308,0.44547358763938516,0.016610989583333347,0.35082842449382534,0.0027003385416666803,0.4717535939619888,0.0040853124999999935,0.45829863209126664,0.009586718749999973,0.4039036187920222,0.005761406249999962,0.4413570394117689,0.00920874999999996,0.40646179202117405,0.005639427083333315,0.4420003643838295,0.006437057291666631,0.4338585399320268,0.038377421874999956,0.20971886817774693,0.10124794270833332,0.025767529285393803,-0.0021094531250000215,0.522012794921338,6.643029451370239
CPI_sqrt,0.9,0.003558567708333349,0.4623002005307026,0.018922291666666702,0.3318033921665191,0.0031094791666667065,0.46738736673350756,0.006129531250000042,0.4375662418777271,0.010046171875000037,0.39930488886430154,0.005317057291666677,0.4460082009663326,0.004002578125000017,0.4580342708118743,0.006794843750000029,0.43015344786084275,0.006003385416666701,0.43819304557961136,0.04022796875000004,0.19924370227140076,0.08708468750000001,0.0398452660531449,-0.0012729947916666484,0.5135462634582965,6.725771427154541
CPI_n,0.0,0.004536901041666708,0.08931451382650535,0.015894479166666642,0.030227137303669032,0.0030793229166666825,0.1626086682114411,0.004346067708333318,0.13628748498880594,0.009436536458333339,0.01626290623916619,0.006205260416666691,0.06639549072564488,0.018947604166666687,7.062789462523282e-05,0.00490802083333336,0.09173037984026222,0.00628526041666666,0.05088219750924973,0.03762812500000001,0.0010245548318790162,0.09787635416666665,2.0161386313020897e-09,0.0006899479166666833,0.41472282318914944,13.78393816947937
CPI_n,0.3,0.0042415885416666466,0.10150060243989534,0.01502656249999998,0.0387172209914559,0.0031475520833333104,0.1561197969898258,0.004839609374999998,0.11033693070322331,0.009991380208333317,0.014884399751795684,0.005585390624999964,0.09372530270799123,0.014298229166666648,0.0009098888702067673,0.005558359375000016,0.06172360972295886,0.006404036458333318,0.052295898445442086,0.03805854166666667,0.0011561203423098526,0.09944505208333337,2.136916462938392e-09,-0.0008914062500000042,0.6044748694942608,6.756884574890137
CPI_n,0.6,0.005232708333333308,0.05614019217411558,0.016610989583333347,0.025211130903538256,0.0027003385416666803,0.2020345287649053,0.0040853124999999935,0.16193401653952144,0.009586718749999973,0.017352924524689898,0.005761406249999962,0.08416244153550634,0.00920874999999996,0.011348127176294104,0.005639427083333315,0.06798749170608352,0.006437057291666631,0.044162008516322564,0.038377421874999956,0.0012189780493423472,0.10124794270833332,1.7108510820513734e-09,-0.0021094531250000215,0.7361513911283868,6.6917195320129395
CPI_n,0.9,0.003558567708333349,0.0962443835670998,0.018922291666666702,0.014215636579029843,0.0031094791666667065,0.15983633567374167,0.006129531250000042,0.06916125292178693,0.010046171875000037,0.012852516446096906,0.005317057291666677,0.10795612515426156,0.004002578125000017,0.09899941286158886,0.006794843750000029,0.03463499659952146,0.006003385416666701,0.05345689182335521,0.04022796875000004,0.0008190568534749082,0.08708468750000001,2.1082854411763e-09,-0.0012729947916666484,0.6869624208841072,6.603900909423828
CPI_bt,0.0,0.004536901041666708,0.0033073426995731525,0.015894479166666642,1.0586479074583373e-20,0.0030793229166666825,0.03259504606943117,0.004346067708333318,0.004679336435932469,0.009436536458333339,8.763655186041197e-09,0.006205260416666691,0.0001041797816586903,0.018947604166666687,6.913252587984275e-30,0.00490802083333336,0.0016669121968848927,0.00628526041666666,8.562369103580181e-05,0.03762812500000001,1.1444274466249666e-99,0.09787635416666665,0.0,0.0006899479166666833,0.3397700670911808,14.67501711845398
CPI_bt,0.3,0.0042415885416666466,0.005548189849129724,0.01502656249999998,8.458188617500484e-19,0.0031475520833333104,0.0296915180276285,0.004839609374999998,0.0019051981179909702,0.009991380208333317,1.2768528255848037e-09,0.005585390624999964,0.0004237277094491012,0.014298229166666648,7.218466484957576e-18,0.005558359375000016,0.00044361996811646365,0.006404036458333318,6.467159571520273e-05,0.03805854166666667,3.3430897387448143e-101,0.09944505208333337,0.0,-0.0008914062500000042,0.7031939644346403,7.292403936386108
CPI_bt,0.6,0.005232708333333308,0.0008636221711659678,0.016610989583333347,1.552337233227187e-22,0.0027003385416666803,0.05294331821249009,0.0040853124999999935,0.007338208527978952,0.009586718749999973,5.289678256512219e-09,0.005761406249999962,0.0002877923904361762,0.00920874999999996,1.8748474773767975e-08,0.005639427083333315,0.00037263121901528844,0.006437057291666631,5.909193169064737e-05,0.038377421874999956,3.191224632541626e-100,0.10124794270833332,0.0,-0.0021094531250000215,0.8966561124857927,7.164273500442505
CPI_bt,0.9,0.003558567708333349,0.01648917431074416,0.018922291666666702,1.3470479240900166e-28,0.0031094791666667065,0.03129682948529559,0.006129531250000042,0.00012524103918841104,0.010046171875000037,1.0294206267385146e-09,0.005317057291666677,0.0007489354913241198,0.004002578125000017,0.008262453082198125,0.006794843750000029,2.4180912997159437e-05,0.006003385416666701,0.00016532956883387874,0.04022796875000004,1.872155276738818e-111,0.08708468750000001,0.0,-0.0012729947916666484,0.7772388590067966,7.312249183654785
CPI_sqd,0.0,0.004536901041666708,0.0,0.015894479166666642,0.0,0.0030793229166666825,0.0,0.004346067708333318,0.0,0.009436536458333339,0.0,0.006205260416666691,0.0,0.018947604166666687,0.0,0.00490802083333336,0.0,0.00628526041666666,0.0,0.03762812500000001,0.0,0.09787635416666665,0.0,0.0006899479166666833,0.0,14.692548751831055
CPI_sqd,0.3,0.0042415885416666466,0.0,0.01502656249999998,0.0,0.0031475520833333104,0.0,0.004839609374999998,0.0,0.009991380208333317,0.0,0.005585390624999964,0.0,0.014298229166666648,0.0,0.005558359375000016,0.0,0.006404036458333318,0.0,0.03805854166666667,0.0,0.09944505208333337,0.0,-0.0008914062500000042,1.0,7.270352125167847
CPI_sqd,0.6,0.005232708333333308,0.0,0.016610989583333347,0.0,0.0027003385416666803,0.0,0.0040853124999999935,0.0,0.009586718749999973,0.0,0.005761406249999962,0.0,0.00920874999999996,0.0,0.005639427083333315,0.0,0.006437057291666631,0.0,0.038377421874999956,0.0,0.10124794270833332,0.0,-0.0021094531250000215,1.0,7.237162828445435
CPI_sqd,0.9,0.003558567708333349,0.0,0.018922291666666702,0.0,0.0031094791666667065,0.0,0.006129531250000042,0.0,0.010046171875000037,0.0,0.005317057291666677,0.0,0.004002578125000017,0.0,0.006794843750000029,0.0,0.006003385416666701,0.0,0.04022796875000004,0.0,0.08708468750000001,0.0,-0.0012729947916666484,1.0,7.257417917251587
S-CPI,0.0,0.006033558238636363,0.0072491053614168926,0.023295842329545454,0.012530162034989504,0.005319573863636401,0.0023003131499203995,0.001177593276515121,0.36271773855734446,0.011836321022727308,0.0009289133456024613,0.0025914294507576015,0.23836371013041602,0.022954150094697003,4.852379317707486e-07,0.006377392518939409,0.009627025925359608,0.010054482481060556,0.00016231398815237178,0.043330753787878845,0.0006704407721269876,0.0967057850378788,1.0569113141626125e-07,-0.00025050378787876013,0.5478833985588049,14.840107917785645
S-CPI,0.3,0.006245455018939472,0.007632323362333881,0.021874253314393965,0.01788108425996193,0.004695053977272767,0.005695505395802162,-0.0006839251893939444,0.5753178296677475,0.013167428030303059,0.000789330048670691,0.0035081505681818074,0.17971923088059388,0.0188395681818182,7.093093809357025e-07,0.008185266571969647,0.0010840523938725308,0.010108334753787857,0.00013067185612556786,0.04438728361742417,0.0006666891738084347,0.09864464441287871,6.411944626646437e-08,-0.003793929450757637,0.9369047013779334,7.682043552398682
S-CPI,0.6,0.006755664772727225,0.001948675922463144,0.023575941287878825,0.011846506164260516,0.005527649621212196,0.0027105268172180176,-0.00040456155303034906,0.5441281165215601,0.011635032196969626,0.0023345690823453266,0.003594059185606059,0.16178595902899084,0.01287499810606057,5.139182350500172e-06,0.007849874999999956,0.0033462894041280493,0.008948630208333282,0.0004436975675104168,0.04469374053030298,0.0005478799340531058,0.09318315530303031,3.4835885578220677e-07,-0.005131144886363651,0.9868642109253642,7.559491872787476
S-CPI,0.9,0.0048781927083333095,0.00029243328820133734,0.025569564867424233,0.005863616269615196,0.005503976799242486,0.0014160227910582819,0.0034691803977271955,0.1543418325476168,0.013246919981060666,0.0004812480775310464,0.0043005118371212325,0.11751169646619114,0.0056689531250000225,0.0005366359087004641,0.009793638257575742,0.00022328187944579178,0.009562358428030366,0.00028684038961081725,0.04574104924242423,0.0004623670594243482,0.07963519744318193,1.4966224968751685e-06,-0.0021709256628787473,0.8998638787509305,7.449830532073975
S-CPI_sqrt,0.0,0.006033558238636363,0.43853591494318034,0.023295842329545454,0.3098295017855084,0.005319573863636401,0.4449324026867976,0.001177593276515121,0.4882248620913076,0.011836321022727308,0.38460694879951324,0.0025914294507576015,0.4742877941622862,0.022954150094697003,0.28883140460538237,0.006377392518939409,0.43548429692769886,0.010054482481060556,0.3991255061653571,0.043330753787878845,0.1933093658357613,0.0967057850378788,0.03982494854165722,-0.00025050378787876013,0.5025876599392927,14.941871404647827
S-CPI_sqrt,0.3,0.006245455018939472,0.4365667896274347,0.021874253314393965,0.3206640102660157,0.004695053977272767,0.4513355941763643,-0.0006839251893939444,0.5067972082449299,0.013167428030303059,0.37316500564763666,0.0035081505681818074,0.46537222568631564,0.0188395681818182,0.3206760063820981,0.008185266571969647,0.41731500848737857,0.010108334753787857,0.3985258036511511,0.04438728361742417,0.1891054003575307,0.09864464441287871,0.03700744469270256,-0.003793929450757637,0.5387293297514849,7.638843774795532
S-CPI_sqrt,0.6,0.006755664772727225,0.4310259433007651,0.023575941287878825,0.30782008297307306,0.005527649621212196,0.44295593509991144,-0.00040456155303034906,0.504015965537838,0.011635032196969626,0.3873553393375711,0.003594059185606059,0.4643616486558435,0.01287499810606057,0.37209632688932326,0.007849874999999956,0.4211042235178294,0.008948630208333282,0.409782150873768,0.04469374053030298,0.18678230850614258,0.09318315530303031,0.04603790873456366,-0.005131144886363651,0.5525416332893446,7.593340158462524
S-CPI_sqrt,0.9,0.0048781927083333095,0.44886888093638116,0.025569564867424233,0.2919425734997613,0.005503976799242486,0.44298677309099,0.0034691803977271955,0.4653966506948617,0.013246919981060666,0.37195693050946277,0.0043005118371212325,0.4573604978721733,0.0056689531250000225,0.44112207682318566,0.009793638257575742,0.40166988100116774,0.009562358428030366,0.403915453292697,0.04574104924242423,0.1818019939299479,0.07963519744318193,0.06862350284783171,-0.0021709256628787473,0.522640291710951,7.5434510707855225
S-CPI_n,0.0,0.006033558238636363,0.07230011433171897,0.023295842329545454,0.026754746364800446,0.005319573863636401,0.06672893389261782,0.001177593276515121,0.4072808152710562,0.011836321022727308,0.015254095505217951,0.0025914294507576015,0.3127501745291738,0.022954150094697003,0.0001518023606583321,0.006377392518939409,0.07326443652112387,0.010054482481060556,0.012160854257445704,0.043330753787878845,0.002153799329064989,0.0967057850378788,9.544938652853942e-07,-0.00025050378787876013,0.5266314594747497,14.888622283935547
S-CPI_n,0.3,0.006245455018939472,0.07047461853734273,0.021874253314393965,0.035155974898636644,0.004695053977272767,0.09132590510768279,-0.0006839251893939444,0.5516415562905759,0.013167428030303059,0.012014100134073852,0.0035081505681818074,0.26162721669737155,0.0188395681818182,0.00036290480035605177,0.008185266571969647,0.029566830371396412,0.010108334753787857,0.011349464214493775,0.04438728361742417,0.0020950637513954553,0.09864464441287871,6.221974307264339e-07,-0.003793929450757637,0.8197774503112822,7.571402311325073
S-CPI_n,0.6,0.006755664772727225,0.045953194844933376,0.023575941287878825,0.025585982303740974,0.005527649621212196,0.06524612769760706,-0.00040456155303034906,0.5303215326683505,0.011635032196969626,0.02206704925194818,0.003594059185606059,0.24919454669185676,0.01287499810606057,0.002498679360006836,0.007849874999999956,0.042668077435658126,0.008948630208333282,0.020060449259977194,0.04469374053030298,0.0018060594802016257,0.09318315530303031,2.5880990169873326e-06,-0.005131144886363651,0.9015218052667058,7.623215198516846
S-CPI_n,0.9,0.0048781927083333095,0.05699177488470785,0.025569564867424233,0.01521464236020427,0.005503976799242486,0.05850148720357195,0.0034691803977271955,0.2471453427914399,0.013246919981060666,0.009849376470951274,0.0043005118371212325,0.20808591120524017,0.0056689531250000225,0.04777447654516158,0.009793638257575742,0.014001035254189841,0.009562358428030366,0.015717230739070026,0.04574104924242423,0.0015606719710178118,0.07963519744318193,1.04511303559082e-05,-0.0021709256628787473,0.740725292841599,7.485936880111694
S-CPI_bt,0.0,0.006033558238636363,0.0001550507154222727,0.023295842329545454,2.3381384099135887e-39,0.005319573863636401,0.0007290631932602921,0.001177593276515121,0.24168236626971284,0.011836321022727308,9.483952143333218e-13,0.0025914294507576015,0.061542580314436546,0.022954150094697003,2.370949592414135e-42,0.006377392518939409,7.06869656898545e-05,0.010054482481060556,9.850701539626342e-10,0.043330753787878845,2.8656391706225512e-124,0.0967057850378788,0.0,-0.00025050378787876013,0.5595529232200571,15.49378776550293
S-CPI_bt,0.3,0.006245455018939472,9.633882126461991e-05,0.021874253314393965,3.054639645346484e-35,0.004695053977272767,0.002481680189994304,-0.0006839251893939444,0.6580212520635087,0.013167428030303059,2.920728619244177e-15,0.0035081505681818074,0.0184089109585523,0.0188395681818182,2.2130086243478486e-29,0.008185266571969647,5.091662325934075e-07,0.010108334753787857,8.059566096076454e-10,0.04438728361742417,2.3722851524982674e-131,0.09864464441287871,0.0,-0.003793929450757637,0.9882584813411847,8.17790150642395
