method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
LOCO-W,0.0,-0.1042927891564512,1.0,-0.03093430199438245,0.998365133153605,0.024240571301409632,0.020633018954352877,-0.04522933919799187,0.9999954428066272,-0.18745783928177653,1.0,0.0205127657243133,0.02554751291456092,0.1305644325870885,0.0,0.02694095828648469,0.010662886856826037,0.08200230269579435,5.190292640122607e-13,-0.27766409964937167,1.0,0.008322135102322596,0.19645006093949036,0.047488698284405724,2.750607295265439e-07,79.96442413330078
LOCO-W,0.3,-0.003175561673476237,0.6342150845320096,-0.10963974478780293,1.0,0.0998254854669433,0.0,0.11279915502182644,0.0,-0.005990888227553903,0.675737482668633,0.026122783200959575,0.008884675843497725,0.030705286390496536,0.000608881574118536,0.014981889099752604,0.07578285259633843,-0.006486545253812868,0.7491624794378865,0.10163820270921914,5.353495424742505e-13,-0.023054201053200017,0.9904747085406662,-0.03409406822711386,0.9994271075273893,77.60983514785767
LOCO-W,0.6,-0.11721225508032185,1.0,-0.005626765251885344,0.6871205373461344,0.033941832702612744,0.001155225867954246,0.04873121014053894,7.465424466390758e-07,0.07636323570550031,1.7436174726270792e-10,-0.06264617990814635,0.9999999999785901,-0.009286005147061904,0.8015275937851918,0.02434650818855625,0.005964234269607904,-0.008633521202940463,0.7779490301867549,-0.02361030093267797,0.9851396729078786,0.02464048837635839,0.0007682065375440583,0.06280135769522764,1.5727742108673226e-08,80.74104833602905
LOCO-W,0.9,-0.007298623554285676,0.8007122468857262,0.007960927104071095,0.19775725013003687,0.0326013498696443,0.000285145342037163,-0.023854884043932073,0.9748338282259426,-0.017057716008042848,0.9009832941691676,0.0949294640354169,1.5654144647214707e-14,-0.12274744114504119,1.0,-0.07908892956483188,1.0,-0.034360904560380205,0.9994795758059928,0.04596699861700085,0.0011883196897950477,0.0636812622586509,2.1094237467877974e-14,-0.08866228834774298,1.0,76.72907567024231
CPI,0.0,0.003673000641209817,0.0015747371147109923,0.02374134689832108,4.6581322239557934e-05,0.005300605998185742,0.0005747724214092513,0.002552612632002571,0.15153599538662121,0.0028385422888953515,0.13744577171151917,0.002121895583690664,0.13723512534564064,0.013606828287127476,7.930592046639985e-05,0.005025610311272355,0.00041476189267236076,0.005468393506047303,0.00017935200732541775,0.044861826900302854,2.6768816221817184e-06,0.09937323170039045,3.436296250774072e-10,-0.0014019377233109864,0.8646468224511974,21.7976393699646
CPI,0.3,0.0033032479516656443,0.0022523612209211646,0.024808617368507535,5.358143453837062e-05,0.005453117741022945,0.0001411442487794031,0.002958630016949071,0.08562787720486692,0.003836248309743523,0.07363191584182284,0.0030984482747752617,0.017044597312546927,0.001733452609218561,0.11439010823203738,0.005396733902482798,0.00025791256710360323,0.0052370951772097996,0.0005308352819811031,0.045488449643474343,3.4020279544474568e-06,0.09834061365810626,2.7461264929780257e-10,0.0010161446038642608,0.1325316579790644,9.893128156661987
CPI,0.6,0.0029798255799751983,0.01228825353871256,0.02276348701288708,7.713434821427779e-05,0.005680619809037057,5.5553998025496164e-05,0.003058467054384978,0.08397077541832237,0.002024659848884558,0.21205337968722593,0.002139227440060898,0.0572350978761562,0.000706864110608052,0.15255168427708005,0.005081122174664332,0.00036603631007064096,0.004948013890664599,0.0011311639183018717,0.046368590448480296,3.725914500419416e-06,0.09819342094228059,7.894540758950007e-11,0.0016008882944900105,0.019520677432788427,10.906327486038208
CPI,0.9,0.0034950709940025915,0.00521475090827811,0.02209989917538216,9.178356172283193e-05,0.004843567742334881,0.0013329246161041571,0.0026056491029751716,0.10901551465276021,0.002499465243634813,0.16642661953246563,0.0006849919532604942,0.2192684967894929,-0.0003014974013105798,0.8171205775447521,0.004961778038221731,0.0009204499687851364,0.005230729876674389,0.000708457781359144,0.043568753528447496,1.1805159769251688e-05,0.0858804595722906,7.985521322046014e-10,-3.928742895786819e-06,0.5030451489803219,9.338480949401855
CPI_sqrt,0.0,0.003673000641209817,0.4601053051284428,0.02374134689832108,0.2836326849225722,0.005300605998185742,0.44312611494658916,0.002552612632002571,0.47315309273981865,0.0028385422888953515,0.4702460958227648,0.002121895583690664,0.4773575049660848,0.013606828287127476,0.36367441152487373,0.005025610311272355,0.44587387448645555,0.005468393506047303,0.44118406503700297,0.044861826900302854,0.16091704861135125,0.09937323170039045,0.02690591201484068,-0.0014019377233109864,0.5152370471687122,18.98295497894287
CPI_sqrt,0.3,0.0033032479516656443,0.4640307149776734,0.024808617368507535,0.2765564012962286,0.005453117741022945,0.44129908698156234,0.002958630016949071,0.4686298001979576,0.003836248309743523,0.4598686305358169,0.0030984482747752617,0.4665284401354961,0.001733452609218561,0.4812478188378976,0.005396733902482798,0.44198340617231446,0.0052370951772097996,0.443756836511066,0.045488449643474343,0.1588946757197332,0.09834061365810626,0.02756050675514147,0.0010161446038642608,0.4888449633117136,9.468899488449097
CPI_sqrt,0.6,0.0029798255799751983,0.46768758735091864,0.02276348701288708,0.2913952148295419,0.005680619809037057,0.4388163188308825,0.003058467054384978,0.46762138420973426,0.002024659848884558,0.4787303291704567,0.002139227440060898,0.47680924394286583,0.000706864110608052,0.4921918572395169,0.005081122174664332,0.44528132252302743,0.004948013890664599,0.44687193964842203,0.046368590448480296,0.15553059696022203,0.09819342094228059,0.02655827892142365,0.0016008882944900105,0.48236317246347116,10.692285299301147
CPI_sqrt,0.9,0.0034950709940025915,0.4621560779214669,0.02209989917538216,0.29643318335173785,0.004843567742334881,0.44797576167740416,0.0026056491029751716,0.47233142106872533,0.002499465243634813,0.47378203850699246,0.0006849919532604942,0.4924740614416727,-0.0003014974013105798,0.5033637151793298,0.004961778038221731,0.4466857095760958,0.005230729876674389,0.4438839850801586,0.043568753528447496,0.17036061865328256,0.0858804595722906,0.0418606826938923,-3.928742895786819e-06,0.5000436111388239,9.30643606185913
