method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
LOCO-W,0.0,-0.06249204119538537,0.999999999543901,-0.009286669142117796,0.8232957078260841,0.010651085854420064,0.18605503173152327,-0.07251987592541516,0.999999999956172,0.09197742933653463,2.6423307986078726e-13,0.06784246178951858,3.4090628098226716e-09,0.11598875254470613,0.0,-0.03532210739597736,0.9963180265253877,-0.05237874076321939,0.999999918953689,0.1559156181313171,0.0,0.02904157129766791,0.0009411870692472846,0.1423781297004303,0.0,84.2967369556427
LOCO-W,0.3,-0.17082300374697923,1.0,-0.027582754539607686,0.9899605951031752,-0.1415490268412247,1.0,0.06296947045120574,1.0364518132632838e-09,0.058555337787576885,6.586635237226801e-09,-0.0609771893792444,0.9999996908145022,-0.03548284367990669,0.9999743866899652,0.10795424480793898,0.0,-0.04522025598820182,0.9999118871797232,0.07842941645910403,1.770339430606782e-10,0.022676519867476267,0.0033046482731680094,0.07565779988246107,3.885780586188048e-15,82.3358473777771
LOCO-W,0.6,-0.06038310086803248,0.9999689445283403,0.025354043487153987,0.00280396587048104,-0.09032266596859385,0.9999999999999964,0.01621547169148903,0.06264681370596548,0.006164230096385242,0.2648518798424182,-0.1077735479616483,1.0,-0.1737363530387244,1.0,0.01952123103170458,0.010028181846720052,0.09684121682857708,0.0,0.010979882915811453,0.1781970304139875,0.06639575258585079,7.744440644330552e-10,-0.03637986511502263,0.9988177517367527,81.6924889087677
LOCO-W,0.9,-0.13693022610817782,1.0,-0.006983469259234713,0.7454082131683968,0.02501991595975701,0.024237157224130335,-0.26920009024545366,1.0,0.09951891523182957,0.0,0.07091359350620052,5.113736768480592e-07,-0.04139716840853291,0.9993897979252914,-0.04179551274473867,0.999467444959803,-0.004193968474831285,0.639422747739726,0.21238742530593113,0.0,-0.04309213317538078,0.999919951149659,0.042388030928211945,3.6643592235985345e-05,81.04775929450989
CPI,0.0,0.0062036623651858525,6.009224580052019e-05,0.032319617048740396,1.1374830934230524e-08,0.0032690510487998203,0.0011978048412965702,0.0052085043317524615,0.018623973514475808,0.004434253741446598,0.01958105166541796,0.005532059797777322,3.813301822388332e-05,0.00938171766474416,0.0014622359135855586,0.00045032195573913025,0.39127534171090417,0.004290401583055797,0.00824156905122925,0.04049382947612987,3.1605403079429565e-08,0.0695605787679277,3.049481525558911e-09,0.001246802249234652,0.13403849006303464,21.414716720581055
CPI,0.3,0.005928351082332611,0.00012132307244641672,0.031950088617705485,1.7173783471238395e-08,0.0035166931621502806,0.0009800389731965627,0.004960215622541425,0.020989904279568785,0.005921894448763343,0.003076526913613227,0.0055485692110354146,1.3554068655803969e-05,0.0029071296616260955,0.003166337310173515,0.0010472223515901602,0.25232926443058956,0.0032462236777185682,0.03250305175225325,0.040412893197560806,2.473030409844244e-08,0.07462658473722594,6.917318059870461e-10,0.00044041338043782075,0.32441398486448714,10.198634624481201
CPI,0.6,0.006675877279933129,3.451378708275451e-06,0.03090433857367958,5.806596671818293e-08,0.0037161356325808304,0.000540028508569337,0.005354781136001546,0.013693005453078683,0.00511241784771338,0.006831666178711869,0.005953402510963796,6.1217649784532255e-06,0.0014270503445323324,0.014581511182598558,0.0009079766449616444,0.27677377976285483,0.0031603577108366976,0.03586307742660014,0.04005064629957847,1.892149931138723e-08,0.07821605322600114,2.0113444703918013e-10,0.00014154039539276964,0.37794309388211245,9.70677661895752
CPI,0.9,0.004776169767048227,1.71604349277275e-06,0.03213667548678015,7.37495529586277e-09,0.004001851313339216,6.451987078731858e-05,0.006055304913128501,0.005536315428416227,0.005617105274213274,0.003745969219936464,0.004958307611646284,1.1636567210231664e-05,0.0008215076226258389,0.01417326629751565,0.0013792991581942637,0.19178986031091494,0.003615177194993102,0.019556675534276098,0.04137537937402974,7.571809175089491e-09,0.07380932337861709,5.63251796742093e-10,-0.00014416868505703895,0.6605996747848224,9.828341722488403
CPI_sqrt,0.0,0.0062036623651858525,0.4367906077026994,0.032319617048740396,0.22697047076548704,0.0032690510487998203,0.46612507019595056,0.0052085043317524615,0.4480399486535965,0.004434253741446598,0.45533840562489486,0.005532059797777322,0.4432747935561694,0.00938171766474416,0.4084709094741309,0.00045032195573913025,0.49539456884915317,0.004290401583055797,0.45638491045028806,0.04049382947612987,0.1833612510640254,0.0695605787679277,0.07929885313044283,0.001246802249234652,0.48708343235944024,19.264039754867554
CPI_sqrt,0.3,0.005928351082332611,0.4395772160401135,0.031950088617705485,0.22960330470050866,0.0035166931621502806,0.463621595174868,0.004960215622541425,0.4504278089392428,0.005921894448763343,0.44047016395043703,0.0055485692110354146,0.44299530665579173,0.0029071296616260955,0.4698585843388272,0.0010472223515901602,0.48927409069228356,0.0032462236777185682,0.46694640701569906,0.040412893197560806,0.18344015365297944,0.07462658473722594,0.06659325133784165,0.00044041338043782075,0.4954178443438337,9.941620349884033
CPI_sqrt,0.6,0.006675877279933129,0.4318018031774216,0.03090433857367958,0.23722817596622997,0.0037161356325808304,0.46156572961774145,0.005354781136001546,0.44649190704704833,0.00511241784771338,0.4484438394287219,0.005953402510963796,0.43892902704349573,0.0014270503445323324,0.48503369276310776,0.0009079766449616444,0.49069114552222404,0.0031603577108366976,0.467815221389898,0.04005064629957847,0.18490172836949692,0.07821605322600114,0.058447634745142675,0.00014154039539276964,0.49850743056959956,9.681424617767334
CPI_sqrt,0.9,0.004776169767048227,0.45051384034789055,0.03213667548678015,0.22768239926643746,0.004001851313339216,0.45852274365670415,0.006055304913128501,0.4394764968761513,0.005617105274213274,0.44342604521253726,0.004958307611646284,0.448826804503176,0.0008215076226258389,0.49131922486461166,0.0013792991581942637,0.48587897469076263,0.003615177194993102,0.463193346491542,0.04137537937402974,0.17724848336298105,0.07380932337861709,0.06794961749643462,-0.00014416868505703895,0.5015246023540024,9.731624364852905
CPI_n,0.0,0.0062036623651858525,0.030806275124128476,0.032319617048740396,7.937556032256087e-06,0.0032690510487998203,0.12003963985587707,0.0052085043317524615,0.10781630396541242,0.004434253741446598,0.1250767506132039,0.005532059797777322,0.0373761007092677,0.00938171766474416,0.02675208814906708,0.00045032195573913025,0.44633618931778696,0.004290401583055797,0.10980963267419436,0.04049382947612987,5.277729629542486e-06,0.0695605787679277,1.8049396176237425e-07,0.001246802249234652,0.3298631165366632,19.263137340545654
CPI_n,0.3,0.005928351082332611,0.037138612945089765,0.031950088617705485,1.0129376841098642e-05,0.0035166931621502806,0.10795238422025949,0.004960215622541425,0.1157153190072095,0.005921894448763343,0.06286797689547366,0.0055485692110354146,0.03345255417537264,0.0029071296616260955,0.14704739049279736,0.0010472223515901602,0.3745970607701895,0.0032462236777185682,0.17443263184887386,0.040412893197560806,4.6509367525320774e-06,0.07462658473722594,5.170604817560502e-08,0.00044041338043782075,0.43456739084268037,9.880990505218506
CPI_n,0.6,0.006675877279933129,0.018203757659348962,0.03090433857367958,2.065375841163564e-05,0.0037161356325808304,0.09557386241370353,0.005354781136001546,0.09757505551387768,0.00511241784771338,0.08806075227259785,0.005953402510963796,0.026134572608523823,0.0014270503445323324,0.2727134322348077,0.0009079766449616444,0.389599052077949,0.0031603577108366976,0.1805798562879674,0.04005064629957847,4.166086329427004e-06,0.07821605322600114,1.8706709364935218e-08,0.00014154039539276964,0.4738921177686506,9.698007822036743
CPI_n,0.9,0.004776169767048227,0.040358591599682345,0.03213667548678015,6.655659255527367e-06,0.004001851313339216,0.07290152614060884,0.006055304913128501,0.06934834664326926,0.005617105274213274,0.07001793005100726,0.004958307611646284,0.04245461354308017,0.0008215076226258389,0.34648588152359117,0.0013792991581942637,0.3374733398215136,0.003615177194993102,0.1479335575974211,0.04137537937402974,2.226930216500306e-06,0.07380932337861709,4.6775261101835013e-08,-0.00014416868505703895,0.5279766033100654,9.716279983520508
CPI_bt,0.0,0.0062036623651858525,0.00014141953922394506,0.032319617048740396,3.067594553285607e-77,0.0032690510487998203,0.0277507237817986,0.0052085043317524615,0.0011756789919914032,0.004434253741446598,0.004764540297540976,0.005532059797777322,0.0005996769713916985,0.00938171766474416,2.2533739689163176e-08,0.00045032195573913025,0.3960504908625816,0.004290401583055797,0.006025140431017331,0.04049382947612987,2.0120823174983975e-116,0.0695605787679277,0.0,0.001246802249234652,0.23260969789966163,19.942255973815918
CPI_bt,0.3,0.005928351082332611,0.00026066655579253374,0.031950088617705485,1.1198158135106325e-75,0.0035166931621502806,0.019706725151414,0.004960215622541425,0.0018826409742607798,0.005921894448763343,0.0002694599519896319,0.0055485692110354146,0.0005794871488661465,0.0029071296616260955,0.04428388702715593,0.0010472223515901602,0.2699332199354091,0.0032462236777185682,0.02874516615704741,0.040412893197560806,4.880604394341797e-117,0.07462658473722594,0.0,0.00044041338043782075,0.3981927757640189,10.372183799743652
CPI_bt,0.6,0.006675877279933129,4.648970716520659e-05,0.03090433857367958,2.9581978821308125e-71,0.0037161356325808304,0.014758047954082852,0.005354781136001546,0.0008812415860906673,0.00511241784771338,0.0013988875940672393,0.005953402510963796,0.0002453125261078862,0.0014270503445323324,0.20149806375342466,0.0009079766449616444,0.2975343582628923,0.0031603577108366976,0.03223971969138046,0.04005064629957847,3.326935771693752e-114,0.07821605322600114,0.0,0.00014154039539276964,0.4669429781429838,10.277419328689575
CPI_bt,0.9,0.004776169767048227,0.0025709767069428914,0.03213667548678015,1.2099217391100808e-76,0.004001851313339216,0.009537165133463333,0.006055304913128501,0.00020137065393264738,0.005617105274213274,0.0005115902295600512,0.004958307611646284,0.001841845209026509,0.0008215076226258389,0.31507903976227436,0.0013792991581942637,0.20973252508153345,0.003615177194993102,0.017192892213089755,0.04137537937402974,2.279338834714376e-122,0.07380932337861709,0.0,-0.00014416868505703895,0.5336709580862373,10.394119024276733
CPI_sqd,0.0,0.0062036623651858525,0.0,0.032319617048740396,0.0,0.0032690510487998203,0.0,0.0052085043317524615,0.0,0.004434253741446598,0.0,0.005532059797777322,0.0,0.00938171766474416,0.0,0.00045032195573913025,0.0,0.004290401583055797,0.0,0.04049382947612987,0.0,0.0695605787679277,0.0,0.001246802249234652,0.0,19.97914719581604
CPI_sqd,0.3,0.005928351082332611,0.0,0.031950088617705485,0.0,0.0035166931621502806,0.0,0.004960215622541425,0.0,0.005921894448763343,0.0,0.0055485692110354146,0.0,0.0029071296616260955,0.0,0.0010472223515901602,0.0,0.0032462236777185682,0.0,0.040412893197560806,0.0,0.07462658473722594,0.0,0.00044041338043782075,0.0,10.52398157119751
CPI_sqd,0.6,0.006675877279933129,0.0,0.03090433857367958,0.0,0.0037161356325808304,0.0,0.005354781136001546,0.0,0.00511241784771338,0.0,0.005953402510963796,0.0,0.0014270503445323324,0.0,0.0009079766449616444,0.0,0.0031603577108366976,0.0,0.04005064629957847,0.0,0.07821605322600114,0.0,0.00014154039539276964,1.9638931210338912e-307,10.352232694625854
CPI_sqd,0.9,0.004776169767048227,0.0,0.03213667548678015,0.0,0.004001851313339216,0.0,0.006055304913128501,0.0,0.005617105274213274,0.0,0.004958307611646284,0.0,0.0008215076226258389,0.0,0.0013792991581942637,0.0,0.003615177194993102,0.0,0.04137537937402974,0.0,0.07380932337861709,0.0,-0.00014416868505703895,1.0,10.426362037658691
