method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
LOCO-W,0.0,0.04094382843372579,0.04738622294982986,0.03150986307949575,0.09431954807410858,0.031404024829382406,0.09937718392147077,-0.03640078278259363,0.937350866400773,0.05026833377648909,0.017282155501428087,-0.01719543488227514,0.7608379696232801,-0.0024099232013966754,0.5388762913205138,0.0059582427596003495,0.4046124541441687,0.0006573075112747738,0.4892589515813037,0.018165315588738542,0.22786227536665682,0.06675172720805082,0.0019545714829470873,0.01946155505525072,0.21532941901776137,0.490337610244751
LOCO-W,0.3,0.01502217466936933,0.2673294876995821,0.022670501526977416,0.1776499363578159,0.035931718336959975,0.07131858219214249,0.05340376278561699,0.011869293686042393,0.02904052618527587,0.11256126702578828,-0.022662554516589575,0.8279172088782728,0.0224853735034892,0.1815983940279079,-0.02504937719393167,0.8485733614028934,0.050087628649775416,0.017355076226095112,-0.0065929611937199034,0.6095675729942209,0.10187802480517515,5.283593762173133e-06,0.012601234295399971,0.3001361803620163,0.5335483551025391
LOCO-W,0.6,0.03666941405036247,0.06200357123004563,0.002135857249314059,0.4623752660993926,0.04562219726526676,0.02917667508747268,0.0068794957485533055,0.3853405599742703,-0.015588195881617837,0.7406560452731966,-0.006398817131359346,0.6049373911510159,-0.006447528377343866,0.6044673616808223,0.06702556154387515,0.0023147775520542258,-0.0063973738123269995,0.6044852678736412,0.02455703414042334,0.1502585395736108,0.03249571904873842,0.08141725714490311,-0.041136409118166024,0.950763753137926,0.5592546463012695
LOCO-W,0.9,-0.019510632700315785,0.7898885594754522,0.00019691287719897583,0.4967495694434707,0.01934249187125831,0.2076097940995475,-0.02558398728228735,0.8568420121280038,-0.02567029740321912,0.8547110319508557,0.01317532020996755,0.29411175052513383,0.005182526474017594,0.4155663336663872,-0.01029634368511677,0.6677918146921673,0.011948294357418766,0.31284209539674745,0.039574618222316296,0.05040868023553868,0.0533160500007577,0.015592304418658443,0.025574221001854358,0.13743800591508948,0.7726924419403076
CPI,0.0,-0.00045034413198344336,0.6682318224951762,0.02404219427218446,0.0005585029919407824,0.00018435588790519097,0.41893772832123,-0.00032828445754568003,0.8173297363248722,0.0036274585889308764,0.06018262841661752,-0.00041909290642791475,0.6207156896979893,0.005957242315764638,0.011631292081300515,0.0,1.0,0.0021902164665143775,0.06286777992005797,0.019983095398738104,1.3090871815522733e-05,0.0662684795921335,1.6751358460024815e-07,0.0006375629101305624,0.12027303999365946,13.99402141571045
CPI,0.3,-0.000428688621148976,0.6584575152374383,0.024135655285590363,0.0005411062819521257,0.0002086354780368449,0.4093628867338452,-0.00034008426174764184,0.7985661241863266,0.0036476150532734064,0.05930903335271614,-0.0005141717933729861,0.8501559843442561,0.001781779416279522,0.16045392173302997,0.0,1.0,0.0021745632392579373,0.06364875781363714,0.020042334209948193,1.2820417605821149e-05,0.06763342396866309,1.2319040217760408e-07,0.000623861647681967,0.11817827077393067,3.086306095123291
CPI,0.6,-0.00039344381956790686,0.6440893332030067,0.02424923631518877,0.0005184427370328534,0.00022364858134818477,0.4041260514492391,-0.00033407768294965723,0.7705359416049153,0.0036830074849121264,0.05775630241136401,-6.45521979672492e-06,0.8860041379266526,1.7915388424716294e-06,0.49919523524589077,0.0,1.0,0.002162543449274301,0.06409585463795066,0.020079130121174654,1.2725059410447093e-05,0.06813033183896061,9.551392836143816e-08,0.000582707683909639,0.11495837143358811,3.2870185375213623
CPI,0.9,-0.000268753970539104,0.5994207744813812,0.024408561393178707,0.0004889394251605595,0.00030748211657383173,0.3705868362731301,-0.00021010052004355462,0.6819618285489751,0.003703408924033591,0.057462829726677836,0.00012537880061322393,0.12087471521864779,-0.00018885356187281488,0.7656339565500911,0.0,1.0,0.0021674532239442934,0.0628898307736112,0.020164486028034584,1.2518455384781407e-05,0.06084693646465292,1.4963942814361708e-07,0.00032834013522625716,0.12652663982043755,3.2380475997924805
CPI_sqrt,0.0,-0.00045034413198344336,0.5047487840454881,0.02404219427218446,0.29312918945780697,0.00018435588790519097,0.498049048094243,-0.00032828445754568003,0.503524379548613,0.0036274585889308764,0.46307216032411225,-0.00041909290642791475,0.504381238843879,0.005957242315764638,0.4399432686998879,0.0,0.5,0.0021902164665143775,0.47715538823707043,0.019983095398738104,0.3152791576027425,0.0662684795921335,0.09157585337371343,0.0006375629101305624,0.4931886307481596,10.230919599533081
CPI_sqrt,0.3,-0.000428688621148976,0.5045186667691782,0.024135655285590363,0.29243726501707784,0.0002086354780368449,0.497792657724912,-0.00034008426174764184,0.5036467476799283,0.0036476150532734064,0.4628693596819237,-0.0005141717933729861,0.5055002114854187,0.001781779416279522,0.48158756646526624,0.0,0.5,0.0021745632392579373,0.4773158926322161,0.020042334209948193,0.3148087136258372,0.06763342396866309,0.08766219174945938,0.000623861647681967,0.49333206595355983,2.9634337425231934
CPI_sqrt,0.6,-0.00039344381956790686,0.5041455326529346,0.02424923631518877,0.29158603744820455,0.00022364858134818477,0.4976345270381158,-0.00033407768294965723,0.5035780577435842,0.0036830074849121264,0.46251276834773253,-6.45521979672492e-06,0.5000699753446902,1.7915388424716294e-06,0.49998103442280584,0.0,0.5,0.002162543449274301,0.47743846079059044,0.020079130121174654,0.31452252493939004,0.06813033183896061,0.08598431401183754,0.000582707683909639,0.49376495893049654,3.3139448165893555
CPI_sqrt,0.9,-0.000268753970539104,0.5028316066625267,0.024408561393178707,0.29039849628046566,0.00030748211657383173,0.4967486641515668,-0.00021010052004355462,0.5022506762683631,0.003703408924033591,0.4623145307476938,0.00012537880061322393,0.49864462887373495,-0.00018885356187281488,0.5020330826179851,0.0,0.5,0.0021674532239442934,0.47738387140231653,0.020164486028034584,0.31386037064514805,0.06084693646465292,0.10562448820192849,0.00032834013522625716,0.49646785779298175,3.15036940574646
CPI_n,0.0,-0.00045034413198344336,0.5658777526239661,0.02404219427218446,0.003967738125476515,0.00018435588790519097,0.47152357945758944,-0.00032828445754568003,0.563855060798794,0.0036274585889308764,0.18313398698947114,-0.00041909290642791475,0.554769358460933,0.005957242315764638,0.08320702242484923,0.0,0.5,0.0021902164665143775,0.2406385396831759,0.019983095398738104,0.000946298340432175,0.0662684795921335,3.117241049468955e-06,0.0006375629101305624,0.3871212701630684,10.199026346206665
CPI_n,0.3,-0.000428688621148976,0.5623981470617274,0.024135655285590363,0.003876225004426396,0.0002086354780368449,0.46789683397246784,-0.00034008426174764184,0.5647502608791943,0.0036476150532734064,0.18191912720912995,-0.0005141717933729861,0.5934254923974573,0.001781779416279522,0.3040462429716091,0.0,0.5,0.0021745632392579373,0.24190140586233766,0.020042334209948193,0.0009304833099074565,0.06763342396866309,2.389704891100636e-06,0.000623861647681967,0.3886835890608025,3.073411464691162
