method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
LOCO-W,0.0,-0.049749161020180864,0.9830523041711263,0.015665488129510203,0.26099192641003766,0.005270396959546424,0.4145599264661265,-0.03424343982834592,0.9187018798466561,0.027415048974811677,0.13205349326032567,-0.008533724402466868,0.6367746607273175,0.044567412988702336,0.029662145531903383,-0.0538261863546159,0.9852739586687359,0.008985845933253762,0.35598931826321334,-0.008965504933561902,0.643690386566186,0.14714343485154086,1.0445200260278398e-11,-0.008679418141812108,0.6411678816842826,0.4686708450317383
LOCO-W,0.3,0.004291627807553728,0.43206116944374695,0.04954988549905757,0.021309520021492778,0.024857007084523958,0.15768578365693153,-0.009239895872104335,0.6499209539996997,0.021504085148608368,0.1918106692617395,-0.0016991012882545452,0.5273659563538726,0.041825643628570455,0.040572784955961505,-0.016800002427246913,0.7540108148168132,-0.002852136182513254,0.547266985184635,0.0166785977785906,0.24251780357837294,0.08251861105112915,0.00014772876084545583,-0.029008574392846664,0.8806517092602993,0.4876675605773926
LOCO-W,0.6,-0.03317578187046953,0.9164516819111516,0.008791213828442375,0.3602548827383045,-0.002361644790708809,0.537621420899806,0.03509163014016994,0.07669182193217916,0.0310052251774411,0.10329231137247497,0.038421188196416704,0.053527154563545176,0.0049994705180975525,0.41980148250693183,-0.013779407553384552,0.7141494305992032,0.0015002535340293565,0.475761696571648,0.05921098828975524,0.006484241214454234,0.08713751414775738,0.00016278343949249763,-0.03459145327772589,0.9286897778734948,0.5759518146514893
LOCO-W,0.9,0.010088387990599712,0.33939312264817234,-0.019381300299266116,0.7866931644335073,-0.024715624817445953,0.8484416282150367,-0.0027739093043112678,0.5475635294073241,0.01267172185787864,0.29495758456766075,-0.001527877525490519,0.5246262478253212,0.027574209997552678,0.13116705415646956,0.006080268509925718,0.39909473225918435,-0.01585739064991157,0.7439995603392577,0.025173432269867506,0.14961461183496583,0.004216251205134796,0.43309506175197265,0.004590188710082565,0.4247757878947709,0.7794303894042969
CPI,0.0,-0.0012514149988724355,0.9201724804956048,0.023916038828617148,0.004050766727698227,-7.544550073435019e-05,0.669149176478534,-6.4456999537831905e-06,0.5162553998631328,0.0042530023143478035,0.02792988909618504,0.0028804640675588467,0.006130379723964338,0.009324183833353206,0.0008370618575386682,0.0,1.0,0.001866384828088652,0.026408588532461027,0.017977530748453985,8.515810436948529e-06,0.08070996815091083,3.749284700620505e-10,0.0006595795636986368,0.22911529197942354,13.933291912078857
CPI,0.3,-0.001262205344707612,0.9134620555194184,0.023945809841539212,0.00403217329636186,-6.833633454539356e-05,0.6749096039287101,-8.259635699892076e-06,0.5262725353889393,0.004251880239981881,0.027940948047450453,0.003246352936657315,0.01239014372549986,0.004752258707430623,0.016524184807668794,0.0,1.0,0.0018627036203293923,0.02645097831482345,0.017947157739540864,8.585458868794348e-06,0.07755069581842147,9.46392210054877e-10,0.0007050515219062803,0.21541652228503305,2.8447132110595703
CPI,0.6,-0.0012645375271536363,0.9018981838674318,0.02401489759755354,0.0039779032056246584,-5.7763572945679353e-05,0.6841758373197323,-8.066972183362608e-06,0.5400006643238316,0.004250369352501976,0.027959146492171936,0.0020076112562099624,0.05397403462436016,0.00216909748958391,0.07735761372335172,0.0,1.0,0.001857111495692565,0.026530274264795588,0.01787392529442744,8.850430492396872e-06,0.07082842519605909,5.1948465354396495e-09,0.0006979401779879657,0.21752109745053888,2.8346643447875977
CPI,0.9,-0.0011692441295582112,0.8590690505609857,0.024166976534392537,0.003874112707306717,-2.2426093795907542e-05,0.7098160539924138,0.0,1.0,0.004254706281719367,0.027848438373906843,0.001119236537695828,0.12824233309361233,0.001110971699300356,0.14936596042661898,0.0,1.0,0.0018371294607829325,0.027096908304353427,0.017764995657189253,8.937828735306438e-06,0.0456344721353599,1.674855427245454e-06,0.0006871827488093285,0.2052527430428876,2.8860509395599365
CPI_sqrt,0.0,-0.0012514149988724355,0.5130757036090142,0.023916038828617148,0.3028013581673039,-7.544550073435019e-05,0.5008035535526297,-6.4456999537831905e-06,0.5000686779601263,0.0042530023143478035,0.4571374370794448,0.0028804640675588467,0.4701291536450834,0.009324183833353206,0.4084048477710654,0.0,0.5,0.001866384828088652,0.4805405709206674,0.017977530748453985,0.3323019651125212,0.08070996815091083,0.05463377164516223,0.0006595795636986368,0.49310720988339335,10.191089391708374
CPI_sqrt,0.3,-0.001262205344707612,0.5131757939846587,0.023945809841539212,0.30260009372760155,-6.833633454539356e-05,0.500728258117527,-8.259635699892076e-06,0.5000880823741846,0.004251880239981881,0.45714828463724216,0.003246352936657315,0.4666000145760709,0.004752258707430623,0.4521351942959818,0.0,0.5,0.0018627036203293923,0.48057813180949543,0.017947157739540864,0.332547882644943,0.07755069581842147,0.061173648491957514,0.0007050515219062803,0.4926331858702162,2.839756727218628
