method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
LOCO-W,0.0,0.00156473218176988,0.4506084480416872,0.040726534387145075,0.0005932683006583117,0.024343058752156012,0.025605191768688362,0.026644232524654313,0.017808871568972373,0.019811304951005835,0.060235121518329215,-0.002398766475765458,0.5748036842856084,0.00817483942333232,0.26137113381028054,0.014547146851501018,0.12065446507623967,-0.0006087468950438341,0.5194551855290266,-0.002357973345554544,0.5750765021646485,0.005957993621377883,0.3096363109176813,0.008923999295766587,0.24080508849168414,27.776523113250732
LOCO-W,0.3,-0.01311881041150853,0.8558943084847284,0.01249844126851234,0.15204116325246053,0.023160095753508927,0.03131944858127578,-0.007661327596387957,0.7296644830838604,-0.00875352110093821,0.751715681538992,-0.002729534733778027,0.5878802853835072,0.024724050827667182,0.024004412689954235,0.009491137927090415,0.21762689600856566,0.019999897585921186,0.05674716285229475,0.008937444639822125,0.24081793033141585,-0.01037434021773593,0.7995294105689773,-0.0016026654893394972,0.5503805244505475,27.823524475097656
LOCO-W,0.6,0.02487311776976056,0.024033488206776754,0.02574075259895898,0.018627593303617185,0.019972749959654996,0.055888762826017846,0.010120903868179116,0.2156657848334551,0.0040301718838455635,0.37568245080711316,0.015155218897644512,0.11243196355004237,-0.003241339504709938,0.5984916865723131,-0.0020158241326820848,0.5637404251182239,-0.0023089044171230263,0.5733152544587382,-0.021224919931059884,0.9554719730908046,-0.015023032035618876,0.8912888038623759,0.021233239911091138,0.04941665659696115,27.788873195648193
LOCO-W,0.9,0.003551192134669325,0.38932962216854594,-0.0017990211487667858,0.554932317275068,0.01139961639995618,0.18313095062217144,-0.008628333700892025,0.7536526849977191,0.01056142738853422,0.19811614392356613,-0.0022989566352436745,0.5719503669441283,0.004787036401418182,0.35292897573324544,0.017543147403611327,0.07928366515674468,0.004081376862348244,0.3734549711412317,-0.006534804560470737,0.6959246880532592,-3.253025306907047e-05,0.5010436945148393,0.006177038180935457,0.30896539939380274,27.978367805480957
CPI,0.0,0.0030407921355262713,0.024309940913237033,0.04043892798984866,6.560788867247686e-16,0.011676382439758437,1.6541900085144703e-07,0.029382495844269108,6.546995164174427e-09,0.006726387515670312,0.0014264981115946127,0.022175211254719468,0.00018919617771723438,0.005496400594220435,0.0021388529413870812,0.004374724194167429,0.006019598171968504,0.009485381712228541,4.234849068247843e-05,0.0020986243454910736,0.15986197177966294,0.07212627233939295,3.915709234144697e-20,-0.0016719610865151002,0.954478708777328,21.341896533966064
CPI,0.3,0.0015618779020058482,0.18014189182035523,0.04014123338851289,2.54640582193368e-15,0.010146411091030039,1.0413993326528714e-05,0.0460459647168216,5.216527451241691e-12,0.007189772826753066,0.0005875312466650989,0.015895401474668835,0.0012968472799601495,0.0023708877278128815,0.07743744454656001,0.004982579687392824,0.0006857969171097123,0.009796667043512841,2.0171516539759107e-05,0.0028826299880813644,0.06592397058290236,0.0693316960789786,1.2203852138019955e-18,0.0008666919064296841,0.25724975027085295,10.63703465461731
CPI,0.6,0.0026640048185855025,0.060773281776921206,0.03925647645745589,9.929183355249051e-15,0.009294078027507063,3.0626170637552016e-05,0.039820091647245204,1.4783308642177215e-08,0.007052204913392479,0.000313807009015288,0.007533639153394556,0.00952591132376638,0.0012571801280864547,0.14854768383829142,0.0059406752141478725,9.112795958566902e-05,0.008347607215843683,0.0001210260671001399,0.0029059408056534564,0.07347463817946967,0.0704503617229339,1.221918877694095e-19,0.0018754837808841462,0.0821556188126299,10.57329535484314
CPI,0.9,0.002180879977497524,0.09213129578144252,0.04227970234909001,3.8764027691853977e-16,0.009980257931082648,2.3812716103347246e-05,0.03870888989911442,1.560474483136443e-09,0.00749094951036286,0.00045049966535883794,0.0017764855361810938,0.07517976253000726,0.0004765776372524233,0.3133526421413417,0.004261914148796231,0.010058066396409122,0.009460413488664887,0.0001123475807593689,0.0027700960181291645,0.07954488232364487,0.06651237086170741,1.633498468168875e-19,0.0009227701383295039,0.013355143526777904,10.688756227493286
CPI_sqrt,0.0,0.0030407921355262713,0.4502281299505846,0.04043892798984866,0.07307873992053446,0.011676382439758437,0.3205970560435587,0.029382495844269108,0.14645333560972712,0.006726387515670312,0.39403677163790096,0.022175211254719468,0.22228346783528646,0.005496400594220435,0.41192276833082603,0.004374724194167429,0.42917008548713825,0.009485381712228541,0.3532021816318067,0.0020986243454910736,0.4663849181556633,0.07212627233939295,0.009363965955194266,-0.0016719610865151002,0.5280533020869567,17.574330806732178
CPI_sqrt,0.3,0.0015618779020058482,0.4745587255999269,0.04014123338851289,0.07509468525164074,0.010146411091030039,0.3433248830227832,0.0460459647168216,0.05951845812926709,0.007189772826753066,0.38675721004319613,0.015895401474668835,0.28542960858848343,0.0023708877278128815,0.4613510451079854,0.004982579687392824,0.418849499047389,0.009796667043512841,0.34846503024544995,0.0028826299880813644,0.45351060837251544,0.0693316960789786,0.011973391008348771,0.0008666919064296841,0.4856546225739867,10.668414831161499
