method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
LOCO-W,0.0,0.05273016880919974,0.0032441936455911424,-0.07983814446161838,0.9998091255911289,0.008832170042887902,0.3251100274460865,0.042702697636848544,0.016135865237351,0.052341577387520294,0.002720698890998352,0.10783271007364253,5.017492199499429e-09,-0.039620175790079315,0.9860015523451007,-0.03893645239526421,0.9747960255540479,0.0840408155486858,1.1001753467354547e-05,0.009016591535814973,0.3181246700514646,0.11419322027299018,1.308193553484216e-10,0.05260471033751271,0.0019671253881068385,30.857019186019897
LOCO-W,0.3,-0.024828713991315268,0.9187810805034426,0.03561457201158754,0.02748333229894029,-0.07441399382796346,0.9999147933802143,0.04583098430971285,0.008116300200461612,0.0171701813158083,0.18199000973508128,0.0674392498084738,0.0007948523956131659,-0.05998673842597799,0.9996300190501565,0.03440004307476802,0.03987782659700301,-0.029604425353616078,0.939452073454018,0.027083839273499822,0.07247137090127809,0.13689592625949068,3.3306690738754696e-16,0.04289604244713567,0.006377532572353961,35.14821982383728
LOCO-W,0.6,0.05934022998469094,0.0007049304121687916,0.13824343656949234,6.181899436796812e-11,-0.033209974130782076,0.9592817976648349,-0.07583907491719026,0.999933215988997,0.020480869925298933,0.15740982913509782,-0.06213823059235964,0.9989823388183868,0.04537454855376672,0.06795165961575922,-0.03814473640478296,0.974728444312012,-0.005331036255279593,0.5971616373642832,0.013244025709453188,0.2567161052419763,0.0706535026849477,4.5151596753334466e-05,-0.03308254485282796,0.9512742392358164,36.74285626411438
LOCO-W,0.9,-0.037802747846585966,0.968674655420924,0.14563285263390566,3.941080795044627e-11,-0.05159641020414654,0.9930609460237134,0.007532436401477488,0.3465459797907373,0.00814953840233496,0.32966042788399075,0.007333171405229852,0.34873168259705967,-0.02936026627436647,0.9541850547170425,-0.016592547723329815,0.8137390644303365,0.057010367342880744,0.0014872547922066826,0.024967115757647124,0.10799778051027253,0.11040819414622977,9.315742510729308e-09,0.009769009172200447,0.2974600391430329,33.65600776672363
CPI,0.0,0.0012193508371992068,0.11106053280641293,0.016912378301325748,8.030566642209726e-11,9.548683756022136e-05,0.13385304600694742,0.0004239801712183633,0.4432421405550202,7.468589705772466e-05,0.13734005417061773,0.08813523318907884,0.0027100860234415525,0.011410457743863567,0.03654512508316036,-7.371483592644168e-06,0.6709622231256352,0.0011481636036478338,0.03970892870368821,0.003704629850010688,0.006072701358632916,0.11043203428510023,3.0900225150727847e-25,0.000521440546260632,0.3729220023026734,23.810078382492065
CPI,0.3,-0.0011550332869793012,0.8253603195957631,0.014474297888719956,1.8423250013451375e-10,9.003247416861093e-05,0.22284285214088217,-0.0006602176813799154,0.6055533742156244,7.25640525715554e-05,0.24346919406279782,0.045594415573435854,0.0004395765018871942,0.0017434956300473314,0.3537360635551245,-1.4295350232507165e-05,0.8169006189183439,0.0010765320173418136,0.030995639009375832,0.0037211135672975404,0.006431389657566244,0.11081087802535922,7.671647955750274e-25,0.0004991607002654552,0.39506839851334924,12.30144453048706
CPI,0.6,0.0023036307622155694,0.05170074343847137,0.013856680238166719,5.793145014740585e-10,0.0004023218289490038,0.13655860637195777,0.0014074460728925042,0.3040021909813634,8.031425504617662e-05,0.3047578149003864,0.02270176074515534,0.009269448149486312,0.002121707831292674,0.23032703017044892,-9.474199039349873e-06,0.701919282036972,0.001926631123303102,0.018555164348539373,0.00299056786704871,0.008332668949203101,0.10771883443617963,2.34316373338244e-23,8.4816691027223e-05,0.4721320612273904,11.92634654045105
CPI,0.9,-0.0014407651442912006,0.8512994541316665,0.01142980771336749,2.383902519500954e-09,0.0005969512768613794,0.002095868992678746,-0.00020520313440181015,0.5430207287531911,0.0001327098065904142,0.21439994903842635,0.0012350069323589508,0.44181033650812307,-0.0008343288490075262,0.6711969360330191,-4.772948985043435e-06,0.6051837818866841,0.0013110081452404332,0.03448793230701222,0.003578964658063344,0.0018461792844880604,0.11048085235957195,1.0515445330356136e-22,-0.001849953537157889,0.9300138595862052,11.557533740997314
CPI_sqrt,0.0,0.0012193508371992068,0.4799689102223852,0.016912378301325748,0.25704861135688906,9.548683756022136e-05,0.4983694189309127,0.0004239801712183633,0.49355569425128326,7.468589705772466e-05,0.49872365347792336,0.08813523318907884,0.05442554890483204,0.011410457743863567,0.3501417484202728,-7.371483592644168e-06,0.500126255068144,0.0011481636036478338,0.48086638637840606,0.003704629850010688,0.44051498990046717,0.11043203428510023,0.0005780360985420819,0.000521440546260632,0.491641041285147,20.056670904159546
CPI_sqrt,0.3,-0.0011550332869793012,0.5187932896050159,0.014474297888719956,0.28579125220443086,9.003247416861093e-05,0.498464656624785,-0.0006602176813799154,0.5102308804039329,7.25640525715554e-05,0.4987618245723849,0.045594415573435854,0.10880936908306499,0.0017434956300473314,0.47510559218746756,-1.4295350232507165e-05,0.5002448523534038,0.0010765320173418136,0.4820008136790534,0.0037211135672975404,0.44029707959613107,0.11081087802535922,0.0005804323296391609,0.0004991607002654552,0.49208303225857397,11.934289693832397
