method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
LOCO-W,0.0,0.09281337327114653,1.397167639505259e-05,-0.09404926020348299,0.9999777155695863,-0.034239661378957995,0.9636734687367079,0.036238414136600734,0.033849641590084745,0.007233338884082367,0.35627664779065193,-0.029579734810308452,0.9420674347606756,-0.04952254483455968,0.9941726437119275,-0.013802287372506447,0.7616817300346908,-0.12923823059890632,0.9999999776424493,-0.10398710556913593,0.999998981779921,0.21285302129424297,0.0,-0.0006246490387697084,0.5129726920228115,27.28731679916382
LOCO-W,0.3,-0.12318042055928753,0.9999999762591758,0.0014315601714598237,0.46948807687856886,-0.10168044706744256,0.999999384879667,-0.048537258193348955,0.9882120642661255,-0.07994385531187594,0.9998935584545795,0.0167037200615341,0.1977802046181616,-0.04174548996537101,0.988995141663035,-0.04280699922443018,0.9871321220460112,-0.06034085565890426,0.9983281009878061,-0.005520673163327293,0.6112668966024614,0.07537223506011452,1.7626578425744555e-05,0.07006955603814273,0.0005591778508824419,31.01286292076111
LOCO-W,0.6,-0.025812465488597006,0.9117527192198335,-0.011185819446961908,0.7228697927532055,0.013049048025228556,0.24951049823701976,0.035655811670723195,0.04220980975663713,-0.09859676981314457,0.999999793908715,-0.007515063884227737,0.646698447725906,-0.05524968582802362,0.9990464764007667,-0.15260581352041894,0.999999999992263,0.0041017087451267744,0.4244661967123571,0.028900839079053327,0.08169538195367687,0.6027339920379733,0.0,-0.045561584085110504,0.9909778302706177,32.43078136444092
LOCO-W,0.9,-0.027474554482368733,0.9190738318999634,0.020319043052068626,0.15590829935696926,-0.0600955317964384,0.9984570206676613,-0.25646927675189995,1.0,0.0413386152561153,0.013925917027483692,0.030503285532508664,0.06042052374416573,-0.05578666861564244,0.9985735757077892,-0.041333127205418575,0.9780574641086804,0.21364191238372396,0.0,0.02623161099965595,0.10777310733974965,0.08329073948490913,3.648634303687892e-06,-0.00886615824293967,0.6717265588785584,27.7915256023407
CPI,0.0,-0.0017233143786701266,0.8754706665544212,0.006419844258357066,8.65697881320735e-08,0.00036474555597010294,0.06432034497961966,0.006447633846088541,1.7351318507059005e-05,-5.572436168999051e-05,0.9440579115563287,0.04980299483821882,1.084773698327985e-06,-0.001134428829042855,0.5866883855360159,-6.472374520061219e-06,0.8676941121534727,0.004141357381835908,0.004555543720662198,0.001610008185705225,0.0008976510550078383,0.10519942893720702,9.134836513287137e-30,-0.0005990951175532389,0.6918574440025608,22.59276580810547
CPI,0.3,-0.004137967477403082,0.9771091880398078,0.00315972908817741,2.7394074029751414e-07,0.00015637444110450094,0.19968426556411328,0.004617002643696633,0.00038355933844288733,-5.5626505946759774e-05,0.8299647454930978,0.03590409233220421,7.125054070605098e-05,-0.0027553860677471675,0.8929443862358085,-5.0208038657184595e-06,0.8165257374162647,0.00365281670457418,0.0053268492408584285,0.0009240348301873258,0.002420103590772875,0.10906547020539581,3.1140039723216405e-29,-0.0029072538497749156,0.9751410933824677,10.67739748954773
CPI,0.6,-0.004551670658317131,0.9563144621576921,0.0022248787532736514,1.0504077844098966e-05,-0.00021097089891880527,0.802110333608548,0.004159678611708795,0.00811566050686892,-4.8028942016276055e-05,0.8576873839038369,0.005947418920552228,0.12443167969996394,-0.00084052751015945,0.6974227400845514,-7.595997616571815e-06,0.9507547742792917,0.004198580461656998,0.004516181612363684,0.0008054357591278372,0.004957952136156626,0.10031208537860964,2.2814403013213043e-27,-0.00047868674643331,0.7265409650892721,10.69852089881897
CPI,0.9,-0.0020434097570205534,0.9638152096506433,0.004875863961395777,1.6001803088805584e-07,0.0001571696790690913,0.3133548298336637,-0.0003268231661860965,0.6177064974746835,1.744001511205795e-05,0.2621736434270057,0.0027816118014189484,0.036872431539872554,0.0001913751981661438,0.3292404421925189,1.327330250155967e-07,0.4871975287118078,0.0030178450762696762,0.010192092874550305,0.0012477925537011658,0.0004992278711877034,0.11408292935369191,8.002298381049385e-31,0.0004082177028074119,0.10753133944014909,11.056237936019897
CPI_sqrt,0.0,-0.0017233143786701266,0.5282563414528886,0.006419844258357066,0.39473254764590343,0.00036474555597010294,0.4936888676496134,0.006447633846088541,0.39568104303306684,-5.572436168999051e-05,0.5009728789125154,0.04980299483821882,0.06755173767797276,-0.001134428829042855,0.5161619163552877,-6.472374520061219e-06,0.5001131446502076,0.004141357381835908,0.4326216696365778,0.001610008185705225,0.47249207971068863,0.10519942893720702,0.0005335190755366297,-0.0005990951175532389,0.5099529338274614,18.38795566558838
CPI_sqrt,0.3,-0.004137967477403082,0.5660274981302779,0.00315972908817741,0.4463990441395501,0.00015637444110450094,0.49728777625714926,0.004617002643696633,0.42430915223343624,-5.5626505946759774e-05,0.5009701830977324,0.03590409233220421,0.13282204412970045,-0.0027553860677471675,0.5438224990089833,-5.0208038657184595e-06,0.5000877704148557,0.00365281670457418,0.4401228055394449,0.0009240348301873258,0.48407588212057645,0.10906547020539581,0.00040848699359496277,-0.0029072538497749156,0.547621809121315,10.67640495300293
CPI_sqrt,0.6,-0.004551670658317131,0.5708937427270465,0.0022248787532736514,0.462025995948458,-0.00021097089891880527,0.5036491675213949,0.004159678611708795,0.4327156328870582,-4.8028942016276055e-05,0.5008381657693753,0.005947418920552228,0.41581495559165604,-0.00084052751015945,0.5137168157254922,-7.595997616571815e-06,0.500132793899458,0.004198580461656998,0.43175544856504167,0.0008054357591278372,0.48610946646840913,0.10031208537860964,0.0008967256346116868,-0.00047868674643331,0.508087860166368,10.776474475860596
CPI_sqrt,0.9,-0.0020434097570205534,0.5339925835570498,0.004875863961395777,0.41873453706627145,0.0001571696790690913,0.4972901942958609,-0.0003268231661860965,0.5054536523347283,1.744001511205795e-05,0.4996954164004619,0.0027816118014189484,0.45456494611328235,0.0001913751981661438,0.49671604443731426,1.327330250155967e-07,0.49999767950253926,0.0030178450762696762,0.4502083178079477,0.0012477925537011658,0.4785485930496937,0.11408292935369191,0.0002475131457003335,0.0004082177028074119,0.4929639772312266,11.061295986175537
CPI_n,0.0,-0.0017233143786701266,0.7951672736057249,0.006419844258357066,0.00021526829872433315,0.00036474555597010294,0.33114316990160586,0.006447633846088541,0.0013697485882698194,-5.572436168999051e-05,0.5352340563162561,0.04980299483821882,3.6765027094510817e-06,-0.001134428829042855,0.5778756044228139,-6.472374520061219e-06,0.5042971537787345,0.004141357381835908,0.02891369476665836,0.001610008185705225,0.07360108937648761,0.10519942893720702,1.5652185951142334e-26,-0.0005990951175532389,0.6310296034091742,18.59473443031311
CPI_n,0.3,-0.004137967477403082,0.9396317655980138,0.00315972908817741,0.004976734646638794,0.00015637444110450094,0.4206154556574209,0.004617002643696633,0.009468487288516788,-5.5626505946759774e-05,0.5339235453799653,0.03590409233220421,0.00017298255842293977,-0.0027553860677471675,0.8363403542727708,-5.0208038657184595e-06,0.5033347639300487,0.00365281670457418,0.035653662789091566,0.0009240348301873258,0.15839418936258376,0.10906547020539581,3.434536470923676e-26,-0.0029072538497749156,0.9192479340644435,10.737113237380981
CPI_n,0.6,-0.004551670658317131,0.9188203249935685,0.0022248787532736514,0.02330185873535992,-0.00021097089891880527,0.5987487680366782,0.004159678611708795,0.03683735142686451,-4.8028942016276055e-05,0.5299124595061712,0.005947418920552228,0.15060663333688828,-0.00084052751015945,0.6474600052446434,-7.595997616571815e-06,0.5050532441602716,0.004198580461656998,0.028347145691066014,0.0008054357591278372,0.18737229372112363,0.10031208537860964,2.1000762877625547e-24,-0.00047868674643331,0.6347448414072007,10.816713809967041
CPI_n,0.9,-0.0020434097570205534,0.8809147380896227,0.004875863961395777,0.0008227840208158346,0.0001571696790690913,0.43204638568645637,-0.0003268231661860965,0.576831754614331,1.744001511205795e-05,0.4888240584955975,0.0027816118014189484,0.09793604945563111,0.0001913751981661438,0.42616128959828997,1.327330250155967e-07,0.4999116287891289,0.0030178450762696762,0.055757086975145365,0.0012477925537011658,0.10013239281279507,0.11408292935369191,1.18330797074259e-27,0.0004082177028074119,0.3293786076019535,11.020174980163574
CPI_bt,0.0,-0.0017233143786701266,0.9980426846473706,0.006419844258357066,2.612398507241804e-27,0.00036474555597010294,0.2699769188917933,0.006447633846088541,1.8954459359863338e-27,-5.572436168999051e-05,0.5373034780241579,0.04980299483821882,0.0,-0.001134428829042855,0.9659634001138375,-6.472374520061219e-06,0.5043390488113605,0.004141357381835908,2.11362778363765e-12,0.001610008185705225,0.0034216687421117675,0.10519942893720702,0.0,-0.0005990951175532389,0.842346174734782,23.076295852661133
