method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
LOCO-W,0.0,-0.0009925602601747899,0.6443985533313344,0.0014500377048920214,0.2882653367605741,0.002094666400253155,0.20227557679542563,-0.0012878634716105425,0.6956807752365852,-0.0007929446442464091,0.6253339819143454,0.0036367616396430734,0.0887477854065084,-0.0026790099637925154,0.8603003271329703,0.002148856438539264,0.2019813178393225,0.00046391873134556225,0.43026974378068383,0.006380283517920527,0.006465732041592953,-0.00039739505862675383,0.5650011239418207,-0.0012353955366129266,0.6965636282261134,105.54898619651794
LOCO-W,0.3,0.0035894418215902837,0.08377449619152522,0.00991554445635056,4.289526751544148e-05,-0.0006010506333102283,0.5917218899656025,0.003083141997976504,0.11512159250726173,0.0026553917047367824,0.1653387436453445,0.0032416993802860945,0.09697580052571797,0.00027536987500436467,0.4582528978356092,-0.0012078911203758037,0.6858183010904875,0.0012248101663480543,0.3201579307481479,-0.004790162168575047,0.9758846702784799,0.005341816104985465,0.019215981703543328,0.0005682398776724447,0.4069060637476607,103.90438652038574
LOCO-W,0.6,-0.005813277252740019,0.991061781935938,0.002483269163443747,0.16189050388353388,0.0004222731616640113,0.4356820569515313,0.00042436299264993514,0.43485138023271186,0.002806285326717652,0.12973273991399537,0.004089023374729874,0.05778669471249709,-0.0020375573135543385,0.7901321640927044,0.0028790093933481874,0.13045499966849738,0.0031046550374552962,0.10732043708031969,0.003362500062078273,0.08809378480694119,0.0010984567109429346,0.324793191661054,-0.0009171944047426764,0.6453902919432057,104.47540950775146
LOCO-W,0.9,0.001509704689421459,0.27304815311391273,0.001355024982401929,0.28981794721443543,-0.004638828692112554,0.9672976016302555,0.0015953977850253528,0.2653022239284337,0.005676570653702838,0.011176889405064117,0.0010634311502014523,0.3334305901587752,0.0043273493939534535,0.048232459369969005,0.004434227006477467,0.036323209714379856,0.0025403299526081976,0.158023074778333,0.00040777166423977963,0.4351456728576232,-0.0004802478209206813,0.5767746191747916,0.002019649820404158,0.20489182439142328,104.02257919311523
CPI,0.0,0.011098588435374174,2.9942557428546216e-10,0.07766596938775513,1.6448599735588877e-18,0.012710085034013607,2.9009151232152342e-11,0.03476607993197281,1.7683535858748944e-09,0.015922431972789114,7.058468501548565e-16,0.042667729591836734,1.9854297070745644e-14,0.01206046768707486,7.503516567488422e-10,0.00687380102040816,3.885595113027993e-07,0.016639753401360563,1.6702800107012093e-11,0.011691921768707508,6.887449011294753e-10,0.10369210034013607,2.2404954311152445e-26,0.0011676530612244884,0.1296890225714299,28.76591396331787
CPI,0.3,0.010848290816326517,1.273892660013234e-09,0.08019153061224485,1.4962892431075179e-19,0.01337605442176873,4.061301191723029e-11,0.03320159013605442,2.379265138788597e-09,0.015305136054421797,2.46747482760825e-14,0.010701615646258489,5.2005684769368e-05,0.007720348639455782,5.065294601250753e-07,0.007348197278911589,4.26220181013336e-08,0.017083324829932023,1.0727145713607842e-11,0.011774923469387771,1.4207889159949747e-09,0.10750926020408161,2.7651685903622913e-28,0.000381352040816324,0.23136145702342453,18.51163601875305
CPI,0.6,0.01107528911564623,1.1003709075216748e-09,0.07950895408163264,1.545643546012014e-19,0.014070051020408147,4.694802628930383e-13,0.03679340136054421,1.2462793209012777e-10,0.01482578231292514,2.341513513170902e-13,0.002501318027210875,0.03850001221906089,0.0045502040816326195,7.353677466863994e-06,0.00778671768707484,5.4267837036346e-09,0.017630527210884345,1.8243049352131237e-12,0.010993690476190476,1.4201034915215602e-08,0.10482187925170064,1.262703352676303e-27,0.00020318027210883272,0.3442315751783564,18.538190364837646
CPI,0.9,0.010305195578231285,2.72117872753763e-09,0.08072337585034017,1.0346314239247069e-19,0.013788979591836753,3.9065624231824835e-12,0.0355463605442177,9.180460130154712e-10,0.015691122448979605,7.130431522669598e-15,0.0001742687074830218,0.412544295916427,0.0014837244897959734,0.000759041335344841,0.007067142857142883,1.161023445151082e-07,0.017809617346938783,4.441668971485523e-12,0.010884073129251659,3.576738305981444e-08,0.10749243197278913,4.261875052544822e-28,-4.068027210885061e-05,0.5701342925774135,18.261080265045166
CPI_sqrt,0.0,0.011098588435374174,0.33038612112463445,0.07766596938775513,0.008302261693262996,0.012710085034013607,0.3086636251503855,0.03476607993197281,0.1183848581888321,0.015922431972789114,0.26611301158322537,0.042667729591836734,0.07156508680973478,0.01206046768707486,0.31807403512348087,0.00687380102040816,0.3912043699946028,0.016639753401360563,0.2611457343623294,0.011691921768707508,0.3228249684652329,0.10369210034013607,0.000927695224588053,0.0011676530612244884,0.4810192964612335,25.375130653381348
CPI_sqrt,0.3,0.010848290816326517,0.33415178911057575,0.08019153061224485,0.006715958496651395,0.01337605442176873,0.30034692467751306,0.03320159013605442,0.12749843086591717,0.015305136054421797,0.27441419976505116,0.010701615646258489,0.3417823675892128,0.007720348639455782,0.37909061402790273,0.007348197278911589,0.38381775884387764,0.017083324829932023,0.2559708649996868,0.011774923469387771,0.32199415308961954,0.10750926020408161,0.0006223761650063802,0.000381352040816324,0.49366565057883804,18.676007509231567
CPI_sqrt,0.6,0.01107528911564623,0.33108690890625625,0.07950895408163264,0.0070137029011354424,0.014070051020408147,0.2903193980332775,0.03679340136054421,0.10470045285719015,0.01482578231292514,0.2808444793698689,0.002501318027210875,0.4600109926049467,0.0045502040816326195,0.42647257681062406,0.00778671768707484,0.37705390169951525,0.017630527210884345,0.249137962151756,0.010993690476190476,0.3330535819893031,0.10482187925170064,0.0007904838420681483,0.00020318027210883272,0.4966232629837002,18.42420744895935
CPI_sqrt,0.9,0.010305195578231285,0.3416748274333919,0.08072337585034017,0.006440140040290608,0.013788979591836753,0.29443625899551756,0.0355463605442177,0.11340231148419744,0.015691122448979605,0.2694597137188398,0.0001742687074830218,0.49713734928326514,0.0014837244897959734,0.47531683475052894,0.007067142857142883,0.38811676603893425,0.017809617346938783,0.24756804942900823,0.010884073129251659,0.33486182192987296,0.10749243197278913,0.0006306104685061657,-4.068027210885061e-05,0.5006839701189929,17.94879937171936
CPI_n,0.0,0.011098588435374174,1.9790231656440704e-06,0.07766596938775513,1.9444227792903738e-16,0.012710085034013607,3.2268834186408447e-07,0.03476607993197281,4.449482332977918e-08,0.015922431972789114,5.061578503873263e-10,0.042667729591836734,4.518505652199358e-12,0.01206046768707486,1.8817333459663596e-06,0.00687380102040816,0.0003018066120352628,0.016639753401360563,4.931609226258967e-08,0.011691921768707508,2.132921480133882e-06,0.10369210034013607,1.3774145453810388e-23,0.0011676530612244884,0.23932805974913657,25.315194845199585
CPI_n,0.3,0.010848290816326517,4.140060085743651e-06,0.08019153061224485,2.3565970225790164e-17,0.01337605442176873,2.758382306750001e-07,0.03320159013605442,6.310724612958722e-08,0.015305136054421797,3.5685250042916508e-09,0.010701615646258489,0.0007484201825949085,0.007720348639455782,0.00021405771533262088,0.007348197278911589,0.00010693782316217498,0.017083324829932023,3.352608938008197e-08,0.011774923469387771,2.8458616447892784e-06,0.10750926020408161,2.8207195035922616e-25,0.000381352040816324,0.36811974311320794,18.512964248657227
CPI_n,0.6,0.01107528911564623,3.487713487937904e-06,0.07950895408163264,2.5171369356378018e-17,0.014070051020408147,2.5797631519428925e-08,0.03679340136054421,5.197815792246924e-09,0.01482578231292514,1.2820881233910719e-08,0.002501318027210875,0.10864056965841684,0.0045502040816326195,0.0031079803590423724,0.00778671768707484,4.027271038902251e-05,0.017630527210884345,1.085717381762072e-08,0.010993690476190476,1.1216451007965734e-05,0.10482187925170064,1.1728151120959164e-24,0.00020318027210883272,0.4279984447322425,18.47737145423889
