method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
LOCO-W,0.0,-0.0003317942159384356,0.5530766835519707,0.0025726648965685947,0.15003693150898056,0.0007751133998860954,0.3826776895923639,-0.0023148596502849473,0.814292371671356,0.002900718916758139,0.1263061815859985,-0.0034276316786371417,0.9100532131335459,0.0013949125814843115,0.2982251666259177,-0.0011274517138317442,0.6687045429566396,0.0035434729745734113,0.07629643843708211,0.00010910731178597272,0.48305546177908054,-0.0026501560831184677,0.8492938052693615,-0.0017636921912182052,0.7467566016115275,101.00361394882202
LOCO-W,0.3,0.004388785009207472,0.049150994009185434,0.0009698611238018432,0.35050228274428274,0.0029798250614078395,0.11858785044360609,-0.002189660447231913,0.8008324960099342,0.004605058431367548,0.03429120048572565,0.004473941749917683,0.03754600852642409,0.0017131436218078438,0.24921075257753555,-0.0017465456729430467,0.7567716386188998,-0.0007893310985517647,0.6216729781986405,0.000526868986196393,0.4193735271798035,0.0030084819662879025,0.10452587907999933,-0.002074729848570653,0.7888509747251633,97.93614387512207
LOCO-W,0.6,0.0001320393232162943,0.4795435832794901,0.005040846917127008,0.026182050812552204,0.00404811319874855,0.05510021411646093,-0.0015253238768124225,0.7208524158253968,0.003289620112432982,0.10642797885162047,0.0017491461123864164,0.24490499755783224,-0.005203759759445934,0.9806974322565809,-0.0035680531145239783,0.9278700619060626,0.0016910865564298315,0.26112802002460445,0.0004794391916596539,0.42630236032209257,0.0050676577563520085,0.02225622503034075,0.0025809753881333056,0.16358045917752573,97.70210647583008
LOCO-W,0.9,-0.003280204595204904,0.8906294142817893,0.0037925618229751102,0.07316385541347703,-0.0014648610729675949,0.7095754594988954,0.0008660475050553241,0.36416834482718674,0.0008128328352214042,0.3742509917724649,0.004001049923179558,0.05952656499260789,0.0034629148455502198,0.08074423447598755,0.0001936502902403199,0.471538592614008,-0.0014044695741085799,0.7064559216135571,-0.007503149074334317,0.9978614342083201,0.00021481278011109344,0.46509854320043753,0.0015374561891669288,0.2786392176517001,98.6140718460083
CPI,0.0,0.008544736394557856,1.0552311217540127e-05,0.0783859353741497,2.035976900958419e-27,0.011767074829932056,1.1839950919256885e-08,0.022132576530612263,2.8313333490169085e-06,0.012292967687074857,9.940781877266714e-07,0.03243912414965988,1.645495400344634e-09,0.012651301020408179,1.4442742239138865e-11,0.008670085034013647,4.915002278826052e-10,0.021725756802721152,8.729344482026412e-12,0.012279948979591893,2.8284341095128094e-10,0.10980506802721088,2.730337979254263e-28,0.0006586479591837169,0.2907657087230097,29.009509325027466
CPI,0.3,0.00890744047619052,9.9533568456218e-06,0.08023883503401358,7.655493453205123e-28,0.010958469387755077,4.172103415735831e-08,0.02339588435374146,4.783658948232315e-07,0.011138545918367326,1.0601514664242309e-05,0.012001309523809539,4.059171185864559e-05,0.008425943877550995,4.22912620998953e-10,0.008181743197278907,3.1232869323758385e-09,0.021481530612244865,9.8612743426928e-12,0.012250663265306105,6.059649727113819e-11,0.10705205782312921,2.2869062531301427e-27,0.0005637074829931976,0.26957725740720495,18.746512174606323
CPI,0.6,0.009281955782312945,1.651059453430372e-06,0.0788905357142857,2.8439928417281116e-27,0.011168801020408126,6.935270673019898e-08,0.0291887755102041,1.0022386416584264e-07,0.011867244897959206,4.478139845420359e-06,0.00330317176870748,0.05559478270523246,0.004056904761904762,1.622448262964695e-06,0.008578724489795908,3.4087188819629325e-10,0.022090119047619067,1.2911895711660254e-11,0.012192874149659888,8.797776322645301e-11,0.10795527210884356,3.342503008066211e-27,-0.0002802976190476314,0.6649057606061749,17.889702558517456
CPI,0.9,0.00856575680272112,1.866940526154127e-05,0.07942027210884356,2.9523567367076414e-27,0.011289770408163258,5.543169378253402e-08,0.024605416666666685,1.2935604540858557e-07,0.011411284013605444,5.654727157213943e-06,0.0002158248299319876,0.402671904822675,0.0021917942176870875,5.55653403313666e-06,0.008709897959183671,6.896139912909728e-10,0.021992687074829903,2.045911631334123e-11,0.011978954081632659,1.6892792668167436e-10,0.09478647959183673,4.2420754260955086e-27,5.9294217687105855e-05,0.43296534887779525,17.981173992156982
CPI_sqrt,0.0,0.008544736394557856,0.3662671667266421,0.0783859353741497,0.004794943837946539,0.011767074829932056,0.31961040983383765,0.022132576530612263,0.2135561734832226,0.012292967687074857,0.31540281147012167,0.03243912414965988,0.12731685903174167,0.012651301020408179,0.3056620105567574,0.008670085034013647,0.3612348042201815,0.021725756802721152,0.203697747113543,0.012279948979591893,0.3114623562425396,0.10980506802721088,0.0004390352850901957,0.0006586479591837169,0.48913813721945393,25.513374090194702
CPI_sqrt,0.3,0.00890744047619052,0.3612413458457901,0.08023883503401358,0.0041226433734592475,0.010958469387755077,0.3308110613415429,0.02339588435374146,0.1997371624985922,0.011138545918367326,0.33182506161877867,0.012001309523809539,0.3224335276944327,0.008425943877550995,0.3647460690866779,0.008181743197278907,0.3687004898834578,0.021481530612244865,0.20609571175462887,0.012250663265306105,0.3113349169687683,0.10705205782312921,0.0005751128444441322,0.0005637074829931976,0.4905957962557448,18.406331062316895
