method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
LOCO-W,0.0,-0.02336314531725761,0.9995647332540086,-0.06902676987762203,1.0,-0.05741678200442306,1.0,-0.06466873595713124,1.0,0.032648888509832094,1.2661630177657202e-07,0.12233801247557305,0.0,-0.018393584940763534,0.9866303115454533,-0.037635692665812855,0.9999999951667068,0.035475877033093156,2.837764717655844e-07,0.11379883824669845,0.0,-0.009588019917744531,0.9181492610298579,-0.06577852231961784,1.0,175.91228532791138
LOCO-W,0.3,0.021952175668423984,0.001181380016095246,-0.06461584030717855,1.0,-0.049031919837540815,0.9999999999957921,-0.010401532605634842,0.919724906663022,0.08848047279375439,0.0,-0.01634786791108566,0.9792381946153368,0.052909270750936155,5.551115123125783e-16,-0.019777476884976816,0.999415821821262,-0.03285105936080419,0.9999951067385678,-0.01735974440013064,0.9941885123114669,0.05575536562821165,1.1102230246251565e-16,0.031900984593548426,2.097798816624863e-05,174.47723531723022
LOCO-W,0.6,-0.00815046461822508,0.9182611134934087,0.015290450723909757,0.007869677511338047,0.02278005684119512,0.000385489534129535,-0.041898117208315884,0.9999999999997983,0.19375316894898667,0.0,0.04757865927723553,1.9999952249882824e-08,-0.025155293992565983,0.999899323311968,-0.04772360723373373,0.9999999999230309,0.005282974902312448,0.23778658949818166,0.07444267391886568,0.0,-0.004704022441682559,0.7490193672560335,-0.041322746956859106,0.9999999777594086,174.7720673084259
LOCO-W,0.9,-0.08294043909970013,1.0,-0.07151610918757825,1.0,0.022993393749256616,0.0014408115053387016,0.0027514840034840262,0.3372075908245119,-0.17525921499220098,1.0,0.03614388751159734,2.1911045373634863e-06,-0.05205833255895951,0.9999999999964198,0.023607783253477482,9.281174061004371e-05,-0.0030928710059688782,0.6515991559566103,0.022658388074778504,0.00012031772862786116,0.11125187163028508,0.0,0.13587209813316084,0.0,174.2056176662445
CPI,0.0,0.009470123434438565,1.3026378818482445e-07,0.08174174600780826,8.710580995965772e-24,0.01195860680709318,1.395940930720814e-11,0.01474545494350843,1.6029349990803994e-09,0.013800000663380912,1.2508113567562708e-09,0.044559059267983925,1.1984981605360839e-08,0.012911778014028485,5.205471658432644e-09,0.007892415720314516,1.268025924446676e-09,0.017752294847543232,3.9483489800514255e-11,0.011364702767647589,7.335361475090058e-12,0.11197760070181018,1.0547227827302493e-29,0.00082297356868552,0.25382804397222114,34.96070456504822
CPI,0.3,0.009454179628780146,4.2171000360885714e-08,0.08258201375397087,5.8800824641082625e-24,0.012155061401605854,1.9553834189986743e-11,0.013966705100334736,2.816436004654922e-09,0.013910647805859266,1.1967102724093249e-09,0.04296480141476497,2.935086359260627e-08,0.01314007840480419,2.117793190798235e-09,0.008022657837646774,2.302793593568377e-09,0.01740642569062098,1.1955296518369297e-10,0.011126519927896428,2.035165472360113e-12,0.1119161964994391,2.1738990856567128e-29,0.0005853555922914755,0.3059150469461114,22.684149503707886
CPI,0.6,0.009528284759676181,2.559514494330978e-08,0.080935064558527,2.7083528543351097e-23,0.012391818941537458,1.1784195054139432e-11,0.01359320689290558,2.9354851959666453e-09,0.014284669428352381,1.0240271822694381e-09,0.043468514625427446,1.8060474398622926e-08,0.014169755571730697,3.2198418683882073e-10,0.008302648690886039,1.759865369177942e-09,0.01805373158035023,7.894676382347243e-11,0.010587649078314387,9.762452581041404e-11,0.11190133504640004,8.678632814337927e-30,0.00181967044923656,0.054666581685232266,22.644609451293945
CPI,0.9,0.005998257509685634,4.8772952310686844e-05,0.08349013674150263,1.1283267760106838e-23,0.012582162129894103,1.5053849504731836e-11,0.014146249328944621,4.208902085766638e-09,0.01365830835943288,4.916425524634573e-10,0.04135712518353096,6.169163733286774e-08,0.01462279035504932,6.302348889443876e-10,0.008442717269432354,2.2638115817448868e-11,0.01774848251890021,7.084649639524405e-10,0.011387272698323458,2.046572426394751e-12,0.10255921952855285,1.2866233420075325e-26,-0.0005310061543977729,0.6612600889065009,22.516258478164673
CPI_sqrt,0.0,0.009470123434438565,0.3543646787189736,0.08174174600780826,0.004956464153339493,0.01195860680709318,0.3182787222155256,0.01474545494350843,0.285329895892127,0.013800000663380912,0.29655734856974625,0.044559059267983925,0.07857424483203954,0.012911778014028485,0.3081560289967626,0.007892415720314516,0.3753271487886385,0.017752294847543232,0.24936648711686604,0.011364702767647589,0.32597161745870795,0.11197760070181018,0.00040876604001443927,0.00082297356868552,0.4867392637125698,32.451921224594116
CPI_sqrt,0.3,0.009454179628780146,0.3541911885284575,0.08258201375397087,0.00464641520157772,0.012155061401605854,0.31580550888381004,0.013966705100334736,0.29491788453318185,0.013910647805859266,0.29519047324721154,0.04296480141476497,0.08584711063573758,0.01314007840480419,0.30491322690997413,0.008022657837646774,0.3735582215265527,0.01740642569062098,0.25371417000128327,0.011126519927896428,0.3288834782296347,0.1119161964994391,0.0004191448831613001,0.0005853555922914755,0.49053325834572925,22.597046613693237
