method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
LOCO-W,0.0,0.060419472097575644,1.1102230246251565e-16,-0.06302582401001165,1.0,-0.14245760230815666,1.0,0.13985235578601496,0.0,0.05876233202201128,4.6629367034256575e-15,0.09324704565633092,0.0,-0.05240684025214709,0.9999999999984164,0.08248014157000744,0.0,0.10817285455485638,0.0,0.08432271059495482,0.0,0.013588650563518113,0.04511048533579076,-0.09343564897983073,1.0,175.4062464237213
LOCO-W,0.3,0.038501859299306884,5.366121198502327e-07,-0.08343672027374698,1.0,-0.009425398874435458,0.9006991942949121,-0.16437909417818267,1.0,0.03915764488121458,5.978299411069088e-09,0.14289853331125582,0.0,0.05942855166497904,0.0,0.04651170461165205,2.778683061421816e-09,0.06535701679990494,0.0,0.04226090822277953,5.3324093696183184e-08,-0.04693896005276522,0.999999999909969,0.0026929118723779733,0.31669746398879106,174.67218661308289
LOCO-W,0.6,-0.07825451741945767,1.0,-0.06902554704834171,1.0,-0.02477243848589192,0.9998491095433413,0.013850367466652516,0.030255337370043378,0.01273437421951389,0.039937614703977053,0.14710762695256854,0.0,0.0593484600427114,0.0,0.08384390646736221,0.0,-0.05857076116380696,0.9999999999999539,0.08437165530726738,0.0,-0.04155828981535421,0.9999999966290584,-0.05285058226973781,0.9999999999999962,175.5797951221466
LOCO-W,0.9,-0.005042399749812136,0.7621777495029807,-0.07350463995519434,1.0,0.07691621373133326,0.0,-0.0007115194989519433,0.5415516833610492,-0.0742087294034212,1.0,-0.006469429572479105,0.800026126969035,0.02236505680701761,0.00035336771781735443,0.032843655719864535,9.134144917100073e-07,-0.030244397042810185,0.9999255535254641,0.01028965832540605,0.08374806047668071,0.02426878924353522,0.00023457901962897765,0.13880360193349994,0.0,173.97468423843384
CPI,0.0,0.008719257819281817,1.003028521571791e-06,0.09124241097524258,9.525841811980803e-25,0.011758079448441261,2.8078958120323717e-07,0.016714525677488407,3.31076975569714e-07,0.01929393657288228,1.70428791622427e-16,0.04491133609469419,7.43465301859492e-12,0.009438979386092589,1.1344447685438719e-06,0.008173787403053773,1.5319123339059242e-11,0.022195179673394877,1.786534333916486e-15,0.01092329458771893,3.8451322345794e-12,0.10744369539119561,2.3860875636896066e-36,0.0004998547071301818,0.28486487523158266,34.9485387802124
CPI,0.3,0.00999351838868015,1.6034200019588579e-07,0.09135114923120702,4.637536162860055e-25,0.012716235678640997,1.522415867193261e-07,0.01590768370927806,4.0073803359510935e-07,0.02011387597735395,6.288020752088509e-18,0.043798047242268046,2.7420144503498838e-12,0.0018144349074544208,0.0004399505369091173,0.008780787463022632,6.049635379211029e-12,0.02220051413935603,2.2754651021190284e-16,0.011710403976919803,2.0855346884287974e-13,0.10639446075148767,1.7733374000164786e-35,-0.000627735101091792,0.9056894764232981,22.846404552459717
CPI,0.6,0.00967312292127942,9.77271842777962e-08,0.09125728713715886,1.8485338124033612e-25,0.013051943725974902,1.4607460485528287e-07,0.01634994740192655,2.977560804272884e-07,0.020112095447542916,1.736073538407885e-17,0.04408854978551069,1.9921504716173698e-13,0.0003311642954613725,0.1097408278036191,0.008003579942374967,3.9531638248603145e-10,0.02208111388510431,6.760577509311726e-16,0.012265518206161952,1.1223209543408153e-14,0.10641075828871305,1.0664755213933017e-35,0.00010031606018956474,0.34899353728292215,22.951932191848755
CPI,0.9,0.007371448255005464,8.319148339578161e-07,0.08972662648276719,7.055533943888268e-25,0.012489959038854137,4.5009060250246634e-07,0.01661531859986981,4.318311803676749e-07,0.019192731644980143,5.053244171846076e-16,0.02605438024575754,7.361748044756387e-11,0.0001657811902844586,0.08545715991512826,0.008957407037149007,1.7460012468933432e-12,0.02255823915566127,6.617728332528688e-16,0.011770310540025725,1.6906754349834466e-13,0.10526694640595807,5.92849780270814e-36,-2.930166454831462e-05,0.5708087848142934,22.707438707351685
CPI_sqrt,0.0,0.008719257819281817,0.3645094530137357,0.09124241097524258,0.002349872031389468,0.011758079448441261,0.32354897664202353,0.016714525677488407,0.265621994594472,0.01929393657288228,0.2263996624885805,0.04491133609469419,0.06711699411657768,0.009438979386092589,0.35471208244854463,0.008173787403053773,0.3696629077235878,0.022195179673394877,0.19804999058444156,0.01092329458771893,0.3306373547771285,0.10744369539119561,0.0003791698832827972,0.0004998547071301818,0.4917650011736272,32.93526649475098
CPI_sqrt,0.3,0.00999351838868015,0.346361368733262,0.09135114923120702,0.0022935225636360715,0.012716235678640997,0.311168346557087,0.01590768370927806,0.27459128703999214,0.02011387597735395,0.21680674052866689,0.043798047242268046,0.07007410220974429,0.0018144349074544208,0.46971664486076564,0.008780787463022632,0.36072778839352476,0.02220051413935603,0.19720143062674855,0.011710403976919803,0.31940482884536014,0.10639446075148767,0.00043117755784302273,-0.000627735101091792,0.5105158568467169,22.790265560150146
CPI_sqrt,0.6,0.00967312292127942,0.35050490996585026,0.09125728713715886,0.0022609721843191532,0.013051943725974902,0.30701145205216895,0.01634994740192655,0.26945893344239596,0.020112095447542916,0.21711986777961073,0.04408854978551069,0.06692606530758897,0.0003311642954613725,0.49440301424277017,0.008003579942374967,0.37264020390833497,0.02208111388510431,0.1987523952292985,0.012265518206161952,0.3114341661746606,0.10641075828871305,0.0004260602805402406,0.00010031606018956474,0.49830371114570854,22.90345549583435
CPI_sqrt,0.9,0.007371448255005464,0.3834764744754732,0.08972662648276719,0.0025950583807003657,0.012489959038854137,0.31466543598302393,0.01661531859986981,0.2669584212553585,0.019192731644980143,0.22781798220212046,0.02605438024575754,0.17083064707712392,0.0001657811902844586,0.49718032003728524,0.008957407037149007,0.3580044819425724,0.02255823915566127,0.19422673619359043,0.011770310540025725,0.31856036718160063,0.10526694640595807,0.00046264429139981943,-2.930166454831462e-05,0.5004974646870647,22.7473247051239
CPI_n,0.0,0.008719257819281817,0.00017927158813425218,0.09124241097524258,6.261120038537753e-22,0.011758079448441261,3.525767631237717e-05,0.016714525677488407,1.277095433877295e-05,0.01929393657288228,4.341271850923126e-11,0.04491133609469419,3.1324432749349644e-10,0.009438979386092589,0.00014542049688742774,0.008173787403053773,4.398645096603401e-06,0.022195179673394877,4.8206976402200036e-11,0.01092329458771893,3.6206099221466854e-07,0.10744369539119561,6.048343377673906e-32,0.0004998547071301818,0.36845861894563614,32.8649423122406
CPI_n,0.3,0.00999351838868015,4.855517482072578e-05,0.09135114923120702,3.442018024992794e-22,0.012716235678640997,1.955133905571825e-05,0.01590768370927806,1.6534710683414476e-05,0.02011387597735395,5.563043006756884e-12,0.043798047242268046,1.587140841997397e-10,0.0018144349074544208,0.05795270898402363,0.008780787463022632,1.9939122835097803e-06,0.02220051413935603,1.5313085016824318e-11,0.011710403976919803,6.978759145394279e-08,0.10639446075148767,3.388637796599082e-31,-0.000627735101091792,0.7183601321767917,22.75809931755066
