method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
LOCO-W,0.0,0.005851902098970632,0.3662856038835134,0.047653862019670756,0.0026173684939927444,-0.005548307326700556,0.6279367239062418,0.039534029882887935,0.008706626747611357,0.016849018111497083,0.16413563110947704,-0.011709367874101687,0.7560324456163109,-0.007563927548185976,0.6708658972635131,-0.008121496432467411,0.6801899777575184,-0.009972899860700319,0.7185413271236778,0.027005530947625683,0.056916476514413006,0.10417889524678062,1.6577850203702837e-12,-0.024390551444069986,0.9269240177671996,0.5958333015441895
LOCO-W,0.3,0.0021624450233829824,0.449061430408238,0.034942838574499306,0.021692595665076198,0.004171466892687898,0.4057439828032343,0.025088122975766736,0.07227733862292784,0.002478327497058225,0.44424310123096433,0.013042042538280013,0.21888187805726778,0.0024116439678247685,0.4449444199265583,-0.028331058162440127,0.9524762941927382,0.007365722341500252,0.33653475704600677,-0.02838921470529074,0.949656665650974,0.12019032425397466,3.3306690738754696e-16,0.028257838115920905,0.05223328274859096,0.5932650566101074
LOCO-W,0.6,-0.014085729228830285,0.7955176698797501,0.048303906761164854,0.0026342788638864523,0.012162117916068308,0.23821636176712735,0.016152099158299422,0.17370743693583335,-0.018552236214882403,0.8573521593795123,0.030543130676902976,0.03522490235036391,0.009135688780466085,0.2964018987038347,-0.008270655946209073,0.6841106810488767,0.0018410694239226354,0.45672699376849324,-0.0023709109693430216,0.5544181091483327,0.09997732382719864,3.186473307437154e-11,0.025474479970259978,0.07126384351487769,0.707528829574585
LOCO-W,0.9,0.01012220657179391,0.2749583197971137,0.02830418452418517,0.05134229723156036,0.0172396398340256,0.1584036014390544,0.004661213712271311,0.3939457059508812,-0.0028125269354034718,0.5651422662445956,-0.0027111774869356367,0.5624838387855704,-0.0048189120999232666,0.6119199209064485,0.009569942878362492,0.2857509714795796,0.005122714037461469,0.3818342625111678,-0.012937086160914801,0.7774334611994291,0.06394554696634372,5.59680849334665e-05,-0.009867797937137721,0.719664459549477,1.2405383586883545
CPI,0.0,0.0013913452823711148,0.08647410199716632,0.027124960987141733,1.5370165918559162e-06,0.0,1.0,0.004145904715649296,0.00021896903783401555,0.0,1.0,0.002757980933473958,0.08543556012532089,0.0012213933539096944,0.11245962350271077,0.0,1.0,0.0006421977771959297,0.1893830873362347,0.0013344544228090505,0.14991054218958488,0.11123699009035559,1.0168284517091145e-25,-6.252641041537554e-06,0.5646386027545983,21.049184560775757
CPI,0.3,0.001376747392878519,0.08521839076346971,0.027116645737374767,1.542108510244034e-06,0.0,1.0,0.003856063814116517,0.0007003188036647691,0.0,1.0,0.0023508002698023334,0.09696524476906404,0.001181443034469043,0.11955464858274611,0.0,1.0,0.0006416895247676746,0.1894740114649272,0.0013367848564831974,0.1494763573296901,0.11259053961093579,7.23524822832322e-26,-8.040048989466086e-06,0.5575675966923274,9.429923295974731
CPI,0.6,0.001270590476524891,0.09039636330753537,0.027104427538432396,1.5486124500046571e-06,0.0,1.0,0.002654794454946263,0.015444779807248982,0.0,1.0,0.0013804328588624126,0.14270869542232262,0.0009950064135890724,0.14280533547763552,0.0,1.0,0.0006407990682481546,0.18962289729002452,0.001335353863811839,0.14973634280380532,0.1079774817997941,6.420577015743824e-25,-1.1172746601340044e-05,0.5590583720668931,9.382089138031006
CPI,0.9,0.0007461779537918378,0.13731302055580913,0.027062711622462987,1.5751202774442124e-06,0.0,1.0,0.00045673114355859745,0.17349426848923488,0.0,1.0,0.00029883036743610925,0.2760652290943107,0.0004456501204565533,0.24889329219393624,0.0,1.0,0.0006385092248839541,0.19019173855260174,0.0013247241639808283,0.1511494134806351,0.06952040245456359,1.945725384707708e-17,-2.0290431753444693e-05,0.5663853348629505,9.461929082870483
CPI_sqrt,0.0,0.0013913452823711148,0.4772916725672363,0.027124960987141733,0.17664790674963243,0.0,0.5,0.004145904715649296,0.43305045880916043,0.0,0.5,0.002757980933473958,0.4568062312897174,0.0012213933539096944,0.48005118682959763,0.0,0.5,0.0006421977771959297,0.48938762627714605,0.0013344544228090505,0.4784537234267374,0.11123699009035559,0.0005503108176473576,-6.252641041537554e-06,0.5001063838932465,16.717955827713013
CPI_sqrt,0.3,0.001376747392878519,0.47751439683973357,0.027116645737374767,0.1767140016642062,0.0,0.5,0.003856063814116517,0.437761439427521,0.0,0.5,0.0023508002698023334,0.462865888145008,0.001181443034469043,0.4807009028692705,0.0,0.5,0.0006416895247676746,0.4893958917656187,0.0013367848564831974,0.47841607413493614,0.11259053961093579,0.0004941403631114651,-8.040048989466086e-06,0.5001366955640947,9.430721282958984
CPI_sqrt,0.6,0.001270590476524891,0.4791997951066444,0.027104427538432396,0.1768097792709336,0.0,0.5,0.002654794454946263,0.4570980550646769,0.0,0.5,0.0013804328588624126,0.477716792267039,0.0009950064135890724,0.48369663870039326,0.0,0.5,0.0006407990682481546,0.4894103590829041,0.001335353863811839,0.478439162186256,0.1079774817997941,0.0007355345754395924,-1.1172746601340044e-05,0.5001897980361039,9.175331354141235
CPI_sqrt,0.9,0.0007461779537918378,0.4876460074259939,0.027062711622462987,0.17714258231367275,0.0,0.5,0.00045673114355859745,0.49237498044296896,0.0,0.5,0.00029883036743610925,0.4950144585372956,0.0004456501204565533,0.49261301889936615,0.0,0.5,0.0006385092248839541,0.4894478119351614,0.0013247241639808283,0.47860823906775374,0.06952040245456359,0.01407523099930249,-2.0290431753444693e-05,0.5003440091251234,9.37132716178894
CPI_n,0.0,0.0013913452823711148,0.19688623305408598,0.027124960987141733,1.2087636414409056e-05,0.0,0.5,0.004145904715649296,0.010263747866170118,0.0,0.5,0.002757980933473958,0.14666612480402447,0.0012213933539096944,0.22502373861617925,0.0,0.5,0.0006421977771959297,0.31590324525618535,0.0013344544228090505,0.2409583727227157,0.11123699009035559,3.2520592108375783e-23,-6.252641041537554e-06,0.503843583877119,16.436216115951538
CPI_n,0.3,0.001376747392878519,0.19695986281284927,0.027116645737374767,1.2124164489963955e-05,0.0,0.5,0.003856063814116517,0.016941495788193154,0.0,0.5,0.0023508002698023334,0.1656936058633119,0.001181443034469043,0.23210577607477684,0.0,0.5,0.0006416895247676746,0.3160000967849721,0.0013367848564831974,0.24056818853206358,0.11259053961093579,2.285591849229257e-23,-8.040048989466086e-06,0.5048153860748147,9.444430112838745
