method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
LOCO-W,0.0,-0.018010220313128485,0.8529356316766065,0.047265996020976905,0.0033534141116089433,-0.0007111897895915863,0.5163639602399466,0.011861570104459073,0.24750959403421136,0.01653208833594733,0.16659793024274128,0.05162989729578455,0.0009454804365158775,0.034367583354713085,0.021023571317289935,-0.014912127196710097,0.806216095883771,0.009849485200936965,0.2844717830316522,-0.020511488546786173,0.8803423563061421,0.12832624697726014,0.0,-0.023131626182143327,0.9098267630680049,0.5968260765075684
LOCO-W,0.3,0.0010480700775925603,0.47545121588914363,0.03377433496560478,0.026174370742984343,0.02386556421339653,0.07619423699265837,0.004016559325685676,0.4071712576616029,-0.03225421505871811,0.9697715414767125,0.0031596485316767236,0.42688231959054534,0.013686306988713474,0.21360178918507322,0.00588719121589496,0.3692579550222874,0.0059580584881274695,0.364736338127859,-0.011144853473414948,0.7429695265881265,0.1333909573891305,0.0,-0.024920825923076657,0.9256029204036144,0.6569905281066895
LOCO-W,0.6,-0.03290660522888728,0.9714085060204006,0.03770909576802203,0.01704411179733134,0.009133929698224364,0.2989656861976645,0.008686285479816218,0.3075359956488801,0.0013455768110984291,0.468998377040556,-0.010458061753693232,0.7322081794489821,-0.030099720164365646,0.9612456088597744,0.004768840092819909,0.39055447790683273,0.023651073492985362,0.08216652085238585,0.03494177381594369,0.019655424099631502,0.11226060253863819,2.0861090632706691e-13,0.0062328477947661875,0.359963632952355,0.90521240234375
LOCO-W,0.9,0.00805229787217474,0.3220123959000968,0.03988899922873962,0.009467264634838601,0.007555752551664333,0.33026478014889515,0.0005581939862888103,0.48727146609885774,0.040712714171552214,0.008429245111620243,0.03215342401759329,0.029088283318651542,0.008953226904477328,0.30020365941155214,0.011537650938921108,0.25366902178002904,0.005913470050247675,0.36606316822255613,-0.012588574170364776,0.7664983030511594,0.09585040681461877,3.4766023393473233e-10,-0.007467365240893938,0.6675058346645539,1.5574743747711182
CPI,0.0,0.0011509318572701654,0.10573187284097368,0.03318704824923152,2.6830377410681405e-10,0.0,1.0,0.00392757907999669,0.005420586550876468,0.0,1.0,0.005043104284873479,0.0010958725595547377,-0.00011324578600402369,0.5575601097578964,0.0,1.0,0.0005319278461620169,0.10165459293471762,0.0004419542365466378,0.34182625061710475,0.10785288476163174,4.161320638808896e-29,-1.6509404154207985e-05,0.5547533146405881,20.986568212509155
CPI,0.3,0.0011451036003505277,0.10604506131395852,0.03318592434099504,2.6865603568988926e-10,0.0,1.0,0.003737092221238414,0.006757222126987265,0.0,1.0,0.0016295218465695038,0.0230117672650884,-6.765265881630844e-05,0.5434825008718097,0.0,1.0,0.0005297515954710286,0.10125023631563412,0.00044219420178431834,0.34195386112359827,0.10771916270267368,4.335552910787805e-29,-1.213649501574654e-05,0.5402234873864004,9.503350019454956
CPI,0.6,0.0011288748892814282,0.10737059750973976,0.03317995845888183,2.6963352742337513e-10,0.0,1.0,0.0030569821721793677,0.013949612171567087,0.0,1.0,0.000363239593895226,0.13523637301338476,-1.0206230007137052e-05,0.510422516572374,0.0,1.0,0.0005264923920967335,0.10097425961382639,0.00044373543212034017,0.34161071369377893,0.10775716467711577,3.940987057142075e-29,-1.5882014908541464e-05,0.5541739978241568,9.482311725616455
CPI,0.9,0.0010251168586474235,0.11993706688488631,0.03317005291829467,2.7199926933869686e-10,0.0,1.0,0.0010277853363204748,0.2056538049524842,0.0,1.0,3.460225284013241e-05,0.3049985136069647,-2.3837740151855247e-05,0.546193062202105,0.0,1.0,0.0005133607268551499,0.10201122991673223,0.00043408327944327585,0.3446182607968339,0.10981664239980438,9.812788884476514e-30,-1.1726432803893516e-05,0.5474094235365752,9.462791442871094
CPI_sqrt,0.0,0.0011509318572701654,0.4808222098125068,0.03318704824923152,0.12093892495548048,0.0,0.5,0.00392757907999669,0.43645577748364106,0.0,0.5,0.005043104284873479,0.41897352676968846,-0.00011324578600402369,0.5018987374867786,0.0,0.5,0.0005319278461620169,0.49094359565589374,0.0004419542365466378,0.4926833524393183,0.10785288476163174,0.0004857900463707119,-1.6509404154207985e-05,0.500284731069503,17.085126638412476
CPI_sqrt,0.3,0.0011451036003505277,0.4809165361980385,0.03318592434099504,0.12094686853854497,0.0,0.5,0.003737092221238414,0.4394435146566555,0.0,0.5,0.0016295218465695038,0.47273937789113396,-6.765265881630844e-05,0.5011421115334738,0.0,0.5,0.0005297515954710286,0.4909796961385278,0.00044219420178431834,0.49267984046213714,0.10771916270267368,0.0004913559245925382,-1.213649501574654e-05,0.500209310954576,9.177536964416504
CPI_sqrt,0.6,0.0011288748892814282,0.4811806985139786,0.03317995845888183,0.12098529506067018,0.0,0.5,0.0030569821721793677,0.45015276360746775,0.0,0.5,0.000363239593895226,0.49379188836537274,-1.0206230007137052e-05,0.5001739866137718,0.0,0.5,0.0005264923920967335,0.4910340107974979,0.00044373543212034017,0.4926547224764949,0.10775716467711577,0.0004886295039439085,-1.5882014908541464e-05,0.5002739500066766,9.36240816116333
CPI_sqrt,0.9,0.0010251168586474235,0.4828823587434188,0.03317005291829467,0.12105215994363477,0.0,0.5,0.0010277853363204748,0.48310557238729496,0.0,0.5,3.460225284013241e-05,0.49940188251196566,-2.3837740151855247e-05,0.5004096059050429,0.0,0.5,0.0005133607268551499,0.4912544519219573,0.00043408327944327585,0.4928139150377362,0.10981664239980438,0.0004010079806927875,-1.1726432803893516e-05,0.5002024289635815,9.684473991394043
CPI_n,0.0,0.0011509318572701654,0.22465668957468415,0.03318704824923152,1.1931485345854865e-08,0.0,0.5,0.00392757907999669,0.0333413974200276,0.0,0.5,0.005043104284873479,0.012394104042741527,-0.00011324578600402369,0.5326458418304851,0.0,0.5,0.0005319278461620169,0.30070971706759775,0.0004419542365466378,0.39653706891547963,0.10785288476163174,4.971825684089196e-26,-1.6509404154207985e-05,0.5091455133391966,17.077343463897705
CPI_n,0.3,0.0011451036003505277,0.22529893772957404,0.03318592434099504,1.194423961609241e-08,0.0,0.5,0.003737092221238414,0.038495252273629675,0.0,0.5,0.0016295218465695038,0.12506316078719537,-6.765265881630844e-05,0.5221173856966833,0.0,0.5,0.0005297515954710286,0.30101594378395613,0.00044219420178431834,0.3965730722244747,0.10771916270267368,5.186703819871609e-26,-1.213649501574654e-05,0.5067209905948229,9.156360387802124
CPI_n,0.6,0.0011288748892814282,0.22736751349078443,0.03317995845888183,1.1982954000154513e-08,0.0,0.5,0.0030569821721793677,0.06230028557520258,0.0,0.5,0.000363239593895226,0.34802564984455786,-1.0206230007137052e-05,0.5041093826767655,0.0,0.5,0.0005264923920967335,0.30158771053349753,0.00044373543212034017,0.3962982874722001,0.10775716467711577,4.7782775199542614e-26,-1.5882014908541464e-05,0.5088387124862681,9.270294189453125
CPI_n,0.9,0.0010251168586474235,0.24314630025955897,0.03317005291829467,1.207134796234498e-08,0.0,0.5,0.0010277853363204748,0.2893746559230439,0.0,0.5,3.460225284013241e-05,0.47934504029607256,-2.3837740151855247e-05,0.5118029377858467,0.0,0.5,0.0005133607268551499,0.3046289293259435,0.00043408327944327585,0.3983925976890568,0.10981664239980438,1.3202148899972478e-26,-1.1726432803893516e-05,0.5066958351954013,9.675827264785767
CPI_bt,0.0,0.0011509318572701654,0.027765590055406013,0.03318704824923152,0.0,0.0,0.5,0.00392757907999669,3.579434324289401e-11,0.0,0.5,0.005043104284873479,2.975143633512092e-17,-0.00011324578600402369,0.5747561346697584,0.0,0.5,0.0005319278461620169,0.1878077059254301,0.0004419542365466378,0.2311895375286802,0.10785288476163174,0.0,-1.6509404154207985e-05,0.5109719862172198,21.860291242599487
CPI_bt,0.3,0.0011451036003505277,0.02836755713378409,0.03318592434099504,0.0,0.0,0.5,0.003737092221238414,2.7697910102772273e-10,0.0,0.5,0.0016295218465695038,0.0033442625386576903,-6.765265881630844e-05,0.5448451818583473,0.0,0.5,0.0005297515954710286,0.18878580767538794,0.00044219420178431834,0.23106314961010588,0.10771916270267368,0.0,-1.213649501574654e-05,0.5080662670452204,13.98748779296875
CPI_bt,0.6,0.0011288748892814282,0.030169965320215892,0.03317995845888183,0.0,0.0,0.5,0.0030569821721793677,1.9140731051788378e-07,0.0,0.5,0.000363239593895226,0.2725572805950605,-1.0206230007137052e-05,0.5067818529879826,0.0,0.5,0.0005264923920967335,0.19026222324777525,0.00044373543212034017,0.2302882665190682,0.10775716467711577,0.0,-1.5882014908541464e-05,0.5105551565858936,14.032897710800171
CPI_bt,0.9,0.0010251168586474235,0.04401180651633356,0.03317005291829467,0.0,0.0,0.5,0.0010277853363204748,0.04380870113050974,0.0,0.5,3.460225284013241e-05,0.47701313044961924,-2.3837740151855247e-05,0.515839414259885,0.0,0.5,0.0005133607268551499,0.1962459696384558,0.00043408327944327585,0.2351703840390892,0.10981664239980438,0.0,-1.1726432803893516e-05,0.507793816946259,14.400424480438232
CPI_sqd,0.0,0.0011509318572701654,0.0,0.03318704824923152,0.0,0.0,0.5,0.00392757907999669,0.0,0.0,0.5,0.005043104284873479,0.0,-0.00011324578600402369,1.0,0.0,0.5,0.0005319278461620169,0.0,0.0004419542365466378,0.0,0.10785288476163174,0.0,-1.6509404154207985e-05,1.0,21.922226190567017
CPI_sqd,0.3,0.0011451036003505277,0.0,0.03318592434099504,0.0,0.0,0.5,0.003737092221238414,0.0,0.0,0.5,0.0016295218465695038,0.0,-6.765265881630844e-05,1.0,0.0,0.5,0.0005297515954710286,0.0,0.00044219420178431834,0.0,0.10771916270267368,0.0,-1.213649501574654e-05,1.0,13.982078075408936
CPI_sqd,0.6,0.0011288748892814282,0.0,0.03317995845888183,0.0,0.0,0.5,0.0030569821721793677,0.0,0.0,0.5,0.000363239593895226,0.0,-1.0206230007137052e-05,1.0,0.0,0.5,0.0005264923920967335,0.0,0.00044373543212034017,0.0,0.10775716467711577,0.0,-1.5882014908541464e-05,1.0,14.344759702682495
CPI_sqd,0.9,0.0010251168586474235,0.0,0.03317005291829467,0.0,0.0,0.5,0.0010277853363204748,0.0,0.0,0.5,3.460225284013241e-05,0.0,-2.3837740151855247e-05,1.0,0.0,0.5,0.0005133607268551499,0.0,0.00043408327944327585,0.0,0.10981664239980438,0.0,-1.1726432803893516e-05,1.0,14.487209558486938
S-CPI,0.0,0.0017969696160007925,0.08841292837285908,0.03455445532259526,1.3199151475761923e-06,0.0,0.5,0.00574096895071021,0.004373381832033543,0.0,0.5,0.0046774999249930204,0.028487062811977486,-0.00040935955118549425,0.6458095472963229,0.0,0.5,0.0005591799644309094,0.17901770247837012,0.002273598388106045,0.05506928577618949,0.11137375531483165,3.868173355928883e-20,9.021193753627249e-07,0.49787006722462407,17.112022161483765
S-CPI,0.3,0.0017805953450640692,0.08885847300691069,0.034551843136232385,1.3224484248342545e-06,0.0,0.5,0.005534997258388261,0.005061174589676787,0.0,0.5,0.0014393216897935388,0.12184890230705353,-4.335676446390576e-05,0.5199809757870891,0.0,0.5,0.0005560493290386729,0.17902629685424354,0.0022788491759304845,0.05484242298801675,0.11100857160041197,4.247353860147114e-20,2.9332352064431238e-06,0.49309404080071656,9.36766529083252
S-CPI,0.6,0.001744949963889459,0.09031210442404236,0.0345496412280136,1.3230110711079428e-06,0.0,0.5,0.004552753211561193,0.010746405244506145,0.0,0.5,0.0002972414891021614,0.26920208689204816,8.030900141776553e-05,0.44186082050660136,0.0,0.5,0.0005514878123750885,0.17930499834801128,0.002285452682032618,0.054433773606188306,0.11073526949263163,4.317171391104164e-20,9.514701370217825e-08,0.49976911066835816,9.625690221786499
S-CPI,0.9,0.0015735641649862085,0.10070246252436132,0.03455678344200312,1.3188149196476395e-06,0.0,0.5,0.0009291640793660718,0.30124244291618174,0.0,0.5,2.2040972558403446e-05,0.41008751256473347,1.7964910676444973e-05,0.47529826059376884,0.0,0.5,0.0005336193182339042,0.18243614372030803,0.0022833679330119313,0.05417159841135701,0.11205595768796771,2.1381255869210233e-20,2.1394259183430107e-06,0.4938499511599297,9.724493026733398
S-CPI_sqrt,0.0,0.0017969696160007925,0.4705763907600187,0.03455445532259526,0.12759321549575292,0.0,0.5,0.00574096895071021,0.409899630175594,0.0,0.5,0.0046774999249930204,0.42714231157072524,-0.00040935955118549425,0.506774317929339,0.0,0.5,0.0005591799644309094,0.49055637142993525,0.002273598388106045,0.46293303629697935,0.11137375531483165,0.0007847694551157706,9.021193753627249e-07,0.4999844744341031,16.96415424346924
S-CPI_sqrt,0.3,0.0017805953450640692,0.47083276895505555,0.034551843136232385,0.12761162859246078,0.0,0.5,0.005534997258388261,0.4129525831941889,0.0,0.5,0.0014393216897935388,0.4763317414883682,-4.335676446390576e-05,0.5007244129536075,0.0,0.5,0.0005560493290386729,0.4906078873723345,0.0022788491759304845,0.46284990308578705,0.11100857160041197,0.0008065861419578349,2.9332352064431238e-06,0.4999495197473635,9.364726305007935
S-CPI_sqrt,0.6,0.001744949963889459,0.47139480798214667,0.0345496412280136,0.1276241685525078,0.0,0.5,0.004552753211561193,0.42772490820838216,0.0,0.5,0.0002972414891021614,0.4949529833138528,8.030900141776553e-05,0.49864017642424735,0.0,0.5,0.0005514878123750885,0.49068323797099456,0.002285452682032618,0.462743838024046,0.11073526949263163,0.0008213310538167674,9.514701370217825e-08,0.4999983621874426,9.304269790649414
S-CPI_sqrt,0.9,0.0015735641649862085,0.47412409377688775,0.03455678344200312,0.12757899740023781,0.0,0.5,0.0009291640793660718,0.4850540421050365,0.0,0.5,2.2040972558403446e-05,0.49961949067233113,1.7964910676444973e-05,0.49969242739413017,0.0,0.5,0.0005336193182339042,0.49098053472652026,0.0022833679330119313,0.4627725411125564,0.11205595768796771,0.0007316599113585306,2.1394259183430107e-06,0.4999631322417895,9.750576734542847
S-CPI_n,0.0,0.0017969696160007925,0.17599500616685793,0.03455445532259526,7.0364327688166435e-06,0.0,0.5,0.00574096895071021,0.019806197251314477,0.0,0.5,0.0046774999249930204,0.06302736064022953,-0.00040935955118549425,0.5954396990962013,0.0,0.5,0.0005591799644309094,0.32179891502414304,0.002273598388106045,0.13057465878149332,0.11137375531483165,1.8141368591437465e-18,9.021193753627249e-07,0.499532096257021,16.765538454055786
S-CPI_n,0.3,0.0017805953450640692,0.17702248671268955,0.034551843136232385,7.047966091819243e-06,0.0,0.5,0.005534997258388261,0.022169270239092147,0.0,0.5,0.0014393216897935388,0.21638859726344184,-4.335676446390576e-05,0.5118010005127911,0.0,0.5,0.0005560493290386729,0.3222644281845909,0.0022788491759304845,0.13019752419043734,0.11100857160041197,1.990595989363063e-18,2.9332352064431238e-06,0.4984795455444855,9.296070337295532
S-CPI_n,0.6,0.001744949963889459,0.1796517239895719,0.0345496412280136,7.051020970230811e-06,0.0,0.5,0.004552753211561193,0.03883157448568091,0.0,0.5,0.0002972414891021614,0.3918975291153651,8.030900141776553e-05,0.4721460650245918,0.0,0.5,0.0005514878123750885,0.32303919085182503,0.002285452682032618,0.12960664117344944,0.11073526949263163,2.0368340035136517e-18,9.514701370217825e-08,0.49995035503904095,9.346847772598267
S-CPI_n,0.9,0.0015735641649862085,0.19517448196784876,0.03455678344200312,7.031060911341469e-06,0.0,0.5,0.0009291640793660718,0.3483726423008833,0.0,0.5,2.2040972558403446e-05,0.48738926362163665,1.7964910676444973e-05,0.49194911125619567,0.0,0.5,0.0005336193182339042,0.3268025498514586,0.0022833679330119313,0.12942251707584906,0.11205595768796771,1.061435600762351e-18,2.1394259183430107e-06,0.498845002117188,9.67350959777832
S-CPI_bt,0.0,0.0017969696160007925,0.0014180143877530885,0.03455445532259526,0.0,0.0,0.5,0.00574096895071021,1.1699657300732397e-21,0.0,0.5,0.0046774999249930204,5.738266195025051e-15,-0.00040935955118549425,0.7519569964460314,0.0,0.5,0.0005591799644309094,0.17589524260581968,0.002273598388106045,8.005981451263701e-05,0.11137375531483165,0.0,9.021193753627249e-07,0.49940039715376416,21.415236949920654
S-CPI_bt,0.3,0.0017805953450640692,0.0015490319241872044,0.034551843136232385,0.0,0.0,0.5,0.005534997258388261,2.811213822541598e-20,0.0,0.5,0.0014393216897935388,0.008371731966876295,-4.335676446390576e-05,0.5287585813167694,0.0,0.5,0.0005560493290386729,0.1772517740075381,0.0022788491759304845,7.726974595709547e-05,0.11100857160041197,0.0,2.9332352064431238e-06,0.4980504088937719,13.905399322509766
S-CPI_bt,0.6,0.001744949963889459,0.001869488007618679,0.0345496412280136,0.0,0.0,0.5,0.004552753211561193,2.4527726617572757e-14,0.0,0.5,0.0002972414891021614,0.31027855294390205,8.030900141776553e-05,0.4468045593948785,0.0,0.5,0.0005514878123750885,0.17922858932524816,0.002285452682032618,7.369062798853134e-05,0.11073526949263163,0.0,9.514701370217825e-08,0.4999367595170587,14.32718300819397
S-CPI_bt,0.9,0.0015735641649862085,0.004460154906282269,0.03455678344200312,0.0,0.0,0.5,0.0009291640793660718,0.0617512860713743,0.0,0.5,2.2040972558403446e-05,0.4853531068815887,1.7964910676444973e-05,0.4880622492219029,0.0,0.5,0.0005336193182339042,0.18711355816218067,0.0022833679330119313,7.507422014683875e-05,0.11205595768796771,0.0,2.1394259183430107e-06,0.49857799272007763,14.536057233810425
S-CPI_sqd,0.0,0.0017969696160007925,0.0,0.03455445532259526,0.0,0.0,0.5,0.00574096895071021,0.0,0.0,0.5,0.0046774999249930204,0.0,-0.00040935955118549425,1.0,0.0,0.5,0.0005591799644309094,0.0,0.002273598388106045,0.0,0.11137375531483165,0.0,9.021193753627249e-07,0.01940993848776444,21.473840475082397
S-CPI_sqd,0.3,0.0017805953450640692,0.0,0.034551843136232385,0.0,0.0,0.5,0.005534997258388261,0.0,0.0,0.5,0.0014393216897935388,0.0,-4.335676446390576e-05,1.0,0.0,0.5,0.0005560493290386729,0.0,0.0022788491759304845,0.0,0.11100857160041197,0.0,2.9332352064431238e-06,9.175442374471673e-12,13.951288938522339
